 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
intercept 0.00012714814961726356 7.295448256309335e-06 -2.1014563294345356e-07 2.1080342484118425e-09 -3.499722456880866e-05 2.7401309581539695e-06 -7.002679665240187e-08 5.970212057760367e-10 3.0617021668917225e-07 2.788043875935658e-07 -1.6903100371069398e-07 -6.953452616413936e-08 -9.415850697313914e-08 7.873309619899366e-08 -5.814136535655167e-08 1.1524426651903825e-07 -2.5987438616088948e-08 -1.1178387478962321e-07 -1.4648583027397312e-07 -3.591834856918621e-08 -3.405558098050692e-08 7.543913530389479e-08 -4.739740863475577e-08 -5.781299087026486e-08 2.2140623284119703e-09 -9.820368855228449e-09 2.0406255748738208e-08 -3.4499851230374764e-08 -1.1006353188763942e-05 1.4269716399256537e-05 8.75455388659308e-06
age 7.295448256534315e-06 0.00030023311870115937 -6.889939275921993e-06 4.912589700695243e-08 0.0037015433423641074 -0.0002789575699848884 6.380644076744679e-06 -4.531187718245947e-08 -8.651331992234848e-08 2.3489814028236065e-07 -9.412704702113713e-08 2.700721944044444e-07 3.1883279515818046e-08 5.8011451637810685e-08 1.0662097006091348e-07 7.806405165998425e-08 1.0447419289611691e-07 -3.6937761554667937e-07 -9.392921264005666e-08 5.50776983246e-09 -1.3637573638486977e-07 -1.9521238688737785e-07 -2.0261797601243266e-07 1.9475322412633374e-07 1.6370302677609863e-07 -3.01300207752822e-07 1.2852239926481096e-07 3.252423194583532e-07 2.1768988819795368e-06 2.1797810738143605e-06 2.100264634166204e-06
age2 -2.1014563294536727e-07 -6.889939275921365e-06 1.6114520578409152e-07 -1.1683964609513768e-09 -8.297579420873427e-05 6.389746724501864e-06 -1.489946802835536e-07 1.076139371386255e-09 4.273126053520222e-09 -4.970326556129675e-09 1.3177558833124552e-09 -6.6616960231601136e-09 -9.616885870395873e-10 -2.3889355636642102e-09 -1.8173439553173023e-09 -8.927021645819585e-10 -2.3534286027772942e-09 8.308459340980175e-09 2.609703486803532e-09 1.9488954618069773e-10 2.9857719162376885e-09 3.3829055662639947e-09 3.5395178667266735e-09 -3.6580521116995736e-09 -4.427359959815087e-09 6.321714944069907e-09 -3.4185718972414055e-09 -7.615054805633303e-09 -4.99007799934926e-08 -6.325269294779534e-08 -3.49102938904891e-08
age3 2.1080342484224395e-09 4.912589700695444e-08 -1.1683964609515352e-09 8.608769995502279e-12 5.799514816424142e-07 -4.54383121843306e-08 1.077691818759033e-09 -7.9108566607353e-12 -4.3833333415360515e-11 3.6605220509463477e-11 -8.191641939597647e-12 4.908442210520802e-11 6.250506891206926e-12 2.320390936942261e-11 9.71212778339606e-12 2.565558920551859e-12 1.8060077323001207e-11 -5.8037478568171705e-11 -2.396841625654074e-11 -4.052897607069834e-12 -2.164728017580596e-11 -1.715351666288847e-11 -1.9675418292677136e-11 2.085844804839102e-11 3.5646633672028176e-11 -4.1733516478762815e-11 2.7389791641513165e-11 5.4222319479190074e-11 3.3540536765175784e-10 4.884249603157838e-10 1.9005499554952343e-10
sex -3.499722456266656e-05 0.0037015433423656673 -8.297579420876952e-05 5.799514816426749e-07 0.1266036041493411 -0.009452564667278738 0.00021540362648453604 -1.5303374952294656e-06 -1.2980155626429057e-06 -8.722330249706305e-07 2.3672627173014035e-06 2.108902696029944e-06 -3.7284461682476232e-06 -7.083562508022544e-07 2.928840972350802e-06 -4.484898371423566e-07 -1.991541147456861e-06 -2.2823118437108292e-06 -1.6102602015635518e-06 2.5380912118379226e-06 1.6792720852522289e-06 -1.4916122138775776e-06 -4.2963911730190025e-06 1.485057129019178e-06 1.2057134464407841e-06 -3.951824515901343e-06 2.9715950760323346e-06 9.823550730042795e-07 1.4480102947747363e-05 8.278279359272093e-06 7.697671193676669e-05
agesex 2.740130957770693e-06 -0.00027895756998510955 6.3897467245070454e-06 -4.5438312184369e-08 -0.00945256466727917 0.0007250194249120717 -1.6865239268697247e-05 1.2180851730835964e-07 1.4259809141231934e-07 8.858790614482727e-08 -1.7593045158813133e-07 -1.3581050147718256e-07 2.4279157165122085e-07 -9.580324071435223e-09 -1.371066074602248e-07 6.097454624192076e-08 1.4488549128227037e-07 1.8546407724930606e-07 1.1004293191533902e-07 -1.6929357688411568e-07 -1.744136741007768e-07 7.548548252757689e-08 2.8314255223396e-07 -5.602020577115427e-08 -1.7408440658497483e-07 3.001462737490535e-07 -2.5508465157254437e-07 -9.181288415667054e-08 -1.7145019150053496e-06 -1.4621336201678128e-06 -5.475734450576893e-06
age2sex -7.002679665148554e-08 6.3806440767527825e-06 -1.4899468028373634e-07 1.0776918187603097e-09 0.0002154036264845566 -1.6865239268698057e-05 3.9970419611897e-07 -2.934661724504235e-09 -4.328803375226831e-09 -2.632412997648427e-09 3.9472983952531865e-09 3.1461464592662675e-09 -5.1158166665619024e-09 1.1846104162175511e-09 2.0182009167841454e-09 -2.090237465463722e-09 -2.813942971448015e-09 -4.090326204745642e-09 -2.8298643974454977e-09 3.4198014426040948e-09 4.850401676382399e-09 -5.971152420944146e-10 -6.189194234280145e-09 -2.460454382091188e-10 5.185351515829188e-09 -7.332503960044904e-09 6.3489001873671495e-09 1.8766697454077805e-09 5.60880053244947e-08 4.173552485644493e-08 1.205596036317366e-07
age3sex 5.9702120577262e-10 -4.5311877182530365e-08 1.0761393713878753e-09 -7.910856660746757e-12 -1.5303374952296911e-06 1.2180851730837147e-07 -2.934661724504375e-09 2.1884711942858757e-11 3.431685579987691e-11 2.5205203620613037e-11 -2.6582197813433606e-11 -2.5515405064840688e-11 3.66755181521518e-11 -1.2333445328157932e-11 -9.609931271501103e-12 1.709858897195724e-11 1.5784061999037125e-11 2.6650460526642328e-11 2.2218878477077605e-11 -2.164975667908957e-11 -3.8397211751889635e-11 -2.5699764537319218e-12 4.370753586503831e-11 1.3589133454752858e-11 -4.266333075913846e-11 5.597764466708078e-11 -4.8533083619582314e-11 -1.1801975826899828e-11 -5.517980462056842e-10 -3.006258725531369e-10 -8.586509015069479e-10
pcs.V3 3.061702166890165e-07 -8.651331992276305e-08 4.273126053529607e-09 -4.3833333415426896e-11 -1.298015562649567e-06 1.4259809141282345e-07 -4.32880337523838e-09 3.431685579995896e-11 1.3712958956151633e-06 9.90512935858145e-08 -2.3421999169928047e-08 -1.2200449193634246e-09 9.013918212716798e-09 1.6399396725954323e-08 -6.38537198059914e-09 2.1222519931669475e-08 7.217688520516105e-09 1.3502507162400911e-09 -1.1562777464000877e-08 1.5714798055629485e-08 -5.819481160409015e-09 -1.3225923865344962e-08 -8.923630264430965e-09 -1.2033033392538571e-08 -3.990614369099594e-09 -1.014797762486465e-08 5.660355296601477e-09 -1.3775287092240148e-09 3.1661684581130825e-07 9.011282497352284e-07 7.687937585701138e-07
pcs.V4 2.7880438759356857e-07 2.3489814028179253e-07 -4.970326556116231e-09 3.6605220509365074e-11 -8.722330249865145e-07 8.858790614608465e-08 -2.632412997678501e-09 2.5205203620835364e-11 9.905129358581492e-08 1.4577906491158651e-06 3.991003262629423e-08 -2.055604420383254e-09 1.7408494640020717e-08 -3.0261037315084296e-08 -3.758537907849481e-09 2.500138962462244e-08 -4.149732297444401e-09 -2.9815778005721336e-09 1.245149613556619e-08 -1.6106512203304514e-08 -3.873464258958531e-09 1.612144043312451e-08 1.7620205744261997e-08 8.419105859439405e-09 1.461310743056131e-08 6.379263752631123e-10 -5.79316340351866e-09 -5.07578364486359e-09 -8.919641290927966e-08 -6.474014078535981e-07 -5.928730990225886e-07
