 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gmp gpm gmm
intercept 0.056035176004165396 0.08066418895093293 -0.0020642352789047693 1.7319110261186925e-05 0.6805894425130192 -0.05269572810956937 0.0013393888664701525 -1.1174751818258433e-05 -1.7330800495370628e-05 3.133188906695842e-05 4.620826026856807e-06 -1.191264847818265e-05 1.2685540128560149e-05 -3.6173389689485054e-05 2.802961569869579e-06 9.579018524820578e-06 -8.41543849883566e-06 -1.1194492096944783e-05 -4.3223134817356615e-05 -1.659367335259293e-05 -6.824167301164017e-06 8.245063726436165e-07 1.0835838795283074e-05 -1.6577567149442695e-06 2.578519736242107e-07 -5.365904842414226e-06 4.5148140137812374e-05 -3.329587560915277e-05 -0.00013651277914385464 9.477873054073644e-05 -2.7828737183213438e-06 -0.000513508974427485 0.0006201471394662182 -0.000501240290456145 0.0006974773713246444
age 0.08066418895004765 0.22730117253439358 -0.005570806591524219 4.467355519640137e-05 2.942115915633456 -0.21989387055173512 0.005379751930616624 -4.3071931079768665e-05 -8.259636313117709e-05 4.732783970367374e-05 1.3451856947740005e-05 -3.892411601007455e-06 -5.360956525439974e-06 -3.880088870782994e-05 1.1124205460715999e-05 2.697301154847702e-05 7.941983826757824e-06 -2.2934766115654868e-05 -5.649336130429697e-06 -4.453104230212157e-06 1.087752395962815e-06 -1.4882184970582378e-05 1.5292820558651803e-05 2.6740067346033286e-05 -1.9821977912548718e-05 1.8780169726306055e-05 3.7440270167740055e-05 -2.0409633536686407e-05 -0.00014211820642743108 -0.0003919431993239259 0.0005130755913923442 0.003999487879546639 -0.0033466102757899797 -0.0033550215267284258 0.0025746304559506085
age2 -0.0020642352788817968 -0.005570806591519471 0.00013703501567735867 -1.1030080760034048e-06 -0.07180681838028566 0.005385494419342934 -0.0001322254823999814 1.0624338735692889e-06 1.8920948521653133e-06 -1.1540493482832806e-06 -2.8386453773526313e-07 1.091909409951989e-07 5.5852351435329584e-08 9.811561454229135e-07 -2.3448910447713362e-07 -6.760196317399967e-07 -1.6945363613951155e-07 5.558200190254974e-07 2.954827664640077e-07 9.936877075394214e-08 -2.823169867820455e-08 3.328635312660634e-07 -4.0231890353845287e-07 -6.099158287554534e-07 4.6022114418526876e-07 -3.788994826959122e-07 -1.0072456881762153e-06 5.974771197541444e-07 3.5974511266886554e-06 8.073783185414932e-06 -1.1367353619967899e-05 -9.256326039490059e-05 7.831721142847694e-05 7.819823584672649e-05 -6.175014114851536e-05
age3 1.731911026101322e-05 4.467355519639308e-05 -1.1030080760041434e-06 8.912592708838298e-09 0.0005736648139242349 -4.3172720046844726e-05 1.0638004291893882e-06 -8.579551809043173e-09 -1.4111460454950421e-08 9.20853372882206e-09 1.955798426752228e-09 -1.074606894650671e-09 7.696982171771558e-11 -8.152937019508267e-09 1.5282541777195977e-09 5.533091902806335e-09 1.1671172137070475e-09 -4.3167686968120995e-09 -3.767656042239571e-09 -7.847713158921959e-10 2.38714036290003e-10 -2.497699538469746e-09 3.3966927456801595e-09 4.461500736440491e-09 -3.3595326350971984e-09 2.443164183560457e-09 8.97120250986299e-09 -5.6214085573549375e-09 -3.065413960016401e-08 -5.195926693524628e-08 8.57570633132706e-08 6.981003955770011e-07 -6.004184859933433e-07 -5.987176781971175e-07 4.82609972252866e-07
sex 0.6805894424723727 2.9421159155416725 -0.07180681837805701 0.0005736648139065469 72.37531922484438 -5.345798355153665 0.12904364302340934 -0.0010178075607982728 -0.0007624147927962388 0.0009962773677479023 0.0005013964002940644 -8.137107604450383e-05 -0.0007010070914691949 -0.0003532773346815503 0.00022745560923669245 0.000952205122181438 4.868248961945696e-06 0.00035879487719462456 -0.00010765583785406125 0.00013702222397905513 0.00017702330504051536 -0.00037004232040014555 -7.433388075109748e-05 0.0007092350846958942 8.80962712931152e-05 0.0005263630322923178 4.010528389087833e-05 -0.00022829912527611273 0.00043663932823259817 -0.009799415344523579 -0.0011589923428513538 0.16530922717550037 -0.15430299206107345 -0.01922658637073743 0.019205533414670562
agesex -0.052695728106348226 -0.21989387054448203 0.005385494419167465 -4.3172720045455666e-05 -5.345798355154163 0.396328481295623 -0.009602971380564328 7.602248424096366e-05 5.3158174346099706e-05 -7.144759466228808e-05 -3.310714200465461e-05 4.8352412700266865e-06 4.87156748739238e-05 2.3725523155116877e-05 -1.439784309504471e-05 -7.131742774232987e-05 -2.7754063628397774e-06 -2.6336762032503034e-05 8.687660782938022e-06 -1.2810022222223039e-05 -1.4150536040759167e-05 2.7089441964146735e-05 3.4725464471366428e-06 -4.881815224412509e-05 -7.745578432195531e-06 -3.56941656422345e-05 -6.585689575404741e-06 1.762511217282568e-05 -2.9849865223919046e-05 0.0007227309423741137 0.0001151543792037047 -0.011912870362735091 0.011129853407917728 0.001339034423068816 -0.0014564365491029749
age2sex 0.0013393888663949462 0.0053797519304462065 -0.00013222548239584262 1.0638004291565485e-06 0.12904364302344093 -0.009602971380565766 0.0002335795866960191 -1.8564136688805712e-06 -1.2054250840930003e-06 1.659900885792112e-06 7.035544476172181e-07 -8.450870241654814e-08 -1.1119212563679883e-06 -5.097607194985536e-07 2.819880839275747e-07 1.7367085983648318e-06 1.2948628112816118e-07 6.400428741225835e-07 -2.5561772808587413e-07 3.843121117348234e-07 3.731863567730666e-07 -6.543274388138998e-07 -4.1494512926237885e-08 1.0822248215250384e-06 2.228861754652565e-07 7.835839833503846e-07 2.456890819976555e-07 -4.4810798892540225e-07 5.514705178125384e-07 -1.752113960083396e-05 -3.1714104352354736e-06 0.00028134990677178637 -0.0002633207166460202 -3.0763536351638555e-05 3.585805740615754e-05
age3sex -1.1174751817655266e-05 -4.307193107836823e-05 1.0624338735353781e-06 -8.579551808774842e-09 -0.0010178075607987457 7.602248424099154e-05 -1.85641366888097e-06 1.481476010856352e-08 8.828103052846757e-09 -1.2475086043119195e-08 -4.790853533569987e-09 4.333086009864295e-10 8.311858707545495e-09 3.5022685439043697e-09 -1.5937220282769175e-09 -1.377158911615534e-08 -1.5174687617572947e-09 -5.160056073273214e-09 2.5751463594216672e-09 -3.670638608280152e-09 -3.2343152913623817e-09 5.286739206381957e-09 -5.3326938703210274e-11 -7.757035377344235e-09 -2.1423367267919136e-09 -5.608169091427462e-09 -2.7280102234232933e-09 3.734343742937221e-09 -2.308090577302208e-09 1.4081139835650666e-07 2.595476020661556e-08 -2.1786844935444376e-06 2.0421375464951208e-06 2.3383015004265294e-07 -2.874214273389152e-07
pcs.V3 -1.7330800495260754e-05 -8.259636313213106e-05 1.8920948521883522e-06 -1.4111460455132611e-08 -0.0007624147928504406 5.315817435007622e-05 -1.2054250841882114e-06 8.828103053590452e-09 7.006963942851051e-06 1.7647475694791252e-07 1.353439417479112e-07 -7.834448214309033e-08 7.277469385831785e-08 4.028087634708845e-07 -2.8142538175579805e-07 2.3049901843001125e-07 -4.159898938803632e-07 1.578895816515651e-07 -9.751901078370789e-08 3.999162668221905e-08 2.6334758371548667e-07 1.1379665713236662e-07 -5.1365337647126364e-08 5.421554039778276e-09 -1.0178579651333171e-07 -1.960287802620103e-07 2.0858376266703185e-07 -1.5530896054790074e-07 3.5448734308184114e-06 4.148025590730447e-06 -8.86354140629773e-06 -7.019071038121238e-06 1.3286049539711486e-05 -2.818704862232062e-06 1.601666443231281e-05
pcs.V4 3.13318890663397e-05 4.7327839702313876e-05 -1.1540493482503365e-06 9.20853372856138e-09 0.0009962773677535835 -7.144759466269342e-05 1.6599008858014333e-06 -1.2475086043187967e-08 1.7647475694861571e-07 6.431770391460684e-06 1.116409249446669e-07 2.949810440877677e-07 -2.1358861890770807e-07 -8.496028596973712e-08 2.6421279399787684e-08 2.1831497112089286e-07 1.7058038197869492e-07 -2.336506683837652e-07 1.4631653358948588e-07 -1.2560336113390813e-07 -4.080482578618762e-07 1.4507500306544976e-07 3.0028775563375435e-07 -5.450014078191991e-10 3.9270891557673103e-07 2.8921403393892263e-07 3.022331339943775e-08 -2.6547483283138964e-07 -2.5062343072150357e-06 5.896626722007506e-06 -6.900518428291713e-06 -1.2049987679641559e-05 -5.184075121135846e-06 4.794347364948289e-07 1.2370176436553361e-05
