 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal gpp gmp
intercept 0.011482232858881532 0.004302722744522343 -0.00013580791894556797 1.3606293441335414e-06 0.013353322924532037 -0.001298575772608102 3.9644069122764704e-05 -3.8451336387445587e-07 -1.1906559550914051e-06 3.459244637927059e-06 2.30454621415861e-06 -1.5262049800031691e-06 1.15379584031629e-06 -1.131608356331397e-05 -2.7046979080429274e-06 -1.8134255772053036e-06 -1.2916793326152102e-06 -4.843591948541759e-06 -1.2497495494694619e-05 -5.4676960920167806e-06 1.9329937198186197e-07 2.9145086666528736e-06 4.646967709049795e-06 -1.351154781397125e-06 -5.944561071994691e-07 -5.4394316891288354e-06 9.67577706040119e-06 -5.190550337448682e-06 -1.503436512769311e-05 -0.00011802884296859426 0.00015085556517683662 -5.926794225757629e-05
age 0.004302722744508417 0.005022184530199938 -0.00014521181440090586 1.320781299191374e-06 0.052051195265705126 -0.004819812113365489 0.00013913150632553 -1.2635607482481285e-06 -5.82240444507903e-07 6.123959642116119e-07 -3.091437145595953e-06 1.0957590894166552e-06 7.785570865556154e-07 -8.320493482856506e-07 2.8136415645051217e-07 -6.954393667776576e-07 -1.140367378580267e-06 -5.763281646664647e-06 -1.7933232614586614e-06 9.357755877314072e-07 3.2126991248264045e-07 -2.190634474465668e-07 1.930225868001326e-06 6.896179479056051e-07 -3.389042474841527e-06 -3.844940345284304e-06 1.2347483232595625e-06 1.8990275081870191e-06 1.4164217901918076e-05 8.482329596423746e-06 0.00012632875956720122 -0.00016003100311580236
age2 -0.00013580791894557466 -0.00014521181440146019 4.250239142677485e-06 -3.911362240170284e-08 -0.0014853391656441135 0.00013920913370175876 -4.067197330050283e-06 3.736831357702348e-08 9.86257362751206e-09 -1.467817910766384e-09 7.896624296708085e-08 -2.7683779689241466e-08 -2.4050525230231048e-08 3.438129341645054e-08 8.775717067868286e-09 3.7554714379401776e-08 3.228548172613136e-08 1.6105768123954483e-07 6.97033224756066e-08 -2.2082006507753666e-08 -2.1740171432203825e-08 -6.839872713990137e-09 -5.84967034697462e-08 -7.40677385729947e-09 8.326371894892215e-08 1.0993395941967973e-07 -4.613805120990812e-08 -3.421940230840276e-08 -3.5658766860021517e-07 -2.450832857082259e-07 -3.0274816422912577e-06 4.224033139132766e-06
age3 1.360629344130201e-06 1.3207812991923884e-06 -3.9113622401597287e-08 3.643396258591798e-10 1.335306160493552e-05 -1.2649547450830599e-06 3.7387507623637644e-08 -3.4766077960250505e-10 -1.9046434686178796e-11 -7.288714227527259e-11 -6.289988712004607e-10 2.0914778465842608e-10 2.1532665741332168e-10 -4.320310477072357e-10 -2.3719593644194937e-10 -4.807115676594047e-10 -2.627588869014945e-10 -1.4096346709654136e-09 -8.316840074236777e-10 1.4736735690877436e-10 3.045746454831758e-10 1.468643825492321e-10 5.573893918569442e-10 -4.143532921268755e-11 -6.028946489764321e-10 -1.0059400169941026e-09 5.504418598619453e-10 1.4075829065750384e-10 2.8890650806229214e-09 1.4880085162929123e-09 2.363622429489024e-08 -3.592539503537346e-08
sex 0.013353322924484018 0.05205119526579358 -0.00148533916564637 1.3353061604953061e-05 1.1676921778427796 -0.1065906750357866 0.0030366005014069047 -2.7231533886889305e-05 1.7249673232606297e-05 6.496619826207118e-06 -1.276062502610582e-05 1.5312364311089276e-05 -1.9528001004675723e-05 6.066405873022595e-05 -1.2140690215487975e-05 -1.194823828239932e-05 -8.18518638470441e-06 -1.9775393308260356e-05 3.426366662843277e-05 5.834671329887635e-05 1.3014179613092116e-05 -1.8786704720742475e-05 -2.4053861086617156e-05 -1.9829170144681255e-05 -2.2896939181070688e-05 -3.513997663085143e-05 9.636402760158196e-06 6.738782628561759e-05 0.00040360120111431554 -0.00039326928684150304 0.0020560552696941535 -0.0018474811763833092
agesex -0.0012985757725938174 -0.004819812113364822 0.0001392091337017111 -1.2649547450823657e-06 -0.10659067503577671 0.009871259550369788 -0.00028484443022122976 2.583654279428519e-06 -1.4070485521846523e-06 -2.7520136089319226e-07 1.2748141410444381e-06 -1.4718579487032366e-06 1.639690861646702e-06 -5.629236289282288e-06 1.6639145332256622e-06 1.6070581029950626e-06 1.7016527056254938e-07 1.8193889059666401e-06 -3.0242958260152283e-06 -5.498235417688194e-06 -1.8162203549580256e-06 1.2708279743983209e-06 2.1175774203313187e-06 2.370769311098142e-06 1.2248842069335233e-06 3.387578860499188e-06 -4.03575372922736e-07 -5.879260353160622e-06 -3.773647897523e-05 2.8403045278441558e-05 -0.0001575157841420904 0.00015928569112091197
age2sex 3.96440691220668e-05 0.00013913150632505894 -4.067197330036656e-06 3.7387507623513726e-08 0.0030366005014063613 -0.00028484443022120596 8.32576945050674e-06 -7.645475318815336e-08 3.6645705098381684e-08 -3.2387386404310244e-09 -4.0395060345894194e-08 4.713762934921145e-08 -4.6569499059197196e-08 1.6498107264823223e-07 -6.092730639852794e-08 -6.068966537317112e-08 1.200137217543756e-08 -4.9154525789068044e-08 7.823260398757971e-08 1.6138662050870868e-07 7.139100977096608e-08 -2.4750331053371876e-08 -5.9142636655114206e-08 -8.221609907919513e-08 -1.2049728711099928e-08 -9.980145271990796e-08 -1.5960586141588846e-09 1.59680958708378e-07 1.0824699701342415e-06 -7.63969346308703e-07 3.847479807773345e-06 -4.310025216934784e-06
age3sex -3.8451336386975446e-07 -1.2635607482459335e-06 3.7368313576955636e-08 -3.4766077960185174e-10 -2.7231533886882343e-05 2.583654279428117e-06 -7.6454753188148e-08 7.110985937281177e-10 -3.522686866990211e-10 1.523056912817507e-10 4.1088790570382155e-10 -4.660849190713532e-10 4.322241705743793e-10 -1.5381646833852412e-09 6.792747312887866e-10 6.907552133791978e-10 -2.5515689124099894e-10 4.035826286868723e-10 -6.01574293719016e-10 -1.5004027516382578e-09 -8.357222773299524e-10 1.7327760323899594e-10 4.861123944853209e-10 8.458492941211242e-10 -1.233269916815389e-10 9.076295027811188e-10 8.604446431891042e-11 -1.3693370673734612e-09 -9.724445567825147e-09 7.628276640279065e-09 -2.990874345153501e-08 3.61058171407209e-08
pcs.V3 -1.1906559550900808e-06 -5.822404445065619e-07 9.862573627473183e-09 -1.904643468581885e-11 1.7249673232641436e-05 -1.4070485521878073e-06 3.664570509846987e-08 -3.522686866997967e-10 3.3214214269191045e-06 7.681891105265901e-08 -6.469184234928872e-09 1.4678675317317106e-11 7.980182773867084e-08 6.378265024451457e-08 -9.143761670605077e-09 4.141163195966258e-08 -1.2931063226089904e-07 1.074391338196723e-07 -8.698393561098659e-08 4.262210057720804e-08 -3.0031331643452e-08 -1.1328854440600415e-09 -1.0048314552018174e-07 2.4456492993407532e-08 1.065693999970569e-08 -3.4129188818890074e-08 4.2870017389689116e-08 2.353221123589359e-08 2.654343325044742e-06 2.2344282745113232e-07 1.3923551776441532e-06 1.0052106230240496e-06
pcs.V4 3.459244637926461e-06 6.123959642088091e-07 -1.467817910684601e-09 -7.288714227602307e-11 6.496619826132113e-06 -2.752013608862865e-07 -3.238738640629256e-09 1.523056912835398e-10 7.681891105265759e-08 3.159824819096393e-06 -4.025554606100166e-09 -1.786464599110736e-08 3.120969169864665e-08 -4.55564937573091e-08 -1.070739623672237e-07 4.071961349580693e-08 1.0860392760503054e-07 -6.876559318413648e-08 7.857056675893564e-08 -4.869719635208621e-08 -1.5115189698399955e-07 5.1169712502261125e-08 8.603858660506192e-08 4.196798179401485e-08 6.755322824060692e-08 4.673428409768254e-08 5.014559864799716e-08 8.455981504299658e-08 -1.022137057509133e-06 6.518228938324433e-07 -2.0276523824984416e-06 -2.6470883728188155e-06
