 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband maternal gpm gmm
pcs.V5 9.63658920201826e-07 -8.00651527749767e-07 1.8095213891199584e-08 -1.232526374688929e-10 5.744983433817338e-06 -4.80308419981018e-07 1.1801644407634953e-08 -9.226275289368862e-11 -8.888238991126126e-08 2.8320704185697397e-09 2.5993673739250034e-06 -1.9824386275911946e-09 1.818957369006604e-08 -3.498220083297279e-08 6.041812261426677e-09 -3.0637997873632285e-08 3.739211470250714e-08 -5.540406187634973e-10 1.5371981437459325e-08 5.5487384407008785e-09 -1.4457537343651439e-08 -1.125038621645704e-08 -5.030624346475746e-08 -5.230597514959512e-08 6.818373163559034e-08 6.19046505502795e-08 8.626904756669906e-08 2.418058440465442e-08 5.410190658880714e-07 -6.694231238233668e-07 1.87597195147973e-06 -3.424696254484835e-07
pcs.V6 1.155474743466075e-06 1.5592863785902392e-06 -4.2579796102508036e-08 3.632084955903389e-10 1.4646433544716002e-05 -1.2274983864256823e-06 3.3483449088231693e-08 -2.904772949545027e-10 7.479359421513228e-09 2.5140911215297076e-08 -1.982438627591975e-09 2.5784961475957327e-06 3.6302352127636915e-09 1.4084153858956286e-08 4.483596082184349e-09 -5.0054306760244004e-08 2.7388397384280145e-08 -4.267285118437848e-08 -1.3285406385478242e-08 -5.908259627535822e-08 4.848992237038921e-10 1.5032918443042704e-08 -1.2275951071111497e-08 2.9740302169200986e-08 2.10952546861025e-08 1.1029697514477555e-08 -8.682091921563e-08 1.4443645600820119e-09 6.004235787690955e-07 -1.2494514679422008e-06 1.2674512615266477e-06 1.448898296710377e-06
pcs.V7 6.924935083712431e-07 2.5211992404636687e-08 -3.4057505724029374e-09 5.11902142791705e-11 -1.894705205815907e-05 1.5383280051751152e-06 -3.898117013759848e-08 3.052348330596377e-10 3.649167548841849e-08 3.35402174054114e-08 1.8189573690066902e-08 3.6302352127625583e-09 2.967185549283095e-06 -1.3356435219608064e-10 -2.3999250376181118e-08 -7.802451922046155e-08 3.3310865662531536e-09 -6.085011850937571e-08 -2.3329770259434596e-10 -6.865553105085731e-08 3.6409841808679354e-09 -4.502548782430002e-08 -9.258667141115013e-08 -3.5789894033330605e-08 -1.970597970301423e-08 -1.8367244184521052e-08 -2.6298288194104393e-08 -6.77020147190632e-09 -8.845872053520684e-08 -5.917077551713469e-07 -1.3581552966655158e-07 2.3152919236886667e-07
pcs.V8 -1.3731084542065238e-06 -2.9429549559617726e-07 8.750555203231792e-09 -9.194771989487765e-11 1.762214484815864e-05 -1.7102873887487555e-06 4.9436873308299145e-08 -4.2559804880361767e-10 3.562079683524786e-08 -1.3875183525538792e-08 -3.4982200832973265e-08 1.4084153858958718e-08 -1.3356435219695388e-10 2.915281834121456e-06 7.635244538489588e-08 8.08160650706865e-09 3.785648428705497e-08 1.2158009442096683e-07 -2.2824761493537823e-08 -1.2877168945226265e-07 -9.339852856009536e-09 5.705684272428661e-09 -3.859987215074335e-09 7.048310793030514e-08 7.677838369576679e-08 4.12078412357303e-08 -2.4455153697717925e-08 1.3396612968838554e-08 -1.9297975302106934e-07 -2.772378000807292e-07 -2.222271910497122e-07 2.150958474274048e-07
pcs.V9 1.920643224055327e-06 1.1739873450920304e-06 -3.120582419864273e-08 2.663920463997826e-10 -1.2163834685937637e-05 1.3605735093813451e-06 -4.328728766664127e-08 4.146816461130717e-10 5.4650019952876436e-08 -4.456693724101713e-08 6.0418122614271736e-09 4.4835960821822725e-09 -2.3999250376180635e-08 7.635244538489599e-08 2.8446742399123933e-06 1.0761911753109231e-08 2.6278081445590306e-08 -5.462008750461091e-08 -4.082711774108444e-08 -9.729224771589628e-08 -4.132904739583445e-09 -5.254085351717573e-08 2.925020882160584e-09 -2.518872556447337e-08 -3.439783410687511e-08 -2.2157452153934358e-08 -2.481887639547376e-08 4.3703768723678835e-08 2.1182901784325475e-07 -2.2137744059129988e-07 -4.5096466667369405e-07 1.3659665979670794e-07
pcs.V10 -5.336991434650919e-07 2.952979592281123e-07 -3.74327777689743e-09 3.1118467544074587e-13 -8.853620713814396e-07 1.0532547996681368e-07 -4.2020514247741495e-09 3.9331268434218824e-11 7.374647159909099e-08 -3.667484188843091e-09 -3.063799787363239e-08 -5.005430676024431e-08 -7.802451922046126e-08 8.081606507068345e-09 1.0761911753109574e-08 2.8397593648710458e-06 4.4008750888240796e-08 4.320021119667265e-08 1.6773347654330777e-08 3.790827212855861e-09 -1.9877797954804098e-08 -2.5147055699685357e-08 3.944768739067948e-08 5.025652129322183e-08 -3.136554401824888e-08 2.6037664229874253e-08 5.260281239880936e-09 1.4482279064604247e-08 4.958726229824332e-07 -2.435612763133796e-07 1.5254167431637678e-06 -5.484317970338194e-07
pcs.V11 -6.799086070559184e-07 3.019196113580555e-07 -8.680007399672985e-09 8.089632090368754e-11 -4.239057374116039e-06 1.9376272229447176e-07 1.0869104163754037e-09 -6.579098430012095e-11 -2.956748933144583e-08 -1.7603339511532525e-08 3.7392114702507036e-08 2.7388397384279036e-08 3.3310865662544486e-09 3.785648428705351e-08 2.627808144559162e-08 4.400875088824086e-08 2.861348732674707e-06 5.4488935846854384e-08 1.3002541205091447e-08 -7.928130660759783e-08 6.357223053413222e-08 -1.0012813926750348e-07 -4.0437636186299996e-09 4.5068368992619854e-08 -1.4330085591755444e-08 2.992664173426924e-08 -3.982190044654091e-08 2.292066155404428e-08 -4.7386455707023656e-08 5.901165902703509e-07 -8.236141346852476e-07 2.237526212252757e-07
pcs.V12 2.056795314779309e-07 -1.647499063896058e-06 4.062950226364698e-08 -3.0309661690578617e-10 -1.7162867750613053e-05 1.3780378357811023e-06 -3.2540558397867685e-08 2.3258048588589196e-10 3.4119401246095286e-08 -2.7755673536940825e-08 -5.540406187615548e-10 -4.2672851184376126e-08 -6.085011850937968e-08 1.2158009442097265e-07 -5.462008750461583e-08 4.32002111966721e-08 5.4488935846853186e-08 2.807800462435055e-06 -8.585563775011868e-08 -8.361137858714501e-09 -1.1943569006012835e-08 -1.572180979704365e-08 -6.709153908556013e-08 -3.032257421522321e-08 -7.263982585097358e-08 -9.979219477399298e-10 -3.32305574885996e-08 3.7915126003178563e-08 2.1122808890702728e-07 5.671477902330229e-07 -9.230654162825605e-07 -3.1588093465111e-07
pcs.V13 4.108266689128127e-07 4.364927527349096e-07 -1.3460437180124188e-08 1.2253927748002492e-10 1.029298496103302e-05 -8.603001023778022e-07 2.0488536324754957e-08 -1.4912132096163007e-10 -3.7563981123598514e-08 3.2378877782790023e-08 1.5371981437458683e-08 -1.3285406385478346e-08 -2.3329770259376094e-10 -2.282476149353919e-08 -4.0827117741083366e-08 1.6773347654331e-08 1.300254120509213e-08 -8.585563775012009e-08 2.8451677148073256e-06 -5.564611493068974e-08 4.882558693997666e-08 -2.090995311485341e-08 -5.2255993844875974e-08 -1.8835165736499273e-08 -5.0120058083309575e-08 2.6465656390680662e-08 2.4470242792379107e-08 -3.247786703800028e-08 1.0187690580773584e-07 -9.972092447718959e-07 5.205087465202447e-07 -1.8656800528154798e-07
pcs.V14 -9.447616978248361e-07 3.4794002727379765e-07 -8.47752320335888e-09 5.6481586386061806e-11 1.8720835572234786e-05 -1.678467009467426e-06 4.6062545793394484e-08 -3.9215148865651393e-10 1.9351522308180203e-08 -9.55513273808006e-08 5.548738440699803e-09 -5.908259627535737e-08 -6.865553105085658e-08 -1.2877168945226469e-07 -9.729224771589464e-08 3.7908272128562985e-09 -7.928130660759634e-08 -8.361137858718614e-09 -5.5646114930689274e-08 2.902084301022267e-06 -1.9915896086727162e-08 -1.7309154055060833e-08 -1.3889453034233086e-08 -7.286601567601011e-08 6.371529222434732e-08 -6.483712167991114e-08 -3.052278895925601e-08 9.259215957352857e-09 6.632631308694687e-07 -6.919993153270402e-07 6.614938657349379e-07 1.1612434960426327e-06
pcs.V15 -5.255999695735421e-07 -5.053188682663387e-07 1.1336257579257295e-08 -8.757623146979155e-11 2.7181537695086057e-07 -1.2469175362890986e-07 4.070626602543692e-09 -2.7722035506626287e-11 2.422176894192001e-08 -4.473267567043459e-08 -1.4457537343651318e-08 4.848992237046146e-10 3.6409841808672864e-09 -9.339852856008805e-09 -4.132904739584127e-09 -1.987779795480408e-08 6.35722305341323e-08 -1.1943569006013855e-08 4.882558693997712e-08 -1.9915896086726255e-08 2.8934974962446732e-06 -3.451263939086625e-08 -3.5916783299180716e-08 -2.5242393600320855e-09 2.3328663630712556e-08 -5.987795072425292e-08 -2.5908094045139087e-08 -2.670721326191815e-08 -1.864126017082641e-07 2.2715223307517022e-07 -1.0106272455840229e-08 6.820697911486076e-07
pcs.V16 9.733862312624237e-07 -1.4472978107896727e-07 -1.4342140271936844e-09 4.915287328604323e-11 1.8395559107578409e-06 -1.9570527437057875e-07 6.464354553455214e-09 -4.659972956173447e-11 -6.28525601313078e-09 4.51249896491484e-08 -1.1250386216456772e-08 1.5032918443043544e-08 -4.502548782430097e-08 5.705684272429613e-09 -5.254085351717647e-08 -2.514705569968538e-08 -1.0012813926750346e-07 -1.5721809797044976e-08 -2.090995311485286e-08 -1.7309154055059682e-08 -3.451263939086628e-08 2.813086123795748e-06 -1.0791660619394807e-08 -2.1696822427279836e-08 -5.157905852486778e-08 -2.62691019366171e-08 -2.99429670819222e-08 3.033801797803212e-08 -6.256074501567955e-08 -2.4892098845246648e-08 -1.1628880070968355e-06 1.332060621366557e-06
pcs.V17 1.115582718329457e-06 3.148059883822969e-07 -1.2537425379449254e-08 1.3008608755738313e-10 -1.0792017946548332e-05 7.001978044468061e-07 -1.552337391172954e-08 1.1396810778929823e-10 -3.0647056246571166e-08 4.93033038542344e-08 -5.030624346475736e-08 -1.2275951071112262e-08 -9.258667141114935e-08 -3.859987215074865e-09 2.925020882161283e-09 3.944768739067935e-08 -4.043763618630427e-09 -6.709153908555805e-08 -5.22559938448765e-08 -1.3889453034234216e-08 -3.5916783299180544e-08 -1.0791660619394415e-08 2.9206981031365725e-06 5.38713661363777e-08 6.924364138577944e-08 5.1440835512266264e-08 -7.905160515997587e-09 -8.742872153992323e-08 -3.608933132432934e-07 2.454348841493402e-07 -1.1432581666257534e-06 1.386369157603942e-06
pcs.V18 7.20943004567668e-08 1.060790506994061e-06 -2.224857037533304e-08 1.4155358509293213e-10 -2.91452508084006e-06 5.871557535251967e-07 -2.3536550232251183e-08 2.532537832059063e-10 1.3849905125228133e-08 1.2428760895434838e-08 -5.230597514959532e-08 2.974030216919894e-08 -3.578989403332924e-08 7.048310793030384e-08 -2.518872556447236e-08 5.025652129322171e-08 4.506836899261933e-08 -3.0322574215219666e-08 -1.8835165736500408e-08 -7.286601567601227e-08 -2.5242393600319023e-09 -2.1696822427279658e-08 5.3871366136377913e-08 2.813577822683614e-06 3.445530791133498e-09 -1.5379203594736792e-08 -5.077995782715278e-08 1.7617078009144505e-08 2.654946904106564e-07 -1.4079457322832522e-07 -1.3206336090606945e-06 1.1094578231114866e-06
pcs.V19 -1.498157634461537e-06 -8.991097399555968e-07 2.6243386000254152e-08 -2.3636759755603464e-10 1.1344981008142572e-05 -1.0957887123331093e-06 3.178156021164964e-08 -2.889961201897705e-10 1.429022173896737e-08 5.133655831632251e-08 6.818373163559015e-08 2.109525468610485e-08 -1.97059797030157e-08 7.67783836957678e-08 -3.439783410687598e-08 -3.136554401824867e-08 -1.4330085591754699e-08 -7.26398258509782e-08 -5.012005808330818e-08 6.371529222434958e-08 2.3328663630712136e-08 -5.157905852486836e-08 6.924364138577953e-08 3.4455307911340487e-09 2.8726852061883208e-06 3.134769715948675e-08 6.872259023937414e-08 3.796199097145783e-09 -1.5915831121680112e-07 -1.362718305510671e-06 1.4092723856939045e-06 7.216986752865582e-07
pcs.V20 3.5746497014144815e-07 -6.812611356411327e-08 -4.139799495913168e-10 2.3161079450515054e-11 7.459229219124761e-06 -8.172573149907695e-07 2.6483704056373794e-08 -2.6303003594233415e-10 3.739377483745986e-09 -1.7079083418681468e-08 6.19046505502792e-08 1.102969751447868e-08 -1.8367244184521287e-08 4.120784123573008e-08 -2.215745215393412e-08 2.6037664229874392e-08 2.992664173427001e-08 -9.979219477429163e-10 2.6465656390681367e-08 -6.48371216799102e-08 -5.987795072425337e-08 -2.6269101936617545e-08 5.144083551226654e-08 -1.537920359473606e-08 3.1347697159486096e-08 2.7721515643758154e-06 6.861262858323611e-08 5.793239042636191e-08 2.1097042583886302e-07 -8.709282302728462e-07 1.0097664969558403e-06 7.837552189208083e-07
pcs.V21 -1.8813291656906026e-06 -1.0977644659018415e-06 3.335726443056435e-08 -3.057723757328814e-10 1.0548079964998391e-05 -9.408206530967378e-07 2.6498628678528853e-08 -2.497505284158484e-10 3.297205136665932e-08 -3.1158754291668836e-08 8.626904756669919e-08 -8.682091921562749e-08 -2.6298288194106316e-08 -2.4455153697716122e-08 -2.481887639547532e-08 5.2602812398810854e-09 -3.982190044654027e-08 -3.323055748860412e-08 2.447024279238068e-08 -3.0522788959253206e-08 -2.5908094045139295e-08 -2.994296708192258e-08 -7.90516051599775e-09 -5.0779957827152824e-08 6.872259023937481e-08 6.861262858323726e-08 2.9410455844215828e-06 4.787853325148903e-08 -4.198355893709652e-07 -2.15365494911487e-07 3.8774415997657213e-07 -8.648185838656862e-07
pcs.V22 -1.840940736065538e-06 3.3165388636156025e-07 -5.534917428536471e-09 1.526123276636748e-11 2.097945989995898e-05 -1.954042915292392e-06 5.505111229180509e-08 -4.905365341342025e-10 -4.763538317393132e-09 1.7755606775571183e-08 2.4180584404653298e-08 1.4443645600833924e-09 -6.770201471905495e-09 1.3396612968836195e-08 4.3703768723680285e-08 1.4482279064604654e-08 2.2920661554046056e-08 3.791512600317305e-08 -3.247786703800006e-08 9.259215957353113e-09 -2.6707213261919237e-08 3.033801797803082e-08 -8.742872153992223e-08 1.7617078009146837e-08 3.796199097143518e-09 5.793239042636097e-08 4.787853325148581e-08 2.8728690940885784e-06 -1.7531275878891577e-07 -7.027829403466876e-07 2.819912345495771e-07 2.9948540113277764e-08
proband -4.7650301204886915e-06 1.1664289913093498e-05 -2.722671671615476e-07 1.7847315965166378e-09 -5.0145284553286047e-05 2.8788306465130477e-06 -7.511562429356665e-08 8.120557970165418e-10 1.398217245377764e-06 -9.643607475530706e-07 5.41019065888058e-07 6.004235787690514e-07 -8.845872053515673e-08 -1.9297975302113093e-07 2.118290178433099e-07 4.958726229824368e-07 -4.738645570702489e-08 2.1122808890707693e-07 1.0187690580770857e-07 6.632631308694078e-07 -1.8641260170826904e-07 -6.25607450156853e-08 -3.6089331324327554e-07 2.654946904106826e-07 -1.591583112168408e-07 2.1097042583883022e-07 -4.1983558937099696e-07 -1.753127587889867e-07 0.00021328671466359494 -0.0001061947401412525 2.7282647031056697e-05 -4.524142902669909e-05
maternal -3.534257533641562e-05 -2.0411440050175527e-05 6.271566193245904e-07 -5.420291227854565e-09 -6.146928244079858e-05 1.0465199377366034e-05 -3.304135645507106e-07 2.759712798021329e-09 -7.146894396488091e-07 1.2500039135263255e-06 -6.694231238233511e-07 -1.2494514679421682e-06 -5.917077551713969e-07 -2.772378000806614e-07 -2.213774405913623e-07 -2.435612763133835e-07 5.901165902703387e-07 5.671477902330099e-07 -9.972092447718753e-07 -6.91999315326984e-07 2.2715223307518055e-07 -2.4892098845235838e-08 2.4543488414931865e-07 -1.4079457322835987e-07 -1.3627183055106206e-06 -8.709282302728096e-07 -2.1536549491143402e-07 -7.027829403466336e-07 -0.00010619474014125297 0.0010841983507424474 -0.0008882339519981587 -0.0005589985119824857
gpm 1.3805331165897066e-05 -1.5213880609983825e-06 -4.7871224501419534e-08 4.4459032441291297e-10 -0.000240278657997777 1.2344183761582388e-05 -2.2857593876169706e-07 1.6629849497726131e-09 1.0656781111768807e-06 -1.5583528841280724e-06 1.8759719514797486e-06 1.2674512615266676e-06 -1.358155296665755e-07 -2.2222719104966805e-07 -4.5096466667372577e-07 1.5254167431637606e-06 -8.236141346852533e-07 -9.230654162825571e-07 5.20508746520254e-07 6.614938657349649e-07 -1.0106272455830807e-08 -1.1628880070968221e-06 -1.1432581666257666e-06 -1.3206336090607267e-06 1.409272385693943e-06 1.0097664969558615e-06 3.877441599766021e-07 2.819912345496236e-07 2.7282647031056386e-05 -0.0008882339519981597 0.002152512067808639 -0.0006539669344238345
gmm 6.038449755938072e-05 2.8503021440419713e-05 -8.212929015185886e-07 7.457347111389198e-09 0.0006139016882178483 -5.175700417260476e-05 1.3414507243669806e-06 -1.0955335542929566e-08 1.992091841033645e-06 -2.213002852400773e-06 -3.424696254485287e-07 1.4488982967103531e-06 2.3152919236893543e-07 2.1509584742728305e-07 1.365966597968097e-07 -5.484317970338048e-07 2.237526212253198e-07 -3.158809346511836e-07 -1.865680052815603e-07 1.1612434960425696e-06 6.820697911485758e-07 1.3320606213665176e-06 1.3863691576039866e-06 1.1094578231115753e-06 7.216986752864466e-07 7.837552189207488e-07 -8.648185838658055e-07 2.994854011320443e-08 -4.5241429026697424e-05 -0.0005589985119824856 -0.0006539669344238368 0.0017948509011439164
