(Intercept) covarage covarsex covarpcs.V3 covarpcs.V4 proband paternal gpp gmp
(Intercept) 0.0119312001465504 0.00859795354301753 4.50499796780801e-05 -0.000216097242230746 0.000554514159998127 9.22727002105713e-05 0.000155741768654655 -0.000814549051456059 -7.14637407251414e-05
covarage 0.00859795354301753 0.00853669568255375 0.000248424415607274 -0.000125141703701387 0.000443410980778244 -8.88930757433741e-05 -0.000492638022931596 0.000403992127857483 -0.00014733170004171
covarsex 4.50499796780801e-05 0.000248424415607274 0.0024378993420205 -6.4731965166996e-05 2.92989790902389e-05 -0.000112469726915077 -0.000109722753964274 -4.36385016448766e-05 -0.000100669245942871
covarpcs.V3 -0.000216097242230746 -0.000125141703701387 -6.4731965166996e-05 0.00237174311184651 0.000215323089951595 0.00019871921497239 0.000234053194454098 -0.000102005907314891 0.000173052137673245
covarpcs.V4 0.000554514159998127 0.000443410980778244 2.92989790902389e-05 0.000215323089951595 0.00203750043347472 1.82233799989385e-05 -6.15734199024288e-05 -0.00027247171120925 -0.000180828353174892
proband 9.22727002105713e-05 -8.88930757433741e-05 -0.000112469726915077 0.00019871921497239 1.82233799989385e-05 0.00504535729934588 -0.00203110214212813 -0.00055183490812094 -0.00355716657281504
paternal 0.000155741768654655 -0.000492638022931596 -0.000109722753964274 0.000234053194454098 -6.15734199024288e-05 -0.00203110214212813 0.0184942402564726 -0.0244797410319926 0.000990192272511933
gpp -0.000814549051456059 0.000403992127857483 -4.36385016448766e-05 -0.000102005907314891 -0.00027247171120925 -0.00055183490812094 -0.0244797410319926 0.0419936898824731 0.000283763298032524
gmp -7.14637407251414e-05 -0.00014733170004171 -0.000100669245942871 0.000173052137673245 -0.000180828353174892 -0.00355716657281504 0.000990192272511933 0.000283763298032524 0.010145085591208
