 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband
intercept 8.455112153666571e-05 6.545470905637383e-06 -1.7903425750448453e-07 1.733316509593806e-09 -2.437616304658319e-05 2.1951818271123564e-06 -6.188534695532842e-08 5.689222934091112e-10 1.762829484330649e-07 2.601497033046685e-07 -2.0712867134621228e-07 -1.335413024936724e-07 -4.519763167377912e-08 6.202428869450354e-08 -7.58586408644647e-08 5.510794573941216e-08 -2.722270132950862e-09 -1.0125166518093642e-07 -8.917140842073194e-08 -4.0709184977854516e-08 -2.989394213226614e-08 1.536314620436978e-08 -2.7182462788252573e-08 -2.8989296848700223e-08 2.613548524257033e-08 -7.854123924016986e-09 5.116108970727172e-08 -1.3086110617991474e-08 -5.024156631637377e-07
age 6.545470905476311e-06 0.0002518762414902604 -5.799000174921394e-06 4.142510040677514e-08 0.003153052021228364 -0.00023902445304778446 5.493488172485287e-06 -3.9171609189184127e-08 -1.5583010188086073e-08 1.7849536959495155e-07 -8.092698557664184e-08 1.8266537318236898e-07 4.3145885432620444e-08 4.478758214209787e-08 1.1214644688264856e-07 1.1346251856184284e-07 1.0120435814323091e-07 -3.075526184807656e-07 -7.885210325365843e-08 6.263188752724009e-08 -1.5477681268067855e-07 -1.5077632486055396e-07 -2.0844493510675015e-07 2.2300482207943998e-07 1.6106517887300867e-07 -1.7981216441510007e-07 1.2441160766114267e-07 3.132941714394814e-07 3.2309156520527387e-06
age2 -1.7903425750273512e-07 -5.799000174920142e-06 1.3610441040863153e-07 -9.88912829000722e-10 -7.09648809784845e-05 5.495388832096044e-06 -1.2874041340724845e-07 9.3361244387394e-10 2.4813183972872064e-09 -4.003405559333715e-09 1.1494593761304814e-09 -4.510795440941378e-09 -1.0947846480124224e-09 -1.7266650756924716e-09 -1.988488874572579e-09 -1.974826616301317e-09 -2.3281896866355645e-09 6.8025978722170114e-09 2.1273387019408654e-09 -1.2615485172579677e-09 3.326472923155523e-09 2.551492424842903e-09 3.828350442044494e-09 -4.288228864885398e-09 -4.251225102711335e-09 4.019423489111128e-09 -3.3203783186130915e-09 -7.1322049251803644e-09 -7.15991123733943e-08
age3 1.733316509592811e-09 4.1425100406759304e-08 -9.889128290005196e-10 7.303022431715982e-12 4.976736070130133e-07 -3.920135654090034e-08 9.340385793075928e-10 -6.8837945009850205e-12 -3.074857778801743e-11 3.1815965839919844e-11 -7.149162011073799e-12 3.282884704426376e-11 6.945383017404132e-12 1.6407473874560135e-11 1.0726985471975524e-11 1.0972438491717697e-11 1.8239249133986014e-11 -4.6615004698654466e-11 -1.9639389030467597e-11 7.074084930564386e-12 -2.3206128024210065e-11 -1.175001307510531e-11 -2.2345199401948486e-11 2.4662000857930703e-11 3.3600282394363075e-11 -2.764004895619509e-11 2.6513863830248423e-11 4.951661385282315e-11 4.67763227659082e-10
sex -2.437616304947824e-05 0.0031530520212266202 -7.096488097844641e-05 4.976736070127446e-07 0.10912867714270157 -0.008191562641938935 0.00018753484510610044 -1.3376774963255347e-06 -7.823158524392356e-07 -4.075831765085214e-07 4.827007877324217e-07 1.236116857402027e-06 -2.206629623460707e-06 -7.999422252316067e-07 2.275136604130866e-06 4.294871575512739e-07 -3.7896002618347855e-07 -2.7559750066938514e-06 -1.7030548037271298e-06 2.489783841439596e-06 2.2736726880139187e-07 -1.568855839114051e-06 -3.6494940949761745e-06 2.352923740975116e-06 -4.956529958529619e-07 -2.42482717880476e-06 3.6789709941699405e-06 5.284568945220365e-07 4.107729973745873e-05
agesex 2.1951818271627815e-06 -0.00023902445304747275 5.49538883208904e-06 -3.9201356540851245e-08 -0.00819156264193826 0.0006314396188299716 -1.4753391765230355e-05 1.0696321425562663e-07 1.0421770819492469e-07 4.935086726436032e-08 -3.967292100363723e-08 -6.307040849131329e-08 1.3353130860443184e-07 1.4228552651841527e-08 -9.654409774130517e-08 -1.8234209858237092e-08 2.3761906428087644e-08 2.1490423234060518e-07 1.0644551072866858e-07 -1.7745856588586786e-07 -5.7477137777227605e-08 8.690649161012666e-08 2.3982748944326695e-07 -1.000295650878346e-07 -2.5499045162225636e-08 1.9959412824075627e-07 -3.119790739531355e-07 -4.337083931166837e-08 -3.7862470428355485e-06
age2sex -6.188534696371664e-08 5.4934881724804564e-06 -1.2874041340714072e-07 9.340385793068176e-10 0.00018753484510606992 -1.4753391765229228e-05 3.5115466510581014e-07 -2.5877299792473864e-09 -3.4955918641016354e-09 -1.4516962315613667e-09 8.896026806927479e-10 1.2582043584967947e-09 -2.6894376061692464e-09 4.00047066846903e-10 1.0853344604158117e-09 -1.6128818871620808e-10 -7.819957468299076e-11 -4.704982127515411e-09 -2.613305085711519e-09 3.7236292783270777e-09 2.0529192050669425e-09 -9.002495701508894e-10 -5.179271642216381e-09 5.265496295949183e-10 1.4054888351488492e-09 -5.145545607475496e-09 7.742770842128679e-09 6.274184007984137e-10 1.0082434244405252e-07
age3sex 5.689222934108849e-10 -3.9171609189113194e-08 9.336124438723366e-10 -6.883794500973756e-12 -1.3376774963252202e-06 1.069632142556113e-07 -2.587729979247219e-09 1.9366134521153003e-11 2.974482074390503e-11 1.4068812617010826e-11 -5.16457862133404e-12 -1.0019247904759098e-11 1.911847335341678e-11 -5.685198920156124e-12 -2.0487428342870908e-12 4.145807468951637e-12 -3.5011469056591543e-12 3.1026169333298767e-11 2.0210065042162455e-11 -2.3887421892713304e-11 -1.8473299986659884e-11 -6.869562984181764e-13 3.587494949101917e-11 9.03400563142402e-12 -1.3772437921477355e-11 4.064206241327674e-11 -5.890284316880945e-11 -1.993296818242586e-12 -8.379485678863094e-10
pcs.V3 1.7628294843308735e-07 -1.5583010187871075e-08 2.4813183972822085e-09 -3.074857778798136e-11 -7.823158524341441e-07 1.0421770819453728e-07 -3.4955918640926886e-09 2.974482074384094e-11 9.347826053217413e-07 7.14952386742865e-08 -2.4671162907394476e-08 2.8289663397534664e-10 5.0651484123207505e-09 1.3385385919556179e-08 -4.155357049872668e-09 1.48997148433635e-08 9.027453668630008e-09 -3.242943119026146e-10 -6.90508063968553e-09 1.4648635902168805e-08 -2.6669253964870655e-09 -1.2612390843850323e-08 -1.2883962590461791e-08 -7.222302424976397e-09 -5.362580348677012e-09 -1.472689338266994e-08 4.506677495503191e-09 3.0250329033222853e-09 8.311883501224915e-07
pcs.V4 2.6014970330466795e-07 1.7849536959516018e-07 -4.003405559338663e-09 3.181596583995613e-11 -4.075831765028241e-07 4.9350867263908636e-08 -1.4516962315505532e-09 1.4068812616930813e-11 7.149523867428644e-08 9.88466637667705e-07 2.5946813520985687e-08 -1.6361029823777633e-09 1.548390937116517e-08 -2.2690730895802104e-08 -1.0548362324751702e-08 1.7796115048567674e-08 -1.4799815847128416e-09 -5.206217391218988e-09 1.2056796447086495e-08 -8.781522847996305e-09 -8.198162810735637e-09 1.0997825945040826e-08 1.0320107004377751e-08 7.225751936474953e-09 8.066110031323427e-09 8.946282344809078e-10 -2.061946232580111e-10 4.072846088933092e-09 -5.288040472281285e-07
