 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gmp gpm gmm
intercept 0.034964905580974426 0.012714789866397192 -0.0004105007677709771 4.213190492563122e-06 0.05633376088191529 -0.005783933147136398 0.0001881673265037007 -1.952393698121606e-06 4.576907575116493e-06 4.038022638858559e-06 -5.688439113579744e-07 -8.030272782970795e-06 3.1743196175311686e-06 -1.5651801642343225e-05 4.811169433460548e-06 7.85685102225607e-07 -2.361873718354106e-06 -2.221418866276771e-06 -2.8293018443668422e-05 -1.012319622363749e-05 -2.606975078149356e-06 -1.107211832639689e-06 7.461674608184407e-07 -1.2618195021896716e-06 8.142162625052902e-06 -2.410034018877755e-06 2.283479597152924e-05 -1.3545654330240967e-05 -8.838116536122355e-05 6.592826777079257e-05 0.00010083508436470307 -1.963931357675318e-05 -8.251960386049611e-05 2.751679168670116e-05 -5.338399659281383e-05
age 0.012714789866334009 0.00980767218632683 -0.00029562472226152086 2.8216917203785632e-06 0.09739273569356457 -0.009341892184502905 0.00028129609534532836 -2.6830222316666237e-06 3.627533111112512e-06 -2.159683949325089e-06 -7.01297568260344e-06 1.5174813544709734e-06 2.851334950831049e-07 -6.32836873610608e-07 2.8585934397543634e-06 7.107798244239557e-07 -1.0555964785723336e-07 -3.836923254647405e-06 -6.443652877141256e-06 2.597170417922162e-06 -4.88598007969324e-07 -2.276284104886263e-06 5.095654714387024e-07 -5.477146191015594e-07 7.44909254202365e-07 -3.3044364545366457e-06 3.919345416683282e-06 -1.0298778502751663e-06 -2.6986727611855182e-05 4.317532414405765e-06 6.289341885017193e-06 0.0002807279304497933 -0.00025627967860212836 2.9245934805128093e-05 -2.4899757156775666e-06
age2 -0.0004105007677692169 -0.00029562472226178003 9.010984789656265e-06 -8.692972795828862e-08 -0.002903178043738342 0.00028154271684528763 -8.571071131628824e-06 8.261347343141399e-08 -1.267845654679284e-07 9.309520770351892e-08 1.9806043943815928e-07 -3.25982468847259e-08 -8.72785751598138e-09 1.9207025019547227e-08 -6.354011132001514e-08 -4.525661742814702e-09 3.19057617561589e-09 9.737839426075144e-08 2.3855669523316484e-07 -7.329553796291939e-08 3.710425585008558e-09 5.1559488870914554e-08 -8.214518227832501e-09 4.386259427868123e-08 -3.717238008470804e-08 9.497474807126573e-08 -1.4540420214603442e-07 5.948147533154838e-08 9.794868304816301e-07 -6.328396583295089e-07 -4.2457586572788865e-07 -7.052584063162432e-06 7.3177413544860785e-06 -8.697269624117338e-07 2.0550069540221911e-07
age3 4.213190492550217e-06 2.8216917203860603e-06 -8.692972795842824e-08 8.477395931348978e-10 2.7457022551550764e-05 -2.6889135996125942e-06 8.272034438797052e-08 -8.058362578731738e-10 1.3761525420789516e-09 -1.0338322892791272e-09 -1.7784085949900808e-09 1.6439728718884866e-10 4.704252979621442e-11 -2.369874096553028e-10 4.094755723486106e-10 -4.076096982544138e-11 -1.1267165843273719e-11 -7.363942328715695e-10 -2.7213468426476396e-09 6.244066940658747e-10 5.545905065603055e-11 -4.0801013365162235e-10 9.512739670631894e-12 -6.405626682278898e-10 5.363562646120236e-10 -8.568772862288109e-10 1.718214295653436e-09 -7.999438287133174e-10 -1.0840429767021425e-08 9.583546763948534e-09 7.571096946704985e-09 5.7415331634490693e-08 -6.797678117943171e-08 8.087411028638318e-09 -4.6066990632261295e-09
sex 0.056333760879530494 0.09739273569261998 -0.002903178043708696 2.745702255125475e-05 2.079062588547561 -0.19540075311622962 0.005756769739314178 -5.363464602631113e-05 7.604233442176892e-05 -3.301804757910685e-05 -5.265060344505808e-05 5.505424264688535e-05 -8.994596033234676e-05 0.0001240201140615907 -1.8023876885522453e-05 3.1930203158736186e-05 1.3485567582395212e-05 2.012857904260646e-05 3.386425017114936e-05 0.00011645527124993236 9.745057992335122e-06 -2.1139143384595472e-05 -4.5104977253520905e-05 -9.891314293671565e-05 -6.87275368626721e-06 -1.3530478033874648e-05 2.9153742711606636e-05 6.733402224285578e-05 -0.00037999037949841335 -0.002015781525527138 -0.0005088496667568979 0.00723964043886443 -0.003589021616943485 0.0014235138273866576 0.0004934276453626913
agesex -0.005783933146830462 -0.009341892184313893 0.00028154271683966626 -2.6889135995598884e-06 -0.19540075311626331 0.018598323841794974 -0.0005541673330876282 5.21531862541208e-06 -7.5758477650269965e-06 3.644937217816137e-06 5.554965063293069e-06 -5.2155803157063115e-06 8.150763812952999e-06 -1.2298612935998912e-05 2.533155044147396e-06 -2.517659278825224e-06 -1.910357406004387e-06 -2.1143398572371073e-06 -2.0300233373344784e-06 -1.149580893477422e-05 -1.8398345761158667e-06 1.708686216265561e-06 3.841884234130075e-06 1.0476121059899155e-05 -2.812130026534992e-07 1.3467650930632914e-06 -2.607910318067666e-06 -6.0576532454402676e-06 3.1614466053229516e-05 0.00017081064246431935 5.897123614472142e-05 -0.0006351073701597369 0.000337369887908055 -0.00015588338222040417 -4.201853676443467e-05
age2sex 0.00018816732649673768 0.00028129609534249805 -8.571071131540702e-06 8.272034438709777e-08 0.00575676973931641 -0.0005541673330877455 1.6700686368412517e-05 -1.5888414128575018e-07 2.3533414541427667e-07 -1.2823186937840539e-07 -1.8040219860009352e-07 1.5723896137488147e-07 -2.3601353979242453e-07 3.7766783427299845e-07 -9.740289040610104e-08 6.126678811071627e-08 7.467346596264883e-08 7.275430739174118e-08 1.1876293963900001e-08 3.5342241787235376e-07 7.856515813172959e-08 -4.502079674326353e-08 -1.0823950311075406e-07 -3.3855340272438774e-07 3.267292882227804e-08 -4.4857320664743263e-08 7.616282997998567e-08 1.6799252465534768e-07 -9.283167256049921e-07 -4.6296493976606925e-06 -1.759927059664897e-06 1.767680926018322e-05 -1.0185035830005707e-05 4.944091869943602e-06 9.599172779524055e-07
age3sex -1.95239369805344e-06 -2.6830222316363676e-06 8.261347343047717e-08 -8.058362578639978e-10 -5.3634646026346196e-05 5.215318625414529e-06 -1.5888414128579034e-07 1.5284026626145435e-09 -2.3363639413560135e-09 1.4394312059718768e-09 1.8473525612461834e-09 -1.4841625973678242e-09 2.1845523427453003e-09 -3.634887028748634e-09 1.1395251604645149e-09 -4.760449290736859e-10 -8.45891627510862e-10 -7.988397025255702e-10 3.790330943345717e-10 -3.4072390829917154e-09 -9.444494133512026e-10 4.475486010771454e-10 9.27229238468847e-10 3.3608109458125367e-09 -5.61899735496301e-10 4.484235223693246e-10 -8.078318285822827e-10 -1.473409140083653e-09 9.130595923230045e-09 4.1345463280079196e-08 1.534910496103851e-08 -1.5839127009605902e-07 9.79086935145475e-08 -4.798621562309213e-08 -5.9098163449066005e-09
pcs.V3 4.576907575016286e-06 3.6275331110660723e-06 -1.2678456546650577e-07 1.3761525420651755e-09 7.604233442187224e-05 -7.5758477650355795e-06 2.353341454144859e-07 -2.3363639413574424e-09 4.587027324769872e-06 4.0540858758123405e-07 1.1451392438495288e-07 -3.56344681617513e-08 1.7658089652499457e-07 9.120094028961952e-08 1.442797142098306e-08 1.5613003497072856e-07 -7.466664665998146e-08 1.312321330733856e-07 -1.9861697709277804e-07 1.7388317579187152e-08 5.661164979578838e-08 6.405548875850082e-09 -2.0267700682091294e-07 1.7787526882627224e-07 5.4002172542078314e-08 9.123811144831229e-10 7.868198344896345e-08 1.639793358594638e-07 2.657528261100352e-06 4.562021558968321e-06 -1.1852383092950259e-06 -5.053490006593139e-07 -2.05017230366821e-06 3.583495038515335e-06 1.7065622491617338e-06
pcs.V4 4.038022638917921e-06 -2.159683949289062e-06 9.309520770244469e-08 -1.0338322892690259e-09 -3.3018047579127576e-05 3.6449372178173375e-06 -1.2823186937841306e-07 1.4394312059716272e-09 4.0540858758123563e-07 4.465466219002095e-06 1.798353038517621e-07 -2.2244957636096436e-08 1.60678387939571e-07 -9.808516764162807e-08 -7.255200400198547e-08 6.983151872405569e-08 1.396502817344556e-07 -9.158483180077078e-08 -1.7407224004142203e-08 -2.0737215456903056e-07 -2.1206496848826148e-07 1.4138687438407149e-07 1.4905061385467914e-07 2.112407614981467e-07 1.3072844683380339e-07 1.3696406494176064e-07 -4.2700803866053303e-08 1.3326218198290753e-07 -1.467831982508576e-07 7.842422904278877e-07 3.9634246524107696e-06 -4.960584764833868e-06 -2.068565484894126e-06 -5.801831080350514e-06 -2.8319829533283117e-06
