(Intercept) covarage covarsex covarpcs.V3 covarpcs.V4 proband paternal maternal gpp gmp gpm gmm
(Intercept) 0.0119578511128993 0.00862340260864591 5.1177452119689e-05 -0.0002141093088191 0.000558805528926755 6.23542862913163e-05 0.000454394831607364 0.000165349258823978 -0.000236189877028312 -1.1772523470349e-05 -0.00108273958041924 -0.000254866096395131
covarage 0.00862340260864591 0.00856886169894644 0.000256136255838796 -0.000125371520432819 0.000451056609509987 -0.000150783169933079 -0.000210390670453639 0.000471271843239267 0.000887433738255559 -0.000178035070625871 -0.000928795136327659 -0.000612497476492641
covarsex 5.1177452119689e-05 0.000256136255838796 0.00244115875968485 -6.45161849046603e-05 3.17561402748676e-05 -0.00014357049804693 -1.97662151951443e-05 0.000171084544040707 8.4154358689831e-05 -0.000232385698190167 -0.000263171673181242 -8.24690574895201e-05
covarpcs.V3 -0.0002141093088191 -0.000125371520432819 -6.45161849046603e-05 0.00237382354684267 0.000214843910806168 0.000201437638559131 0.000274313456434189 -7.04231792817088e-05 -1.38837040695479e-05 0.000166534525586628 -0.000163864039346396 0.000122795346606989
covarpcs.V4 0.000558805528926755 0.000451056609509987 3.17561402748676e-05 0.000214843910806168 0.00204127572093977 -1.45027250262369e-05 -6.53181551401521e-06 0.000222185668883289 -0.000219359789022538 -0.000301277336257287 -0.000124437065337008 -0.000179624640297544
proband 6.23542862913163e-05 -0.000150783169933079 -0.00014357049804693 0.000201437638559131 -1.45027250262369e-05 0.00565109434351083 -0.00264131512697733 -0.00302720694080927 -0.000595546123098958 0.000196581766903256 0.000682547324365926 -2.55601193406571e-05
paternal 0.000454394831607364 -0.000210390670453639 -1.97662151951443e-05 0.000274313456434189 -6.53181551401521e-06 -0.00264131512697733 0.022751340883216 0.00236314711031529 -0.016689512919741 -0.00047936484850039 -0.01488949686149 -0.000902298550181715
maternal 0.000165349258823978 0.000471271843239267 0.000171084544040707 -7.04231792817088e-05 0.000222185668883289 -0.00302720694080927 0.00236314711031529 0.019368518046361 -0.00104516626739398 -0.0147558489626699 -0.000738038185058327 -0.0111728518090739
gpp -0.000236189877028312 0.000887433738255559 8.4154358689831e-05 -1.38837040695479e-05 -0.000219359789022538 -0.000595546123098958 -0.016689512919741 -0.00104516626739398 0.058591457452528 0.00511408549286525 -0.0303662688313529 -0.00248260449074782
gmp -1.1772523470349e-05 -0.000178035070625871 -0.000232385698190167 0.000166534525586628 -0.000301277336257287 0.000196581766903256 -0.00047936484850039 -0.0147558489626699 0.00511408549286525 0.039784737557942 -0.00474793229639962 -0.0132605342415232
gpm -0.00108273958041924 -0.000928795136327659 -0.000263171673181242 -0.000163864039346396 -0.000124437065337008 0.000682547324365926 -0.01488949686149 -0.000738038185058327 -0.0303662688313529 -0.00474793229639962 0.056264274981795 0.00354611510615599
gmm -0.000254866096395131 -0.000612497476492641 -8.24690574895201e-05 0.000122795346606989 -0.000179624640297544 -2.55601193406571e-05 -0.000902298550181715 -0.0111728518090739 -0.00248260449074782 -0.0132605342415232 0.00354611510615599 0.0323995023183107
