 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband maternal gpm gmm
intercept 0.0023055196852682608 0.0008023663071027292 -2.4511791850426924e-05 2.3748746368963043e-07 -0.003011447027404596 0.000304512553152169 -9.625788485523631e-06 9.552204147607983e-08 -2.0705124760803333e-06 2.1586885365487923e-06 5.563497681657855e-07 7.270934534271195e-07 1.1421117888241684e-06 -7.022398638602578e-07 1.8841102279796506e-06 8.749193457058443e-08 -1.0142917885232096e-07 -1.265397615701919e-07 3.66540259987047e-08 -1.280166055452177e-06 -2.8443059206319617e-07 1.186412161453054e-06 8.677894309113175e-07 4.084852531386175e-07 -1.609093902641943e-06 -2.6500075801189817e-07 -1.0720325305522853e-06 -1.748196416696752e-06 6.321324676655034e-07 -3.569082990488552e-05 1.5742198018997544e-05 3.426715239563653e-05
age 0.0008023663070917767 0.001656674125965821 -4.5569781488708974e-05 3.9164869442606595e-07 0.017405276225171473 -0.0015464762218440693 4.246787962971649e-05 -3.6446390255024757e-07 -1.1678764713538287e-06 6.172248653829452e-07 -7.742455065381422e-07 1.3294624686896432e-06 5.708594792027147e-08 -1.804722331037282e-07 1.1819257217416285e-06 8.066709148212843e-07 3.43356936585986e-07 -1.5242804523718038e-06 6.813142693658217e-07 3.5118429688696115e-07 -5.800636757007456e-07 1.7469098529172118e-07 4.321152717407466e-07 7.857272277395748e-07 -1.3498551243852389e-06 1.256062535782861e-07 -1.095941654942753e-06 2.6770619589523587e-07 1.1362187414889378e-05 -1.4778530666997956e-05 -1.3248814563889504e-05 2.4197623449510207e-05
age2 -2.451179185010541e-05 -4.556978148865346e-05 1.2698715379605278e-06 -1.1045899037294245e-08 -0.00047100667979881094 4.240987453619691e-05 -1.1796436078137678e-06 1.0244346094556305e-08 3.339011015637742e-08 -1.3677072040965722e-08 1.7600049050463872e-08 -3.7017180296390544e-08 -3.5389751540161743e-09 4.107139418922775e-09 -3.168863676542337e-08 -1.881742863468354e-08 -1.010516782014663e-08 3.7335703728446236e-08 -1.9977731465720313e-08 -8.129861098319352e-09 1.356691750635449e-08 -1.0365070038524658e-08 -1.3864507158477157e-08 -1.4528250553732392e-08 3.8721422005881494e-08 -4.388512632548728e-09 3.289516841890418e-08 -4.365464080912591e-09 -2.692119850120181e-07 4.7277643150890264e-07 2.7268069178650863e-07 -6.771068710639847e-07
age3 2.3748746368706347e-07 3.9164869442584943e-07 -1.104589903730032e-08 9.725730902722489e-11 3.9920869007481204e-06 -3.6352234504506146e-07 1.0232187616430597e-08 -8.992832590605879e-11 -2.937053072274373e-10 1.1107498424373704e-10 -1.234111776526391e-10 3.203434683394332e-10 4.527034145447489e-11 -3.6780904759878076e-11 2.657715323238206e-10 1.4067358130774074e-10 9.458505349791545e-11 -2.774186776805206e-10 1.7166851283538398e-10 5.0439259403856666e-11 -1.039095667500803e-10 1.280161788178339e-10 1.2935706029584486e-10 7.553636848161075e-11 -3.461524974729319e-10 4.398235556846038e-11 -2.984989001232488e-10 1.0533906518516887e-11 1.834026082175895e-09 -4.238257267421983e-09 -1.978239069564213e-09 5.850881867117458e-09
sex -0.003011447027650993 0.01740527622493537 -0.0004710066797921837 3.992086900690015e-06 0.5134270791475082 -0.045440596898504604 0.001247996223964353 -1.074760260502045e-05 -5.431805603024373e-07 4.970151583093748e-08 4.119468386697382e-06 1.2134159271402429e-05 -2.2537696068340307e-05 2.0017030719198705e-05 -1.2486005894131195e-05 5.573097630494872e-06 -5.392765707333925e-06 -1.4419505902545962e-05 1.060764201814368e-05 2.0251092699133214e-05 -8.879704761087e-07 3.453713359417666e-06 -8.918709081128109e-06 -4.6991087960113085e-06 1.5649022795251578e-06 1.0915588129722211e-05 3.2794803592694294e-06 2.0363258937614333e-05 -7.42799726529654e-05 -7.369757772873875e-05 -0.00016689409403484526 0.0005925685228442515
agesex 0.0003045125531769544 -0.0015464762218190076 4.24098745354955e-05 -3.6352234503893117e-07 -0.045440596898500316 0.0040843126693337175 -0.00011365777586666224 9.89812403978151e-07 5.5360627691045086e-08 -8.053871393131717e-09 -3.5632906270516043e-07 -1.0376799381107183e-06 1.914415371977314e-06 -1.966522945656156e-06 1.4304655346261427e-06 -4.398846211291136e-07 3.6764691462616785e-07 1.1322481261336813e-06 -9.810052321574862e-07 -1.889593109064997e-06 -2.9209802097646403e-08 -3.818349861745267e-07 5.963558715416278e-07 8.4188481296557e-07 -2.818531280121008e-07 -1.113026635103333e-06 -2.478351574693325e-07 -1.8952663205921663e-06 5.604645902566248e-06 1.041567976478275e-05 5.4881237773772695e-06 -4.8867508872267835e-05
age2sex -9.625788486174229e-06 4.24678796290271e-05 -1.1796436077945446e-06 1.0232187616263251e-08 0.001247996223964088 -0.00011365777586664919 3.2035437826571943e-06 -2.8230092771047347e-08 -7.648686613022693e-10 1.3458190554682982e-10 9.042757921936683e-09 2.9288157275864236e-08 -5.172282385931225e-08 5.6883951064116274e-08 -4.707192688816013e-08 1.0575137084279678e-08 -5.877961117502562e-09 -2.5411360707845536e-08 2.5417218903782793e-08 5.411508235427289e-08 1.707956572177333e-09 1.2758320432310039e-08 -1.3962717943556934e-08 -3.3293024888981917e-08 1.0162052783225431e-08 3.4153261095503576e-08 5.508315674422184e-09 5.405555877813233e-08 -1.6492506205718096e-07 -3.0844110959921215e-07 -1.2862251848278432e-08 1.2288651851252743e-06
age3sex 9.552204148198323e-08 -3.644639025437268e-07 1.024434609437512e-08 -8.992832590448673e-11 -1.074760260501672e-05 9.898124039779085e-07 -2.823009277104375e-08 2.5172906703702505e-10 -1.5242452006884202e-11 1.1114849334780079e-11 -7.16165516405852e-11 -2.638751687743051e-10 4.4184750651019975e-10 -4.907609371879204e-10 4.726156421751697e-10 -8.90798771619244e-11 1.3689506996308595e-11 1.6598081873519575e-10 -2.0055632272331298e-10 -4.783795909016587e-10 -1.0395523219390354e-11 -1.0790219032210379e-10 1.0560913040088044e-10 3.576360520877958e-10 -1.0530364220841212e-10 -3.243178371854731e-10 -4.542038525188115e-11 -4.90060255914019e-10 1.694870548758686e-09 2.5036043400750148e-09 -5.444785510879443e-10 -9.728420389525636e-09
pcs.V3 -2.070512476077616e-06 -1.1678764713661217e-06 3.339011015671759e-08 -2.937053072303771e-10 -5.431805606708303e-07 5.53606277244013e-08 -7.648686622371756e-10 -1.5242451998689663e-11 2.025186968308702e-06 7.528126385269848e-08 -5.773878581629655e-08 1.4517883798270833e-08 3.1430313534861755e-08 3.599778966293545e-08 3.9084231639028534e-08 6.478658183833811e-08 -1.992065507249928e-08 2.6997381839566242e-08 -3.5013908027226354e-08 6.7681722484458824e-09 1.7803281257744285e-08 -7.49895486332963e-09 -3.7991976318326886e-08 2.4142025192798883e-08 5.589184359944555e-09 -1.1686187437863016e-08 2.7940538779521533e-08 -9.604172359665333e-10 1.3304278491326425e-06 -7.056223115761125e-07 8.806898412368829e-07 1.4105747776177648e-06
pcs.V4 2.158688536548973e-06 6.172248653886141e-07 -1.3677072041123701e-08 1.1107498424511438e-10 4.970151598130559e-08 -8.053871406725687e-09 1.3458190592716648e-10 1.1114849331453866e-11 7.528126385269772e-08 2.0249236959860607e-06 3.0466393064682585e-08 1.12954446102832e-08 2.508270731144409e-08 -1.6906628117391955e-08 -4.146576451309281e-08 1.5316593761403697e-08 -4.1442000863810385e-09 -2.1828645799236197e-08 3.96288104496925e-08 -7.300112728640847e-08 -5.0469886511155735e-08 3.881595238590106e-08 4.7713909442157366e-08 8.249547561583195e-09 4.4850217823054054e-08 -4.0879620887031185e-09 -1.4298891177240415e-08 6.88663507125721e-09 -8.05975598771003e-07 9.892659279509994e-07 -1.0067938789580257e-06 -1.9448140274728843e-06
