 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
intercept 0.00032005119497805303 -0.0004443208390054253 8.291557917773752e-06 -4.949395372367746e-08 0.0019867000906245154 -0.00012825752190303048 2.648204943292703e-06 -1.754964378454621e-08 -1.9832952721224614e-07 9.689189461600486e-07 -2.9520427128235576e-07 4.9295326319421806e-08 -6.589800222707548e-08 -8.621882484122974e-08 3.009673075779717e-07 4.830769455329189e-07 -3.373029087281665e-08 -2.2815546171921814e-07 -5.835188872269444e-07 6.767285622432036e-08 -1.9007037846890024e-07 2.477128018336278e-07 -7.029552132580366e-08 1.2835092565272878e-07 -6.926321601987519e-07 -6.03097279391476e-08 1.9211529047001794e-08 -2.883754749467628e-07 -1.066563652180864e-05 2.197034923615786e-05 1.8485405735461036e-06
age -0.0004443208390052303 0.0021555728247693584 -4.193497772715269e-05 2.6226330736475584e-07 0.0330720707850017 -0.002006527822083526 3.899744710717407e-05 -2.437673534230827e-07 1.0951896242755063e-06 -7.556381184851287e-07 2.632084492743776e-07 -5.851296458977984e-07 -4.791889155484493e-08 2.2154039186806986e-07 8.482953219562484e-08 -3.7924610017758676e-07 5.241980139791263e-07 4.5550228856671206e-07 4.6320660262713344e-07 -2.977668929581893e-07 5.813899453620087e-07 -4.473903139152806e-07 -1.2802310045098961e-06 -2.061604708408501e-07 2.170686826360108e-06 -8.517468446999305e-09 1.3900081645120128e-07 6.609454414695215e-07 -1.1502798812666006e-06 -2.6507404396452563e-06 7.102309803422734e-06
age2 8.291557917731895e-06 -4.193497772709388e-05 8.231949916110166e-07 -5.19455332612025e-09 -0.0006370124489812451 3.8994273212094787e-05 -7.647332030540695e-07 4.8229853098176585e-09 -1.8507128388863733e-08 1.3523172331125261e-08 -5.724999126573862e-09 9.811948987263077e-09 -2.214642730456602e-10 -6.218657630933494e-09 -1.554481508867637e-09 7.552195223510089e-09 -1.0472299784511977e-08 -7.66361431499479e-09 -7.742937146009435e-09 6.5828599116020734e-09 -1.0414592396155213e-08 7.561665256346257e-09 2.382379548998824e-08 4.0233122678653635e-09 -4.3291477599998174e-08 8.644068987051285e-10 -4.572166425304378e-09 -1.2894377327592284e-08 5.868191814164813e-09 1.9974150057922812e-08 -1.2079275948126434e-07
age3 -4.9493953723310234e-08 2.622633073642669e-07 -5.194553326117925e-09 3.3084762280098664e-11 3.9480984512503625e-06 -2.4372711421905906e-07 4.8228121363391305e-09 -3.06984302642618e-11 9.59699956934351e-11 -7.331415382465584e-11 3.5606681399509033e-11 -5.373872420248226e-11 5.457839168038315e-12 5.128490918444282e-11 8.63175878821719e-12 -4.856121141602311e-11 6.930959233245021e-11 4.156895227721022e-11 3.734583029365111e-11 -4.743366309608425e-11 5.980509912853994e-11 -3.7781210423261e-11 -1.4257328480119653e-10 -2.7382885367090437e-11 2.778504251068215e-10 -8.41358928045421e-12 3.988752734197055e-11 7.911430825890986e-11 3.102176549185989e-11 8.613611167123133e-12 6.707270176330687e-10
sex 0.0019867000907133605 0.03307207078479106 -0.0006370124489772778 3.9480984512264085e-06 1.5166580560924796 -0.09259924794013584 0.0018132409586719494 -1.1436390029647255e-05 -2.0725460008904102e-05 1.7153653651921133e-05 5.3297735931595594e-06 -2.0827316071927287e-05 -8.300579137947322e-06 -2.1504193180967997e-05 4.1976559393973e-05 1.4275001160180535e-05 8.035525686309096e-06 2.3276545152115302e-05 -1.4775694660987568e-05 -7.476751959482305e-06 1.4814906706008329e-05 6.898912636020377e-06 -4.558285449808561e-05 6.418097964962536e-06 5.661330111672476e-06 1.5917198788111487e-05 -1.8526040297270102e-06 -8.47431012433885e-06 4.543426242582351e-05 0.000268073146868829 -0.00028613890522833285
agesex -0.0001282575219030506 -0.002006527822078635 3.89942732120036e-05 -2.437271142185136e-07 -0.09259924794012152 0.0057056303361761145 -0.00011269634010421041 7.165791735373729e-07 1.3656756051162216e-06 -9.611970052032124e-07 -2.959508500525384e-07 1.2814235009700823e-06 4.609424403660024e-07 1.2790324174159354e-06 -2.5044379040752635e-06 -8.73672704265536e-07 -4.5941610035361053e-07 -1.3906562167044535e-06 9.102445148334671e-07 5.644208024948404e-07 -9.047866446006375e-07 -4.970229047166029e-07 2.7621588960221884e-06 -3.388858294394595e-07 -3.947650020847729e-07 -8.473721357282295e-07 -1.0026155086084182e-07 5.828689451541995e-07 -3.946747218400165e-06 -1.732033476425235e-05 1.5759907786598587e-05
age2sex 2.648204943402724e-06 3.899744710686243e-05 -7.647332030481961e-07 4.822812136303629e-09 0.0018132409586713713 -0.00011269634010419223 2.245426075824445e-06 -1.439972094769705e-08 -2.915445498807299e-08 1.7347568788129802e-08 5.1813362728511505e-09 -2.4927253642359542e-08 -8.490304702379185e-09 -2.4190797200935617e-08 4.8288262325438925e-08 1.669658677254568e-08 9.030743196633233e-09 2.6922327845157665e-08 -1.866992203270551e-08 -1.2985126598456138e-08 1.803521019237028e-08 1.1873565824170308e-08 -5.403147949426135e-08 4.777237490690674e-09 8.750698318894122e-09 1.4026027606613655e-08 5.8390938480387915e-09 -1.3058711411813815e-08 1.0701558410175982e-07 3.478622000582359e-07 -2.770860203929816e-07
age3sex -1.754964378469543e-08 -2.43767353422177e-07 4.822985309799783e-09 -3.0698430264148535e-11 -1.143639002964165e-05 7.165791735371392e-07 -1.4399720947694722e-08 9.314916264115535e-11 1.9682334988661135e-10 -9.866632464929238e-11 -2.7658472871644952e-11 1.534979577539546e-10 5.4122386771731146e-11 1.4832744731772056e-10 -3.017431356466879e-10 -1.0369749616141397e-10 -5.952376571430607e-11 -1.6886050059186839e-10 1.232783116890568e-10 9.316141890334295e-11 -1.1599529006662216e-10 -8.940377412054222e-11 3.418961600856076e-10 -1.4123414532907274e-11 -6.182909505888025e-11 -7.313383465851264e-11 -5.963758694671877e-11 9.238462917706129e-11 -9.154390178363977e-10 -2.2017127105086963e-09 1.5303626304913873e-09
pcs.V3 -1.9832952721116262e-07 1.0951896242796477e-06 -1.8507128388943308e-08 9.596999569392743e-11 -2.07254600087269e-05 1.3656756051054705e-06 -2.9154454987863997e-08 1.968233498853042e-10 1.4805443997046836e-06 1.0926021451637811e-07 -3.108746322413752e-08 -4.5581616393385e-09 -4.270446725185666e-09 3.2506205539276274e-08 -2.6964572450956787e-08 1.6032788207574834e-08 1.2476195572316404e-08 -2.1261589423201457e-08 -8.64856279959878e-09 2.8798571223339782e-08 7.0856937720713515e-09 -1.6858143067533864e-08 -1.5415769945044936e-08 -2.3925277263465237e-08 -2.0350505226926035e-08 -3.260855116888549e-08 1.5882640487103182e-08 -3.2422647125778617e-09 2.564050521785762e-07 1.205532669222301e-06 7.464391507509901e-07
pcs.V4 9.68918946160929e-07 -7.556381184923969e-07 1.3523172331263925e-08 -7.331415382550577e-11 1.715365365168508e-05 -9.611970051888973e-07 1.734756878785165e-08 -9.866632464755093e-11 1.0926021451638025e-07 1.5676886844702217e-06 5.229084220860069e-08 1.0863847428796551e-08 1.1543733537826652e-08 -3.7865876984391744e-08 -6.649304027563101e-09 3.5623405427411264e-08 -3.897087074578937e-09 -7.421460999698968e-09 9.230769072668163e-09 4.4739063316887904e-09 -8.605956723311398e-09 2.0801618003383542e-09 6.6251072100368474e-09 8.90331728987563e-09 2.217491284341132e-08 9.962165589914585e-09 -5.7572060715769444e-09 -1.8146201173298093e-09 -6.618641564484347e-08 -7.543166005072809e-07 -6.594265103438537e-07
