 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gmp gpm gmm
intercept 0.025874034144344797 0.00981043281584928 -0.0003154677885629935 3.223254299688414e-06 0.047129884734003646 -0.00481038089324665 0.00015538311941015083 -1.6001425345933047e-06 1.8325045123619652e-06 3.2595923674247375e-06 1.5331032567623256e-06 -6.649513755156044e-06 1.983876302346716e-06 -1.5126569319107707e-05 3.218566693356305e-06 -5.667692825149076e-07 -3.376363782941951e-06 -1.4760138075373284e-06 -1.9533619477483295e-05 -5.153691863168777e-06 -4.214746653395306e-06 -1.5292099189319434e-06 9.016883697547914e-07 2.6138986962031383e-08 5.44019558963804e-06 -1.1475116849166153e-06 1.4957567362250278e-05 -8.84838599527623e-06 -8.067526787879129e-05 3.6932229828817976e-05 0.00011367962760778552 -3.112850055228645e-05 -1.7115330650819453e-05 4.7899633787056294e-05 -0.00010826875824444321
age 0.00981043281585384 0.007683697319286509 -0.0002308077900105543 2.195137625616264e-06 0.0752044926398173 -0.007188018525954829 0.00021564223908159056 -2.049336826144896e-06 2.2663284768128253e-06 -1.513850050555824e-06 -4.9523980720585715e-06 1.402086220707488e-07 -7.558962043426456e-08 -2.177302209081229e-06 1.3653374017096822e-06 -5.814424781242247e-07 -5.24608193742572e-07 -1.9929287931493905e-06 -5.898325118561239e-06 1.787648227682716e-06 -4.11253931369528e-07 -2.533765540017495e-06 1.4518727843262163e-06 -1.1164488486793859e-07 3.2761480620600267e-07 -4.295646720515669e-06 2.6268147999044097e-06 -7.244138507900497e-07 -2.0719037255176472e-05 1.668378076213415e-05 2.8983496479688297e-05 0.00021434180672982435 -0.00020289447648863944 1.0970022305798318e-05 -2.5781116818598126e-05
age2 -0.0003154677885628584 -0.0002308077900101242 7.010897258689825e-06 -6.738857641861084e-08 -0.00223594756895083 0.00021607772691104244 -6.553768423081915e-06 6.293772990095414e-08 -8.621187125282265e-08 7.03343375762116e-08 1.3968396830488208e-07 4.590209255652435e-09 -2.0424354587696403e-09 6.76042648060685e-08 -2.774372785738783e-08 2.7269927691037035e-08 1.7331595181294283e-08 4.9578077571603155e-08 2.0552618182074656e-07 -5.1893512089301894e-08 7.943004139691008e-09 6.408652337528034e-08 -3.5108410299176706e-08 1.883278126219681e-08 -2.309745204015394e-08 1.1569339929038201e-07 -1.0238854244145597e-07 3.875970660350378e-08 7.811434521830495e-07 -8.115481066170341e-07 -1.008612970740794e-06 -5.496150660057398e-06 5.796164203839992e-06 -5.334946906040396e-07 1.0071400158359875e-06
age3 3.2232542996906694e-06 2.1951376256171228e-06 -6.738857641874105e-08 6.547203237988927e-10 2.109608074948645e-05 -2.0587691984754218e-06 6.309777727898807e-08 -6.123798071644698e-10 9.758856888742166e-10 -8.100861622500942e-10 -1.2509219332226936e-09 -1.4745124703526568e-10 2.685068357438246e-11 -7.040555419093978e-10 1.5153585457303658e-10 -2.94753528812421e-10 -1.6576132167069263e-10 -3.52755300681402e-10 -2.2377210253411735e-09 4.6370888679156804e-10 -4.089449822486961e-11 -5.556020415041626e-10 2.613707307883008e-10 -3.0683149105412354e-10 3.6523034588855754e-10 -9.805238142649067e-10 1.245216274124114e-09 -5.102661584418403e-10 -8.955295418056616e-09 1.0071046375054211e-08 1.2238716617019451e-08 4.608097676072682e-08 -5.436196900512292e-08 6.56291826352982e-09 -1.2966842293929337e-08
sex 0.04712988473419398 0.0752044926398218 -0.00223594756895166 2.1096080749500866e-05 1.561410011227101 -0.1463003916760143 0.004295932814260996 -3.98857087846254e-05 6.24948362928212e-05 -4.597185045494171e-05 -3.8144077612295543e-05 1.618633881616184e-05 -5.690303314687662e-05 9.719106777441065e-05 -1.7729819474222268e-05 1.1324454444039695e-05 -1.8392220026321287e-06 3.245718082436209e-05 1.689492681972625e-06 7.606710618577089e-05 3.074674405778526e-05 -3.748939454860255e-05 -1.5157103909617871e-05 -6.220697259976356e-05 3.0640475030060756e-06 -2.3108635220879227e-05 3.150370387498963e-05 3.9242514745509544e-05 -0.0002487112536153419 -0.0009691911558060486 -0.0003373343531810504 0.005699096294636914 -0.003483759697524671 0.000759761711586331 0.0005202152860308256
agesex -0.004810380893253555 -0.007188018525939689 0.00021607772691067996 -2.0587691984729023e-06 -0.1463003916759892 0.013883965892016552 -0.00041234551329085117 3.867228875626011e-06 -6.316590054224175e-06 4.983564341093091e-06 4.278897972684752e-06 -1.6357802758120854e-06 4.92882235456347e-06 -9.470097200429421e-06 2.1659690387409876e-06 -7.77924296071982e-07 -3.8487976364194057e-07 -3.0707031487931867e-06 6.818058530249125e-07 -7.413492516404205e-06 -3.49352930196164e-06 3.3138047587946033e-06 1.1981065363081226e-06 6.544409069640714e-06 -1.0020527114061595e-06 2.1485336941626997e-06 -3.076054224536348e-06 -3.5825239475470153e-06 2.2738443037729927e-05 8.191792050771348e-05 4.264099824401447e-05 -0.0005179884209584151 0.0003331940160079891 -0.00010558322923523332 -3.4519974529695717e-05
age2sex 0.0001553831194100252 0.00021564223908067837 -6.553768423058067e-06 6.309777727879822e-08 0.00429593281425952 -0.000412345513290782 1.2386216129200458e-05 -1.1742929092079908e-07 1.9765414511235408e-07 -1.685660507109273e-07 -1.4622400102904323e-07 5.320881514712327e-08 -1.3828311218691664e-07 2.8630179317101135e-07 -7.71089925479517e-08 1.6263876889781505e-08 2.8559693704336884e-08 9.54656062419527e-08 -5.2864385143967546e-08 2.266173342517268e-07 1.1711948103081964e-07 -9.237643164725706e-08 -3.225568774753914e-08 -2.1219474179685404e-07 4.769421389807337e-08 -6.502341609009707e-08 9.69991387434145e-08 1.0008573068021284e-07 -7.346392759611246e-07 -2.1888954898051446e-06 -1.2670576565938851e-06 1.4901668969257698e-05 -1.0210604772323667e-05 3.7421970320991966e-06 4.933487544893768e-07
age3sex -1.6001425345954765e-06 -2.0493368261408353e-06 6.293772990085387e-08 -6.123798071637443e-10 -3.988570878460501e-05 3.867228875624742e-06 -1.1742929092078064e-07 1.1256649630908966e-09 -1.974309548477933e-09 1.7727347192372976e-09 1.5553492066484679e-09 -5.26778432459871e-10 1.2500163296084619e-09 -2.7114497776771226e-09 8.53986435984374e-10 -1.1397082687267589e-10 -4.0939124961477015e-10 -9.628448273524266e-10 8.245425684988715e-10 -2.1747031700271578e-09 -1.2077077318621614e-09 8.63974228245056e-10 2.3707070026936455e-10 2.1219978570721056e-09 -6.244490993308644e-10 6.166180304291977e-10 -1.0417656571916026e-09 -8.866189968046669e-10 7.767174921424718e-09 1.940480867815734e-08 1.0563415676290069e-08 -1.3767098912949353e-07 9.979776766092215e-08 -3.8922765127500864e-08 5.361900249299052e-10
pcs.V3 1.832504512358566e-06 2.2663284767998547e-06 -8.621187125247033e-08 9.75885688871246e-10 6.249483629271685e-05 -6.316590054215135e-06 1.9765414511211045e-07 -1.974309548475867e-09 3.616437327357927e-06 1.0629310207378612e-07 -1.1372581607435218e-08 -1.1485413742864254e-08 1.291034556285602e-07 9.272686404920149e-08 -7.718434773638414e-09 1.0666422007449046e-07 -8.800647266304889e-08 1.1126922576375338e-07 -1.1280419895996723e-07 -1.811376049298358e-08 2.5517418450131794e-08 -2.4382009800016315e-08 -1.4094930010680893e-07 4.7850087821163396e-08 4.3466318685708186e-08 -1.0441314763248485e-08 1.0015817974743864e-07 5.8721146086043784e-08 1.5672140745659578e-06 4.253565018629013e-06 -1.127217070453556e-06 -1.5191143401457125e-06 -5.049633861499382e-07 3.141440241944155e-06 1.4774064995824307e-06
pcs.V4 3.2595923674355003e-06 -1.5138500505388645e-06 7.033433757574889e-08 -8.100861622461879e-10 -4.597185045493914e-05 4.983564341093537e-06 -1.6856605071096001e-07 1.7727347192377713e-09 1.0629310207378217e-07 3.452219951755367e-06 3.112863881676092e-08 1.512939310958968e-08 7.51230135209671e-08 -3.8342528465130894e-08 -8.265379531925028e-08 -4.2463945577425475e-09 9.369848765124322e-08 -2.6307395124322376e-08 3.4227034061219065e-08 -1.6787414397983612e-07 -1.6244478443060366e-07 5.6172946606505685e-08 1.4172935112499653e-07 7.455855664785198e-08 1.1890480198627534e-07 5.8053289252369655e-08 -4.902884481986057e-08 -8.140817789974195e-09 -5.32341970396621e-07 -2.208774678169143e-08 3.4532858960021757e-06 -3.701173794631266e-06 -9.227279124635218e-07 -5.553311144242313e-06 -1.9243544899694548e-06
