 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband maternal gpm gmm
intercept 0.0028994983927360402 0.0010173171158287882 -3.105768040064654e-05 3.006116576299857e-07 -0.003611129277705496 0.00036652758793430157 -1.1630678170958178e-05 1.1587458703302143e-07 -2.621087196131981e-06 2.6068348564260982e-06 7.390758113612531e-07 6.742574079311373e-07 1.6303155317200161e-06 -8.534453230162304e-07 2.4515196716595698e-06 -4.2352483944738085e-08 -4.78343665217629e-08 1.6774408448808636e-07 1.726054754497349e-07 -1.8743078605123037e-06 1.6975994173070033e-07 1.4096198944346371e-06 1.3254854142175552e-06 4.702852241735361e-07 -1.875638026119731e-06 -3.054263139319294e-07 -1.1850546972995765e-06 -2.202741182328199e-06 -6.420343566215437e-07 -4.381031948551183e-05 1.4481427014885137e-05 4.855713659097033e-05
age 0.0010173171158272354 0.0020658699780185526 -5.684105328895929e-05 4.888248668114182e-07 0.02152462067641879 -0.0019128831483480708 5.254962376566514e-05 -4.5129184593410495e-07 -1.810491491903096e-06 6.921174735450558e-07 -9.648807064770165e-07 1.803188817943819e-06 8.893134635010347e-08 -2.0034827054796635e-07 1.6112579578562698e-06 1.141927912541659e-06 5.060481956901269e-07 -1.7106331224877689e-06 7.806909961896244e-07 4.824257662182242e-07 -5.340176199790128e-07 -1.4706511480294459e-08 5.234031692288139e-07 8.527848038318943e-07 -1.4978775804447748e-06 4.829093491045537e-07 -1.060738176607108e-06 3.9347678778832805e-07 1.2330031773561987e-05 -2.2495433403132492e-05 -6.684329406705385e-06 3.218330651356984e-05
age2 -3.105768040061815e-05 -5.684105328901163e-05 1.5842540404116633e-06 -1.3787966872663168e-08 -0.0005822862801329027 5.243987607341745e-05 -1.4591430644899172e-06 1.2679652809437911e-08 5.122071007914384e-08 -1.4592785005032394e-08 2.2267471231294603e-08 -4.9032909515184094e-08 -5.437756591936955e-09 3.773094742766512e-09 -4.3330841264015635e-08 -2.589355121734638e-08 -1.436360249580688e-08 4.172927760473781e-08 -2.3656089103514463e-08 -1.1648303532099629e-08 1.0862060680345913e-08 -6.9465485685253535e-09 -1.816240387734365e-08 -1.426597885497986e-08 4.302598867266124e-08 -1.3866573988994366e-08 3.310707076290439e-08 -6.849953368866594e-09 -2.7857638420364044e-07 6.954921690227541e-07 9.145945907934083e-08 -9.133163265102961e-07
age3 3.006116576296585e-07 4.888248668114986e-07 -1.3787966872653689e-08 1.2145351201839817e-10 4.935214925487041e-06 -4.494826976830123e-07 1.2655718423450142e-08 -1.1129194630442593e-10 -4.470043885279939e-10 1.1615610139569633e-10 -1.57573507829795e-10 4.166833777443277e-10 7.09061157669447e-11 -3.1278614680541144e-11 3.6618728608508235e-10 1.8574634079121804e-10 1.3003062019408497e-10 -3.077255626416126e-10 2.0853762024694273e-10 7.827762801835783e-11 -7.067410652293603e-11 1.1271826085546557e-10 1.7963830727786517e-10 5.7892547663256495e-11 -3.8568947997525355e-10 1.2266359019064746e-10 -3.092459662193056e-10 2.481550566250221e-11 1.7591546704054604e-09 -6.116335532274431e-09 -5.325904061994964e-10 7.984285094703998e-09
sex -0.0036111292777537317 0.021524620676358436 -0.0005822862801313315 4.93521492547427e-06 0.6366624540976488 -0.05632713557025463 0.001546308013570017 -1.3311201486930234e-05 -6.367051181113565e-06 5.640409865970578e-06 5.18989620971787e-06 2.1335953484942193e-05 -3.391724242868736e-05 2.3371228569360477e-05 -1.5295630915194775e-05 1.1119779636935563e-05 -2.9855181511036297e-06 -1.8157933783663266e-05 9.749231137481714e-06 2.759248856878797e-05 -3.1388046708118024e-06 5.71782915751543e-06 -1.1328887027550638e-05 -1.0186989920780254e-05 6.572113900519222e-06 1.6182415366081362e-05 1.1062687053678353e-05 2.993339280138447e-05 -0.00014565401951690464 -7.621343132731102e-05 -5.602542799154437e-05 0.0006521907025390377
agesex 0.00036652758794032236 -0.0019128831483387213 5.243987607316928e-05 -4.494826976809607e-07 -0.05632713557024818 0.00506117118184157 -0.00014078551276262502 1.2256065485358798e-06 5.300221016977738e-07 -5.511691789872103e-07 -4.879018623001055e-07 -1.8508634677408113e-06 2.871012838884671e-06 -2.3337705383039824e-06 1.757009411728209e-06 -8.714091531994093e-07 1.4497829018355186e-07 1.452230097916162e-06 -9.180896417526618e-07 -2.591571137502602e-06 1.438062161319542e-07 -6.019356009604089e-07 7.039200460904936e-07 1.4238176916573034e-06 -7.769734828414107e-07 -1.63509711821637e-06 -8.90951735301687e-07 -2.8303896401473047e-06 1.1621148503049797e-05 1.1927722902545824e-05 -5.93066521919719e-06 -5.458879088669084e-05
age2sex -1.1630678171069998e-05 5.254962376543366e-05 -1.4591430644838507e-06 1.2655718423400814e-08 0.0015463080135696514 -0.00014078551276260827 3.96680173988476e-06 -3.494501137751286e-08 -1.2677776304590084e-08 1.6187451858680546e-08 1.3599350961325926e-08 5.2225034638370044e-08 -7.634798963875454e-08 6.778825591770968e-08 -5.737647133882366e-08 2.082247275424563e-08 3.876829323183308e-10 -3.411750579573821e-08 2.335641191864763e-08 7.58220006939285e-08 -3.1248307982143546e-09 1.9223126050223548e-08 -1.4897834516418922e-08 -5.2009786595751814e-08 2.4085321188405558e-08 4.9686007640628724e-08 2.128176037107172e-08 8.166952217249487e-08 -3.334296481606825e-07 -3.59964900763825e-07 3.2497691031058115e-07 1.3778451379722783e-06
age3sex 1.158745870347018e-07 -4.512918459306365e-07 1.2679652809344507e-08 -1.1129194630364701e-10 -1.331120148692549e-05 1.2256065485355933e-06 -3.494501137750893e-08 3.115248331438032e-10 7.757399243319942e-11 -1.2888598202381665e-10 -1.1871351130535503e-10 -4.681432931283463e-10 6.374881849477108e-10 -5.839411904519548e-10 5.701475661068498e-10 -1.6783891722560695e-10 -3.980185987331311e-11 2.4192223326004405e-10 -1.8013388084311073e-10 -6.871191081688086e-10 3.675743151860971e-11 -1.6235204071586617e-10 1.0136600032479623e-10 5.39897911147009e-10 -2.2501045373665658e-10 -4.68752607613207e-10 -1.6271539852564635e-10 -7.412707612293172e-10 3.2126569362754588e-09 2.919765063463015e-09 -3.5565591419291894e-09 -1.0920778906819616e-08
pcs.V3 -2.6210871961323907e-06 -1.8104914919063297e-06 5.122071007923868e-08 -4.470043885288631e-10 -6.367051181204708e-06 5.300221017062789e-07 -1.2677776304835689e-08 7.757399243541473e-11 2.619549798219485e-06 1.6841568126923596e-07 -3.110390115858603e-08 2.7492332854262533e-09 5.956947734088522e-08 4.2138737201346875e-08 5.075214866328984e-08 8.788939374333238e-08 -1.9265015507141226e-08 2.3028559547470566e-08 -6.602252735329476e-08 1.0891680911237987e-09 3.7640221362836885e-08 2.636199676736643e-10 -4.718144814760081e-08 6.856698250448386e-08 9.161537411005186e-09 -4.166432080366577e-09 2.2882915685576404e-08 2.9075273595784286e-08 1.7118053891383228e-06 -8.473531824328278e-07 1.2328944110222827e-06 1.6195432802944062e-06
pcs.V4 2.6068348564265006e-06 6.921174735439493e-07 -1.4592785005003169e-08 1.1615610139545621e-10 5.640409865933854e-06 -5.511691789840007e-07 1.6187451858593835e-08 -1.2888598202308385e-10 1.6841568126923636e-07 2.668429152334307e-06 9.165969825680388e-08 -9.615757003605252e-09 3.71603719173055e-08 -4.512274078588135e-08 -4.0796337254062624e-08 4.59622951374895e-08 -4.783200494389831e-09 -3.6439771731784384e-08 2.5906797210176323e-08 -1.0160844382430024e-07 -5.344992128556426e-08 5.903871514046142e-08 5.8338133100223766e-08 5.4936314174384374e-08 4.6631001601468646e-08 1.8693289837384074e-08 -2.6518547086800243e-08 4.308589088942908e-08 -9.631667070117308e-07 1.3793524595915713e-06 -1.4294351176003783e-06 -2.3682238915209604e-06
