 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
PC11 -1.02270159925963e-06 -1.1162078398263768e-07 1.456488251012216e-07 7.236290227631502e-07 9.225213453695147e-07 -1.4699693031120578e-06 -2.1848976049942402e-07 1.860682583757168e-06 -1.0060415130016762e-06 9.304396015732628e-08 -3.9601040226636363e-07 1.9012330837422975e-05 1.6622262045395827e-07 -5.607982798674247e-07 -8.241701995025645e-07 8.033329911084893e-07 6.911426078901074e-07 4.369262744748925e-07 -5.448266948419891e-07 5.463460467483683e-07 4.4813874825723146e-07 -1.7677831646233137e-06
PC12 -1.821353084362399e-06 1.1441250609885013e-06 -2.103678772402949e-06 3.0558632734669174e-08 -1.3785602114861982e-06 7.7450328642826e-07 -3.1895243425733853e-07 1.544851774570645e-07 1.063421797332304e-06 -7.760601229696394e-07 -4.924055930850042e-07 1.662226204539583e-07 1.8646961714635683e-05 -2.57025853597071e-07 -9.39713732175984e-07 -1.1720715380028844e-06 2.9555011896666897e-07 -6.105707745362729e-07 -2.701255898019046e-07 -3.2248013479587573e-07 -4.2748559851389573e-07 -3.3395227513244725e-06
PC13 -4.7518464519058756e-07 -3.875087184338882e-07 2.1610859481568606e-06 -1.3176100113760472e-06 -1.1750291362703822e-06 -1.8027311627052503e-06 -3.4035904863972465e-07 2.1213652100253623e-07 -5.768911215629473e-07 -2.414255531759772e-07 -2.1782539270315564e-07 -5.607982798674248e-07 -2.5702585359707094e-07 1.8133329670705533e-05 -1.0892991849395356e-06 1.6678034922650075e-06 1.6418896452040078e-07 4.603963430495153e-07 -1.5980229571364442e-07 -1.5244376957055538e-07 2.457399397560286e-07 -5.837704538724946e-07
PC14 -3.1567726915076727e-06 -5.885995378795069e-07 -4.5304187773672314e-08 1.3323077583793143e-07 4.454320416119784e-07 2.6808083131779527e-07 -6.063752583173363e-07 1.0040159577599235e-07 -1.4404675768682282e-06 -7.577205651058589e-07 -6.554280630164433e-08 -8.241701995025641e-07 -9.39713732175984e-07 -1.0892991849395362e-06 1.936841424308053e-05 -4.002871519593682e-07 4.5043348992907597e-07 5.635521175748606e-08 1.107818774075508e-07 -1.0990846228563586e-07 9.98380086377953e-09 3.4295425591641074e-06
PC15 -3.192225096074718e-06 -1.2799690419315989e-06 4.931470459102107e-07 2.99803311672983e-07 1.5301102246849507e-08 6.012221443643622e-07 7.603993435597233e-07 -8.504706884492392e-07 -1.2794489059844012e-06 5.2410107313199493e-08 6.267237625316149e-07 8.033329911084891e-07 -1.1720715380028846e-06 1.667803492265008e-06 -4.0028715195936877e-07 1.8208548071525896e-05 4.766491434610923e-07 -9.710327504500255e-07 -1.4650622541658785e-07 -1.011990283806103e-06 -5.69147228574206e-07 8.046439236688588e-06
PC16 -9.869429677895888e-07 -8.430959004809884e-07 5.662974709339154e-07 6.559615934221397e-07 4.787546716233902e-07 -3.600545358116519e-07 -6.742267355668762e-07 6.08950382268796e-07 9.480384844940697e-07 8.445071852422178e-07 -6.925861469002208e-07 6.911426078901078e-07 2.9555011896666934e-07 1.641889645204005e-07 4.504334899290755e-07 4.7664914346109206e-07 1.7962372733764245e-05 -4.6270344298352037e-07 -6.701293377390959e-07 -1.5424221102723653e-06 -3.3258789271380845e-07 2.8513454410106456e-06
PC17 -1.8754817864159845e-06 2.51091595431473e-07 1.054774442037277e-06 -1.0570548660506381e-06 -9.553388062179441e-08 5.54576905193817e-07 4.022963157962777e-07 -1.4849725562599001e-06 1.1575264211238525e-06 9.147217852741815e-07 6.694575949453105e-07 4.369262744748927e-07 -6.105707745362729e-07 4.603963430495149e-07 5.635521175748632e-08 -9.710327504500264e-07 -4.627034429835204e-07 1.618853257383997e-05 6.02474209223991e-07 -5.492781254103712e-07 6.018529775949804e-07 -3.856243352922471e-06
PC18 -2.5528901753844597e-07 2.438250008863917e-07 1.5756507391009703e-08 -7.469780771084289e-07 -8.703421273409878e-07 -1.8474293083491454e-07 -5.039825722423372e-07 -1.852466085375358e-07 -8.530024847451086e-07 -7.071453012157628e-07 2.416846006094729e-07 -5.4482669484199e-07 -2.701255898019051e-07 -1.598022957136448e-07 1.1078187740755096e-07 -1.465062254165873e-07 -6.701293377390958e-07 6.024742092239905e-07 1.645054332835042e-05 -5.031784945856467e-07 3.8700036468420776e-07 3.487398428194288e-06
PC19 -1.0889403779340365e-06 5.079489665856221e-07 -7.503107703266352e-07 8.092965505993119e-07 -1.4669476155510718e-07 1.1920084701646634e-07 -6.003459884938178e-07 3.8012151083745334e-07 -1.3146735051381295e-06 -9.483899976224158e-07 8.979433276936765e-09 5.463460467483687e-07 -3.2248013479587647e-07 -1.5244376957055413e-07 -1.0990846228563524e-07 -1.0119902838061026e-06 -1.5424221102723643e-06 -5.492781254103715e-07 -5.031784945856463e-07 1.6497388375314844e-05 1.329992683495591e-06 -1.0191779494651647e-06
PC20 -2.393122793075743e-06 3.318753357874104e-07 -1.4217965143504918e-06 3.5105267083207896e-07 9.962048249974236e-08 -2.7461266398958157e-07 -1.0165651732292803e-06 -2.0967770989216912e-07 4.5331333402820725e-07 -1.145939469797777e-06 -1.5612859617489547e-07 4.4813874825723205e-07 -4.274855985138955e-07 2.4573993975602875e-07 9.983800863779213e-09 -5.691472285742063e-07 -3.3258789271380813e-07 6.018529775949806e-07 3.870003646842074e-07 1.3299926834955905e-06 1.5248347756605971e-05 -3.75134180934399e-07
proband -4.015741357831353e-05 2.6498671951972565e-06 4.670583307475888e-06 1.8643143062857904e-05 -4.7066914659604846e-06 -2.3367591149200147e-07 -2.36419293333955e-06 4.736930915241394e-06 -2.55027022104825e-06 4.746833022894347e-06 -6.335063167736316e-06 -1.7677831646233141e-06 -3.339522751324475e-06 -5.837704538724887e-07 3.4295425591641087e-06 8.046439236688593e-06 2.8513454410106494e-06 -3.856243352922472e-06 3.487398428194283e-06 -1.0191779494651681e-06 -3.751341809344021e-07 0.0008939981675394511
