 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
PC10 -1.1846815988558868e-06 2.1370225481865953e-07 8.895790160102755e-08 -8.226555106893352e-08 4.2121115239084397e-07 -1.9978443764531722e-07 1.2758071641475623e-07 -1.193546124202369e-07 3.5302975625713813e-07 -1.269165921496732e-07 1.3105864648343283e-05 -4.665154532891031e-07 -7.1106231665423746e-09 -3.5288919175917716e-07 -3.011640268658578e-08 1.1024353223564928e-07 -3.559399126987787e-07 1.530789383629345e-07 2.3695036680019125e-07 4.4378569903320014e-07 8.56620692740789e-08 -3.2681637949479934e-06 7.906039128300327e-07 5.590176920281403e-07 1.2145939781606694e-05 -6.333349858983146e-06 -6.41188104641028e-06 6.628388562053455e-06
PC11 1.0976225851761631e-07 -3.589633323582455e-08 -9.280463166685176e-08 3.633534115134681e-07 2.4114052921478327e-07 -9.160423724787929e-07 -3.7905051601149256e-07 1.1359202979458925e-06 -8.409671326281491e-07 -6.088168093075599e-08 -4.665154532891035e-07 1.2899338805523553e-05 9.418852018937119e-08 -7.377077884123742e-08 -3.484807220005415e-07 2.756809119719797e-07 3.3607212123482753e-07 4.0587002856973825e-07 7.046045356179762e-08 6.963282328454715e-07 2.601945746636576e-07 3.02565953365116e-06 -9.5064652396644e-06 -3.0655346079931664e-06 7.693080423373379e-06 1.1565779372969168e-06 -7.592809723671698e-06 1.010457007739482e-05
PC12 -6.930031140277812e-07 6.482905327360284e-07 -9.566810819738418e-07 9.242417869712044e-09 -1.085847912888033e-06 7.047579093931076e-07 -6.216939085358762e-08 3.4737859154788786e-07 3.5996789136663454e-07 -4.4606673722710684e-07 -7.110623166542201e-09 9.41885201893713e-08 1.1777998414261174e-05 1.6099986348558764e-08 -4.770830509820182e-08 -5.038424399295622e-07 2.1535281704657253e-07 -1.35425675834153e-07 -1.7432210378248035e-07 -8.002548192048516e-08 -5.919211980609471e-07 2.3043327157915458e-07 -9.496621695746999e-06 -3.935854015737293e-06 1.0157933175660378e-05 2.137758400084859e-06 -4.498935793140878e-07 5.691706665077013e-06
PC13 -1.7861505879333805e-06 -1.751225842402524e-07 7.989420196006009e-07 -7.377073154846384e-07 -7.485843323578015e-07 -1.248886738353273e-06 -1.3342284042468807e-07 1.5212793076597966e-07 -1.2648786479739798e-07 7.516598672482449e-08 -3.5288919175917674e-07 -7.377077884123734e-08 1.6099986348558863e-08 1.2020168397394728e-05 -7.280053172577811e-07 1.0678173057609318e-06 2.528892252908651e-07 7.987641367227755e-08 -1.226391914561415e-07 2.2799659670743662e-08 1.4565744624675806e-07 1.867236395409797e-06 -5.8035783388246135e-06 3.739716156223075e-06 2.1905669970178223e-06 5.042794808889114e-06 -7.242420984598879e-06 1.950700665700732e-06
PC14 -1.4078575279247263e-06 -2.950036814520648e-07 -9.091719039362223e-07 1.132537313182679e-07 1.0946683482959972e-07 4.1411276328828106e-07 -2.621639365181941e-07 -3.743427567077071e-07 -5.38181734206935e-07 -9.145559935605972e-07 -3.011640268658574e-08 -3.4848072200054145e-07 -4.770830509820192e-08 -7.280053172577809e-07 1.2543353580275315e-05 -1.0895809366126178e-07 3.905817773612387e-08 4.420647945997044e-09 1.4900248104705728e-07 -2.494654813346561e-08 1.345437287115889e-07 1.3047971651527581e-06 -2.3342543867540014e-06 -5.510885695144211e-06 3.134875702092236e-06 -1.1911516659559343e-06 2.5889674531615784e-06 5.542982190894296e-06
PC15 -1.8170441364767793e-06 -6.993190475277632e-07 1.7976204705760137e-07 9.175546089464804e-08 -1.1211920627674135e-07 -3.338067637233446e-09 -1.8541267861569347e-07 -4.51635655194471e-07 -4.551272627175486e-07 4.2343665308320777e-07 1.1024353223564965e-07 2.756809119719793e-07 -5.038424399295621e-07 1.0678173057609316e-06 -1.0895809366126176e-07 1.1944132228280977e-05 3.60685069261015e-07 -7.741271999012418e-07 -1.0918473132978206e-07 -1.211330931505594e-07 7.738982510165456e-08 4.175910512838443e-06 -3.3640364390729635e-06 2.909803729129756e-07 -3.1154250501785244e-06 6.503477929516991e-06 4.703253032753346e-06 -1.845057915709172e-07
PC16 1.4764529014172744e-06 -6.634480377352489e-07 2.12347769536268e-07 2.5271999526031936e-07 7.143565654532626e-08 -1.4088156752613125e-07 -3.743106898698288e-08 1.0509385507510975e-07 2.5490751602187636e-07 4.487300161935535e-07 -3.559399126987784e-07 3.3607212123482727e-07 2.153528170465729e-07 2.5288922529086506e-07 3.9058177736124364e-08 3.606850692610148e-07 1.2110652503200554e-05 -4.239742175150324e-07 5.0715838047877303e-08 -6.831011194875579e-07 -2.7979797127823624e-07 1.3791967521644003e-06 -7.66397272392555e-06 2.876323589582546e-06 8.508289784732554e-06 -1.7881154467626907e-06 4.336404351287993e-06 -2.385881524836515e-06
PC17 -1.7913520813765947e-06 2.623071221000967e-07 6.37746949844122e-07 -4.071468211548133e-07 -1.612471516311011e-08 8.813020119734555e-07 2.702454439164792e-07 -4.7385361398038145e-07 1.094241979657415e-07 4.741160748587511e-07 1.5307893836293422e-07 4.058700285697389e-07 -1.3542567583415293e-07 7.987641367227768e-08 4.420647945996704e-09 -7.74127199901242e-07 -4.239742175150325e-07 1.0899843874065961e-05 4.006214415454801e-07 -1.562341718045433e-07 1.1355780566909252e-07 -2.542092245397541e-06 3.1505117738247975e-06 -4.797475124788094e-07 -4.527820431076047e-06 -2.565318668244702e-07 -4.365022038981079e-06 3.903467462751539e-06
PC18 -1.2116558179916339e-06 1.704622473512193e-08 1.6566217305208068e-07 -6.346584453852649e-07 -4.5066422954400244e-07 -1.6695743171288464e-07 -4.039260001418601e-07 1.0180828519032702e-07 -7.848160237568535e-07 -6.773979471383447e-07 2.3695036680019154e-07 7.046045356179766e-08 -1.7432210378248022e-07 -1.2263919145614156e-07 1.4900248104705744e-07 -1.0918473132978223e-07 5.071583804787703e-08 4.0062144154548004e-07 1.1087411698761639e-05 -3.071555671131948e-07 1.1567880598875586e-07 4.6227314438206915e-06 -3.446528821323274e-06 -7.19769846253317e-06 -4.628556059697037e-06 1.500496561767959e-06 2.295173241909639e-06 3.7401542203237607e-06
PC19 3.645770036113763e-07 1.7621450973669337e-07 -1.1630730086099194e-07 3.977925885234526e-07 -1.591834089276915e-07 1.3047821981383297e-07 -3.1183524151534036e-07 6.620499382256666e-09 -2.2336003101566758e-07 -4.1028183878413206e-07 4.4378569903319966e-07 6.963282328454718e-07 -8.002548192048553e-08 2.279965967074374e-08 -2.4946548133465747e-08 -1.2113309315055963e-07 -6.831011194875578e-07 -1.562341718045433e-07 -3.0715556711319485e-07 1.1071582610365603e-05 5.460183689177728e-07 2.0639585063530002e-06 -1.01322826184863e-05 -6.434703673307774e-06 8.84520036482904e-06 7.756820940228516e-06 -4.882327195839129e-06 7.928975891187816e-06
PC20 -5.632324236527656e-07 5.6784139732702963e-08 -2.9140351367179995e-07 1.940463924410409e-07 1.022861867946447e-07 -2.290767509359942e-07 -6.361848870343412e-07 -4.518410205418093e-07 8.846707283850256e-08 -7.232624265528443e-07 8.566206927407873e-08 2.601945746636578e-07 -5.919211980609473e-07 1.4565744624675803e-07 1.3454372871158876e-07 7.738982510165448e-08 -2.797979712782357e-07 1.135578056690922e-07 1.1567880598875538e-07 5.460183689177726e-07 1.0257032910647743e-05 -1.7895880776269518e-06 3.275588624436631e-06 -3.148197023688465e-06 -1.0996178482339786e-05 1.0876772252536779e-05 7.870157361300848e-07 2.965860062402283e-06
proband -1.1122634625635303e-05 -2.274821489745737e-06 3.6186416913407454e-06 5.238693145412526e-07 -2.24906671732177e-06 -2.1265567625668744e-06 -1.1866498030046057e-06 4.527569815896201e-07 -9.263193028160331e-07 -3.358759657159223e-06 -3.268163794947995e-06 3.0256595336511673e-06 2.3043327157916371e-07 1.8672363954098056e-06 1.3047971651527647e-06 4.175910512838441e-06 1.379196752164402e-06 -2.5420922453975447e-06 4.6227314438206975e-06 2.063958506353015e-06 -1.7895880776269457e-06 0.0009937338051523963 -0.0005044666912997602 -0.00047563113537393636 -6.065563134641172e-06 4.051775518367771e-05 -3.6658580384102994e-05 -4.265697218851543e-05
paternal 1.3435915084486955e-05 4.0823975289817125e-06 -1.1774189780775304e-05 1.0254094658374198e-05 9.541865373931441e-06 6.524795725985035e-06 -2.7072347614792935e-06 -2.5704101814065876e-06 2.1212729637899136e-07 1.4853121895513653e-05 7.906039128300232e-07 -9.506465239664395e-06 -9.496621695747016e-06 -5.803578338824624e-06 -2.334254386754004e-06 -3.3640364390729453e-06 -7.663972723925541e-06 3.150511773824794e-06 -3.4465288213232737e-06 -1.0132282618486301e-05 3.2755886244366292e-06 -0.0005044666912997587 0.0023147768896461395 0.0004477553240441639 -0.0015746954669397365 -0.0011899380405608238 6.063787925688876e-05 -0.00030904344954140774
maternal 5.575922353084385e-05 3.96633014117429e-06 3.4379255339368793e-06 8.591512703978766e-06 -4.713836537440419e-06 -2.8488828367191017e-06 1.6961127433677642e-06 1.4251451545391824e-06 -5.083778435044026e-06 9.637959191443859e-06 5.590176920281451e-07 -3.0655346079931775e-06 -3.935854015737299e-06 3.7397161562230688e-06 -5.5108856951442255e-06 2.9098037291299114e-07 2.876323589582551e-06 -4.797475124788087e-07 -7.197698462533165e-06 -6.434703673307788e-06 -3.148197023688472e-06 -0.000475631135373936 0.00044775532404416437 0.0021438721304274325 0.00018590831112231913 -0.0004703120521071393 -0.0014126892898957085 -0.0010074520673638366
gpp 9.960098220640176e-06 4.2882863277029325e-06 1.2420790719712168e-05 -6.108483834861788e-07 -4.4140842414437586e-06 1.0204193147771635e-05 1.3681266484215266e-05 1.2756947858147614e-05 -5.1619908573294e-06 -1.0094215424249798e-05 1.2145939781606696e-05 7.693080423373372e-06 1.0157933175660381e-05 2.1905669970178214e-06 3.13487570209223e-06 -3.115425050178527e-06 8.508289784732535e-06 -4.52782043107604e-06 -4.628556059697043e-06 8.845200364829028e-06 -1.0996178482339786e-05 -6.065563134642282e-06 -0.001574695466939734 0.0001859083111223205 0.005277224088066693 -0.001375021586184784 -0.0007886623852655375 -0.00015041663642978212
gpm -1.945294658644493e-05 2.9540933066063226e-06 -5.8709762937424215e-06 8.480544565592635e-06 -9.942707899897722e-06 -1.9215852830167754e-05 -5.38023712429426e-06 -1.087746063830644e-06 8.344200862658862e-06 -4.7246404981279145e-06 -6.333349858983136e-06 1.1565779372969092e-06 2.137758400084876e-06 5.042794808889122e-06 -1.1911516659559366e-06 6.50347792951697e-06 -1.7881154467626837e-06 -2.56531866824476e-07 1.5004965617679518e-06 7.756820940228513e-06 1.0876772252536767e-05 4.0517755183676374e-05 -0.0011899380405608242 -0.00047031205210713883 -0.0013750215861847812 0.003937528977913733 6.387214866288235e-05 0.0004939916142966379
gmp 2.4792732728526866e-05 -3.807801362203109e-06 1.3076678022422668e-05 3.5819706729551335e-06 6.473115448902992e-06 -3.918297365432989e-06 4.0979448142092835e-06 -8.92542423385151e-06 -9.425577391256553e-06 -3.034272304677632e-06 -6.41188104641027e-06 -7.592809723671693e-06 -4.4989357931408397e-07 -7.242420984598881e-06 2.588967453161599e-06 4.703253032753332e-06 4.33640435128798e-06 -4.365022038981054e-06 2.295173241909643e-06 -4.882327195839108e-06 7.870157361300877e-07 -3.6658580384103116e-05 6.063787925688897e-05 -0.0014126892898957107 -0.0007886623852655378 6.387214866288238e-05 0.005253591654263806 -0.0018107322789516754
gmm -7.926385120161809e-05 4.390710048106936e-06 -1.5081406740502766e-05 5.277011930073387e-06 -1.0490015288366977e-05 5.231858287283444e-06 -1.146235831773775e-05 5.622225789666169e-06 8.418337889936428e-06 -1.150236667146719e-06 6.628388562053447e-06 1.0104570077394821e-05 5.691706665077012e-06 1.9507006657007385e-06 5.542982190894293e-06 -1.8450579157092547e-07 -2.38588152483651e-06 3.903467462751521e-06 3.7401542203237522e-06 7.928975891187807e-06 2.9658600624022835e-06 -4.2656972188516085e-05 -0.000309043449541408 -0.0010074520673638344 -0.00015041663642978068 0.0004939916142966379 -0.0018107322789516786 0.004293996521390391
