 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
PC10 3.2904487406456094e-07 -7.49804914054242e-09 1.514358143904363e-07 1.608992398905142e-07 1.1416627402699186e-07 -2.3136489083851087e-07 9.083368992916444e-08 -1.1146587536967023e-07 1.3190324260791747e-07 -3.146260688926665e-07 8.551248185597533e-06 -2.5412034665062177e-07 1.3238318112930265e-07 -2.262113855162285e-07 -1.8374635100868205e-07 2.6615651550620167e-07 -8.230325685917534e-08 -1.272467399443106e-07 2.3322348635241945e-07 3.3938933973033564e-07 -1.6818317844849118e-08 -2.964790363869209e-07 6.8900409268926115e-06 -2.5768258560400204e-06 -3.7720949931341253e-06
PC11 1.3982891334922029e-06 -9.757952582222444e-08 -5.619931535983335e-08 2.555275347260127e-07 2.3992771139878487e-07 -7.387652004349519e-07 -2.972457002082832e-07 7.01682339949525e-07 -5.644977660118034e-07 -1.284159949710503e-07 -2.541203466506218e-07 7.900515247176937e-06 -1.722178041681098e-07 -5.881715891469006e-08 -1.8263979959445028e-07 1.5103895369356473e-07 -2.830051382089468e-08 1.8851782562140192e-07 -3.56729243841368e-08 1.7995908269241959e-07 2.977775760718865e-07 -2.6515487383157835e-06 6.300409504615289e-06 -6.09380357230805e-06 -1.0777491973617687e-06
PC12 -2.213232628634074e-06 4.3729548821354116e-07 -4.86936005707092e-07 6.870823811684192e-08 -5.947102633334384e-07 4.067570774374174e-07 -9.593551912735873e-08 1.0393821499498349e-07 -1.218767381691675e-08 -1.5114736406042063e-07 1.3238318112930267e-07 -1.7221780416810983e-07 7.453783744533228e-06 1.2111663720793028e-07 -9.134581015027407e-10 -3.954120425826016e-07 -2.1186854389439399e-07 9.392524772162205e-08 -9.016354943812406e-08 1.3086558814680223e-07 -9.44671991532195e-08 -1.2964845567631414e-06 -8.598103853223151e-07 7.5515655835631905e-06 -4.244304080312724e-07
PC13 1.5226971530186436e-06 -4.380333181991726e-09 1.6787639431009658e-07 -3.364837217885125e-07 -1.2273193487006858e-07 -9.07822833022207e-07 -2.7327167320882183e-07 5.37874819402518e-07 1.3863950975641296e-07 -2.1056781396653163e-07 -2.2621138551622855e-07 -5.8817158914690055e-08 1.2111663720793038e-07 7.001684316743759e-06 -3.5817365847770955e-07 4.985864907511038e-07 1.301387072064117e-07 9.306185142575241e-08 -2.210373197605328e-07 6.05936137929904e-08 8.454796587508677e-08 1.5274558750786715e-06 3.824474870118098e-06 -4.629883358936526e-06 -3.3249043397029127e-06
PC14 -1.8974797527197953e-06 -2.6958758673267164e-07 -1.923934971079281e-07 1.5949479729223284e-07 -1.297807374352197e-07 4.338511094324839e-07 -1.0718323700578508e-07 -1.7411102648249978e-07 -1.3963388939576293e-08 -3.3915128957742054e-07 -1.837463510086821e-07 -1.8263979959445051e-07 -9.1345810150271e-10 -3.581736584777094e-07 7.739010165025956e-06 3.797533625177303e-09 1.1571437575452051e-07 -2.646691145001861e-08 1.0576974343307177e-07 6.831268560050806e-08 -1.000114725241533e-07 -2.8760974315160476e-06 -3.0407701518909807e-07 3.6481600447063136e-06 -8.362716613068557e-08
PC15 -1.509716766874079e-06 -4.3674972945626066e-07 7.259622040733239e-08 -1.2870063195134015e-07 -7.85286424278621e-08 -4.7831878504567576e-08 -4.454371274755304e-08 -2.2291904967795858e-07 -1.9539311913654572e-07 3.152071014823016e-08 2.661565155062017e-07 1.5103895369356492e-07 -3.954120425826017e-07 4.985864907511036e-07 3.7975336251772434e-09 7.577735296127328e-06 2.7678327015534026e-07 -4.840196944795114e-07 -1.355592362698682e-07 -1.033023867601361e-07 1.9051768879857646e-07 3.3281925448652697e-07 4.195203054703006e-06 -4.37533234430848e-06 -2.1515788538333323e-06
PC16 -8.975829888712704e-07 -4.0640837902216383e-07 -1.3728562785898238e-07 -8.275256722521571e-09 1.620242741827221e-07 -5.505274078749307e-08 -1.3490262202676146e-07 -3.3600463518695803e-07 1.4753921823738917e-07 1.7791742005564396e-07 -8.230325685917553e-08 -2.8300513820894513e-08 -2.118685438943942e-07 1.3013870720641165e-07 1.157143757545204e-07 2.767832701553406e-07 7.713985452391554e-06 -2.9528454011991227e-07 2.358928699882002e-08 -4.262083840263867e-07 8.239094078230504e-08 2.4303265390923254e-06 7.88050127716381e-07 -5.0774245710280835e-06 2.374972095685791e-06
PC17 2.8791944029874818e-08 1.0943705393532595e-07 3.5782015820603394e-07 -1.8572000851239495e-07 -3.3550859624020923e-08 5.18817915293632e-07 3.8178468388761516e-07 -1.8338706501164765e-07 9.118603854708209e-08 1.9654014029978552e-07 -1.272467399443105e-07 1.88517825621402e-07 9.392524772162217e-08 9.306185142575235e-08 -2.6466911450018552e-08 -4.840196944795114e-07 -2.9528454011991216e-07 7.027379451666785e-06 1.1741402278504323e-07 -1.556950730813702e-07 -3.643113620142429e-09 -2.260942906187509e-06 1.650588000143176e-06 -2.8637739387663443e-06 1.2598602440649856e-06
PC18 -5.016435909307359e-07 1.515554802135564e-08 -1.8507327641670977e-07 -2.449641484278307e-07 -2.2803588380830577e-07 -2.500483202346759e-07 -2.780100303834901e-07 1.5153950120104333e-07 -2.510904415822435e-07 -4.075913125580672e-07 2.332234863524195e-07 -3.5672924384136847e-08 -9.016354943812405e-08 -2.210373197605329e-07 1.0576974343307193e-07 -1.3555923626986818e-07 2.3589286998820096e-08 1.1741402278504304e-07 6.996960666157253e-06 -8.439681061965493e-08 1.322988958607484e-07 8.973038029767649e-08 1.0053994196870117e-07 2.996272845336111e-06 -2.6361675667412285e-06
PC19 1.986760941661475e-06 1.0697054468061673e-07 -2.6684549137634223e-07 2.533867796797853e-07 -1.220198733494479e-07 1.3822375565548411e-07 -7.790451461800255e-08 5.3886700293889935e-08 -2.4282774505937593e-07 -1.9836422386347614e-07 3.393893397303356e-07 1.7995908269241948e-07 1.3086558814680231e-07 6.059361379299033e-08 6.83126856005082e-08 -1.0330238676013638e-07 -4.262083840263867e-07 -1.5569507308137042e-07 -8.439681061965496e-08 7.0575611323715764e-06 3.9749327270148675e-07 7.831681431764681e-07 -2.6283842294562422e-08 1.7424372704401553e-06 7.420496610263861e-07
PC20 9.1394806404357e-07 -3.2749228408577616e-08 -1.6960823186641866e-07 1.081339849832505e-07 -1.4239865410985196e-08 -3.808225526777534e-08 -2.525740179566838e-07 -1.5514219798201697e-07 2.9829628325713954e-07 -2.960123150275154e-07 -1.6818317844849135e-08 2.9777757607188637e-07 -9.446719915321958e-08 8.454796587508681e-08 -1.0001147252415316e-07 1.9051768879857651e-07 8.239094078230508e-08 -3.6431136201424345e-09 1.322988958607485e-07 3.974932727014868e-07 6.424908236655327e-06 1.3884610664039533e-06 -1.2989388366504373e-06 3.059560583498875e-06 -2.063750381629938e-06
proband -4.129922234800271e-06 -5.762889268976426e-07 2.3615509105831724e-06 -1.174078088458884e-06 -1.2207497800435127e-06 -1.0859258017893256e-06 -1.3838309605858375e-06 -2.7594795400728985e-06 6.631485831922015e-08 7.11842909767429e-07 -2.964790363869205e-07 -2.6515487383157814e-06 -1.2964845567631444e-06 1.5274558750786753e-06 -2.8760974315160484e-06 3.328192544865279e-07 2.4303265390923254e-06 -2.2609429061875083e-06 8.973038029767587e-08 7.83168143176466e-07 1.3884610664039523e-06 0.0004644067688821474 -0.00026162899689649566 1.4142483743496235e-05 9.96781974883163e-06
paternal 4.53532265839862e-05 3.368808402227791e-07 -6.245934947568803e-06 -8.863473942493511e-07 1.099495915775198e-06 5.078116621645369e-06 -7.75099390842706e-07 2.6924357824556095e-06 1.5620027914912824e-06 -4.034635359338537e-07 6.890040926892613e-06 6.30040950461529e-06 -8.598103853223056e-07 3.824474870118094e-06 -3.04077015189096e-07 4.195203054703005e-06 7.880501277163769e-07 1.6505880001431746e-06 1.0053994196870317e-07 -2.6283842294557946e-08 -1.2989388366504354e-06 -0.00026162899689649604 0.0017001686535416975 -0.0012338112283597237 -0.0009817625982824335
gpp -4.4165104861352615e-05 -2.9459401481400874e-06 1.6765912262888976e-06 2.6147001984443084e-06 -4.606992108943696e-06 -6.804199172913278e-06 -3.6933185137478564e-06 7.553483764430565e-07 -2.659074349063738e-06 3.109877028709344e-06 -2.5768258560400276e-06 -6.093803572308053e-06 7.551565583563181e-06 -4.62988335893653e-06 3.6481600447063145e-06 -4.375332344308482e-06 -5.077424571028079e-06 -2.8637739387663447e-06 2.996272845336113e-06 1.7424372704401538e-06 3.0595605834988712e-06 1.4142483743496706e-05 -0.0012338112283597248 0.003047663427857483 -0.0006998640338770879
gmp -7.295277029658409e-07 -1.965057812159871e-06 5.07018305207401e-06 9.971690724174051e-07 -5.078801505788542e-06 -6.716206256667768e-07 5.541846106833255e-06 -1.1725011441006952e-06 8.226531447584067e-07 -3.1268227711856217e-06 -3.7720949931341283e-06 -1.0777491973617736e-06 -4.2443040803127743e-07 -3.324904339702912e-06 -8.36271661306895e-08 -2.1515788538333327e-06 2.3749720956857933e-06 1.259860244064986e-06 -2.6361675667412353e-06 7.420496610263831e-07 -2.0637503816299354e-06 9.967819748831957e-06 -0.000981762598282434 -0.0006998640338770883 0.00271252175295115
