 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gp gm
intercept 0.023932212645088678 0.009189367154059618 -0.00029530399048594805 3.0161479859938256e-06 0.04502442189059784 -0.004604875402188667 0.00014906883967301396 -1.5384145461146906e-06 3.460738073614509e-06 2.885101729051759e-06 7.056331199888603e-07 -5.842574289348325e-06 1.0706628972958019e-06 -1.2824325519023511e-05 2.3775366544931543e-06 -1.2227535223159631e-06 -2.8170590987111174e-06 -1.530466339101168e-06 -2.038710482609601e-05 -4.153452075154219e-06 -1.745575856079761e-06 -1.5480379996244866e-06 9.597079804878688e-07 -3.45428682977705e-07 5.936920577377742e-06 -2.1004934880786565e-06 1.4642441520564663e-05 -7.390722531130558e-06 -4.894276151364007e-05 9.4259863585069e-05 -8.619080489661418e-06 -2.865965583030575e-05 -9.024154901224098e-07
age 0.009189367154052438 0.0072489239842709165 -0.00021803713976179589 2.0769084224878467e-06 0.0730349901352827 -0.006995677731013776 0.0002102952184802299 -2.0023562868798243e-06 2.303085143903657e-06 -6.949381971991853e-07 -4.1172510785017156e-06 -2.8177637083009614e-07 -1.6295745121138048e-07 -1.3743999177312513e-06 4.3823201434160757e-07 -1.26238020127697e-06 -7.581309470865855e-07 -2.416174659287871e-06 -5.933064213788257e-06 2.4310431076470035e-06 1.621186721940493e-07 -2.5375227018490285e-06 6.923459618270909e-07 -7.207457073274721e-07 8.838932283697435e-07 -4.282944237701751e-06 2.564799770241262e-06 -3.098977748288221e-07 8.927131473258681e-06 3.248998836686232e-05 -5.95680592310472e-06 -5.9258495386863394e-05 1.0954605427680397e-05
age2 -0.00029530399048527275 -0.000218037139761312 6.629942820504042e-06 -6.38094005632561e-08 -0.0021741549253545592 0.0002105196723618626 -6.396824189383564e-06 6.153604445065597e-08 -8.786026508921774e-08 4.6752600629506866e-08 1.1595944806787137e-07 1.5306609117511647e-08 4.150925789890717e-09 4.1594991925637204e-08 -4.307517164288988e-09 4.852677266494862e-08 2.228229938414299e-08 5.942504203028306e-08 2.0713121061672336e-07 -6.890100981980075e-08 -1.1955626084383276e-08 6.683144155251243e-08 -1.1866586082813645e-08 3.7872054504467135e-08 -3.890373719485801e-08 1.1812654140566889e-07 -9.928145076910297e-08 2.3853874624827187e-08 -1.7595429936607924e-07 -9.622302359767852e-07 2.4275813181425926e-07 1.6029352940557393e-06 -4.786052037310507e-07
age3 3.0161479859839386e-06 2.0769084224784235e-06 -6.380940056310875e-08 6.205837077082875e-10 2.0528496649389512e-05 -2.0069696683840935e-06 6.161075270954516e-08 -5.988592500396561e-10 1.004170329362476e-09 -6.031086752368354e-10 -1.039348040781977e-09 -2.3020894304578022e-10 -6.433829055638904e-11 -4.335836595040839e-10 -4.2266433297757655e-11 -5.098855449048306e-10 -1.9471525002954752e-10 -4.226499959597071e-10 -2.260072831680813e-09 5.994162307112314e-10 1.780104942049693e-10 -6.005690987918492e-10 4.0463383927011e-11 -4.822714201994946e-10 5.154908272282607e-10 -1.0224907119256346e-09 1.2040608533553086e-09 -3.555252136813766e-10 1.0892482211806993e-09 9.329220637900272e-09 -2.985173273625995e-09 -1.397357490326233e-08 5.147146888105833e-09
sex 0.04502442188982877 0.07303499013466283 -0.002174154925336837 2.0528496649230318e-05 1.5137933589461479 -0.1420830093406979 0.004178795358420722 -3.88565504939969e-05 5.712024190987108e-05 -3.1699459479629545e-05 -2.8844052946696242e-05 5.274983649633442e-06 -5.429289393153054e-05 9.294041650241748e-05 -1.7767644501208226e-05 -1.698197723424298e-06 -6.210718845974763e-06 2.8073661778281257e-05 5.1860496493497755e-06 7.218472647766569e-05 2.8358517806671668e-05 -3.677481686635929e-05 -2.5082180289491044e-05 -7.667492819926097e-05 1.0445143444912777e-05 -2.4258811933527072e-05 2.0578571472333416e-05 4.0357290474112794e-05 0.00011672600822213437 0.0002832947948231492 0.0007361965711153078 -0.0006876278159093479 -0.0002899307618161385
agesex -0.00460487540213019 -0.006995677730974204 0.00021051967236071107 -2.0069696683735476e-06 -0.14208300934069076 0.0135054636008719 -0.0004017017088618138 3.7726558384212227e-06 -5.77013565211862e-06 3.662717839649855e-06 3.3016509729648113e-06 -5.534060756519342e-07 4.838514575063831e-06 -9.169890155070978e-06 2.1999479322422914e-06 5.585347166719218e-07 -3.586389369198635e-08 -2.7944379357473693e-06 3.475224823008204e-07 -6.976599916071671e-06 -3.2570404267910714e-06 3.3500509874445903e-06 2.295204967849907e-06 7.830251421101387e-06 -1.6740183092462685e-06 2.3795246751584473e-06 -2.0941066581510685e-06 -3.717828931527001e-06 -1.1941201997728096e-05 -2.8578164893145036e-05 -6.955551445886022e-05 6.1572115838646e-05 2.6202510438552853e-05
age2sex 0.00014906883967215467 0.00021029521848031283 -6.3968241893844546e-06 6.161075270953586e-08 0.00417879535842035 -0.0004017017088617983 1.2082838007711621e-05 -1.1469738559240692e-07 1.822964977670981e-07 -1.3098947052606113e-07 -1.12994395100087e-07 2.079393659396418e-08 -1.4027674665115e-07 2.7993796849829523e-07 -7.908269838140132e-08 -2.5904358817266423e-08 1.9855927899491116e-08 9.122225645855878e-08 -4.263178123455019e-08 2.1060296767203455e-07 1.1146936684456802e-07 -9.678112781925335e-08 -6.968079546084789e-08 -2.4650729343210965e-07 6.772721786465629e-08 -7.325369020422065e-08 6.919803316941289e-08 1.0393248446633281e-07 4.018512477731821e-07 8.336425092310204e-07 1.974016138540593e-06 -1.7051059696461815e-06 -7.286074705526056e-07
age3sex -1.5384145460997284e-06 -2.0023562868702994e-06 6.153604445037657e-08 -5.988592500370754e-10 -3.8856550493992366e-05 3.772655838420981e-06 -1.1469738559240417e-07 1.1007143896475494e-09 -1.8537522652082725e-09 1.446694381907779e-09 1.2023027656981627e-09 -2.2546336848348432e-10 1.3123245873974748e-09 -2.6741770928706265e-09 8.883999433037922e-10 3.093060690067253e-10 -3.4534641256282504e-10 -9.58837636812283e-10 7.304973276696973e-10 -1.988957843000525e-09 -1.1765377517896856e-09 9.39428966276295e-10 6.316754692678254e-10 2.396346193745983e-09 -8.196139154848579e-10 6.897165590655852e-10 -7.980731317296653e-10 -9.133118019776392e-10 -4.881414931340246e-09 -7.133613851291146e-09 -1.609788070044444e-08 1.4701918005925535e-08 5.830258648228092e-09
pcs.V3 3.4607380735773844e-06 2.303085143871925e-06 -8.78602650882795e-08 1.0041703293537164e-09 5.712024190962866e-05 -5.770135652095565e-06 1.822964977664097e-07 -1.8537522652017574e-09 2.992002674217031e-06 1.1891433287912651e-07 -3.513241393624334e-08 -1.397574321804928e-08 1.1469227537147585e-07 9.532265096923843e-08 1.115119942591737e-08 7.563074440867382e-08 -7.027483935756212e-08 1.0505509117023015e-07 -8.78253092940562e-08 -6.342788228332429e-08 4.733300935455267e-09 -3.88977223352027e-08 -1.0333928957477569e-07 4.937076669590222e-08 6.800492378442666e-08 -1.09119177435402e-08 1.1564679681553348e-07 5.161922420650463e-08 -6.205088430406121e-07 3.1773279396152384e-07 -1.831581637267913e-06 2.0829934329306407e-06 3.149274910965279e-06
pcs.V4 2.8851017290756167e-06 -6.949381971807129e-07 4.675260062896352e-08 -6.031086752317854e-10 -3.169945947953384e-05 3.662717839640804e-06 -1.3098947052579122e-07 1.446694381905214e-09 1.1891433287912332e-07 2.887204192921515e-06 7.38043859311009e-08 2.266287626753591e-08 6.640965063233696e-08 -2.2124341350543308e-08 -8.30953866489076e-08 1.8705172666248303e-08 8.836697381342406e-08 -3.561813566570252e-08 2.164345333291328e-08 -1.0452674814331756e-07 -1.4561133378912505e-07 7.64179854849611e-08 1.0168858165498218e-07 7.768634989037546e-08 9.575255976134245e-08 4.661641579619175e-08 -5.769347543545984e-08 -1.2132986707418767e-08 7.469477953377181e-08 2.4986338282067976e-06 2.1110992669368448e-06 -4.118489829937035e-06 -3.629618439064959e-06
