 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gp gm
pcs.V5 7.056331199955826e-07 -4.1172510784994514e-06 1.1595944806782304e-07 -1.0393480407817298e-09 -2.884405294684688e-05 3.3016509729797792e-06 -1.1299439510055124e-07 1.2023027657026882e-09 -3.5132413936257845e-08 7.380438593110953e-08 2.5686618048237264e-06 3.094629629615464e-08 2.236653527046489e-08 -1.2898141441303369e-08 -2.039355964596437e-08 -9.227302513992375e-08 2.7965530087360046e-08 5.944561166935329e-08 -2.5620775680468884e-08 -5.67284974245033e-08 1.1741418375158097e-08 -3.0506973603035986e-08 -1.1180252463245767e-07 -1.2945889179356068e-07 8.8126837803895e-08 8.013965402523003e-08 6.357442390300941e-08 4.345124718932354e-08 -1.0364042668727243e-06 -8.532321527578254e-07 -2.385279592532921e-06 1.547839767416584e-07 1.9774205070904486e-06
pcs.V6 -5.842574289351247e-06 -2.8177637083297584e-07 1.5306609117595914e-08 -2.3020894304655901e-10 5.274983649603927e-06 -5.534060756492171e-07 2.079393659388578e-08 -2.2546336848276555e-10 -1.3975743218049198e-08 2.266287626753601e-08 3.094629629615528e-08 2.4355968885779752e-06 3.998260374943991e-08 7.522514019142261e-08 2.557267836365332e-09 -8.653440291051391e-08 1.0138701529099004e-07 -3.576728896666233e-08 -5.822157281161465e-08 -6.120712713556475e-08 1.9522678588596927e-08 6.152810034156729e-08 -5.688089200418886e-08 2.4854399838120933e-08 -2.810642843584335e-08 1.5701886676832378e-08 -7.888859188161494e-08 1.769592876632062e-08 -4.5898633763070095e-07 9.312227955243313e-07 7.232317279953563e-07 -1.5617800740306628e-07 7.019048833666566e-07
pcs.V7 1.0706628973414154e-06 -1.6295745116378524e-07 4.150925788474662e-09 -6.433829054308515e-11 -5.429289393098937e-05 4.838514575011987e-06 -1.4027674664959381e-07 1.3123245873827092e-09 1.1469227537149192e-07 6.640965063232268e-08 2.2366535270445535e-08 3.998260374944125e-08 2.9752587884579036e-06 3.7017502476851155e-08 -1.679164946600265e-08 -1.2484338437817993e-07 -4.7964818123513245e-09 -8.26824913640272e-08 -6.824486105515161e-08 -1.1794640089973582e-07 7.04504546877146e-08 -5.745828417081459e-08 -9.507476567569936e-08 -1.2660271810594688e-08 3.614345220536074e-08 -1.2309309486557803e-08 -2.597327091712529e-08 -1.29300309325106e-08 1.3798446843465237e-07 -7.669402322068197e-07 2.1819296317889255e-06 1.1700358309302898e-07 -9.74840564876653e-07
pcs.V8 -1.2824325519106888e-05 -1.3743999178108597e-06 4.159499192802431e-08 -4.335836595267463e-10 9.294041650143366e-05 -9.169890154976471e-06 2.7993796849545063e-07 -2.6741770928435575e-09 9.532265096921032e-08 -2.2124341350516722e-08 -1.289814144126699e-08 7.522514019142044e-08 3.7017502476847476e-08 2.871286150918183e-06 6.976853863892807e-08 5.431537078083866e-08 7.34280589340555e-08 2.2093030569071185e-07 -7.211950487277871e-08 -2.1384536730907105e-07 -7.883145562814082e-08 -5.765545571521503e-08 5.035316283635044e-08 5.8279415522860685e-08 1.2834418957025492e-07 8.102054559463556e-08 -1.909790006445215e-08 -3.1200864497524607e-08 -3.7554387272904865e-08 3.5653522778976336e-06 1.5296025114804528e-06 -3.052429083650734e-06 -8.596508595645514e-07
pcs.V9 2.3775366545134064e-06 4.382320143604095e-07 -4.30751716485898e-09 -4.226643329228184e-11 -1.776764450093366e-05 2.1999479322160164e-06 -7.908269838061297e-08 8.883999432963119e-10 1.1151199425924804e-08 -8.309538664891431e-08 -2.0393559645975363e-08 2.5572678363661316e-09 -1.6791649466001383e-08 6.976853863892655e-08 2.8034279464222917e-06 2.8938378698364383e-08 2.2890795420004606e-08 -5.35394094688733e-08 -2.609410682896015e-08 -1.2488982290451312e-07 -2.478780995320479e-08 -1.2507043542828877e-08 1.9828220954218268e-08 -6.590758142032338e-08 -1.2242426796969878e-07 -7.87988510838238e-08 -8.525764029785782e-09 2.3753556572561175e-08 -4.69685853180313e-07 1.0394493337699221e-07 -5.000621059066174e-07 2.4765682342719387e-07 5.285085432512576e-07
pcs.V10 -1.2227535223197928e-06 -1.2623802012836155e-06 4.852677266515775e-08 -5.09885544906915e-10 -1.6981977236141228e-06 5.585347166902197e-07 -2.5904358817818126e-08 3.0930606901197247e-10 7.56307444086639e-08 1.8705172666254808e-08 -9.227302513992003e-08 -8.653440291051448e-08 -1.2484338437817058e-07 5.431537078082021e-08 2.8938378698369436e-08 2.9657862831929168e-06 3.5182881476709304e-09 2.0962119505495066e-08 3.549887272266957e-08 1.4456349483834232e-08 -4.5692076747043634e-08 -7.991392497364337e-09 1.3891914428149398e-07 3.642663005539969e-08 8.310225697338949e-10 2.1163325247531297e-08 3.6986327004362656e-08 -5.2659554640138096e-08 2.397507249025089e-07 1.271095797869693e-06 2.5626042956953868e-06 -1.1958272052487447e-06 -1.0266084911977359e-06
pcs.V11 -2.817059098719684e-06 -7.581309470960275e-07 2.2282299384428292e-08 -1.947152500322783e-10 -6.210718846126866e-06 -3.586389367740167e-08 1.985592789905311e-08 -3.453464125586683e-10 -7.027483935756758e-08 8.836697381342817e-08 2.796553008736529e-08 1.0138701529098924e-07 -4.796481812348749e-09 7.342805893405081e-08 2.2890795420006327e-08 3.5182881476723246e-09 2.9092227190024915e-06 9.927216360750815e-08 2.4434822935359465e-08 -6.043514656259899e-08 5.629125855059756e-08 -1.166466611504945e-07 -4.3075690816125326e-08 1.0240257343953939e-07 -9.323819087857811e-08 6.619357236954322e-08 -4.887734876231038e-08 8.454349670401169e-08 1.0179891452020364e-06 -1.944615980334034e-06 6.152006468939237e-07 1.6279056138037953e-06 -1.2703360990942507e-06
pcs.V12 -1.5304663391586586e-06 -2.4161746593545184e-06 5.9425042032271305e-08 -4.226499959784517e-10 2.807366177739632e-05 -2.7944379356623048e-06 9.122225645599829e-08 -9.58837636787944e-10 1.050550911701961e-07 -3.5618135665676233e-08 5.944561166938104e-08 -3.5767288966665556e-08 -8.268249136401001e-08 2.209303056906758e-07 -5.353940946886236e-08 2.0962119505504552e-08 9.927216360750732e-08 2.8463022220546666e-06 -1.9614020884316298e-07 -1.5822313162717777e-08 2.53525189752688e-08 -9.575655128427654e-08 -5.246524917394093e-09 -1.3293005376967988e-07 -8.16015743192252e-08 -2.2127786433463264e-08 -3.78281369767651e-08 5.0055336652520905e-08 -5.7420576656986215e-08 6.499949574203286e-07 -3.132529913851543e-07 1.319679173701988e-07 -6.062751253810769e-07
pcs.V13 -2.0387104826104743e-05 -5.933064213805134e-06 2.0713121061725538e-07 -2.2600728316861204e-09 5.1860496488686895e-06 3.4752248234734554e-07 -4.263178123595808e-08 7.304973276831406e-10 -8.782530929408157e-08 2.1643453332931898e-08 -2.5620775680462028e-08 -5.822157281161618e-08 -6.824486105512874e-08 -7.2119504872827e-08 -2.6094106828946633e-08 3.549887272266973e-08 2.443482293535504e-08 -1.9614020884318643e-07 3.013522539652034e-06 -5.748679938983188e-08 6.033578639489662e-08 4.065558376837622e-08 -1.3369433176206897e-07 -3.846046037448392e-08 -1.9117330658862399e-07 2.7979740320706152e-08 -4.958487321622389e-08 -4.4016280860039944e-08 -8.337621163091375e-07 -1.3930130106776086e-06 1.9996991308638734e-06 2.2009582788315212e-07 -9.280085953184069e-07
pcs.V14 -4.1534520751930016e-06 2.4310431076152317e-06 -6.890100981888663e-08 5.994162307029491e-10 7.218472647760295e-05 -6.97659991606599e-06 2.1060296767187141e-07 -1.988957842999018e-09 -6.342788228331497e-08 -1.0452674814332031e-07 -5.672849742449468e-08 -6.120712713556357e-08 -1.1794640089976064e-07 -2.138453673090265e-07 -1.248898229045254e-07 1.445634948384359e-08 -6.04351465625917e-08 -1.5822313162675296e-08 -5.7486799389807225e-08 2.8536157304216557e-06 -4.251733031572969e-08 1.2444048520658336e-08 -3.240289495893699e-08 -1.0915724910084236e-07 -5.87159544818103e-09 -8.92074142251296e-08 -8.514415706611993e-08 6.890804011785714e-08 5.515754585995392e-07 -3.324774445773244e-08 -1.660981537295478e-06 -1.0209406030065203e-06 7.632189028257114e-07
pcs.V15 -1.7455758561002071e-06 1.6211867217793857e-07 -1.1955626083911702e-08 1.7801049420061542e-10 2.8358517806615906e-05 -3.257040426785709e-06 1.1146936684440506e-07 -1.1765377517881046e-09 4.7333009354586745e-09 -1.4561133378912478e-07 1.174141837516423e-08 1.9522678588597086e-08 7.045045468770218e-08 -7.883145562811835e-08 -2.478780995321017e-08 -4.56920767470384e-08 5.629125855060052e-08 2.535251897529033e-08 6.033578639491178e-08 -4.251733031573102e-08 2.943624359566319e-06 -6.922689719650284e-08 -4.6034218170747446e-08 -4.887745172543932e-10 2.120882076258452e-08 -1.4845352776367794e-07 -5.840556519061203e-08 -7.165389462826631e-08 -5.3214076175342974e-08 -4.660939879985193e-07 -2.1779807442827003e-07 2.390380765629413e-07 -9.619714875283638e-07
pcs.V16 -1.5480379996182738e-06 -2.5375227018512926e-06 6.683144155258907e-08 -6.005690987926645e-10 -3.677481686655859e-05 3.3500509874638654e-06 -9.678112781983556e-08 9.394289662818342e-10 -3.8897722335217034e-08 7.641798548496954e-08 -3.050697360303479e-08 6.152810034156566e-08 -5.7458284170795024e-08 -5.7655455715251606e-08 -1.2507043542818604e-08 -7.991392497367757e-09 -1.1664666115049879e-07 -9.575655128430182e-08 4.065558376836635e-08 1.2444048520646793e-08 -6.922689719650942e-08 2.918481744512605e-06 1.3424838560894934e-09 -2.7054776161593436e-08 -1.252173115577456e-07 -3.3122417369467626e-08 -1.3449820135966152e-07 -3.275909140293728e-08 -1.1096142612306518e-06 -2.5935660697899976e-06 1.8478374565308278e-06 1.8723399695197418e-06 -8.212760880632483e-07
pcs.V17 9.597079805103778e-07 6.923459618492819e-07 -1.186658608347488e-08 4.046338393323509e-11 -2.5082180289261857e-05 2.295204967827759e-06 -6.968079546017681e-08 6.316754692613996e-10 -1.0333928957476858e-07 1.0168858165497508e-07 -1.1180252463246658e-07 -5.688089200418818e-08 -9.507476567569792e-08 5.0353162836350267e-08 1.982822095421765e-08 1.3891914428148927e-07 -4.3075690816125875e-08 -5.246524917402892e-09 -1.3369433176208175e-07 -3.2402894958926464e-08 -4.603421817074167e-08 1.3424838560806513e-09 3.0390461731151953e-06 1.0589281202315799e-07 1.6871378153295936e-07 4.328036926798212e-08 -3.1356525855841373e-08 -1.9734308359486394e-07 5.033661223928472e-07 4.66201715692119e-08 -2.8743516963552515e-07 6.827318770383424e-07 3.0542552421844436e-07
pcs.V18 -3.4542868291943227e-07 -7.20745707275516e-07 3.787205450291846e-08 -4.82271420184906e-10 -7.667492819876257e-05 7.830251421053584e-06 -2.465072934306713e-07 2.3963461937322853e-09 4.937076669591106e-08 7.768634989036372e-08 -1.2945889179358395e-07 2.4854399838121655e-08 -1.2660271810578951e-08 5.8279415522834784e-08 -6.590758142031777e-08 3.6426630055385334e-08 1.0240257343953352e-07 -1.329300537697201e-07 -3.8460460374521444e-08 -1.0915724910082047e-07 -4.887745172441813e-10 -2.7054776161617282e-08 1.058928120231637e-07 2.8532184509940536e-06 -6.4809107665507e-08 -6.325660203484683e-09 -5.3837726081018894e-08 9.049391753805169e-08 -3.0134435779780186e-07 5.372027704971179e-07 -1.714152384433899e-08 1.1108970095314834e-07 -1.3476919473348871e-06
pcs.V19 5.936920577366081e-06 8.838932283619719e-07 -3.890373719460949e-08 5.154908272257302e-10 1.0445143444738708e-05 -1.6740183092295743e-06 6.772721786415424e-08 -8.196139154800794e-10 6.800492378442317e-08 9.575255976134627e-08 8.812683780390422e-08 -2.810642843584402e-08 3.6143452205357116e-08 1.2834418957026212e-07 -1.224242679697001e-07 8.310225697384202e-10 -9.323819087857651e-08 -8.16015743192134e-08 -1.9117330658861186e-07 -5.871595448188581e-09 2.120882076258162e-08 -1.2521731155773842e-07 1.687137815329572e-07 -6.480910766550641e-08 2.83980357770077e-06 1.2334193863200313e-07 1.202103573842062e-07 -1.0743890244048365e-08 -2.132163006112197e-07 2.1717234206816364e-06 1.2280568871786777e-06 -8.420552913970282e-07 2.2171532127556888e-07
pcs.V20 -2.1004934880802663e-06 -4.2829442377070366e-06 1.1812654140586408e-07 -1.0224907119278703e-09 -2.425881193387705e-05 2.379524675192603e-06 -7.325369020526324e-08 6.897165590756219e-10 -1.0911917743561102e-08 4.6616415796206195e-08 8.013965402523817e-08 1.5701886676830657e-08 -1.2309309486537414e-08 8.102054559459635e-08 -7.879885108381145e-08 2.1163325247530764e-08 6.619357236953805e-08 -2.21277864334868e-08 2.7979740320707416e-08 -8.920741422514741e-08 -1.4845352776368868e-07 -3.3122417369462776e-08 4.3280369267991414e-08 -6.325660203454687e-09 1.2334193863199204e-07 2.812011076290607e-06 1.2586115816838783e-07 1.3629382990230847e-07 -1.3956625989326967e-06 -4.3989274288756416e-08 8.623050868021978e-07 1.3634031790863837e-06 4.4805312562227657e-07
pcs.V21 1.4642441520544895e-05 2.5647997702260682e-06 -9.928145076864118e-08 1.204060853350858e-09 2.0578571472146008e-05 -2.094106658133148e-06 6.919803316887522e-08 -7.980731317245586e-10 1.1564679681552957e-07 -5.7693475435456536e-08 6.357442390301952e-08 -7.888859188161535e-08 -2.5973270917129993e-08 -1.9097900064442404e-08 -8.525764029788071e-09 3.698632700436796e-08 -4.887734876230843e-08 -3.782813697675138e-08 -4.958487321620928e-08 -8.51441570661273e-08 -5.840556519061485e-08 -1.3449820135965372e-07 -3.13565258558438e-08 -5.383772608101937e-08 1.202103573842066e-07 1.2586115816840038e-07 2.9124410384493953e-06 3.764203101131217e-08 2.018987647790904e-06 -1.636395593711763e-06 -3.9895038066149256e-07 1.216136520644809e-06 2.0321186600377356e-07
pcs.V22 -7.390722531157671e-06 -3.098977748557605e-07 2.3853874625613905e-08 -3.5552521368860414e-10 4.0357290473947535e-05 -3.7178289315111706e-06 1.0393248446585705e-07 -9.133118019731117e-10 5.161922420650264e-08 -1.2132986707414946e-08 4.345124718933047e-08 1.7695928766320864e-08 -1.2930030932517976e-08 -3.120086449751355e-08 2.3753556572558283e-08 -5.2659554640132894e-08 8.454349670401436e-08 5.005533665253773e-08 -4.401628086002603e-08 6.890804011785025e-08 -7.165389462826995e-08 -3.275909140292836e-08 -1.9734308359486627e-07 9.049391753804999e-08 -1.0743890244047902e-08 1.362938299023182e-07 3.764203101131238e-08 2.8729353794935718e-06 -1.0511308425528985e-06 -1.0509249768065957e-07 -6.092669783915766e-07 5.028299752730755e-07 8.559350688872354e-07
proband -4.894276151374048e-05 8.927131473151818e-06 -1.759542993629968e-07 1.0892482211526725e-09 0.00011672600822112767 -1.1941201997636464e-05 4.0185124777057185e-07 -4.881414931316686e-09 -6.205088430406175e-07 7.469477953376618e-08 -1.0364042668726925e-06 -4.589863376306994e-07 1.3798446843463445e-07 -3.75543872728596e-08 -4.6968585318033703e-07 2.397507249025207e-07 1.0179891452020643e-06 -5.742057665691246e-08 -8.337621163091073e-07 5.515754585994989e-07 -5.321407617534484e-08 -1.1096142612306082e-06 5.033661223928389e-07 -3.0134435779781234e-07 -2.1321630061119968e-07 -1.39566259893264e-06 2.018987647790918e-06 -1.051130842552908e-06 0.0005242726221639506 -0.00026977498740869183 -0.00026046897721868344 1.234367858713695e-06 1.0513050052112045e-05
paternal 9.425986358553656e-05 3.24899883676731e-05 -9.622302360010534e-07 9.329220638130283e-09 0.00028329479483976976 -2.857816489472289e-05 8.336425092778911e-07 -7.133613851730933e-09 3.1773279396223133e-07 2.498633828206371e-06 -8.532321527581604e-07 9.312227955243979e-07 -7.669402322075018e-07 3.5653522778988817e-06 1.0394493337669044e-07 1.2710957978696791e-06 -1.9446159803340125e-06 6.499949574208279e-07 -1.3930130106775402e-06 -3.32477444569048e-08 -4.6609398799814656e-07 -2.593566069790349e-06 4.662017156889315e-08 5.372027704961423e-07 2.171723420681852e-06 -4.398927428896209e-08 -1.6363955937114875e-06 -1.050924976801642e-07 -0.00026977498740869005 0.0017393105351890172 0.00016136046431134817 -0.0012791067678230193 -2.919288757272416e-05
maternal -8.619080490416483e-06 -5.956805923950282e-06 2.427581318391895e-07 -2.9851732738578742e-09 0.0007361965711065985 -6.955551445802502e-05 1.9740161385155046e-06 -1.609788070020628e-08 -1.8315816372681837e-06 2.111099266937095e-06 -2.385279592532648e-06 7.232317279953237e-07 2.1819296317889704e-06 1.5296025114802967e-06 -5.000621059065708e-07 2.5626042956955257e-06 6.152006468939499e-07 -3.132529913849497e-07 1.9996991308641884e-06 -1.6609815372958854e-06 -2.17798074428483e-07 1.8478374565311227e-06 -2.8743516963547957e-07 -1.7141523844028418e-08 1.228056887178613e-06 8.623050868024958e-07 -3.9895038066157986e-07 -6.09266978391749e-07 -0.0002604689772186835 0.00016136046431133928 0.0015553750580264323 -4.324582338222446e-05 -0.0010873401699112253
gp -2.8659655830683585e-05 -5.925849538759732e-05 1.6029352940779627e-06 -1.3973574903475801e-08 -0.0006876278159268307 6.1572115840313e-05 -1.7051059696959146e-06 1.4701918006394048e-08 2.08299343292983e-06 -4.118489829936534e-06 1.5478397674201006e-07 -1.561780074031463e-07 1.1700358309384388e-07 -3.0524290836522297e-06 2.4765682342758234e-07 -1.19582720524875e-06 1.6279056138037214e-06 1.319679173694968e-07 2.2009582788304775e-07 -1.0209406030074031e-06 2.3903807656252507e-07 1.8723399695200713e-06 6.827318770387147e-07 1.1108970095428779e-07 -8.420552913973155e-07 1.3634031790865434e-06 1.2161365206444563e-06 5.028299752725425e-07 1.2343678587112774e-06 -0.0012791067678230147 -4.3245823382235064e-05 0.0012289918492124341 3.480890089564208e-05
gm -9.024154897779264e-07 1.0954605428096029e-05 -4.78605203743616e-07 5.1471468882261355e-09 -0.00028993076180890755 2.6202510437860376e-05 -7.286074705318438e-07 5.830258648031476e-09 3.1492749109655455e-06 -3.629618439065173e-06 1.977420507090257e-06 7.01904883366689e-07 -9.748405648768088e-07 -8.59650859564218e-07 5.285085432511687e-07 -1.026608491197805e-06 -1.2703360990942484e-06 -6.062751253810601e-07 -9.280085953185448e-07 7.632189028260619e-07 -9.619714875281844e-07 -8.212760880634504e-07 3.0542552421835834e-07 -1.3476919473352444e-06 2.2171532127564702e-07 4.480531256220971e-07 2.0321186600386972e-07 8.559350688874174e-07 1.051305005211244e-05 -2.919288757272048e-05 -0.0010873401699112236 3.480890089563687e-05 0.0010476484568631066
