 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gpm gmp gmm
intercept 0.034572685516793746 0.012532957585856338 -0.0004046701364320299 4.153792627304948e-06 0.0549331287522342 -0.005643641810789279 0.00018370856318134857 -1.9072016379256861e-06 5.531853386321144e-06 2.943446186106731e-06 -7.817937499043608e-07 -7.96811312480945e-06 3.0363467606175847e-06 -1.580106676745394e-05 4.779485387822021e-06 5.450088617728019e-07 -2.065248487112931e-06 -1.9838439778925446e-06 -2.768706929391278e-05 -1.0169997764157537e-05 -2.676727151681733e-06 -8.022671410205859e-07 2.3190114086092208e-07 -1.0342718072456045e-06 8.294779826868101e-06 -1.8149622715515286e-06 2.224211026408229e-05 -1.302661369716851e-05 -6.749696774942174e-05 -4.49983728554325e-05 -2.893343077003865e-06 0.0004163724086389543 -0.0001749350716533112 -0.00014320395419545776 0.00019821346945644744
age 0.012532957585786708 0.009671851051957524 -0.0002915224338218976 2.7824366538645065e-06 0.09594776593746779 -0.00920354912675558 0.000277124632709502 -2.643093191436212e-06 3.142963770530444e-06 -1.2112168808730292e-06 -6.950165979490109e-06 1.1557201429145705e-06 3.6682656604263704e-07 -6.053450790456143e-07 2.5530048258814928e-06 7.864874553221017e-07 -8.411780569499943e-08 -3.957013695524257e-06 -6.427251487597058e-06 2.508869448989765e-06 -3.9789304369017e-07 -2.2116719226530543e-06 -1.3353892202476308e-07 -3.9342656744531993e-07 8.701797785747542e-07 -3.390909379173606e-06 3.7358684440008047e-06 -1.2061749142702692e-06 -1.2784962404148033e-05 6.676022257874017e-05 1.085263671448537e-05 -0.0001061497176577339 -6.962988768792781e-05 -0.0001904378619911139 0.00018013884934471816
age2 -0.0004046701364295888 -0.00029152243382149067 8.8856526017914e-06 -8.571689903665971e-08 -0.0028602963429799743 0.00027738832195987455 -8.444260599109997e-06 8.138536689642734e-08 -1.164729145813268e-07 7.031249366850293e-08 1.950101989392291e-07 -2.4021696152755468e-08 -1.1036930074836751e-08 1.763086691943198e-08 -5.560229029282803e-08 -7.564145489261147e-09 3.114044031858961e-09 1.0124834674285928e-07 2.3668718106138334e-07 -7.169694041971961e-08 2.7784244998260714e-09 5.008059940724207e-08 9.477465554484639e-09 3.974620806239714e-08 -4.153329658717805e-08 9.584166277852782e-08 -1.3875974692576734e-07 6.381604830956003e-08 4.369634814426434e-07 -1.9452021451326984e-06 -2.8353365091054263e-07 2.7574319142117697e-06 2.061175868804135e-06 5.039549266458109e-06 -5.163994237676588e-06
age3 4.153792627285595e-06 2.7824366538650706e-06 -8.57168990367763e-08 8.358703208781561e-10 2.7053149854506106e-05 -2.6493666553689877e-06 8.14988206204095e-08 -7.938660669074805e-10 1.3119467390208812e-09 -8.633095580935621e-10 -1.7396738176147452e-09 9.885878796252379e-11 6.475514351774824e-11 -2.1234468426721302e-10 3.4514895877304167e-10 -8.130326437860816e-12 -1.4808851036110506e-11 -7.711405823036714e-10 -2.6944653582736303e-09 6.188113217442566e-10 4.969491134046395e-11 -3.9767948190636327e-10 -1.452234461917765e-10 -5.988229872798399e-10 5.822944524696532e-10 -8.497997890094549e-10 1.6451298973841417e-09 -8.349732286035029e-10 -4.218996376881823e-09 1.7998782449322055e-08 2.16936857805304e-09 -2.387542721424248e-08 -1.7997508676573313e-08 -4.416015024614299e-08 4.733680051204185e-08
sex 0.05493312875076955 0.0959477659373503 -0.0028602963429743976 2.705314985443024e-05 2.0526057537810574 -0.192947105846278 0.005684966550827758 -5.2966934009226414e-05 6.531841231097933e-05 -1.271211467447444e-05 -4.938706492009405e-05 5.034107598037752e-05 -8.208512657915681e-05 0.00012325422311020208 -1.9496874424328722e-05 3.337516005429867e-05 1.313569610283585e-05 1.7785956751846324e-05 2.9317374576684632e-05 0.00010686362506683917 5.625619281757638e-06 -2.141661368556098e-05 -4.8564882303371786e-05 -9.365589525624663e-05 -9.752070754443748e-06 -1.855662014563111e-05 3.5864209451515005e-05 6.08865956052559e-05 3.0618339960943062e-06 0.0006250289618846166 0.0007308016870998231 -0.006770769467648708 0.004600224024355942 -0.002741003613811965 0.0017750334625761925
agesex -0.005643641810508533 -0.009203549126562433 0.0002773883219542291 -2.6493666553170904e-06 -0.19294710584628283 0.018367274974404147 -0.0005473109232313643 5.150769365477425e-06 -6.648240570946987e-06 1.8698627944909551e-06 5.2205058080570554e-06 -4.8337140541590655e-06 7.411582617989093e-06 -1.2292109248580695e-05 2.6495669207514854e-06 -2.666262930219256e-06 -1.879568425463914e-06 -1.9017384674579226e-06 -1.583869585951133e-06 -1.060613758270571e-05 -1.3940967498828378e-06 1.734011192662325e-06 4.129625418096231e-06 9.98633621111079e-06 -5.208127073440427e-08 1.8214113705281824e-06 -3.210101486295754e-06 -5.417476265056333e-06 -7.829486723997089e-07 -6.597123104829722e-05 -7.577689474930662e-05 0.0006396033278138664 -0.00043594644656625136 0.0002515757603183489 -0.00015732971916275381
age2sex 0.0001837085631730837 0.0002771246327041734 -8.444260598953924e-06 8.149882061896812e-08 0.005684966550828163 -0.0005473109232313891 1.649425188698759e-05 -1.5691387785972002e-07 2.1275713734354523e-07 -8.137910776634535e-08 -1.6854716080212456e-07 1.4849739651355445e-07 -2.1476302380554634e-07 3.794749533889488e-07 -1.0039494099853485e-07 6.656958817626717e-08 7.323226028843877e-08 6.702299595668749e-08 -1.6419233485656325e-09 3.292976119210166e-07 6.413232516772972e-08 -4.5815345793419287e-08 -1.1649829122345302e-07 -3.238249911713337e-07 2.7137010785367066e-08 -5.785406486326507e-08 9.167500449140146e-08 1.4859112055399372e-07 7.616701081956027e-08 2.120366627758472e-06 2.3042663500643667e-06 -1.8665959564624206e-05 1.2656154614906975e-05 -7.108019261016807e-06 4.295181090275035e-06
age3sex -1.9072016378717564e-06 -2.643093191414989e-06 8.1385366895772e-08 -7.938660669010393e-10 -5.2966934009234254e-05 5.150769365478044e-06 -1.5691387785973153e-07 1.5093408202404614e-09 -2.1808412940040995e-09 1.0575022207262272e-09 1.7134202215398124e-09 -1.4260189881401577e-09 1.9966590902874063e-09 -3.666909758867451e-09 1.1643461810527544e-09 -5.312094989356794e-10 -8.263910329435877e-10 -7.551379880204155e-10 5.118780017843033e-10 -3.207951613929389e-09 -8.022935048155927e-10 4.5814587835302577e-10 1.007486297543854e-09 3.2177008286588473e-09 -5.17677178621563e-10 5.591848877954991e-10 -9.288412141018841e-10 -1.2891056130584668e-09 -2.111270765443821e-09 -2.063424493379713e-08 -1.980785357624172e-08 1.7114505196515809e-07 -1.1572015630836834e-07 6.301433155733756e-08 -3.803223669086436e-08
pcs.V3 5.53185338624975e-06 3.1429637704993974e-06 -1.1647291458037262e-07 1.311946739011534e-09 6.531841231090275e-05 -6.648240570939427e-06 2.1275713734330775e-07 -2.180841294001698e-09 4.496246470525736e-06 3.9554281083035903e-07 6.665417793659927e-08 -5.98426438974345e-08 1.7660849221105255e-07 9.265173878485819e-08 2.34644185384128e-08 1.318870235707289e-07 -6.306662591424846e-08 1.2352677128046432e-07 -1.9049136933702096e-07 -3.0680093589423024e-08 3.9436082478446305e-08 1.677293183539194e-09 -1.6526888198318295e-07 1.664766587939402e-07 8.174905693513907e-08 1.0265077228361864e-08 1.247986814211065e-07 1.6205748710672589e-07 5.8018379406795437e-08 4.889273634992515e-07 -3.862689871670505e-06 4.134116107376126e-06 7.307508251705633e-07 6.144711809911239e-06 3.974622556002934e-06
pcs.V4 2.9434461861180765e-06 -1.2112168808841099e-06 7.0312493668808e-08 -8.633095580961636e-10 -1.271211467472895e-05 1.8698627945150977e-06 -8.137910776706128e-08 1.057502220732914e-09 3.9554281083034913e-07 4.444868475153351e-06 2.1712774683294916e-07 -1.983973770733077e-08 1.4194568191357961e-07 -7.467126103580842e-08 -7.831611128547226e-08 8.791886484934276e-08 1.3089526085641887e-07 -8.226624497782541e-08 -2.3806921060275093e-08 -1.5525001733601254e-07 -2.000712021604546e-07 1.4037386076832022e-07 1.1933826939361026e-07 2.1818501928849398e-07 1.214505209476053e-07 1.1835828635872356e-07 -8.361690009425151e-08 1.230768173229054e-07 -2.4186165966579337e-07 4.33796139870229e-06 3.576843748927857e-06 -9.522294348835297e-06 -4.132478732385094e-06 -9.68420985400448e-06 -1.1342006335852436e-06
