 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
intercept 0.00010755562434585004 8.074828373493182e-06 -2.2462291378171672e-07 2.1677248114698757e-09 -1.4518615725250246e-05 1.4044385820255245e-06 -4.2417889715654727e-08 4.273634958333176e-10 2.5215886489290826e-07 2.8244299492410944e-07 -2.2386677333641245e-07 -1.3378146751863637e-07 -7.298493051974729e-08 7.658446671039203e-08 -1.0099189842240369e-07 7.09776355564232e-08 -3.0470027163815377e-09 -1.0639023531040366e-07 -1.1553027550455073e-07 -4.568952690242493e-08 -1.1065895907762643e-08 2.5500948165269023e-08 -3.363154132618115e-08 -3.18793493046915e-08 4.7469748568801464e-08 -2.1602647047507952e-08 5.7896572616939605e-08 -1.4068350365258135e-08 6.378696186538521e-07 1.3148055691590337e-06 -2.1446394388925613e-06
age 8.07482837345967e-06 0.00030267223592837393 -6.967807023986829e-06 4.9794492446155157e-08 0.0038538333469830413 -0.0002921841964334695 6.715973631930778e-06 -4.7892543768132696e-08 -1.0005518312486168e-07 2.942607892929038e-07 -8.952786952878249e-08 2.0353682965991193e-07 8.519090829881595e-08 7.435818361834501e-08 1.4163925887720188e-07 9.556137804456775e-08 1.1692128620739077e-07 -3.853054054728285e-07 -5.5120601131379306e-08 6.849802025437027e-08 -1.7050731552289367e-07 -2.2038120769212447e-07 -2.5420223166841125e-07 2.7024459075310106e-07 2.0306587278023078e-07 -2.08519187216927e-07 1.6496526751721125e-07 3.7648512009274194e-07 4.858693576653616e-07 -3.915839567592688e-06 -3.2461330640264255e-06
age2 -2.2462291377902527e-07 -6.967807023987883e-06 1.634704089417036e-07 -1.1879202283587326e-09 -8.678925163566261e-05 6.721833451752076e-06 -1.5749403327190378e-07 1.1422435832374017e-09 4.827411326315144e-09 -6.63330001517416e-09 1.224586903931297e-09 -5.021066626379515e-09 -2.0939461276151036e-09 -2.566865503499e-09 -2.5663497881834026e-09 -1.4369663228528537e-09 -2.6571050230492507e-09 8.654802984676782e-09 1.6643700020152886e-09 -1.404185825883595e-09 3.6291536130175646e-09 3.984094507383201e-09 4.672789162676988e-09 -5.294733336946719e-09 -5.256339673309488e-09 4.5188726157316705e-09 -4.292266623630261e-09 -8.655703856542538e-09 -7.350564438907599e-10 9.315496080768139e-08 6.424558270112046e-08
age3 2.1677248114590144e-09 4.9794492446153575e-08 -1.1879202283585053e-09 8.771862637827643e-12 6.089361565182679e-07 -4.797384732473344e-08 1.1432403709263632e-09 -8.426488952394115e-12 -4.9520320984077386e-11 5.066982495990597e-11 -7.444848059297629e-12 3.667081679713469e-11 1.3731874315216015e-11 2.3317761379109076e-11 1.4440430044996175e-11 7.028101492990855e-12 2.1022001333019067e-11 -6.031687716602269e-11 -1.7374171644392184e-11 7.907006916882781e-12 -2.5330992149076854e-11 -2.0757826196268375e-11 -2.736650268074818e-11 3.1291401740472365e-11 4.108608106983238e-11 -3.045083533716964e-11 3.371495197542136e-11 6.081084808410487e-11 -3.750251823161048e-11 -7.042611868084008e-10 -4.0214903728370215e-10
sex -1.4518615725100907e-05 0.003853833346989572 -8.678925163582428e-05 6.089361565194948e-07 0.13221398714816399 -0.00990571235939225 0.0002262991841023207 -1.610569199751797e-06 -2.322259342693935e-06 2.847348591591319e-07 5.459617790461615e-07 9.951408828886001e-07 -2.2297123802639554e-06 -1.2010903410935739e-06 3.1250987302607627e-06 4.386860747516289e-07 -1.6665415325380912e-06 -3.251843755552908e-06 -1.2646244279671546e-06 3.5979949919120163e-06 3.955829863656317e-07 -2.1390239016383045e-06 -5.167835951901534e-06 2.6748954893477723e-06 -8.826215304595958e-08 -2.985477068518832e-06 3.916054009455762e-06 9.082996345621158e-07 -8.0289278511596e-06 -6.648238543309372e-05 -2.5346756942183255e-06
agesex 1.404438582231423e-06 -0.00029218419643400607 6.7218334517650445e-06 -4.797384732482934e-08 -0.00990571235939127 0.0007622328277169286 -1.7773722982386287e-05 1.2858711244333137e-07 2.4350647360270005e-07 -1.3315382288070957e-08 -4.10413760233121e-08 -3.109922481882963e-08 1.2838613021868187e-07 3.6633277854138806e-08 -1.49857170757387e-07 -1.0230533785626927e-08 1.2313091361214766e-07 2.5253687570984675e-07 6.456436921686256e-08 -2.6346563057587445e-07 -8.38792803668135e-08 1.281329676288953e-07 3.504781587531763e-07 -1.191246393948559e-07 -6.928764557495435e-08 2.3646406954521084e-07 -3.338712086579157e-07 -8.492484222224921e-08 1.7620869236273684e-06 4.515156894629596e-06 1.1323937191728112e-07
age2sex -4.2417889716319654e-08 6.715973631944229e-06 -1.574940332722271e-07 1.1432403709287564e-09 0.00022629918410227708 -1.7773722982384695e-05 4.2225656529113343e-07 -3.1055678144360576e-09 -7.2936246937525606e-09 2.0822809184793042e-10 8.708996390607781e-10 3.65096430000734e-10 -2.530325150027299e-09 -2.7838829795658172e-11 2.2178591896128347e-09 -5.33851796763068e-10 -2.3406042695818467e-09 -5.5655808809364345e-09 -1.537335136054283e-09 5.697305277426415e-09 2.870013645473488e-09 -1.7351094785892637e-09 -7.812458001939453e-09 7.473765165298186e-10 2.5698189367675576e-09 -6.02680356881208e-09 8.259581910759363e-09 1.7631689117240896e-09 -6.481791397019399e-08 -9.757216125185164e-08 9.610735229962521e-10
age3sex 4.273634958513989e-10 -4.789254376822118e-08 1.1422435832395613e-09 -8.426488952410262e-12 -1.610569199751352e-06 1.285871124433098e-07 -3.1055678144358222e-09 2.3200053487493976e-11 6.103322896380655e-11 5.395758281188236e-13 -4.4552382031396465e-12 -3.1576373989402503e-12 1.8704744184934478e-11 -2.4963419075995294e-12 -1.0348090790744605e-11 7.308719098675625e-12 1.2174889629028392e-11 3.718767098829312e-11 1.1761240469200785e-11 -3.778140501243155e-11 -2.5202239135182115e-11 4.597442751456159e-12 5.5697965693759146e-11 9.213338338533252e-12 -2.2719575235921618e-11 4.7623093058317915e-11 -6.263736753902464e-11 -1.160881621503574e-11 6.43424123076322e-10 6.714517380110143e-10 -1.613845054540721e-11
pcs.V3 2.5215886489291446e-07 -1.0005518312458091e-07 4.827411326308679e-09 -4.952032098403112e-11 -2.3222593426752846e-06 2.435064736012653e-07 -7.293624693719105e-09 6.10332289635643e-11 1.1759783348727938e-06 9.17143239816449e-08 -3.1075613271082114e-08 -1.3702128704794677e-09 8.431534536113451e-09 1.906838486224339e-08 -8.43469837455554e-09 1.116195242666017e-08 8.559485771135463e-09 -1.5792132959467182e-09 -6.779104889249567e-09 1.1446379737584838e-08 -1.2201593940052249e-09 -1.760653197462856e-08 -1.2630286862134686e-08 -1.0558210418503658e-08 2.7325067904359345e-10 -1.7693381555634758e-08 1.2361871213275642e-08 5.763867079737105e-09 3.128936527397302e-08 7.456027973035734e-07 4.577016481456623e-07
pcs.V4 2.8244299492411293e-07 2.942607892925967e-07 -6.633300015167049e-09 5.066982495985489e-11 2.8473485914834727e-07 -1.3315382287236517e-08 2.0822809182835046e-10 5.395758282613525e-13 9.171432398164508e-08 1.261837856482409e-06 3.722788439755703e-08 -2.9006114985179736e-09 1.797934619966817e-08 -2.78090061243347e-08 -8.060670719597083e-09 2.5120736813671015e-08 -2.2672969665961148e-10 -4.463608098851883e-09 1.4085376151564352e-08 -6.124887302929552e-09 -8.864427863959812e-09 1.836257199828235e-08 1.1492518341518803e-08 8.474728097637533e-09 4.449481721910369e-09 -1.872927292559998e-10 -4.9444927433835066e-09 1.743227713815193e-09 -6.137483828760411e-08 -7.126148892321586e-07 -7.174374344583371e-07
