 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband maternal gm
pcs.V5 1.0054581673886271e-07 -7.677769401462154e-07 1.874694047349394e-08 -1.444741711272299e-10 7.404248297724584e-06 -6.316182729642496e-07 1.648341648097057e-08 -1.331727724145005e-10 -5.133537450041607e-08 6.943116855296781e-08 1.6967065884778616e-06 -1.938475820124997e-08 1.1116815648781875e-08 -2.432754497647224e-08 8.394721137673836e-09 -3.612493668166325e-08 2.859392040103726e-08 1.4490698869256665e-08 -1.5752600355469943e-09 -9.361780388363692e-09 -9.209048834392819e-09 -2.509252631550364e-09 -6.443959857385685e-08 -4.301097319490949e-08 3.967333691164022e-08 3.79229606644481e-08 5.1496173403124465e-08 3.641838784156355e-08 -7.09169510008175e-07 -9.470554741566862e-08 2.43248894328279e-07
pcs.V6 5.80920784298667e-07 1.208403390755789e-06 -3.3571261933803555e-08 2.907366442556739e-10 7.352108709636632e-06 -6.014516393095616e-07 1.746308988245632e-08 -1.6342466632221894e-10 7.1068967210115064e-09 1.806337715993887e-08 -1.938475820124668e-08 1.6614668411413408e-06 6.279931951025569e-09 1.5401912512461859e-09 8.259094252573257e-09 -3.5524830753419495e-08 2.456923290524251e-08 -3.702402061768958e-08 -1.828967285636299e-08 -2.1216185424924708e-08 2.669106064676358e-09 1.1845724603908796e-08 -1.5015470954156122e-08 2.030972279346815e-08 1.2402101976415787e-08 1.4905948521984968e-08 -5.053717720376354e-08 -1.559358968646078e-10 3.6641748708644516e-08 6.999660498933785e-07 -2.601350592761243e-07
pcs.V7 7.830693830578016e-07 -1.6427555290652968e-07 3.1097405279002923e-09 -1.8540778961954964e-11 -2.272319082260263e-05 1.9250131043117927e-06 -5.216114285028657e-08 4.494186402788484e-10 3.971310968619017e-08 1.8263596324818306e-08 1.1116815648775504e-08 6.279931951030614e-09 1.959268990482497e-06 -2.10554658949479e-09 -7.543031108513269e-09 -7.776512180153125e-08 2.7912121523538894e-09 -4.008855477716896e-08 7.972647114308577e-09 -4.3944217914389873e-08 1.6448179104947865e-08 -3.309276167701914e-08 -7.044878875974814e-08 -1.1557552222437894e-08 2.463033584648309e-09 -2.7776726329644166e-08 -1.5083326179705198e-08 1.2783151073188406e-08 -1.1708043932355406e-07 1.3085883950910598e-06 -5.715449681911912e-07
pcs.V8 -7.463650311986355e-07 -2.3686933251162353e-07 5.443910529471591e-09 -4.863719322839728e-11 1.9628818518990267e-05 -1.9376730882797647e-06 5.557001665419772e-08 -4.733364187762645e-10 4.3825263487918584e-08 -2.609457148433999e-08 -2.432754497646622e-08 1.5401912512403524e-09 -2.105546589493143e-09 1.8997448661760208e-06 6.15905248840746e-08 6.0257906450683094e-09 4.353786142682454e-08 9.016612669309677e-08 -3.032701446632028e-08 -1.2608193534108532e-07 -2.3046489363227197e-08 1.0496863835315461e-08 6.9932742302082785e-09 4.7923905966654334e-08 5.900269993612964e-08 4.611724507553631e-08 -2.4929260126645237e-08 5.7176246822176176e-09 4.4556097119639784e-08 5.391105573462394e-07 -2.591513135211671e-07
pcs.V9 1.5609605024764262e-06 6.518509217634338e-07 -1.8524579975672033e-08 1.6062690637242287e-10 -1.309876455354054e-05 1.4742799966803638e-06 -4.783577461929815e-08 4.775666781300178e-10 3.575581795290876e-08 -4.1614884990146134e-08 8.394721137668821e-09 8.259094252577292e-09 -7.543031108514503e-09 6.159052488407447e-08 1.8424045533161426e-06 1.3578158580646378e-08 1.509459983704213e-08 -3.037277212819093e-08 1.1394205799545696e-08 -4.6006185493280686e-08 -9.743088894196428e-09 -1.897086167869636e-08 -1.0380888668466325e-08 -3.3318536751035196e-08 -4.0891605008817656e-08 -6.149353917003015e-09 -2.0720424777827526e-08 4.3941064972319956e-08 -6.354156343543905e-07 2.8283005508985113e-08 3.261599916062399e-07
pcs.V10 5.014736745048616e-07 9.503645368589369e-07 -2.3914904438693384e-08 1.9752661756655768e-10 7.5858061243231e-06 -5.870006292068147e-07 1.514607933998273e-08 -1.3818134521559201e-10 5.329818234018594e-08 2.863525210095429e-08 -3.6124936681660233e-08 -3.5524830753420104e-08 -7.7765121801535e-08 6.0257906450728945e-09 1.357815858064297e-08 1.8644549325067774e-06 1.7869576304097746e-08 2.7046774655507725e-08 3.442109713847602e-08 2.77105429412816e-08 -1.1069523376462148e-08 -5.390737855745231e-09 2.6571241060350132e-08 2.7614639217592683e-08 -1.6608876928838255e-08 2.0687969939521467e-08 -4.230496172283212e-09 -1.2361927446318338e-08 2.031519568017536e-08 6.864854636420402e-07 -5.205710093617161e-07
pcs.V11 -1.655065045345857e-07 6.109215914319331e-08 -2.100005876156251e-09 2.256823390764329e-11 -1.0497299850656496e-05 8.382490810158662e-07 -1.9356592442989908e-08 1.343637088838412e-10 -1.7324067266818987e-08 2.3975470252107794e-09 2.8593920401034507e-08 2.4569232905244507e-08 2.791212152354456e-09 4.3537861426823285e-08 1.5094599837043304e-08 1.7869576304099245e-08 1.850299108151173e-06 3.4994694942693055e-08 1.2323468542663222e-09 -3.431315896205926e-08 2.4916703728859237e-08 -5.1720262021650645e-08 -5.750683874138621e-09 2.8734201682408744e-08 -1.0884366894017623e-08 2.360690424397874e-08 -1.628149182132805e-08 1.1528370664622891e-08 4.2478374656434365e-07 -4.1817727688325215e-07 7.42015013359828e-08
pcs.V12 -8.847540775121893e-08 -1.2138698787894253e-06 2.863792673363276e-08 -2.0297721534839406e-10 -8.687063310930812e-06 6.331580673384463e-07 -1.188555953386822e-08 5.087929553428619e-11 2.0787691831495095e-08 -1.7702257139781554e-08 1.4490698869253343e-08 -3.702402061768841e-08 -4.00885547771646e-08 9.016612669309151e-08 -3.0372772128186654e-08 2.704677465550795e-08 3.4994694942694994e-08 1.8333002148423216e-06 -6.831352269204783e-08 -2.2466386716816016e-09 6.070710745407127e-10 -1.2460918930265312e-08 -2.962303862315764e-08 -5.328113310177945e-08 -6.690752759741996e-08 -6.756681387468243e-09 -3.743081190739695e-08 3.05290511331803e-08 2.9101285742875293e-07 -6.118099473445281e-07 1.4299277626777713e-07
pcs.V13 -3.3822107174711876e-08 4.475606445743924e-07 -1.378856353734267e-08 1.215014106146951e-10 6.7281479668184445e-06 -6.670160534655963e-07 1.8253452443708925e-08 -1.513992062533893e-10 -2.8138415981561536e-08 3.29679521296034e-08 -1.575260035544519e-09 -1.8289672856363907e-08 7.972647114306752e-09 -3.032701446631785e-08 1.1394205799544077e-08 3.44210971384755e-08 1.2323468542657514e-09 -6.831352269204732e-08 1.8782254061772413e-06 -4.271130829353274e-09 3.800622697752745e-08 1.5970590954425098e-08 -3.148161526791424e-08 -2.681665266519622e-08 -7.050776534660118e-08 2.7039581504666533e-08 2.377891065490482e-08 -3.3065144696899e-08 -4.696436628756283e-07 7.429068280809246e-07 -2.978843870200684e-07
pcs.V14 -1.1225606445969389e-06 3.7685783403127344e-07 -9.466976986911954e-09 6.814265346691734e-11 2.2028418326350702e-05 -2.0319358118458505e-06 5.828720212820753e-08 -5.165476806091946e-10 -1.8074464030579318e-08 -6.403264732509089e-08 -9.361780388356042e-09 -2.12161854249294e-08 -4.3944217914392024e-08 -1.26081935341081e-07 -4.6006185493284054e-08 2.771054294127831e-08 -3.43131589620596e-08 -2.2466386716776783e-09 -4.2711308293545134e-09 1.9053751267498048e-06 -1.9440778691026294e-08 5.0991903809807844e-09 -8.868643787676242e-10 -6.66962683066295e-08 1.759864225786225e-08 -4.741771992987359e-08 -3.6867100466439306e-08 1.6406763703548057e-08 -1.2898903552517907e-07 -3.4895842844451594e-07 1.209966409710252e-07
pcs.V15 -1.5231207765262394e-07 -5.263545673143202e-07 1.2651310115919925e-08 -1.0024898290785816e-10 1.3721576090425128e-06 -2.0603084509623715e-07 5.520933794037672e-09 -3.199301294154236e-11 9.609685809541926e-09 -4.1182611057035444e-08 -9.209048834393294e-09 2.669106064674903e-09 1.644817910495148e-08 -2.3046489363230826e-08 -9.743088894193571e-09 -1.1069523376463626e-08 2.4916703728860845e-08 6.070710745423908e-10 3.800622697752619e-08 -1.9440778691030486e-08 1.8906280423028878e-06 -3.1716387656210094e-08 -2.4872300249633248e-08 1.3517161365946646e-08 1.5147897992734937e-08 -5.806631025912129e-08 -3.413561960416242e-08 -2.5757789624529132e-08 -4.498473872809592e-08 -1.6264032634748e-07 -7.557780980682321e-08
pcs.V16 8.232061223107339e-07 -3.803291746630515e-08 -3.406512355465202e-09 5.559151519204908e-11 1.119575748386762e-06 -1.3640892261600693e-07 4.421035528983327e-09 -2.095779685311928e-11 -1.4604427646611064e-08 3.996710425476505e-08 -2.5092526315503926e-09 1.1845724603909021e-08 -3.309276167701894e-08 1.0496863835315276e-08 -1.8970861678696085e-08 -5.390737855745107e-09 -5.17202620216504e-08 -1.2460918930265351e-08 1.5970590954425058e-08 5.099190380980594e-09 -3.1716387656210134e-08 1.8413729174898931e-06 -1.3557476082520133e-08 -6.9306684450085824e-09 -4.3861470786929034e-08 -1.2820767706915981e-08 -3.2487944786842324e-08 2.5806825922098127e-08 -5.465318615417469e-07 4.459488315958233e-07 -2.4620552679907204e-07
pcs.V17 1.0898439916001977e-06 7.361886222934282e-07 -2.0955018379515478e-08 1.837764981208335e-10 -5.062604814703504e-06 3.296781882704719e-07 -8.082001684064878e-09 6.364785136975793e-11 -3.4319307571064306e-08 5.252336995304503e-08 -6.443959857385763e-08 -1.5015470954154772e-08 -7.044878875974961e-08 6.993274230209519e-09 -1.0380888668467236e-08 2.6571241060351337e-08 -5.7506838741392626e-09 -2.9623038623159332e-08 -3.14816152679136e-08 -8.8686437876558e-10 -2.4872300249633847e-08 -1.3557476082520499e-08 1.9241093350231973e-06 5.717470159873566e-08 2.8683426628324014e-08 2.131300793830713e-08 4.551191828736777e-09 -7.988897303275082e-08 3.3996971224800437e-07 -5.643235718586524e-07 2.6842686295744314e-07
pcs.V18 5.058011657569868e-07 5.086168606941768e-07 -7.425695419350104e-09 1.9712892277896983e-11 -1.0472651475777722e-05 1.3090718685219848e-06 -4.5409094653038854e-08 4.566788860338645e-10 2.1856868890248578e-08 8.320834733583777e-09 -4.301097319491428e-08 2.0309722793470268e-08 -1.1557552222436708e-08 4.792390596665196e-08 -3.3318536751033634e-08 2.761463921759454e-08 2.8734201682408394e-08 -5.3281133101782e-08 -2.6816652665195702e-08 -6.669626830662898e-08 1.3517161365944122e-08 -6.930668445008864e-09 5.71747015987364e-08 1.8541720009403476e-06 -1.7086310653412186e-09 -2.4074875662039617e-08 -3.8223447475542956e-08 3.779714337320351e-11 -8.519267189182925e-08 7.053342336530364e-07 -9.011760544242721e-07
pcs.V19 -1.4627864987719142e-06 -1.3496617092603081e-06 3.896205083943739e-08 -3.4831324989435783e-10 5.632321202510886e-06 -5.866628275139353e-07 1.6908043437836355e-08 -1.503310685776845e-10 1.7682233149989905e-08 4.8105732056399895e-08 3.967333691164151e-08 1.2402101976412957e-08 2.4630335846519647e-09 5.900269993612639e-08 -4.089160500881572e-08 -1.6608876928840998e-08 -1.0884366894015794e-08 -6.690752759741621e-08 -7.050776534660278e-08 1.759864225785752e-08 1.5147897992735993e-08 -4.386147078692855e-08 2.8683426628324093e-08 -1.7086310653395992e-09 1.8742463770746117e-06 2.9961853298531015e-08 5.27266642091918e-08 6.806729746545442e-09 3.5137681901903946e-07 5.788150229913952e-07 -1.8452380178519288e-07
pcs.V20 -5.20676978853543e-07 -2.926421877056193e-07 6.132653539443966e-09 -4.11101901709607e-11 8.05539553218627e-06 -8.389589208624093e-07 2.6173866192069777e-08 -2.5158366387828277e-10 -1.2689567792694203e-08 1.4150983410317083e-08 3.792296066445062e-08 1.490594852198283e-08 -2.777672632964322e-08 4.611724507553613e-08 -6.149353917002783e-09 2.0687969939519674e-08 2.360690424397953e-08 -6.756681387465978e-09 2.7039581504665623e-08 -4.741771992987554e-08 -5.806631025911985e-08 -1.2820767706915839e-08 2.1313007938306828e-08 -2.4074875662038548e-08 2.9961853298531836e-08 1.8100505710859855e-06 5.052604631179883e-08 5.482653653230889e-08 -2.697197141408349e-07 4.4145837768846915e-07 -2.9130820294308066e-08
pcs.V21 -1.1453172929920764e-06 -1.1265840340249403e-06 3.397817461762992e-08 -3.093495841709619e-10 2.2900009289884666e-07 1.6079722723032343e-08 -1.6564475742526269e-09 1.5899943353035846e-11 3.8972991174572016e-08 -2.6468905853048853e-08 5.149617340312368e-08 -5.053717720376481e-08 -1.5083326179701783e-08 -2.4929260126648857e-08 -2.0720424777825196e-08 -4.23049617228467e-09 -1.6281491821326516e-08 -3.743081190739478e-08 2.377891065490379e-08 -3.686710046644308e-08 -3.4135619604162525e-08 -3.248794478684195e-08 4.551191828737297e-09 -3.82234474755417e-08 5.272666420919079e-08 5.052604631179773e-08 1.911993161252296e-06 4.0933191947172575e-08 6.235478238255442e-07 -4.034549411213565e-07 2.1098459963102132e-07
pcs.V22 -1.968729946444362e-06 1.0034841979182198e-07 -2.78554818221923e-10 -2.3452990416728026e-11 2.0155882377767518e-05 -1.911428349309036e-06 5.4730126067822525e-08 -4.933097489050386e-10 7.274106976803249e-10 -1.2986339752342828e-08 3.6418387841571024e-08 -1.5593589686913916e-10 1.2783151073186028e-08 5.717624682222036e-09 4.394106497231665e-08 -1.23619274463216e-08 1.1528370664622344e-08 3.052905113318409e-08 -3.306514469690003e-08 1.6406763703548272e-08 -2.5757789624525148e-08 2.580682592209842e-08 -7.988897303275294e-08 3.7797143372848895e-11 6.806729746550012e-09 5.482653653231077e-08 4.093319194717637e-08 1.8870827631887843e-06 -2.7874558995327064e-07 -2.856783862382126e-07 5.104015868227182e-07
proband 1.872186787680759e-05 3.3721556745992225e-06 -9.616792506823571e-08 1.0652704219830987e-09 -7.842790955675973e-05 8.000981606696022e-06 -2.3096550729783244e-07 1.9131159504282513e-09 7.608785686764786e-07 -6.390026161864029e-07 -7.091695100082033e-07 3.6641748708669974e-08 -1.1708043932355907e-07 4.45560971196396e-08 -6.354156343543918e-07 2.031519568019609e-08 4.2478374656434015e-07 2.9101285742872975e-07 -4.6964366287561804e-07 -1.2898903552516076e-07 -4.498473872811191e-08 -5.465318615417492e-07 3.39969712248012e-07 -8.519267189183837e-08 3.5137681901902453e-07 -2.697197141408364e-07 6.235478238255276e-07 -2.787455899532527e-07 0.0001743769799781174 -9.499239298017329e-05 6.169691926925956e-06
maternal -1.9897053349034003e-07 7.179823683959322e-06 -2.0084646097898961e-07 1.701120971089184e-09 0.0003898533940031356 -3.5012102905585504e-05 9.853883789270461e-07 -8.577938533014756e-09 -3.5776694166162223e-07 2.2049415228086647e-07 -9.470554741556215e-08 6.999660498932768e-07 1.3085883950911016e-06 5.391105573462306e-07 2.8283005509010256e-08 6.864854636419628e-07 -4.1817727688323463e-07 -6.118099473444545e-07 7.429068280808796e-07 -3.4895842844459096e-07 -1.6264032634741959e-07 4.4594883159582144e-07 -5.643235718586758e-07 7.053342336531043e-07 5.788150229914484e-07 4.4145837768846216e-07 -4.0345494112128946e-07 -2.8567838623829347e-07 -9.499239298017333e-05 0.0006655614587008647 -0.00046328096611950964
gm -2.1149169929647624e-05 -3.8144700026975108e-06 9.183416650469121e-08 -8.383216746996919e-10 -0.00016031047102723752 1.321581523501804e-05 -3.440682590725658e-07 2.7780312669029616e-09 9.218393510805167e-07 -8.175358580632268e-07 2.432488943282561e-07 -2.601350592760695e-07 -5.715449681912627e-07 -2.5915131352111043e-07 3.2615999160618625e-07 -5.20571009361672e-07 7.420150133595712e-08 1.4299277626773734e-07 -2.9788438702003487e-07 1.2099664097110197e-07 -7.557780980683983e-08 -2.4620552679906865e-07 2.6842686295744303e-07 -9.01176054424336e-07 -1.845238017851982e-07 -2.913082029428218e-08 2.109845996309944e-07 5.104015868228033e-07 6.16969192692585e-06 -0.000463280966119509 0.0004473713737576591
