 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband maternal gm
intercept 0.002078385882331937 0.0007897893132391775 -2.3968015585383846e-05 2.305329589664828e-07 -0.0019969212717780697 0.00020670364836632973 -6.670876684125798e-06 6.730274820784243e-08 -1.933238401185706e-06 2.151450218601394e-06 1.0054581673818437e-07 5.809207842999446e-07 7.830693830563955e-07 -7.463650311982861e-07 1.5609605024757852e-06 5.014736745060896e-07 -1.6550650453542975e-07 -8.847540775299741e-08 -3.3822107174229087e-08 -1.1225606445947357e-06 -1.5231207765312784e-07 8.232061223103783e-07 1.0898439916001761e-06 5.058011657557579e-07 -1.4627864987719646e-06 -5.20676978853055e-07 -1.1453172929925567e-06 -1.968729946441836e-06 1.872186787680598e-05 -1.9897053346733954e-07 -2.114916992965189e-05
age 0.0007897893132374361 0.0016079276385069495 -4.4232242303723905e-05 3.806407751357553e-07 0.01750172672616334 -0.001555100199361764 4.2745897277898186e-05 -3.675582849152911e-07 -1.4243912386777382e-06 6.97990898109414e-07 -7.677769401402666e-07 1.2084033907522664e-06 -1.6427555290951793e-07 -2.3686933250984934e-07 6.518509217594567e-07 9.503645368577532e-07 6.109215914137909e-08 -1.2138698787889438e-06 4.4756064457381646e-07 3.768578340362482e-07 -5.263545673112115e-07 -3.8032917466782034e-08 7.361886222910821e-07 5.086168606915399e-07 -1.349661709255917e-06 -2.9264218770221583e-07 -1.1265840340218457e-06 1.0034841979665988e-07 3.372155674584418e-06 7.179823684107975e-06 -3.814470002787765e-06
age2 -2.3968015585320654e-05 -4.4232242303649746e-05 1.2323392501707404e-06 -1.0730187618162553e-08 -0.0004746073414127018 4.273397417615343e-05 -1.1897211594016527e-06 1.0351096157175843e-08 3.947955909473948e-08 -1.5618820449004825e-08 1.874694047333114e-08 -3.3571261933710686e-08 3.109740527984331e-09 5.443910529419359e-09 -1.8524579975563596e-08 -2.3914904438661964e-08 -2.1000058761073057e-09 2.863792673362109e-08 -1.3788563537328585e-08 -9.466976987047151e-09 1.2651310115834904e-08 -3.40651235545176e-09 -2.0955018379452047e-08 -7.425695419279829e-09 3.8962050839318665e-08 6.1326535393513175e-09 3.3978174617547016e-08 -2.785548183536936e-10 -9.61679250678232e-08 -2.0084646098311554e-07 9.183416650718613e-08
age3 2.305329589660461e-07 3.806407751360432e-07 -1.073018761818534e-08 9.45417678117411e-11 4.034495489635329e-06 -3.6736665647213286e-07 1.0348712411280791e-08 -9.111157758449883e-11 -3.3516217887398545e-10 1.2114895355709544e-10 -1.4447417112583527e-10 2.907366442549111e-10 -1.8540778962703155e-11 -4.8637193227905036e-11 1.606269063714977e-10 1.9752661756629642e-10 2.2568233907230584e-11 -2.0297721534830436e-10 1.2150141061458761e-10 6.814265346805925e-11 -1.0024898290713101e-10 5.5591515191931526e-11 1.8377649812029958e-10 1.9712892277313067e-11 -3.4831324989335415e-10 -4.111019017017708e-11 -3.093495841702681e-10 -2.3452990415610605e-11 1.0652704219794724e-09 1.70112097112474e-09 -8.383216747212586e-10
sex -0.0019969212718175325 0.017501726726119604 -0.00047460734141145796 4.0344954896242465e-06 0.4972272541632653 -0.043990677648811524 0.001208100903526372 -1.0407081317664137e-05 -1.8821650687510642e-06 -1.1459293881757067e-07 7.404248297882289e-06 7.352108709537178e-06 -2.272319082267083e-05 1.9628818519090735e-05 -1.3098764553612298e-05 7.585806124254888e-06 -1.0497299850666965e-05 -8.68706331085733e-06 6.728147966794019e-06 2.2028418326352785e-05 1.3721576091297862e-06 1.1195757483879565e-06 -5.062604814745425e-06 -1.0472651475782501e-05 5.632321202615761e-06 8.055395532228116e-06 2.2900009298174948e-07 2.0155882377769317e-05 -7.842790955718409e-05 0.0003898533940049651 -0.0001603104710291044
agesex 0.00020670364837012886 -0.0015551001993575693 4.273397417603391e-05 -3.673666564710674e-07 -0.043990677648813314 0.003952708046202046 -0.00010999006261168937 9.581518689106812e-07 1.7108278400884226e-07 1.5296259043465496e-08 -6.316182729784853e-07 -6.01451639300731e-07 1.925013104317983e-06 -1.9376730882888525e-06 1.4742799966868026e-06 -5.870006292007381e-07 8.382490810168003e-07 6.331580673319119e-07 -6.670160534634356e-07 -2.0319358118461236e-06 -2.060308451040831e-07 -1.3640892261609118e-07 3.296781882742297e-07 1.3090718685223596e-06 -5.866628275232601e-07 -8.389589208661575e-07 1.6079722715675117e-08 -1.911428349309278e-06 8.000981606734721e-06 -3.5012102905754525e-05 1.3215815235188309e-05
age2sex -6.670876684237924e-06 4.2745897277778084e-05 -1.1897211593983414e-06 1.0348712411251903e-08 0.0012081009035264834 -0.00010999006261169482 3.0999502416571745e-06 -2.7324306023397404e-08 -3.230718268421563e-09 -1.487729113712239e-09 1.6483416481368367e-08 1.7463089882213833e-08 -5.216114285046073e-08 5.557001665445242e-08 -4.7835774619476996e-08 1.5146079339815335e-08 -1.935659244301565e-08 -1.1885559533688505e-08 1.825345244364993e-08 5.828720212821764e-08 5.520933794256054e-09 4.421035528985106e-09 -8.082001684168984e-09 -4.540909465304785e-08 1.6908043438092794e-08 2.6173866192173767e-08 -1.6564475740507785e-09 5.473012606783144e-08 -2.3096550729892385e-07 9.853883789318797e-07 -3.440682590773759e-07
age3sex 6.730274820894178e-08 -3.675582849133442e-07 1.0351096157121906e-08 -9.11115775840348e-11 -1.0407081317665648e-05 9.581518689107771e-07 -2.7324306023398764e-08 2.4370197250755603e-10 -3.248992773999048e-12 3.539719155479656e-11 -1.3317277241797875e-10 -1.6342466632013625e-10 4.4941864028038205e-10 -4.733364187784988e-10 4.775666781315717e-10 -1.3818134521414944e-10 1.3436370888406258e-10 5.0879295532740087e-11 -1.5139920625288587e-10 -5.165476806093042e-10 -3.1993012943444135e-11 -2.0957796853130524e-11 6.364785137065987e-11 4.566788860339311e-10 -1.5033106857989048e-10 -2.5158366387918626e-10 1.58999433513038e-11 -4.933097489051342e-10 1.9131159504378727e-09 -8.577938533057952e-09 2.778031266945466e-09
pcs.V3 -1.9332384011849287e-06 -1.424391238679355e-06 3.947955909478157e-08 -3.3516217887432713e-10 -1.8821650688060163e-06 1.71082784013706e-07 -3.2307182685543655e-09 -3.248992772865955e-12 1.7503352658735545e-06 1.1842928692008861e-07 -5.1335374500417016e-08 7.106896721011304e-09 3.9713109686192704e-08 4.3825263487915526e-08 3.575581795291086e-08 5.329818234018526e-08 -1.732406726681783e-08 2.078769183149644e-08 -2.8138415981561966e-08 -1.807446403058204e-08 9.609685809541542e-09 -1.4604427646610607e-08 -3.431930757106368e-08 2.1856868890249547e-08 1.7682233149988317e-08 -1.268956779269507e-08 3.897299117457135e-08 7.274106976775232e-10 7.608785686764935e-07 -3.5776694166166956e-07 9.218393510805373e-07
pcs.V4 2.1514502186008806e-06 6.979908981099497e-07 -1.5618820449018834e-08 1.2114895355720928e-10 -1.1459293879413738e-07 1.529625904136335e-08 -1.487729113654009e-09 3.539719155429225e-11 1.1842928692008876e-07 1.792415205552246e-06 6.943116855296809e-08 1.8063377159938897e-08 1.8263596324816923e-08 -2.6094571484338523e-08 -4.161488499014745e-08 2.86352521009545e-08 2.3975470252101255e-09 -1.7702257139781924e-08 3.296795212960352e-08 -6.40326473250894e-08 -4.1182611057035365e-08 3.996710425476491e-08 5.252336995304464e-08 8.320834733582973e-09 4.810573205640088e-08 1.4150983410317604e-08 -2.646890585304833e-08 -1.2986339752341116e-08 -6.390026161864114e-07 2.2049415228087696e-07 -8.17535858063224e-07
