 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband maternal gpm gmm
intercept 0.0030804486376053548 0.001045548087241467 -3.308139932262442e-05 3.2202989323648997e-07 -0.018509985332793483 0.0014495983351013944 -3.713197595507818e-05 3.1045846142744413e-07 -4.52315020894316e-06 6.92045042340407e-06 1.1057778154014068e-06 2.375642690224585e-06 2.663038579596546e-06 -1.174750385068071e-06 4.094549194476493e-06 7.749561170240743e-07 -2.552179335178991e-07 -6.549666384398437e-07 -1.039732355981938e-06 -2.7090068988738755e-06 -3.4275478265427287e-07 1.7156086239859423e-06 2.896469233402998e-06 -8.725278629486619e-07 -3.0652640527165553e-06 -7.584670800544228e-07 -2.2396091205851123e-06 -5.004770180520051e-06 5.200384135645743e-05 1.0892284543572018e-06 -0.00014345286771556612 4.518216577684951e-05
age 0.0010455480873013147 0.03236544992748635 -0.0007302924748362581 5.34571375087616e-06 0.43171076025860805 -0.02993213100137083 0.0006736714563690912 -4.92046831184065e-06 -1.7903868004553397e-05 -2.402997014463908e-06 5.3726324509846e-06 -2.9643482363935453e-06 -1.3717774555702414e-05 -7.1274102300286625e-06 9.559174287896906e-06 6.650478836783754e-06 6.032867499531323e-06 -1.3027056380136495e-06 6.7232038784655405e-06 -3.1372112936957613e-06 4.373829565015963e-06 -6.510709963674831e-06 2.848781283336423e-06 3.569855020308834e-06 -4.717190528474198e-06 6.089209427958822e-06 -8.63089822870709e-06 1.6305951266982506e-06 2.2839705249285267e-05 7.078511151979647e-05 -0.0003422723943229403 0.00016007955217162508
age2 -3.308139932392192e-05 -0.0007302924748369492 1.6572172768070825e-05 -1.2199077396707892e-07 -0.009650452323913454 0.0006727164537054606 -1.522378944897616e-05 1.1179630655213994e-07 4.1347440615640877e-07 4.413797513771142e-08 -1.2123447392101302e-07 4.708299344726897e-08 2.887835813443891e-07 1.6549699819651012e-07 -2.1994416924280422e-07 -1.553711657719307e-07 -1.398224957394292e-07 3.865796603092596e-08 -1.5777102803413605e-07 7.234833771679639e-08 -9.332083041124941e-08 1.2803264058110892e-07 -8.407624648971329e-08 -6.647154524553602e-08 1.215635090810388e-07 -1.367088308380763e-07 2.0265603398365364e-07 -2.0264854438000088e-08 -6.046738602184666e-07 -1.5101073478751286e-06 8.50054996511041e-06 -4.474494324875871e-06
age3 3.2202989324560505e-07 5.345713750882021e-06 -1.2199077396709872e-07 9.031820615026293e-10 7.002109009668699e-05 -4.906361071668679e-06 1.1163648705423134e-07 -8.243656599105777e-10 -3.088142274774848e-09 -2.3368075368000686e-10 8.975007669639173e-10 -2.0316483975267326e-10 -1.965779331472508e-09 -1.2538255432662757e-09 1.6413350534079408e-09 1.1641183233310872e-09 1.0547825707599693e-09 -3.1395451552468825e-10 1.186669174519772e-09 -5.576574191414741e-10 6.507520288602245e-10 -7.990733817118054e-10 7.46691311602332e-10 3.717743713132682e-10 -9.970133030438872e-10 1.0008788895940812e-09 -1.5452393034160437e-09 1.6357351505363706e-11 5.4785380639860134e-09 1.060319767781431e-08 -6.888021167093905e-08 3.9189715276284804e-08
sex -0.018509985331526493 0.431710760275895 -0.009650452324309059 7.002109009962261e-05 17.897495173599687 -1.2499833335647088 0.028360672795602327 -0.0002090501263486335 -0.00015274153499999162 4.176714793496004e-05 0.00021127036000124244 -0.00011262985990494538 -0.0002586606491274734 -9.663317209596745e-05 0.00010987471498729123 0.0001511452684268403 -0.00012914427786587162 0.00021770247673236312 -0.00010017656739697696 -3.132560839761513e-05 0.00020433834246148493 0.0001121436080557909 -0.00031041301880813284 0.0002572037535365747 8.157215829168935e-05 0.00016252658357970008 1.6444792045174968e-05 3.3330892336841735e-05 -0.0016691748307121022 -0.0011080932629675042 0.01072358857156768 -0.0074021936647786545
agesex 0.0014495983349861548 -0.029932131002502246 0.0006727164537315252 -4.906361071863396e-06 -1.2499833335645603 0.08775580365746528 -0.0020013072056103537 1.4824644579722045e-05 1.0706170178666788e-05 -2.653267527897743e-06 -1.47783300995747e-05 7.2354538248950815e-06 1.7593576545350452e-05 6.145346902622603e-06 -5.730992951518973e-06 -1.0622569319546573e-05 9.033725127952107e-06 -1.5122886497066856e-05 6.076624683189983e-06 1.708254736227102e-06 -1.3822881398067647e-05 -8.779485350628989e-06 2.0781890186144497e-05 -1.709004924022851e-05 -6.172261980083075e-06 -1.1481935754944406e-05 -2.169380499235419e-06 -3.0603588333373906e-06 0.00012427847740937583 6.811221979519709e-05 -0.0006804974293710283 0.0004680671830326158
age2sex -3.713197595275092e-05 0.0006736714563955443 -1.5223789449584094e-05 1.1163648705876083e-07 0.028360672795595697 -0.002001307205610127 4.587965239786013e-05 -3.416132125946617e-07 -2.40443503495665e-07 5.417824097674015e-08 3.3586390013454203e-07 -1.4614835996547192e-07 -3.901772214021188e-07 -1.2665266290909291e-07 8.527474328570502e-08 2.401703122041765e-07 -1.9986092952901392e-07 3.4487316098889706e-07 -1.212521877824525e-07 -2.3187452795644676e-08 3.030483553404167e-07 2.1995581871611296e-07 -4.5516773147035887e-07 3.624064707340868e-07 1.5091536026179923e-07 2.6713466758484017e-07 6.810958303965055e-08 8.688587233861027e-08 -2.9727400069855067e-06 -1.273346043733122e-06 1.3974274807721914e-05 -9.57668028333368e-06
age3sex 3.1045846141214206e-07 -4.920468312049672e-06 1.1179630655691903e-07 -8.243656599460155e-10 -0.00020905012634856408 1.4824644579718943e-05 -3.416132125946293e-07 2.5571018677162652e-09 1.7127731816644596e-09 -3.3147829533410697e-10 -2.482333644322865e-09 9.344576674204706e-10 2.813460663196386e-09 8.772700263782029e-10 -2.8217444599638456e-10 -1.7651027172056378e-09 1.4143315125113467e-09 -2.582471621478676e-09 7.93089171296435e-10 4.033613519674657e-11 -2.1467551087753054e-09 -1.7289775449937737e-09 3.2560794381193314e-09 -2.469052794948471e-09 -1.2012934213887658e-09 -2.045389716912098e-09 -6.313385565441367e-10 -7.848031020453995e-10 2.2662520618631047e-08 7.3439440961194185e-09 -9.27932560967895e-08 6.320090107893031e-08
pcs.V3 -4.523150208964318e-06 -1.790386800445899e-05 4.1347440615434397e-07 -3.088142274760137e-09 -0.000152741534988123 1.0706170177833902e-05 -2.40443503476676e-07 1.7127731815238031e-09 4.6365502169424246e-06 2.2233035081218734e-07 -7.464151271214802e-08 -1.4623988412081063e-08 5.195615868635033e-09 2.307380888216364e-07 -8.832048021188423e-09 1.1345547590772794e-07 -1.377608541946743e-07 1.6912865189991698e-08 -3.9794497584453027e-08 -5.65368391688469e-09 1.7670006542124485e-07 4.4828087749056945e-08 -2.145087288543262e-08 2.2452293123478794e-08 -3.4822018133717285e-08 -7.10757342995003e-08 1.473205435567784e-07 -1.312414888655549e-07 2.2646337479501546e-06 7.451837004693195e-07 3.446921806992589e-06 -1.0543327531265718e-07
pcs.V4 6.920450423402564e-06 -2.4029970143682926e-06 4.413797513554718e-08 -2.336807536641126e-10 4.176714793755866e-05 -2.6532675280811077e-06 5.417824098094317e-08 -3.3147829536539166e-10 2.2233035081214335e-07 4.56770647510943e-06 2.23075764589635e-07 1.691679639912658e-07 -5.737291474701422e-08 -1.5015299920043612e-08 -1.9384885702686993e-08 6.38337037974921e-08 7.169817216367239e-09 -1.1307218681998076e-07 8.197830785067838e-08 -5.793271793353003e-08 -1.3246389076382595e-07 9.390448763370738e-09 1.3488820640719962e-07 -1.936242140274049e-08 1.614360235514225e-07 6.902030912746115e-08 -5.896121024278424e-08 -8.948916441070592e-08 -8.679995861565436e-07 7.24896371570393e-07 -7.610025861176118e-07 -4.135221811774115e-06
pcs.V5 1.1057778154157447e-06 5.37263245119417e-06 -1.21234473925814e-07 8.975007669995612e-10 0.0002112703600011576 -1.4778330099570562e-05 3.358639001344871e-07 -2.4823336443227062e-09 -7.464151271228723e-08 2.2307576458960412e-07 3.919254494131267e-06 -7.635522305397209e-08 -8.102894435860273e-08 -4.425268178756548e-08 -8.119250116589007e-08 -9.447195518962342e-08 -9.882173181422801e-08 8.666959535725057e-08 3.37563370642138e-08 1.801564105942934e-08 2.6873669549439326e-08 -2.4597985486020588e-08 -7.089394080118801e-08 -8.965658223584027e-08 1.0798280475854425e-07 9.905668863245837e-08 1.4341164182752674e-07 1.6086249580608715e-08 -1.3881640678466616e-06 -1.2735108199727766e-06 2.1761112433834184e-06 2.3574445468340717e-07
pcs.V6 2.3756426902175695e-06 -2.96434823650729e-06 4.708299344986286e-08 -2.031648397718629e-10 -0.00011262985990544165 7.235453824930712e-06 -1.4614835996630122e-07 9.34457667426716e-10 -1.4623988412009009e-08 1.691679639912791e-07 -7.635522305397852e-08 4.047915614876417e-06 -4.928339064352946e-08 5.0824896529221216e-08 1.2781653506850492e-07 -1.1865470761738783e-07 1.8647699744459907e-07 -1.0065417026979838e-07 7.884317036776129e-08 3.1709891360424557e-10 -4.408844798737753e-08 -2.009224532838769e-08 -7.524244468456453e-08 3.7380546998045697e-08 1.9365361535086516e-08 -9.267489314368974e-09 -1.1515889928554538e-07 8.012993428656581e-08 8.367307579270342e-07 1.9351714682112877e-06 -1.2227464485796e-06 -5.54309844208766e-07
pcs.V7 2.6630385795754886e-06 -1.371777455584514e-05 2.887835813476969e-07 -1.965779331497305e-09 -0.0002586606491226529 1.75935765450135e-05 -3.901772213944649e-07 2.813460663139862e-09 5.195615868762168e-09 -5.737291474697019e-08 -8.102894435854733e-08 -4.9283390643563785e-08 4.813194087735348e-06 3.63659013543742e-08 -3.4042997382072333e-09 -1.4619078036953137e-07 5.617529289925101e-08 -1.486884339624605e-07 -4.622124287762181e-09 -1.6045645365110196e-07 -2.855632740711091e-09 -1.5192264395209881e-07 -7.18628960677514e-08 -9.528401088606718e-08 2.2340531323351675e-08 -1.7974926545672624e-08 6.94509753963834e-08 6.17218110040788e-08 -9.554209147517918e-07 2.9755546238199937e-06 -1.096174427879253e-06 -8.889228500020967e-08
