 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal gp
pcs.V5 3.024272839048577e-06 -1.5898957930505267e-06 3.650342054988839e-08 -2.336610011834544e-10 6.561079270576529e-06 -5.092986415729051e-07 1.4626964310101021e-08 -1.411089578415477e-10 -3.756716422227471e-09 1.0737107334501828e-07 2.62641505432079e-06 2.060794689903757e-08 1.8563233835078318e-08 1.8872403548998857e-08 -3.9898968717450725e-08 -8.276324430154673e-08 6.352030046707143e-08 1.007223096889161e-07 -9.91257360795485e-09 -5.858018526108857e-08 4.148534392605695e-08 -2.5132008012761172e-08 -9.931109591354349e-08 -9.56415363482514e-08 4.1410230746717636e-08 5.7531778136198673e-08 5.947501864934932e-08 3.131340006471352e-08 -8.912190975436058e-07 -1.4932217925630447e-07 -1.7070914446851707e-07
pcs.V6 -1.5495289985258574e-06 5.005166295629949e-07 -1.2326486173554071e-08 7.733119438148278e-11 8.091820756177833e-06 -6.769924041180958e-07 1.9802865286356854e-08 -1.7510616546445417e-10 -1.5083530481648203e-08 2.3184751227122936e-10 2.0607946899041966e-08 2.529281612469361e-06 5.005538817788276e-09 2.8741802890336302e-08 -9.034064326517148e-09 -8.5120096140166e-08 1.0594603231493414e-07 1.6316190649053032e-09 -5.0812228747502406e-08 -1.908878920890755e-08 2.925799062754646e-08 4.44712555336311e-08 -9.518493535683264e-08 3.227768400904457e-08 -1.2361303623825263e-08 1.7559469084699446e-08 -7.551617309591062e-08 -3.808112450902937e-09 -6.747197756349053e-08 9.631785086006132e-07 -6.492101418585007e-07
pcs.V7 7.498932620349978e-07 -6.03496354390287e-07 1.3004694786534888e-08 -9.051599057509736e-11 -3.410998095069192e-05 2.849341763455094e-06 -7.69180155770252e-08 6.619719432571891e-10 8.796964515545812e-08 2.206768639931334e-08 1.8563233835063565e-08 5.005538817791952e-09 2.9768152547501176e-06 2.06585864258207e-08 -1.9511496794159157e-08 -1.5273055339136812e-07 -3.854347682694183e-09 -7.119886013471491e-08 -2.9407271163394125e-08 -9.809291919776795e-08 7.029632461670701e-08 -3.73493540402497e-08 -1.1229205639580083e-07 1.9395642293225888e-08 2.6750574450612888e-08 -2.315994402529508e-09 -3.514868933254929e-08 -1.061003944758971e-08 5.504841931309868e-07 -1.0996143568667178e-06 6.912684257233797e-07
pcs.V8 -1.0222441803843243e-05 -1.7976177844029864e-06 5.647593816873124e-08 -5.868974255901612e-10 5.644419037878563e-05 -5.422787430410366e-06 1.6034347778033385e-07 -1.4806710589724957e-09 4.843391435795742e-08 -6.481806161410516e-08 1.8872403549026965e-08 2.8741802890322098e-08 2.065858642584519e-08 2.85549486101069e-06 7.700339135344849e-08 5.392069752345959e-08 6.469117207373196e-08 2.0018930175783673e-07 -2.291223838263004e-08 -1.4006555335732434e-07 -9.149074982474198e-08 -9.68600892307395e-09 1.1406883673778378e-08 2.622446307547741e-08 1.2858573647542613e-07 8.252318483341677e-08 -8.853152540336739e-09 -3.609008143606825e-08 -1.3231106456231994e-07 1.959234233146842e-06 -1.5367542203515797e-06
pcs.V9 -3.2411668196867756e-06 -5.741283118618593e-07 2.900918146672971e-08 -3.8824423495769673e-10 -1.066446007698663e-05 1.431572321009251e-06 -5.204587670129942e-08 5.845531697124938e-10 -1.4820679800580146e-08 -6.322589131336934e-08 -3.989896871746063e-08 -9.03406432651566e-09 -1.951149679415553e-08 7.700339135342335e-08 2.8186607654320098e-06 3.637585949027723e-08 -6.879555919534708e-09 -1.5393308518257066e-08 -4.533295149474942e-08 -1.0765053425593032e-07 -2.9479629538689238e-08 -1.1428960638756576e-08 4.4053916303004006e-08 -8.693806924604677e-08 -1.5124250848194204e-07 -8.017203021987456e-08 -5.514826527050919e-08 8.50700820897517e-09 -3.417652031819468e-07 9.094987093835136e-07 -3.805211168900012e-07
pcs.V10 -3.2739524562537755e-06 -2.4723026957165917e-06 8.783664219661254e-08 -9.292563168859642e-10 -3.4833909654544923e-05 3.773776436214983e-06 -1.255034894355054e-07 1.2913262137676334e-09 6.663370943786797e-08 5.308436019268862e-08 -8.276324430157226e-08 -8.512009614016482e-08 -1.5273055339134996e-07 5.3920697523379166e-08 3.63758594902832e-08 2.9568395929736596e-06 1.9541804975914057e-09 2.3679364296960672e-08 -4.064327396230766e-09 1.3776671978723012e-08 -4.886432325674076e-08 1.2245417939229463e-08 1.4571225257258974e-07 3.490569507800362e-08 2.5037683334998818e-08 8.413846413317546e-09 2.4519889448692253e-08 -8.718272665696044e-08 5.441239635533152e-07 4.732173084179479e-07 -5.139631614437598e-07
pcs.V11 -2.098959222134433e-06 -1.3250241260569758e-06 3.871908001418629e-08 -3.4020864538468703e-10 -1.359960980242754e-05 9.026092712033504e-07 -1.3506466527065707e-08 3.2376749263076674e-12 -8.698303637634707e-08 1.0030065800017893e-07 6.352030046706812e-08 1.059460323149326e-07 -3.854347682686237e-09 6.469117207371122e-08 -6.8795559195291305e-09 1.9541804976029246e-09 2.8900981696866283e-06 9.220231200037847e-08 1.9260361542936937e-09 -1.5027690155628137e-08 2.319896239442549e-08 -6.395851820348967e-08 -4.681300445927655e-08 3.6927939155036155e-08 -8.684473928761995e-08 5.276793620517938e-08 -4.220219931710058e-08 5.630517671585173e-08 8.874080396631811e-07 -1.237734799961079e-06 8.917238641114402e-07
pcs.V12 -4.707264822319474e-06 -4.444435655249791e-06 1.2820483724725878e-07 -1.1618004537700535e-09 -1.2935264454385301e-05 1.3191393779337969e-06 -3.982731622028954e-08 3.661188082035352e-10 1.1250377376062727e-07 -4.382276452805185e-08 1.007223096889031e-07 1.6316190648964451e-09 -7.119886013467336e-08 2.0018930175773521e-07 -1.539330851823155e-08 2.3679364297017963e-08 9.220231200038019e-08 2.8567490840106276e-06 -1.62398264274611e-07 -2.9628131130404115e-08 2.27608475137142e-08 -6.148573582779552e-08 -3.5023263010800074e-09 -1.1230773127357272e-07 -8.556558557813539e-08 -1.0513438931769846e-08 -1.8628960882353412e-08 4.771073860908844e-08 -3.2892896229610743e-07 7.517725494645807e-07 2.733929185779788e-07
pcs.V13 -1.3004108025811211e-05 -2.9184328442540197e-06 1.0321108523714396e-07 -1.1274138445897662e-09 1.8579210383812117e-05 -1.5468162425104155e-06 3.669941991234625e-08 -2.5699048520241373e-10 -6.064895558902535e-08 4.28536032080063e-08 -9.912573607950047e-09 -5.0812228747511915e-08 -2.9407271163364915e-08 -2.291223838267953e-08 -4.533295149472756e-08 -4.06432739617259e-09 1.9260361543014005e-09 -1.6239826427457285e-07 2.955674491662625e-06 -5.979375094579669e-08 2.6369179251731806e-08 5.331350361919259e-08 -8.919022565714506e-08 -4.0820640232354144e-08 -1.7657691694813336e-07 1.5435627766588723e-08 -8.658751526470957e-08 -2.4115571054831653e-08 -2.133242183632331e-07 -1.7487173237005866e-06 3.4622184353529793e-07
pcs.V14 -4.505218960719527e-06 1.4656206274277912e-06 -3.80467574375524e-08 2.95548927463684e-10 5.909020209268963e-05 -5.557555368782145e-06 1.6320001810231257e-07 -1.503601732976846e-09 -2.8406280998291505e-08 -5.7471574155318516e-08 -5.858018526105632e-08 -1.9088789208913803e-08 -9.809291919777404e-08 -1.400655533572574e-07 -1.0765053425592596e-07 1.377667197875311e-08 -1.502769015561142e-08 -2.9628131130317175e-08 -5.979375094572925e-08 2.82247719849292e-06 -1.8846794239257754e-08 -3.9002593587270344e-08 3.8416751522982754e-08 -9.121393978244211e-08 2.1931761456449e-08 -6.052321578484235e-08 -5.387061544327875e-08 3.689694394470673e-08 2.829228913280643e-07 1.8032339957197388e-07 -6.824417773437986e-07
pcs.V15 -3.8230982887886577e-07 1.1697576290285731e-07 -1.137164360990155e-08 1.7638526924845657e-10 1.4795312374559513e-05 -1.7882021727212154e-06 6.442393296978775e-08 -7.146635231566592e-10 -1.5297111847801322e-08 -1.4351767391412696e-07 4.148534392606912e-08 2.9257990627543708e-08 7.029632461670584e-08 -9.149074982471825e-08 -2.947962953868648e-08 -4.8864323256726786e-08 2.3198962394432475e-08 2.2760847513748278e-08 2.6369179251757396e-08 -1.8846794239260335e-08 2.944924782105361e-06 -1.9846651243508278e-08 -2.0463356399002394e-08 2.899107894606639e-08 5.326947121934162e-08 -1.515982127072767e-07 -4.477143568815039e-08 -7.28586752825316e-08 -6.716297668121413e-07 6.747021125377227e-07 -4.870222515369209e-07
pcs.V16 1.4905192569948107e-06 -1.0907593850433975e-06 2.3010337115477666e-08 -1.6973358974363508e-10 -2.9008969169508086e-05 2.418035671347767e-06 -6.588247934565515e-08 6.158710482311952e-10 -1.6642087455498428e-08 7.747034646232477e-08 -2.5132008012774814e-08 4.4471255533632835e-08 -3.734935404024411e-08 -9.686008923107573e-09 -1.142896063875622e-08 1.2245417939222255e-08 -6.395851820349566e-08 -6.148573582782903e-08 5.331350361916448e-08 -3.900259358727684e-08 -1.98466512435117e-08 2.9020160998862637e-06 -3.272394138152262e-08 -5.643355515049514e-08 -1.0055708133995197e-07 -1.8393917964232978e-08 -1.1558015981982715e-07 -2.036159444099762e-08 -3.9337336453074117e-07 -2.3861977474869102e-06 1.3671088577510409e-06
pcs.V17 3.5210634732908394e-06 1.0091536573926753e-06 -2.8567081233019875e-08 2.586827698039598e-10 -2.3933036033935458e-05 2.3834777037073443e-06 -7.471584142268916e-08 6.909853924505214e-10 -7.307492937958203e-08 9.64413122015229e-08 -9.931109591355613e-08 -9.518493535682584e-08 -1.1229205639581342e-07 1.1406883673781166e-08 4.405391630299165e-08 1.4571225257255093e-07 -4.681300445928641e-08 -3.502326301127559e-09 -8.919022565716703e-08 3.841675152301588e-08 -2.0463356398990612e-08 -3.2723941381538924e-08 2.984575820943865e-06 8.108553402321701e-08 1.4730537493029728e-07 6.3621155667786e-08 -5.437697142864735e-09 -1.7619502417587014e-07 3.621317166113132e-07 6.338072268850225e-07 -2.1564189824983596e-07
pcs.V18 -1.984848706728028e-06 -3.653619194807168e-07 2.423508645914332e-08 -3.423312711966226e-10 -3.727033085513322e-05 3.993759713442541e-06 -1.3163541265578878e-07 1.3271169297498532e-09 4.733765682889777e-08 5.4697967349255895e-08 -9.564153634827603e-08 3.2277684009050625e-08 1.9395642293226645e-08 2.62244630754331e-08 -8.693806924605305e-08 3.4905695077973215e-08 3.6927939155021934e-08 -1.1230773127364288e-07 -4.08206402324049e-08 -9.121393978243433e-08 2.8991078946067586e-08 -5.6433555150503575e-08 8.108553402323941e-08 2.864789555399084e-06 -1.072685213084353e-07 5.050260763775377e-09 -7.16206543360114e-08 8.189826025381235e-08 -4.908397877758897e-07 5.865040375096805e-08 4.0595825574227227e-07
pcs.V19 -4.973942624376805e-07 -2.6255819211902066e-06 6.488007450018042e-08 -4.6403733000244264e-10 -1.3715397488159115e-05 6.01572394877131e-07 3.15398049954408e-10 -1.9294473611637144e-10 2.9252194913326416e-08 4.62972946179532e-08 4.1410230746714665e-08 -1.2361303623830605e-08 2.6750574450633534e-08 1.2858573647538272e-07 -1.5124250848192804e-07 2.5037683335032765e-08 -8.684473928761609e-08 -8.556558557812463e-08 -1.7657691694814363e-07 2.1931761456404457e-08 5.3269471219324405e-08 -1.0055708133993393e-07 1.473053749303172e-07 -1.0726852130840034e-07 2.8308117660061556e-06 9.573282516323037e-08 1.075912233598377e-07 -5.10139858997132e-09 5.337254532169584e-07 -6.292877929051405e-08 4.66010693176805e-07
pcs.V20 -5.398016250583697e-06 -4.3338131486502254e-06 1.2172563119402843e-07 -1.0975493596426092e-09 -3.496445485035551e-05 3.2057750966821713e-06 -9.336693645710408e-08 8.541264243940228e-10 -9.448699651411883e-09 3.941929176540771e-08 5.753177813617687e-08 1.755946908469527e-08 -2.315994402496425e-09 8.25231848333155e-08 -8.017203021985673e-08 8.41384641334953e-09 5.276793620517401e-08 -1.0513438931802307e-08 1.5435627766535132e-08 -6.052321578490753e-08 -1.515982127073034e-07 -1.8393917964210525e-08 6.362115566783405e-08 5.050260763830553e-09 9.573282516320481e-08 2.8679082584044445e-06 8.320594838329876e-08 1.014594462849625e-07 -4.5237654922099715e-07 -1.02994954763884e-06 1.2482968505250022e-06
pcs.V21 7.692808446179196e-06 8.154242300854761e-08 -1.5986969450160328e-08 2.91454713832218e-10 -8.624622700815523e-06 9.325646804183671e-07 -3.1041576123104134e-08 2.7939634577688404e-10 1.0179114192449932e-07 -7.883573781997355e-09 5.947501864934212e-08 -7.55161730959089e-08 -3.514868933254922e-08 -8.853152540347321e-09 -5.514826527051176e-08 2.4519889448682148e-08 -4.220219931710401e-08 -1.8628960882373135e-08 -8.658751526472363e-08 -5.387061544327503e-08 -4.477143568814916e-08 -1.1558015981982974e-07 -5.437697142859308e-09 -7.162065433601292e-08 1.0759122335982868e-07 8.320594838328263e-08 2.9285190947140594e-06 1.8700313834239265e-08 1.6708026321142573e-06 -6.765026426496393e-07 5.40404874078401e-07
pcs.V22 -3.715030362791099e-06 1.4633166169135203e-06 -2.945734038991122e-08 1.59114497863278e-10 4.4682492875893226e-05 -4.200166905698036e-06 1.2106153687228132e-07 -1.0952469560341206e-09 3.1497979960807265e-08 7.265418686315792e-09 3.131340006473841e-08 -3.808112450907367e-09 -1.061003944759582e-08 -3.6090081436015587e-08 8.507008208977527e-09 -8.718272665693985e-08 5.6305176715863884e-08 4.7710738609152994e-08 -2.411557105478103e-08 3.689694394470874e-08 -7.285867528252874e-08 -2.0361594440994205e-08 -1.7619502417589616e-07 8.189826025380392e-08 -5.10139858993798e-09 1.014594462850094e-07 1.870031383423626e-08 2.8726352007530886e-06 -8.987274564850228e-08 -1.9665328603680007e-07 4.3487423572129063e-07
proband -5.677831526826226e-05 -1.1026243237783833e-05 3.1575768217646923e-07 -3.1642974126691573e-09 0.00021418438800732779 -2.0495624602614312e-05 6.073537021662488e-07 -5.512577485873731e-09 2.5139380876210733e-07 -7.949564525001847e-07 -8.912190975435033e-07 -6.74719775635505e-08 5.504841931311033e-07 -1.3231106456237632e-07 -3.4176520318183694e-07 5.44123963553653e-07 8.874080396632611e-07 -3.2892896229571505e-07 -2.133242183630586e-07 2.8292289132776194e-07 -6.716297668122504e-07 -3.9337336453059516e-07 3.621317166113289e-07 -4.908397877756818e-07 5.337254532171173e-07 -4.5237654922058973e-07 1.6708026321143155e-06 -8.987274564873902e-08 0.0003350724670313301 -0.00017116006675871182 -3.477848416549211e-06
paternal 4.8707189077701067e-05 -6.328206940468673e-06 1.0879743326003982e-07 1.3022031526508784e-10 2.864063779235024e-05 -3.050761917448698e-06 1.2683754559048922e-07 -1.6493980559537653e-09 5.445309013854957e-07 3.2417598789589526e-06 -1.4932217925628028e-07 9.631785086006013e-07 -1.0996143568666924e-06 1.95923423314684e-06 9.094987093835407e-07 4.732173084180321e-07 -1.2377347999610639e-06 7.51772549464678e-07 -1.7487173237005438e-06 1.8032339957190549e-07 6.747021125376976e-07 -2.386197747486883e-06 6.33807226885025e-07 5.8650403751019405e-08 -6.292877929046954e-08 -1.0299495476387456e-06 -6.765026426496292e-07 -1.9665328603683358e-07 -0.00017116006675871141 0.0013341075274887159 -0.0009803937847110509
gp -2.393902351058408e-06 -3.5217298553551915e-06 7.872421586068573e-08 -7.66919946794795e-10 -0.00022917218465055484 1.619606145545808e-05 -3.7201471433764216e-07 2.615805110559577e-09 1.6363337499451431e-06 -4.348890225493885e-06 -1.7070914446859466e-07 -6.492101418584889e-07 6.912684257234019e-07 -1.5367542203517448e-06 -3.8052111689000435e-07 -5.139631614438172e-07 8.917238641114137e-07 2.7339291857778207e-07 3.4622184353514864e-07 -6.824417773438135e-07 -4.870222515369294e-07 1.367108857751037e-06 -2.1564189824975634e-07 4.0595825574229837e-07 4.660106931767021e-07 1.248296850524868e-06 5.404048740784028e-07 4.3487423572126855e-07 -3.477848416550407e-06 -0.0009803937847110505 0.0009522292881432933
