 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal gp
intercept 0.011068334486784473 0.004314709216901668 -0.00013575209962105026 1.355946460834212e-06 0.015345357991705345 -0.0014924876247894704 4.5576268466687695e-05 -4.419678249046396e-07 -2.9759960917642995e-07 3.1394510982985635e-06 3.0242728390610315e-06 -1.5495289985188194e-06 7.49893262000442e-07 -1.0222441803749646e-05 -3.241166819710017e-06 -3.273952456303458e-06 -2.0989592221345087e-06 -4.707264822317205e-06 -1.3004108025777356e-05 -4.505218960642168e-06 -3.823098288486447e-07 1.4905192569657545e-06 3.5210634732470986e-06 -1.984848706790394e-06 -4.973942624252591e-07 -5.398016250607548e-06 7.692808446161588e-06 -3.7150303627360244e-06 -5.6778315267904215e-05 4.8707189077793705e-05 -2.3939023512224417e-06
age 0.004314709216853875 0.004904691563208217 -0.00014221096191530913 1.299109728375301e-06 0.05205903052686637 -0.004832911940373022 0.00014009281635643178 -1.2795230086181435e-06 -6.452361717436485e-07 6.434587327524581e-07 -1.5898957930190008e-06 5.005166295649107e-07 -6.034963544255724e-07 -1.7976177842801613e-06 -5.741283118808002e-07 -2.472302695746006e-06 -1.3250241260474091e-06 -4.444435655195652e-06 -2.918432844181786e-06 1.465620627504864e-06 1.1697576293124182e-07 -1.0907593850665344e-06 1.009153657331055e-06 -3.6536191954524036e-07 -2.6255819211523015e-06 -4.333813148627851e-06 8.154242298961296e-08 1.4633166169625085e-06 -1.1026243237264907e-05 -6.328206940340833e-06 -3.5217298554927674e-06
age2 -0.0001357520996196806 -0.00014221096191532133 4.1724335685350375e-06 -3.854799009351691e-08 -0.0014917385559716115 0.000140139408959764 -4.110207196081459e-06 3.7963584198349104e-08 9.294601760003009e-09 1.0676650943908039e-09 3.650342054896636e-08 -1.2326486173612054e-08 1.3004694787569664e-08 5.647593816513863e-08 2.9009181467282074e-08 8.78366421974605e-08 3.871908001390404e-08 1.2820483724566594e-07 1.0321108523502611e-07 -3.804675743978048e-08 -1.1371643610731242e-08 2.3010337116149165e-08 -2.8567081231225922e-08 2.423508646102473e-08 6.488007449906833e-08 1.2172563119337974e-07 -1.5986969449606656e-08 -2.9457340391341066e-08 3.157576821612689e-07 1.0879743325629291e-07 7.872421586472135e-08
age3 1.3559464608213647e-06 1.2991097283767923e-06 -3.8547990093553167e-08 3.6028696568741343e-10 1.3487054373578353e-05 -1.2803766110503616e-06 3.797562545999614e-08 -3.548255738545866e-10 1.0678449381966599e-11 -1.2923027319205937e-10 -2.336610011749653e-10 7.73311943820351e-11 -9.051599058464012e-11 -5.868974255570396e-10 -3.882442349627584e-10 -9.292563168936472e-10 -3.4020864538205815e-10 -1.161800453755295e-09 -1.1274138445702152e-09 2.955489274839477e-10 1.7638526925610065e-10 -1.6973358974977413e-10 2.5868276978750647e-10 -3.4233127121386937e-10 -4.6403732999216673e-10 -1.0975493596367129e-09 2.914547138271265e-10 1.5911449787641447e-10 -3.1642974125291533e-09 1.3022031529957222e-10 -7.669199468320104e-10
sex 0.015345357990414775 0.052059030525806196 -0.0014917385559412393 1.3487054373304788e-05 1.1436370797417248 -0.10476361526916371 0.002998801334095163 -2.7048883607365545e-05 2.4762753189873803e-05 1.5325181469910996e-06 6.561079271187733e-06 8.091820756116287e-06 -3.4109980950999264e-05 5.644419038040358e-05 -1.0664460077051196e-05 -3.483390965433844e-05 -1.3599609802151621e-05 -1.2935264452926995e-05 1.857921038512076e-05 5.909020209312751e-05 1.4795312374779274e-05 -2.9008969169564173e-05 -2.3933036034735094e-05 -3.727033085563517e-05 -1.37153974873473e-05 -3.4964454849434294e-05 -8.624622700972848e-06 4.468249287616442e-05 0.00021418438801434328 2.8640637794022044e-05 -0.00022917218465120154
agesex -0.0014924876246658165 -0.004832911940281879 0.0001401394089571265 -1.2803766110263385e-06 -0.10476361526916575 0.009734172023475672 -0.0002821634692159077 2.573586043360835e-06 -2.279867087185178e-06 4.3774181616319966e-07 -5.092986416304133e-07 -6.769924041123222e-07 2.849341763484138e-06 -5.422787430563091e-06 1.4315723210152591e-06 3.7737764361954823e-06 9.02609271177273e-07 1.3191393777964996e-06 -1.5468162426339902e-06 -5.5575553688236e-06 -1.7882021727419724e-06 2.4180356713531758e-06 2.3834777037827718e-06 3.993759713489912e-06 6.015723948007431e-07 3.205775096595407e-06 9.325646804334115e-07 -4.200166905723805e-06 -2.0495624603276533e-05 -3.0507619176074225e-06 1.619606145552133e-05
age2sex 4.557626846320443e-05 0.00014009281635397577 -4.110207196010078e-06 3.797562545934287e-08 0.0029988013340953414 -0.0002821634692159191 8.282265968295156e-06 -7.645176539332374e-08 6.626420678547476e-08 -3.046698442335792e-08 1.4626964311789067e-08 1.9802865286188357e-08 -7.6918015577883e-08 1.60343477784834e-07 -5.204587670147498e-08 -1.2550348943493377e-07 -1.3506466526297354e-08 -3.9827316216258475e-08 3.6699419915986784e-08 1.6320001810354021e-07 6.442393297040064e-08 -6.588247934581907e-08 -7.471584142491001e-08 -1.31635412657186e-07 3.153980521963615e-10 -9.336693645455721e-08 -3.104157612355332e-08 1.2106153687304749e-07 6.073537021857604e-07 1.2683754559517475e-07 -3.720147143395615e-07
age3sex -4.419678248717046e-07 -1.2795230085940992e-06 3.796358419765598e-08 -3.5482557384828685e-10 -2.7048883607369062e-05 2.573586043361117e-06 -7.645176539332896e-08 7.144654118741881e-10 -6.456049251011233e-10 4.487943662949341e-10 -1.4110895785713401e-10 -1.751061654629117e-10 6.619719432651734e-10 -1.4806710590142271e-09 5.845531697141223e-10 1.2913262137623994e-09 3.2376749191942878e-12 3.6611880816633145e-10 -2.569904852361409e-10 -1.503601732988316e-09 -7.146635231623654e-10 6.15871048232771e-10 6.909853924710984e-10 1.327116929762848e-09 -1.9294473613706693e-10 8.541264243705397e-10 2.7939634578110214e-10 -1.095246956041309e-09 -5.512577486054633e-09 -1.6493980559971793e-09 2.615805110577838e-09
pcs.V3 -2.975996092123e-07 -6.452361717904755e-07 9.294601761363054e-09 1.0678449369522667e-11 2.4762753189332326e-05 -2.27986708713412e-06 6.626420678397159e-08 -6.456049250871928e-10 2.957213694917165e-06 1.9333477199939045e-07 -3.7567164222159776e-09 -1.5083530481653103e-08 8.796964515546531e-08 4.8433914357963013e-08 -1.4820679800572194e-08 6.663370943789481e-08 -8.698303637633912e-08 1.1250377376066606e-07 -6.064895558900463e-08 -2.8406280998312207e-08 -1.529711184780829e-08 -1.664208745548744e-08 -7.30749293795856e-08 4.733765682891048e-08 2.925219491334382e-08 -9.448699651375224e-09 1.0179114192450252e-07 3.1497979960790423e-08 2.513938087621479e-07 5.445309013855116e-07 1.6363337499451889e-06
pcs.V4 3.139451098318131e-06 6.434587327782633e-07 1.0676650936368854e-09 -1.2923027318512258e-10 1.5325181473287667e-06 4.377418161315045e-07 -3.046698442242897e-08 4.48794366286362e-10 1.9333477199939185e-07 2.9191305782889423e-06 1.0737107334501356e-07 2.3184751227401153e-10 2.2067686399308062e-08 -6.481806161410556e-08 -6.322589131337476e-08 5.3084360192672146e-08 1.0030065800017366e-07 -4.382276452807178e-08 4.2853603207995495e-08 -5.747157415530507e-08 -1.4351767391412254e-07 7.74703464623181e-08 9.644131220152341e-08 5.469796734924698e-08 4.62972946179444e-08 3.941929176538717e-08 -7.883573781998169e-09 7.265418686325849e-09 -7.949564525001962e-07 3.241759878958952e-06 -4.348890225493922e-06
