 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
intercept 0.00012215350261104275 7.258629549819945e-06 -2.024756054505867e-07 1.986919804361947e-09 -2.3211212782512535e-05 2.0370981067850675e-06 -5.5873701875236857e-08 5.048284365082377e-10 2.1412198065492063e-07 2.7118298155607907e-07 -1.666042842661946e-07 -5.928330749379339e-08 -9.815059367535231e-08 6.406848264372823e-08 -7.183344020942732e-08 7.48048780209686e-08 -2.5576959662548382e-08 -8.163615222849951e-08 -7.42943230152397e-08 -6.178922327840688e-08 3.100570756904539e-08 3.4604163738068775e-08 -2.0429877846632157e-08 -4.543002785986585e-08 2.379625153151377e-08 -3.721076801726908e-08 4.302068559036108e-08 -4.038296006696617e-08 5.298012019995504e-07 9.792301914598104e-07 -2.324857923258956e-06
age 7.258629549998574e-06 0.0002680796375948468 -6.1642865548487776e-06 4.402375830932266e-08 0.003308612524358541 -0.0002501897817869799 5.734226379388444e-06 -4.0773450279080404e-08 -1.0154370139217034e-07 2.751258014721153e-07 -1.5335671296829575e-07 2.0888104118353096e-07 1.3683555636465557e-07 9.241227184612448e-08 1.2344909243851631e-07 4.487897499395373e-08 9.035489753237886e-08 -3.486429909681964e-07 5.788945642391289e-10 2.4259668637471173e-08 -1.4604668105834672e-07 -2.64623878853041e-07 -2.1277377720047333e-07 2.5252981241497733e-07 1.7424530494041134e-07 -1.678718465482636e-07 1.4650163659220356e-07 3.503506893617226e-07 4.6079186378747803e-07 -4.000337197628623e-06 -2.443238275612321e-06
age2 -2.0247560545168536e-07 -6.164286554850333e-06 1.4442612047679946e-07 -1.0487112364654117e-09 -7.435659416647843e-05 5.744563460361923e-06 -1.3421747609192276e-07 9.70650937449993e-10 4.342344589696939e-09 -5.980465923540895e-09 2.677688536938445e-09 -4.9986369063343505e-09 -3.3483819861793255e-09 -2.9544012380965542e-09 -2.2169387313127657e-09 -3.931376480419208e-10 -1.9931641839420696e-09 7.950843361521556e-09 3.084985739355369e-10 -4.540515848231593e-10 3.0866805211246453e-09 5.180136531801823e-09 3.799463994291595e-09 -5.070950003683219e-09 -4.620806354001824e-09 3.569038253474575e-09 -3.79646878263594e-09 -8.032527627123037e-09 -1.2177287142240056e-09 9.918315272136072e-08 4.451697456614526e-08
age3 1.9869198043671657e-09 4.402375830932477e-08 -1.048711236465225e-09 7.737434784114364e-12 5.206096605839026e-07 -4.091715063523189e-08 9.724073310954786e-10 -7.147485670070361e-12 -4.265183222977015e-11 4.4160917773069945e-11 -1.7645931848997778e-11 3.582866200111474e-11 2.3310186349202786e-11 2.6006882950178336e-11 1.2549162949530914e-11 5.875978423734167e-13 1.5725967489245488e-11 -5.6164958596328025e-11 -6.549787142652519e-12 1.4543235543099679e-12 -2.140336764998634e-11 -3.055642072959191e-11 -2.150709389475051e-11 3.135446706287813e-11 3.656526445629586e-11 -2.3744189760977786e-11 2.953933648167938e-11 5.635929393502109e-11 -3.118763861270922e-11 -7.71225473025516e-10 -2.536673820468106e-10
sex -2.321121278074988e-05 0.0033086125243575928 -7.43565941664521e-05 5.206096605836911e-07 0.11468611228915811 -0.008586499710628095 0.00019603634755997447 -1.394616128202365e-06 -1.7663052492343709e-06 -2.72254838654146e-07 3.3746713423484973e-07 2.174536741257287e-06 -1.985577954435018e-06 -1.5517409723540268e-06 2.6259798955694776e-06 -1.035621459260129e-06 -2.107142715954749e-06 -2.8426484958845823e-06 -4.2498369199394994e-07 2.6607988344857897e-06 4.851630391595217e-07 -2.5278389175675817e-06 -4.134794042773165e-06 2.181816238555958e-06 7.620999359801484e-08 -2.0109693423347943e-06 3.938160893429538e-06 1.4058743436236917e-06 -1.3245248068831767e-05 -4.3862401343894385e-05 -9.112275558271219e-06
agesex 2.0370981064425985e-06 -0.0002501897817867856 5.744563460357097e-06 -4.0917150635196105e-08 -0.008586499710628597 0.0006602429647331472 -1.5384524428380903e-05 1.1124829560070423e-07 1.8608407984535303e-07 3.438836542783066e-08 -3.14429953271667e-08 -1.2529553934847812e-07 1.23899959989537e-07 6.773642710461003e-08 -1.1856213520257011e-07 9.748326976827661e-08 1.5476270170221847e-07 2.2228161264614977e-07 1.3454379541563125e-08 -1.9413296390011532e-07 -7.974863134594875e-08 1.6393635328951523e-07 2.720236174767784e-07 -9.957088419665904e-08 -9.094226213093841e-08 1.641006444978779e-07 -3.326039837159316e-07 -1.166910783274927e-07 2.0780686830112076e-06 2.9233070151796165e-06 5.066506897587358e-07
age2sex -5.5873701873061054e-08 5.734226379386538e-06 -1.3421747609186964e-07 9.724073310950457e-10 0.00019603634755999605 -1.5384524428381665e-05 3.6519832407104406e-07 -2.684397484918922e-09 -5.598452771910716e-09 -9.670511081182667e-10 6.069010904438629e-10 2.6228381621633268e-09 -2.631275585607284e-09 -6.970399602458205e-10 1.6070527420174341e-09 -2.8209781908116696e-09 -3.050849059048439e-09 -4.984688542419694e-09 -4.948067191882477e-10 4.195103311139409e-09 2.61123677035383e-09 -2.7511354453143145e-09 -5.919119738272584e-09 7.493024606232853e-10 3.3957705323750525e-09 -4.2652932397645635e-09 8.113427930178944e-09 2.3983010626311267e-09 -7.053204457133938e-08 -6.174870559654627e-08 -6.112270329178992e-09
age3sex 5.048284365217359e-10 -4.077345027909193e-08 9.706509374502151e-10 -7.147485670071644e-12 -1.394616128202585e-06 1.112482956007148e-07 -2.6843974849190395e-09 2.004080883373247e-11 4.6579086758119224e-11 9.30889413999346e-12 -1.7379702617388158e-12 -1.985862084484926e-11 2.0362594843718602e-11 1.2347023472312295e-12 -6.720140755452032e-12 2.192466624349752e-11 1.7301525495703898e-11 3.3620353148230126e-11 4.977406504120516e-12 -2.793655683086017e-11 -2.242957465684732e-11 1.2853789879496205e-11 4.1443782478111745e-11 5.911823783899324e-12 -3.082418544703949e-11 3.419071595762024e-11 -6.108721684771497e-11 -1.5386965597628998e-11 6.742500811346905e-10 4.0716659275743714e-10 2.1623666897972757e-11
pcs.V3 2.1412198065489498e-07 -1.0154370139243599e-07 4.342344589702837e-09 -4.265183222981095e-11 -1.766305249241283e-06 1.8608407984586185e-07 -5.598452771922128e-09 4.657908675819889e-11 1.2898526707101554e-06 7.891536347158487e-08 -3.2666907870165196e-08 -8.875912014504349e-10 6.915695613287882e-09 1.7207593013822714e-08 -8.005850047292056e-09 1.0564123872861982e-08 5.598048817382933e-09 2.8107331954637565e-09 -1.0154327191604015e-08 8.96881122445958e-09 -1.1521975890324264e-09 -1.6480476184046597e-08 -7.655588111488174e-09 -1.3641930229306412e-08 1.7273228985452808e-09 -1.2385843856730314e-08 1.2610933236014567e-08 2.0525576950434973e-09 5.7426987926737915e-08 7.767162859066218e-07 4.838926112844827e-07
pcs.V4 2.711829815560832e-07 2.751258014719202e-07 -5.980465923536259e-09 4.4160917773035856e-11 -2.722548386605794e-07 3.43883654283298e-08 -9.670511081300262e-10 9.308894140079467e-12 7.891536347158515e-08 1.3690205520418787e-06 2.9140709586659293e-08 -3.0889059558363083e-09 1.8278502225967722e-08 -2.315881064382649e-08 -1.4493276779153057e-09 2.3290543776708186e-08 -1.7131913159267524e-09 -5.053628853909864e-09 1.3662392811072952e-08 -6.988030007215705e-09 -5.6924045315794774e-09 1.939003027943095e-08 1.1594086187719196e-08 6.760929609068076e-09 1.7149852484188143e-09 -4.093785024015672e-09 -8.458233565357832e-09 -7.544656455228304e-10 -8.53973432102748e-08 -6.897049371599676e-07 -7.433285514282926e-07
