 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal gpp gmp
intercept 0.014936897544381643 0.019348130127492588 -0.0004951196427425684 4.142955071106344e-06 0.1539224335955551 -0.011522744376143942 0.0002816047591335759 -2.245892138056612e-06 -5.3475123459727515e-06 1.3651736926995751e-05 6.796781240214768e-06 -2.383161799687055e-06 -4.4984075684049226e-07 -1.5713930427216172e-05 -7.61639800197531e-06 -1.9439692670222324e-06 -4.012155027311277e-06 -6.479982598886645e-06 -1.8450864707309887e-05 -1.0941051836441561e-05 2.517250023947566e-06 1.0707835846752488e-05 8.212907568540904e-06 -4.110137485812011e-06 -4.764960758715134e-06 -5.854618921262969e-06 1.513714529207004e-05 -7.1479451257567755e-06 -9.621237028947482e-05 8.698027385950025e-05 -0.0006201528404384119 0.0006749854676098351
age 0.01934813012689294 0.09909701737575585 -0.0023486341863292255 1.8125653830423353e-05 1.2715067940584284 -0.09224668541817953 0.0021816826374768507 -1.6806764127351246e-05 -5.551206384993937e-05 1.782069740049346e-05 1.761782973351893e-05 -3.828425257793797e-06 -1.4252592354092143e-05 -9.886509592988732e-06 3.9358945340707134e-06 1.1116752691382671e-05 8.568047933813518e-06 -9.757996247121284e-06 1.450297372050288e-05 -1.5015768480959014e-05 1.0870409674435837e-05 9.583044204383871e-06 1.6588972972305937e-06 8.024108073309397e-06 -1.7342089512589917e-05 2.3409496440514093e-05 8.879296005682889e-06 2.5226333838332282e-05 -0.0001781503713957173 6.302401918096489e-05 -0.001996193956765304 0.002015297272744522
age2 -0.000495119642730053 -0.00234863418633013 5.5912464833271486e-05 -4.33454650191783e-07 -0.02992507087913445 0.0021801563059752633 -5.178360311170566e-05 4.0064529669288874e-07 1.2625970879853351e-06 -4.161262996870476e-07 -4.004468922685749e-07 8.418489032303217e-08 3.167647120812035e-07 2.6089538319271455e-07 -5.6354928374274016e-08 -2.389932777408014e-07 -1.8273998200299566e-07 2.613869506321834e-07 -2.6744234922799243e-07 3.5461529022601676e-07 -2.734109626415755e-07 -2.693665774359237e-07 -7.722008227565715e-08 -1.726829849587919e-07 4.338699050412561e-07 -5.05020336644453e-07 -2.4492650918987885e-07 -5.490013546315371e-07 4.514704186929572e-06 -1.5376535018188408e-06 4.5138790662276435e-05 -4.6337367442287806e-05
age3 4.142955070997454e-06 1.8125653830439812e-05 -4.334546501919935e-07 3.3761912992023862e-09 0.00022935095755934003 -1.6777859517710815e-05 4.0024182468209487e-07 -3.110656403622955e-09 -9.302212831557714e-09 3.1666365678752633e-09 3.0117757981710263e-09 -6.351555783430531e-10 -2.2932426921865453e-09 -2.2850455487984944e-09 6.551553652098006e-11 1.596981269388437e-09 1.25873649090381e-09 -2.2409346896660883e-09 1.376865373161122e-09 -2.7614255046791786e-09 2.2445097898563115e-09 2.3887482336125676e-09 8.833968800748002e-10 1.1350751413075397e-09 -3.4172522758822757e-09 3.48980133030131e-09 2.2550256194368163e-09 3.8056329823311805e-09 -3.719413454296225e-08 1.3520788532916861e-08 -3.3647437410460214e-07 3.4929602300688475e-07
sex 0.15392243357313054 1.2715067939846514 -0.02992507087737075 0.00022935095754560579 32.98664871445577 -2.3688587180702583 0.05535844990688172 -0.00042074123001854455 -0.0006535099697138632 0.0005329374110933211 0.0005103586476874104 -0.0001489588447251558 -0.00039327630536333837 -0.00018464721773489866 0.00018808695053692702 0.00037695713058892875 -1.4680407955093608e-05 0.00013255192974389574 8.043012108722479e-05 -0.00040409605952715464 4.883431469556893e-05 -9.290065721734302e-05 -0.0003167439821806803 0.0004357286515521816 -0.00021403922452999078 0.0004216059941883465 -4.090269552697766e-05 0.00023069062662511806 -0.006247252102310907 0.001528172952102349 -0.024072277177942643 0.023846987434086208
agesex -0.011522744374370937 -0.09224668541287542 0.002180156305848423 -1.6777859516721166e-05 -2.368858718070758 0.1709109131715948 -0.004012980039896643 3.0643577530421874e-05 4.5922605543967825e-05 -3.724811627989376e-05 -3.4992765255743396e-05 9.672683366929994e-06 2.7567692251249693e-05 1.2042421509331925e-05 -1.2541237667530154e-05 -2.581117939795767e-05 8.15253251368289e-07 -8.547817328799242e-06 -5.403151937324879e-06 2.7496018419866875e-05 -4.424384193234042e-06 5.82738327865186e-06 2.1680527910120274e-05 -2.962324526894061e-05 1.5588050735769888e-05 -2.8333426083594325e-05 2.073832746269515e-06 -1.684329933785238e-05 0.000454854939584542 -0.00010447215764993869 0.0015919440139732038 -0.0016150937177196283
age2sex 0.00028160475909326304 0.002181682637352461 -5.1783603108736064e-05 4.0024182465896653e-07 0.05535844990691158 -0.004012980039897956 9.469150151314658e-05 -7.267533998129073e-07 -1.049864925260729e-06 8.353037107080399e-07 7.804160609774152e-07 -1.9727725099938943e-07 -6.324678079720177e-07 -2.509901259849112e-07 2.65774756295097e-07 5.656340015640522e-07 -5.96473540546212e-09 1.7714944947260903e-07 1.1048356990318657e-07 -5.972418982561531e-07 1.3203413974553204e-07 -1.1601739404919925e-07 -4.830451958658743e-07 6.451509047267678e-07 -3.616789409403491e-07 6.135939588462321e-07 -3.163234956578128e-08 4.0022776130881583e-07 -1.0721143328215849e-05 2.4856361473006737e-06 -3.3726078931216044e-05 3.4926170311725264e-05
age3sex -2.2458921377447572e-06 -1.6806764126419255e-05 4.0064529667053697e-07 -3.1106564034482246e-09 -0.0004207412300189624 3.0643577530445584e-05 -7.267533998132286e-07 5.608019345390412e-09 7.757625795663311e-09 -5.984145326825173e-09 -5.6632142822261e-09 1.2817134231064402e-09 4.7226951143841885e-09 1.67144770849038e-09 -1.7345859756152187e-09 -3.958844357289625e-09 -1.0882599668511745e-10 -1.1905142301172275e-09 -6.824912644015288e-10 4.121819358687253e-09 -1.2932932123038335e-09 7.6496384179898e-10 3.4492763256165184e-09 -4.502752469222326e-09 2.6102603113847375e-09 -4.302661693769004e-09 7.519880137395755e-11 -3.0993170992433348e-09 8.207040135796435e-08 -2.002106874746169e-08 2.271475463527316e-07 -2.4080708178794017e-07
pcs.V3 -5.347512345748878e-06 -5.551206385029172e-05 1.2625970879933514e-06 -9.30221283161653e-09 -0.0006535099697599663 4.592260554728362e-05 -1.0498649253381985e-06 7.757625796250864e-09 6.822546447932208e-06 4.893196775319457e-07 1.0073355705392043e-07 -7.239446713770272e-08 4.066873124783556e-08 2.271724169361186e-07 -2.3912548991681056e-07 1.4205016783540202e-07 -3.8939950329311536e-07 3.515402861371137e-08 4.125173883808653e-08 -1.0362269403009024e-08 1.206743756299928e-07 4.482704818290517e-08 4.0858178798021396e-08 1.7241870294185797e-08 -4.138306754005378e-08 -4.3039757567253345e-08 3.494689753278809e-07 -1.3768727719272965e-07 1.4638907582249724e-06 3.4793940779488434e-06 1.0939368759685942e-05 -5.4506999306283576e-06
pcs.V4 1.3651736926615093e-05 1.7820697399291056e-05 -4.161262996582717e-07 3.1666365676508376e-09 0.0005329374110926426 -3.724811627983748e-05 8.35303710706444e-07 -5.984145326810099e-09 4.893196775326944e-07 6.4591588422141955e-06 1.9917480677761843e-07 2.473725334529658e-07 -2.3172161718788398e-07 -1.3079497266807202e-07 -1.4142069099959489e-08 2.5340573060120626e-07 1.4743004999533437e-07 -2.275694740588154e-07 1.3124892598921919e-07 1.365237121174738e-10 -3.240157479401666e-07 1.730094809331144e-07 1.392707851932181e-07 -8.76325787354515e-08 1.7364121468497243e-07 1.3779613614904253e-07 3.706592156230285e-08 -1.6403479019339563e-07 -1.1035908459894393e-06 2.9864954643994965e-06 -1.5524358155836154e-05 6.0654947793115535e-06
pcs.V5 6.7967812398603476e-06 1.7617829732431465e-05 -4.0044689224249216e-07 3.0117757979672074e-09 0.0005103586476873551 -3.4992765255732385e-05 7.804160609768977e-07 -5.6632142822194314e-09 1.0073355705460483e-07 1.9917480677762772e-07 5.019615515300533e-06 -3.6181858210798833e-08 -1.0888522446670126e-07 -1.505004660097837e-08 -2.772330383423569e-07 -5.742378833340508e-08 -1.68201580115096e-07 2.9832558813154393e-07 1.108616950338607e-07 -1.459787134641398e-07 1.1242315119648564e-07 -2.1232017512283988e-08 3.786596270187861e-08 -2.0824212448391055e-07 1.0681497767758511e-07 9.635892598051355e-08 1.5797908270352918e-07 -4.292342488551006e-08 -1.750165920584837e-06 -3.1456909565526043e-06 -2.9361493795044088e-06 8.110122366063326e-06
pcs.V6 -2.3831617995873304e-06 -3.82842525745026e-06 8.418489031484278e-08 -6.351555782794281e-10 -0.00014895884472430651 9.672683366866971e-06 -1.9727725099784272e-07 1.2817134230939167e-09 -7.239446713791318e-08 2.4737253345297607e-07 -3.618185821078657e-08 5.0049530420567504e-06 -6.019070668981313e-08 1.2483402834329212e-07 1.3537487683826616e-07 -2.0707042928070816e-07 3.36593964537562e-07 7.49883290943906e-09 6.76852309958176e-08 2.219791132659299e-09 -5.168036954195346e-08 3.0628464474349916e-08 -3.042660953851193e-07 1.0193166993990452e-07 -4.71539388769827e-09 2.931354233539525e-08 -1.3951224173618853e-07 1.753749534599277e-07 7.084479708604667e-07 3.0513072796649964e-06 7.831573962469658e-07 -4.23778740728743e-06
pcs.V7 -4.498407565618891e-07 -1.4252592353173377e-05 3.1676471205910493e-07 -2.293242692013644e-09 -0.0003932763053614905 2.7567692251109953e-05 -6.324678079685096e-07 4.722695114355079e-09 4.066873124726529e-08 -2.3172161718786397e-07 -1.0888522446667582e-07 -6.019070668980983e-08 5.836534649769076e-06 1.2304828817866979e-07 -7.031425925277176e-08 -2.3644861446303665e-07 1.4538110434479363e-07 -2.799930210026866e-07 -4.769653055457189e-08 -3.2270086554995256e-07 1.4304893322016485e-07 -3.575897873986462e-08 -1.8844412198219149e-07 -2.0952251037200458e-08 1.2403261639093712e-07 6.593868932568253e-08 1.77498402110041e-08 -3.9472694631630855e-08 1.9034921694692012e-07 -1.8140865503107608e-06 3.457010672362457e-07 1.5111586329061496e-06
