 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband
intercept 0.00010084063439271427 6.293127041445611e-06 -1.8302444831145345e-07 1.835778138288535e-09 -2.994336255753585e-05 2.3673022668875547e-06 -6.094285650594374e-08 5.245001232674853e-10 2.08968460958445e-07 2.9784949051165956e-07 -1.9294333113869314e-07 -1.1939663429339598e-07 -7.090324897755381e-08 6.717208518518576e-08 -6.830995576460573e-08 7.512558519989428e-08 -2.4504499836651823e-08 -1.0402134226774985e-07 -1.1249450100096054e-07 -4.385296409281951e-08 -3.4078216654819366e-08 4.182140423032397e-08 -3.1972770621950284e-08 -3.7673650594329546e-08 2.287185936686069e-08 6.0895380055923856e-09 3.68380306640416e-08 -1.6137157842307653e-08 3.175320634350125e-07
age 6.293127041366983e-06 0.0002709114217019918 -6.2187417635166395e-06 4.434577416930254e-08 0.003410786398635328 -0.00025733482179070234 5.893171396315064e-06 -4.189952392683254e-08 -1.4599682244182268e-07 2.5889527647134634e-07 -6.99202805438625e-08 2.1417534628369403e-07 1.3978060323707607e-09 4.015535210147684e-08 8.533108306272147e-08 5.9451664757758064e-08 8.05232526122328e-08 -3.3108917107982184e-07 -7.171197769869119e-08 -4.365685432467776e-09 -1.2091291653019191e-07 -1.6230853270040095e-07 -1.775934967348376e-07 1.7122398371521846e-07 1.662471994048721e-07 -3.0592109200656257e-07 1.3270444727810194e-07 2.9800699593956316e-07 -2.233363764283569e-06
age2 -1.8302444831325946e-07 -6.218741763515042e-06 1.4549184495550034e-07 -1.055065352974342e-09 -7.653523149828616e-05 5.900134182135047e-06 -1.3774405371938024e-07 9.960735504896973e-10 5.574868069066283e-09 -5.721771974129375e-09 9.028624721995368e-10 -5.321314739180885e-09 -1.1917008721700462e-10 -1.816387039681731e-09 -1.3900928314504063e-09 -5.531399382910559e-10 -1.8069734196960861e-09 7.377095203459881e-09 2.0633913124669017e-09 3.5025471682767347e-10 2.56409148124423e-09 2.664383997236239e-09 3.1033770787793167e-09 -3.1168498030032177e-09 -4.3217345018268965e-09 6.567202726684734e-09 -3.4127777370907807e-09 -6.973683025180194e-09 5.837880147214246e-08
age3 1.8357781383227228e-09 4.434577416927038e-08 -1.0550653529738652e-09 7.774994522206347e-12 5.35438627902623e-07 -4.1994678741278895e-08 9.972089725566501e-10 -7.32885612416456e-12 -5.256627194319783e-11 4.263824670842201e-11 -5.568286874454907e-12 3.9508710825473046e-11 -5.596270173245079e-13 1.8105183691054256e-11 7.025116018662569e-12 5.790443917398833e-13 1.4121688266917652e-11 -5.0854625623120485e-11 -1.9818088296814505e-11 -4.364683634035828e-12 -1.8271365478150627e-11 -1.2004154682413361e-11 -1.72720633163163e-11 1.681563567788421e-11 3.387207370874041e-11 -4.4330268253706036e-11 2.6644650803948845e-11 4.974464373827155e-11 -4.507566799488636e-10
sex -2.994336255894635e-05 0.003410786398630933 -7.653523149818493e-05 5.354386279018936e-07 0.11612501248704753 -0.008672290788843809 0.00019766223114553124 -1.4043802107103892e-06 -2.660971160577305e-06 8.660711164048934e-08 2.009774582878549e-06 1.4373165776532291e-06 -3.4167446964005807e-06 -7.10473141878184e-07 2.8991376924220145e-06 -2.7540632661318972e-08 -2.0580203661603302e-06 -2.0877307953445636e-06 -1.5481545337765162e-06 2.1529781659975624e-06 1.3328844009846872e-06 -1.238280359754515e-06 -3.486370710031195e-06 1.4810265482168024e-06 9.62635766236471e-07 -4.056643092131208e-06 2.593417398815068e-06 7.535229985496411e-07 -3.3079982658702496e-05
agesex 2.367302267248235e-06 -0.00025733482179072885 5.90013418213572e-06 -4.199467874128296e-08 -0.008672290788843975 0.0006653051454947454 -1.5479310313068985e-05 1.118072310505822e-07 2.6289317006089776e-07 -1.2497977258300235e-09 -1.4811672591118387e-07 -7.887132406630864e-08 2.215832717036331e-07 -3.843160496422076e-09 -1.412723180689205e-07 3.420693957457023e-08 1.5497492102594076e-07 1.7006581215541383e-07 1.0243582940856704e-07 -1.388303685039039e-07 -1.4856495424984925e-07 5.492810961819867e-08 2.327678302779526e-07 -5.4737578318080275e-08 -1.4032164941623403e-07 3.1199544142778845e-07 -2.2525478444931066e-07 -7.70648982815846e-08 3.3015912650551646e-06
age2sex -6.094285650523616e-08 5.8931713963108685e-06 -1.3774405371928537e-07 9.972089725559811e-10 0.00019766223114554021 -1.5479310313069368e-05 3.669421272165276e-07 -2.6944104307301962e-09 -7.44350792645512e-09 -1.4976817742218328e-10 3.348173409599575e-09 1.659616497028479e-09 -4.664244884310214e-09 9.231282967505357e-10 2.2236554978725427e-09 -1.571689838372042e-09 -3.183340712903973e-09 -3.73241466117586e-09 -2.5386143781969442e-09 2.7457043480261397e-09 4.260384706800939e-09 -7.370610322074835e-11 -5.180337824494931e-09 -2.3802482777277487e-10 4.0805088427344864e-09 -7.632815150016288e-09 5.638866534108055e-09 1.665735676104863e-09 -9.404013740370719e-08
age3sex 5.245001231896213e-10 -4.189952392677227e-08 9.960735504882832e-10 -7.328856124154473e-12 -1.4043802107104902e-06 1.118072310505878e-07 -2.6944104307302636e-09 2.0095995806152717e-11 5.985698578549685e-11 3.798506656377534e-12 -2.274640387444675e-11 -1.3253283588427011e-11 3.346165396610182e-11 -9.664504214686861e-12 -1.1767931300988258e-11 1.4344660520097789e-11 1.940271413630498e-11 2.4083292156268008e-11 1.9291214820463933e-11 -1.7065083169992228e-11 -3.452810393182422e-11 -6.832502359622588e-12 3.719216985190715e-11 1.3063038818064848e-11 -3.274918920273811e-11 5.8194355319345414e-11 -4.30733732645915e-11 -1.1166312376657147e-11 8.206542761817224e-10
pcs.V3 2.0896846095853896e-07 -1.4599682244185283e-07 5.574868069067212e-09 -5.256627194320558e-11 -2.6609711605831483e-06 2.628931700613478e-07 -7.44350792646557e-09 5.985698578557186e-11 1.1059747348293718e-06 9.827530030774917e-08 -2.5059836696205994e-08 -7.012030096158618e-09 9.18086046278522e-09 1.5409822993025587e-08 -8.05375051560203e-09 1.267272334966062e-08 6.7023025434300145e-09 1.2747333061800775e-09 -5.4447796211004305e-09 9.546944023572012e-09 -4.018797786609216e-09 -1.611814747990806e-08 -7.393137533003604e-09 -7.987624173287277e-09 2.0803006773179993e-09 -1.1048305787824946e-08 1.0120340472724436e-08 1.5532462520276366e-09 5.033524176283889e-07
pcs.V4 2.9784949051165675e-07 2.5889527647152533e-07 -5.721771974133521e-09 4.263824670845193e-11 8.66071116466797e-08 -1.2497977263028972e-09 -1.497681774111941e-10 3.79850665629799e-12 9.827530030774893e-08 1.1954248342740057e-06 4.212678428609485e-08 8.241909066776438e-10 1.4769559526822979e-08 -2.8928033253899698e-08 -1.9090569319921307e-09 2.6277515632456615e-08 -2.0426829573478184e-09 -2.447653546573159e-09 1.0147850402324681e-08 -9.167859873057435e-09 -5.507442114295938e-09 1.6232800446444596e-08 1.3906286996715123e-08 7.215625566043039e-09 7.804428055381558e-09 3.6056753187311663e-09 -8.743697808090422e-09 -4.810680918096303e-09 -6.199084205243349e-07
pcs.V5 -1.9294333113861897e-07 -6.992028054400228e-08 9.028624722027004e-10 -5.568286874476957e-12 2.0097745828761227e-06 -1.4811672591100557e-07 3.3481734095955775e-09 -2.2746403874418697e-11 -2.5059836696205878e-08 4.2126784286094756e-08 1.202275988752918e-06 3.5060375676177452e-09 1.0914423118154427e-09 -2.3009885831680083e-08 7.685469642596258e-09 -6.016594818792478e-09 1.9199782290508187e-08 1.2436377094721624e-08 9.019553864953703e-09 7.719496318907912e-09 1.2064931793718499e-08 1.2029675930746509e-08 -1.187281072033343e-08 -5.581717114037481e-09 8.292051052781987e-09 1.1056697384517578e-08 -5.989267875465269e-10 1.2931233553047602e-09 -1.5582565114956896e-07
pcs.V6 -1.193966342933837e-07 2.1417534628376274e-07 -5.321314739182485e-09 3.95087108254847e-11 1.437316577657611e-06 -7.887132406664101e-08 1.6596164970361236e-09 -1.3253283588481473e-11 -7.012030096158736e-09 8.241909066775505e-10 3.5060375676178437e-09 1.1834217219015462e-06 9.57098207872954e-09 -2.9215425309919655e-09 8.178518795963548e-09 -1.3289665688994214e-08 2.4422231944480322e-08 4.4318038807223024e-10 -1.030538874299963e-08 -9.888703672191061e-09 -3.1029485211137134e-10 6.605203177008937e-09 1.9452213724801664e-09 3.525037396118846e-09 3.1175432857020563e-09 5.6307857020162085e-09 -2.7496154664292835e-08 -1.1552684290059706e-08 5.1897842909661506e-08
pcs.V7 -7.090324897766547e-08 1.3978060326380083e-09 -1.1917008722319186e-10 -5.596270172803345e-13 -3.4167446963982556e-06 2.2158327170344835e-07 -4.664244884305756e-09 3.346165396606845e-11 9.180860462785013e-09 1.476955952682316e-08 1.0914423118154088e-09 9.570982078729682e-09 1.333237751104251e-06 9.160242325495952e-09 -4.091040438478548e-09 -2.639510130134024e-08 2.545015839885707e-09 -6.871981500331648e-09 1.1973602641135703e-08 -7.646045198778342e-10 5.571925275096172e-10 -6.377900955812279e-09 -1.3597948997373792e-08 1.0720331789439638e-08 5.6024514981659606e-09 -2.1212682502227957e-08 -9.203304540242735e-09 3.153621326101194e-09 -1.966410289387283e-08
pcs.V8 6.717208518522609e-08 4.0155352101431564e-08 -1.8163870396806403e-09 1.810518369104624e-11 -7.10473141879019e-07 -3.843160496350037e-09 9.231282967486785e-10 -9.664504214672214e-12 1.540982299302568e-08 -2.8928033253899727e-08 -2.3009885831680113e-08 -2.9215425309920023e-09 9.160242325495935e-09 1.3166718370482775e-06 1.3628689088441808e-08 -8.575703146264226e-09 -2.0263681451041183e-09 3.3693172338997526e-08 4.585952990055466e-09 -2.9120496426456738e-08 1.3895472065402936e-10 1.3384913267744909e-08 -8.494877402175167e-09 1.1942616430561607e-08 2.5676733986718004e-08 1.0295761152096874e-08 8.17212408036024e-09 4.7521457964411e-09 4.713290919954267e-08
pcs.V9 -6.830995576460299e-08 8.533108306264274e-08 -1.3900928314485757e-09 7.025116018649333e-12 2.8991376924217663e-06 -1.4127231806890426e-07 2.2236554978722065e-09 -1.1767931300986019e-11 -8.053750515601997e-09 -1.9090569319922664e-09 7.68546964259632e-09 8.178518795963462e-09 -4.0910404384785384e-09 1.3628689088441795e-08 1.2940443400076626e-06 -4.562176443130244e-09 1.0254321259227082e-08 6.241700212375162e-10 9.347514696028047e-09 -7.489192006472152e-09 -2.3245236776439584e-09 -1.2270467220765089e-08 1.889041340264471e-09 -1.9432285352312273e-08 -2.195258778886607e-08 -8.859245837230503e-09 -5.674733020827598e-09 1.4255923852970899e-08 -1.973407508790589e-07
pcs.V10 7.512558519988426e-08 5.945166475780969e-08 -5.531399382921902e-10 5.790443917476336e-13 -2.754063266019094e-08 3.4206939574488304e-08 -1.571689838370226e-09 1.4344660520085189e-11 1.267272334966057e-08 2.6277515632456638e-08 -6.0165948187924575e-09 -1.3289665688994183e-08 -2.6395101301340267e-08 -8.575703146264256e-09 -4.5621764431302e-09 1.3047698362284442e-06 5.789517235024347e-09 1.1771717011291543e-08 8.68005711469605e-09 1.1313419098254808e-09 -2.286096397599347e-08 4.758207035188208e-09 7.121188810257819e-09 7.687943808550658e-09 2.741671730167004e-09 1.600932286131026e-08 -2.2149686517675285e-09 -8.500978192458641e-09 -3.7771043819572475e-08
pcs.V11 -2.450449983665121e-08 8.052325261239798e-08 -1.8069734196998643e-09 1.4121688266944574e-11 -2.0580203661577167e-06 1.5497492102573874e-07 -3.183340712899218e-09 1.9402714136270182e-11 6.7023025434298184e-09 -2.0426829573477175e-09 1.919978229050816e-08 2.4422231944480438e-08 2.545015839885675e-09 -2.0263681451041063e-09 1.025432125922712e-08 5.789517235024382e-09 1.2842254592219767e-06 3.8188497498025076e-09 5.438944205494353e-09 -7.706212143313519e-09 -7.274054930630316e-09 -3.858919928685349e-09 8.139683172338015e-09 5.241706747234257e-09 -1.7412516779637686e-09 5.30915319068285e-09 -1.3521623377923904e-08 1.6583712874934033e-08 3.728703746036201e-08
