 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband
intercept 9.070489618473129e-05 6.9786624255295025e-06 -1.9133514114482098e-07 1.8517327766641596e-09 -2.8666372329326692e-05 2.6090537367782878e-06 -7.344492395636085e-08 6.693697277999589e-10 1.938814784634406e-07 2.663042887471033e-07 -2.1746179992866382e-07 -1.3131553069535542e-07 -5.179097537436191e-08 6.335981467623208e-08 -8.401031025951555e-08 5.736100670087083e-08 3.316710719249581e-10 -1.0547740978211227e-07 -9.601853208779844e-08 -4.59247543547046e-08 -2.3489495894605254e-08 2.206523063674217e-08 -3.292826551283362e-08 -2.935186292427166e-08 3.12865230198695e-08 -1.7040162785657805e-08 5.324613101360826e-08 -1.1957831602810225e-08 3.6094616788222275e-07
age 6.978662425573183e-06 0.00026692612355494916 -6.145688877688318e-06 4.390840795854204e-08 0.0033441519655955194 -0.0002534676375981587 5.824843966815806e-06 -4.153123215426335e-08 -8.028093233804363e-08 2.3890215216366267e-07 -9.460635532462049e-08 1.8199441441319443e-07 4.42151514403339e-08 5.314640356258571e-08 1.285917618499376e-07 9.764014358396655e-08 1.1012851491751115e-07 -3.2241161408296933e-07 -7.287648489166689e-08 6.301959194346506e-08 -1.569681705015844e-07 -1.5839464799575457e-07 -2.0608423345045533e-07 2.3406113465929858e-07 1.6112709061175138e-07 -1.8488733764829208e-07 1.1340562469709889e-07 3.346812861981388e-07 -2.414920766391308e-06
age2 -1.913351411438188e-07 -6.145688877689667e-06 1.4424301715263148e-07 -1.0481865940670163e-09 -7.52675344216448e-05 5.827806479411041e-06 -1.3651947807449882e-07 9.899874991172833e-10 4.112022951673725e-09 -5.421091980100698e-09 1.4170627613354934e-09 -4.526075184654864e-09 -1.1225068046724623e-09 -1.9588713819288245e-09 -2.3489893514739126e-09 -1.5688914860217368e-09 -2.5340658557122186e-09 7.1355763665757416e-09 1.9915603886816155e-09 -1.2518031658180573e-09 3.3619993089424043e-09 2.6442617107969353e-09 3.7051516952422824e-09 -4.4837163499516666e-09 -4.252980660355259e-09 4.087537619734412e-09 -3.0367567032093354e-09 -7.622674147441493e-09 6.177897506379007e-08
age3 1.8517327766708271e-09 4.3908407958547163e-08 -1.048186594066919e-09 7.741597669066173e-12 5.278738777200961e-07 -4.1576222085218475e-08 9.905960232717546e-10 -7.300564127675895e-12 -4.27877320697155e-11 4.197201397233998e-11 -8.881328368920841e-12 3.318117873000803e-11 7.069361555062724e-12 1.8308666825047884e-11 1.3194648812094439e-11 8.056095916868949e-12 1.9842173656093105e-11 -4.897448395764345e-11 -1.8913968762870527e-11 6.883084386008971e-12 -2.3516348807072096e-11 -1.1864544672210773e-11 -2.1254930104374758e-11 2.570252186044664e-11 3.36585274850612e-11 -2.7911832569498182e-11 2.4379007038628962e-11 5.292930588729681e-11 -4.707454249807826e-10
sex -2.8666372328151122e-05 0.0033441519655909397 -7.526753442153075e-05 5.27873877719229e-07 0.11654612286370351 -0.008748375763886762 0.00020032314608818368 -1.4293751754141117e-06 -1.538301877623674e-06 -1.127565928837846e-08 5.822831092129051e-07 1.4259053305046995e-06 -2.361666336515005e-06 -8.704749243037433e-07 2.5035814068291743e-06 -4.424486136514399e-08 -5.810504292839577e-07 -2.645573893847648e-06 -1.3235403099288003e-06 2.5023015263906384e-06 2.3860105610151356e-07 -1.5727364284267212e-06 -3.542626232866764e-06 2.4562341822022287e-06 -8.623426943782811e-07 -2.4259292741954186e-06 3.867117479826293e-06 6.258205024188852e-07 -3.294798068764791e-05
agesex 2.60905373695546e-06 -0.00025346763759782827 5.827806479402951e-06 -4.15762220851569e-08 -0.00874837576388682 0.0006743428607699374 -1.5758828675635606e-05 1.1429010543992646e-07 1.7613321196233703e-07 9.482447061637843e-09 -4.3722830515231235e-08 -7.132493959306935e-08 1.4143631362998856e-07 1.6221415811680386e-08 -1.1492125422233296e-07 1.99262294144896e-08 3.593426964543012e-08 2.0812660822403307e-07 7.174566419638528e-08 -1.7933986042928515e-07 -6.407687337437217e-08 8.514895819204033e-08 2.2951554626691824e-07 -1.0339027097442502e-07 -4.28433827555484e-09 1.9764631990162633e-07 -3.2801070665636763e-07 -4.774260905987613e-08 3.2443859930710522e-06
age2sex -7.344492395604034e-08 5.824843966805638e-06 -1.365194780742535e-07 9.90596023269929e-10 0.00020032314608818587 -1.575882867563567e-05 3.7515397922899187e-07 -2.7654562299642816e-09 -5.4548259494406785e-09 -3.246694560847424e-10 8.921181268083423e-10 1.3581824210948486e-09 -2.8098294038400063e-09 3.7356480421660247e-10 1.541896401337758e-09 -1.121876304151828e-09 -3.1639564789556905e-10 -4.562496882840441e-09 -1.6999699909673044e-09 3.754942686606174e-09 2.297951808039531e-09 -8.098490076898756e-10 -4.932587654133807e-09 4.825840617194305e-10 1.0319453072162206e-09 -5.098761725308427e-09 8.170140496937483e-09 6.467181236703091e-10 -9.144513041082692e-08
age3sex 6.693697277859747e-10 -4.153123215416877e-08 9.899874991150235e-10 -7.30056412765926e-12 -1.4293751754141348e-06 1.1429010543992738e-07 -2.765456229964291e-09 2.0702291441142495e-11 4.5989956860169275e-11 4.3333204732235976e-12 -4.5120559092757806e-12 -1.0226442710957257e-11 1.9763338959179105e-11 -5.3280745267810985e-12 -5.603985879604655e-12 1.1612978298372089e-11 -1.994086343774373e-12 3.005698830444587e-11 1.2822418268217694e-11 -2.3952989018023227e-11 -2.0701830214443763e-11 -1.5817066532506025e-12 3.4186532419967496e-11 1.0247192831634288e-11 -1.171636882892836e-11 4.0383915105574844e-11 -6.253926507131457e-11 -1.723485231748648e-12 7.930997230090686e-10
pcs.V3 1.9388147846337824e-07 -8.028093233802751e-08 4.112022951673258e-09 -4.278773206971171e-11 -1.5383018776284515e-06 1.7613321196271362e-07 -5.454825949449664e-09 4.598995686023564e-11 9.928486300677494e-07 7.823503602819325e-08 -2.9532436496541675e-08 -3.3746139231039765e-09 6.391038725772049e-09 1.4735588311833341e-08 -6.258808472488536e-09 1.0392877418759341e-08 8.667488203886062e-09 7.160203421994483e-10 -4.92555914570426e-09 1.1865589497571363e-08 -2.1147317352072875e-09 -1.4886017294921368e-08 -1.290248023037973e-08 -7.82621740329024e-09 -1.3674917796424723e-09 -1.647984321016609e-08 9.146736410265958e-09 4.494386522394391e-09 5.046750014492248e-07
pcs.V4 2.6630428874709295e-07 2.389021521638773e-07 -5.421091980105606e-09 4.197201397237476e-11 -1.1275659281791698e-08 9.482447061130917e-09 -3.2466945607291744e-10 4.333320473137996e-12 7.823503602819313e-08 1.0591036703065384e-06 3.0461396644450014e-08 1.466255052795293e-10 1.6332638359975928e-08 -2.489264549587545e-08 -8.481033333553181e-09 2.2472493602786073e-08 -1.2508196098249406e-09 -5.9218970145807e-09 1.1800852414277768e-08 -6.259832363627588e-09 -8.666779959307843e-09 1.3799873975578147e-08 1.0066241608451283e-08 7.864738419801255e-09 4.812427145139467e-09 1.1237477549244685e-09 -3.818759556203386e-09 2.7760356465454325e-09 -6.165764673618959e-07
