 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal gpp gmp
pcs.V5 6.261793426418204e-06 1.7650242483492723e-05 -4.0389990068265807e-07 3.0632242200919724e-09 0.000586478066255105 -4.0821794210604943e-05 9.272015861855134e-07 -6.872382749986206e-09 1.5278230351629346e-07 2.78022548260418e-07 5.63366831688973e-06 -9.007823063630698e-09 -9.771379190450922e-08 -1.5203228392566913e-08 -3.434582969520592e-07 -9.089456563702946e-08 -1.6411841690721537e-07 3.2752282550458757e-07 1.4607567481924505e-07 -1.559667301237638e-07 1.5243419071236106e-07 -4.2650577605408286e-08 -4.868196879847664e-09 -2.3436409252362932e-07 1.2379272996942365e-07 1.0797711581686434e-07 1.478928550673651e-07 -6.289685264003018e-08 -2.390682732352342e-06 -3.442179254383292e-06 -2.6505391868564747e-06 8.754000128025152e-06
pcs.V6 -3.5478387955498514e-06 -6.148480442373991e-06 1.3703495053292988e-07 -1.0343725968548184e-09 -0.0001545634413583328 9.885943014359276e-06 -1.968075771529919e-07 1.23521201139126e-09 -7.358564079749671e-08 2.43815453992825e-07 -9.007823063661435e-09 5.5645982862686805e-06 -6.315484437741382e-08 1.522356865105347e-07 1.5197612654178423e-07 -2.312255926621904e-07 3.8735258381275605e-07 1.0359143924925202e-08 7.563788654529554e-08 2.6041141219756676e-08 -2.9474890922861708e-08 2.2641620007991878e-08 -3.5027824631593384e-07 1.2548621097998171e-07 -3.1528817563812452e-09 5.8675134341394145e-08 -1.627202875664797e-07 2.0167079476581787e-07 7.527669103716113e-07 3.024341788204209e-06 1.0168915381504233e-06 -3.855224256476705e-06
pcs.V7 4.193908870733848e-07 -1.4027399474462432e-05 3.052082172858245e-07 -2.1628096855320827e-09 -0.0004519344757656218 3.1463291145632404e-05 -7.163175959229581e-07 5.311386808646e-09 4.236241290791448e-08 -2.1569725873768701e-07 -9.771379190453377e-08 -6.315484437743276e-08 6.5438199337653545e-06 1.1485349785176951e-07 -5.7565439608315826e-08 -2.9451256397905287e-07 1.5507566369095612e-07 -3.482353514453942e-07 -5.723057803263098e-08 -3.690076209076379e-07 1.7622344933479937e-07 -4.178299329047118e-08 -2.2468562392128448e-07 -2.331491258239106e-08 1.1543826101451878e-07 7.590987350290613e-08 1.6419703177956622e-11 -4.3724272438905516e-08 2.4307018445199134e-08 -2.079379830835688e-06 2.500696751003671e-07 1.763049964209314e-06
pcs.V8 -1.9945737328197534e-05 -1.3172268748903684e-05 3.489542000129675e-07 -3.0510728366068742e-09 -0.000188570497116722 1.2199240741446329e-05 -2.5106164642004974e-07 1.6330661507353067e-09 2.4847544543567167e-07 -1.93636180951457e-07 -1.5203228392773767e-08 1.5223568651058343e-07 1.1485349785192248e-07 6.228469460432066e-06 1.1850870942819791e-07 2.5640966109163754e-08 2.904596472780694e-07 3.434870922794617e-07 2.1167370747496014e-07 -2.6812218978738954e-07 -6.213807005721363e-08 -1.5249823819580073e-07 -1.0601301345380501e-07 3.099070037545287e-08 2.930408910270506e-07 2.953564515570207e-07 8.911141036047807e-08 -1.7642750218142082e-07 1.1078177520417558e-06 2.3056484061889523e-06 -4.546753143452422e-06 1.91045744640176e-06
pcs.V9 -8.761064241611545e-06 3.959826074579285e-06 -4.82678667497524e-08 -8.136331130753038e-11 0.00019628732725950513 -1.2841185172939753e-05 2.6320910054767785e-07 -1.6145332261938179e-09 -2.5229274380448033e-07 -4.287291082093294e-08 -3.4345829695213935e-07 1.5197612654181888e-07 -5.756543960824765e-08 1.1850870942830276e-07 6.520674090122676e-06 9.778243002424055e-08 2.402346996989366e-07 -8.230103385457882e-08 -1.1090760418283542e-07 -3.213458438109449e-07 1.1776148667911131e-07 -3.5992703927621195e-08 1.7865181457024136e-07 -4.863207549575037e-08 -4.800487883865932e-07 -2.427352899174268e-07 -1.244105443382381e-07 6.49514494693208e-08 6.046931431801368e-07 -4.5610730276198034e-07 -1.7202614149319697e-06 3.623776724639226e-06
pcs.V10 -1.5580578465899427e-06 1.2197942123991077e-05 -2.5925762041975295e-07 1.7023612443115504e-09 0.000409195204723574 -2.77024468107978e-05 5.967076714338858e-07 -4.072761322404752e-09 1.6431998716689803e-07 2.827401974854273e-07 -9.089456563704397e-08 -2.3122559266216283e-07 -2.945125639790262e-07 2.5640966109321676e-08 9.77824300242933e-08 6.597966542596975e-06 3.3585465379714374e-08 2.034608074761273e-07 3.1787196316798744e-07 2.1267299497332156e-07 1.0546752131291663e-07 6.976554747492079e-08 5.718861180066209e-07 -1.975879005851756e-08 5.929992344634677e-09 2.4022682961635534e-07 3.363790356303602e-08 -2.3708857347789967e-07 4.281688685523927e-07 -4.337715568395805e-06 4.339406314352937e-06 1.3596107457007042e-06
pcs.V11 -4.630961382710836e-06 8.187917403756006e-06 -1.722301605565991e-07 1.1727333619190191e-09 -3.8378486095172995e-05 2.495812344434909e-06 -4.2144522887254344e-08 1.291773462847019e-10 -4.171618404467746e-07 1.4956928397298683e-07 -1.641184169069988e-07 3.873525838126954e-07 1.550756636907881e-07 2.9045964727798797e-07 2.4023469969901063e-07 3.3585465379869956e-08 6.600938622388301e-06 3.342231664168368e-08 2.650387007750564e-07 -1.0272034826422493e-07 1.6901708528063395e-07 -1.5458921045281693e-07 8.77923922552984e-09 3.323059172042004e-07 -1.6701788002324402e-07 1.4477532272197332e-07 -1.9243085678150427e-07 1.7645749268801965e-07 1.6500187847720456e-06 -3.3960396902212915e-06 1.1383592187286381e-05 -9.370596781342405e-06
pcs.V12 -8.088272317634445e-06 -1.1699775963394945e-05 3.1783718222899534e-07 -2.7530338766253627e-09 0.00016469909251096233 -1.0522231616230776e-05 2.1404039385543416e-07 -1.3980407316229941e-09 3.5393161045640325e-08 -2.740974441382814e-07 3.2752282550416427e-07 1.0359143925051651e-08 -3.4823535144506253e-07 3.434870922796578e-07 -8.230103385471248e-08 2.034608074758233e-07 3.3422316641647384e-08 6.15128017871591e-06 -1.47876891800969e-07 -4.394956920327907e-08 -2.433496050403361e-08 -2.3637108670470183e-07 3.307405474256766e-08 -2.1767696841146226e-07 -3.2118376645229397e-08 1.5375777772384477e-07 -1.6739633856475205e-07 1.2623797874531225e-07 -1.0541495684122558e-06 -2.5459583674722854e-06 -8.636360876085425e-07 1.030644277978417e-05
pcs.V13 -2.3359851942563443e-05 1.2636391116345142e-05 -2.1320295522698003e-07 8.601182408859879e-10 5.163024785159802e-05 -3.741885250719744e-06 8.145262740468887e-08 -5.383067202736943e-10 5.744779026030044e-08 1.4615143366861756e-07 1.4607567481943383e-07 7.563788654524964e-08 -5.7230578032774923e-08 2.1167370747493197e-07 -1.1090760418275629e-07 3.178719631681245e-07 2.6503870077501523e-07 -1.4787689180085506e-07 6.4006742349736e-06 -6.849837559196301e-08 3.3242989664538644e-07 2.06971059949954e-07 -2.0365713489574334e-07 3.5394524841500665e-08 -2.2253340278610412e-07 1.7648704884246312e-07 -2.0265300147022366e-07 3.696343327612432e-09 6.125473476005542e-07 -5.2181081360790976e-06 6.225483298855792e-06 -1.1823094295087153e-07
pcs.V14 -1.366933964358581e-05 -2.150205488073981e-05 5.045109549908077e-07 -3.898209792630011e-09 -0.0005010837418418086 3.4108611803331296e-05 -7.409671142336475e-07 5.115369246824308e-09 -3.3578137058746888e-09 -4.570563910943678e-08 -1.5596673012393874e-07 2.6041141219776767e-08 -3.690076209075219e-07 -2.681221897875159e-07 -3.2134584381107964e-07 2.1267299497318137e-07 -1.0272034826402643e-07 -4.394956920369863e-08 -6.849837559182391e-08 6.419244261557976e-06 1.7439813531574025e-07 -1.0810638500931695e-07 9.072966607027663e-08 -7.892969539237212e-08 -3.4750541054273934e-08 -3.4945483345419035e-07 -3.3664457318274915e-07 4.8038616484567215e-08 1.0620140443078222e-06 2.6129219849844206e-06 3.571981833137359e-06 -1.2448476249713962e-05
