 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gmp gpm gmm
intercept 0.02512992092246598 0.009325601259698328 -0.0003008228863302616 3.0826616057480225e-06 0.043430109950986805 -0.004458959026384009 0.0001448031692170208 -1.4986136261883577e-06 3.927301445406903e-06 2.0654340227315884e-06 1.7754203868698063e-06 -6.5042894727869415e-06 2.0432862978212405e-06 -1.2488883544309893e-05 3.412799963503991e-06 7.783079312402912e-07 -2.494502347919555e-06 -2.3888251602772666e-06 -1.786174696688245e-05 -4.907873590541704e-06 -4.594667309301795e-06 -4.414579029397257e-07 1.2282720789111873e-06 1.314441497567383e-06 5.9867215630059625e-06 -3.031605006058045e-07 1.373101768304259e-05 -8.102479697017453e-06 -7.809230081804232e-05 0.0001462131433539988 5.189562059475989e-05 0.00015288217603868796 -0.0002664445936588899 -0.00021196938690239999 0.0001642367292466497
age 0.009325601259720751 0.00717698166797518 -0.00021620300192153752 2.0613666171533475e-06 0.06981069188147365 -0.006694018793312573 0.00020137161213771665 -1.9182990019157714e-06 3.1975705885159715e-06 -1.2231503650939618e-06 -4.9674682217900515e-06 2.3803779335256645e-08 5.489828415024969e-07 -5.741241081397229e-07 1.7591755348289871e-06 6.342241874857013e-07 2.2762096852950773e-07 -3.535210036691907e-06 -4.699787529498676e-06 1.5768014558681977e-06 -1.2578957659385282e-06 -1.782193246452897e-06 5.732226427934545e-07 1.1256922553950704e-06 8.318495125454268e-07 -3.1584975787971912e-06 2.3831151304149247e-06 -3.1043381090716303e-07 -1.494860105742965e-05 7.223701904845179e-05 4.048243327570751e-06 -9.086268039364857e-05 -7.113513879112795e-05 -0.00013917297954760396 0.00014500691938964033
age2 -0.00030082288633115275 -0.000216203001921765 6.58644540961695e-06 -6.34709779805931e-08 -0.00208147347109399 0.0002018001095155679 -6.137764857396919e-06 5.908827601587491e-08 -1.143031015634798e-07 6.275549979746153e-08 1.3913214559113405e-07 8.231690846536099e-09 -1.7130705005599452e-08 1.895985479238259e-08 -3.9121093085636516e-08 -9.445202759836022e-09 -5.6899865591098185e-09 9.164395799440118e-08 1.729846639849262e-07 -4.6106851877232034e-08 3.30422348260401e-08 4.0856919603426944e-08 -1.4441985957235513e-08 -1.4101079780324122e-08 -3.737380285012616e-08 8.675902564117259e-08 -9.188054592932989e-08 2.811452897826441e-08 5.001567624076631e-07 -2.0276376927026102e-06 -7.294258244956031e-08 2.3862103190540297e-06 1.949268283163968e-06 3.6506686107139902e-06 -4.200100070273772e-06
age3 3.082661605758325e-06 2.0613666171581616e-06 -6.347097798067244e-08 6.182935352226411e-10 1.968988289704482e-05 -1.9277922597688658e-06 5.925160565159112e-08 -5.765243250849138e-10 1.2429754407366744e-09 -7.510183806429332e-10 -1.2403557795379293e-09 -1.8689226925127707e-10 1.3453445207498543e-10 -2.3188180171820213e-10 2.56819693461562e-10 5.172180894192082e-11 5.3623295047331676e-11 -7.189148331724166e-10 -1.9505869703292534e-09 4.125809182415658e-10 -2.784338144465978e-10 -3.222151577607051e-10 1.046963039006322e-10 -2.3983483619139937e-11 4.924146011662253e-10 -7.509781822926213e-10 1.1106121029327929e-09 -4.2591164275303983e-10 -4.850520869521186e-09 1.8454492427479938e-08 1.8099394783767893e-10 -2.1141001342994942e-08 -1.628084027805936e-08 -3.229220573672914e-08 3.9315242714476575e-08
sex 0.0434301099515445 0.06981069188165111 -0.0020814734710998665 1.9689882897105883e-05 1.4696462165921615 -0.13797594200616695 0.004058677696166869 -3.774305244465099e-05 5.427629286764431e-05 -3.128143105679818e-05 -4.9584107525767876e-05 1.6655969899095143e-05 -5.102156625769084e-05 0.00010062574929485478 -1.4616684963096756e-05 2.5388901708911377e-05 6.322919561976568e-06 1.1885531884894635e-05 1.2803409138482841e-05 6.833657329664638e-05 2.5597229872252314e-06 -3.307437163722284e-05 -3.621625899066454e-05 -5.475982049899307e-05 -4.527072682468535e-06 -2.699494046502314e-05 2.8983373522893605e-05 4.441739078886209e-05 0.00013569498568920182 0.0003980468983092259 0.00024090560090338271 -0.004840465412279948 0.003318587707647368 -0.0017202673822673 0.0015428112630856148
agesex -0.004458959026452239 -0.006694018793347856 0.00020180010951663963 -1.9277922597791335e-06 -0.13797594200616184 0.01311986376589975 -0.0003903494126020701 3.666916165380074e-06 -5.537606142556426e-06 3.5283884341339504e-06 5.277696292140094e-06 -1.6465383889579542e-06 4.553156892261437e-06 -9.912952047361842e-06 1.8490563045523499e-06 -2.1959671884808926e-06 -1.2520887865450316e-06 -1.3980783554896259e-06 -2.3032723996182512e-07 -6.62285636613606e-06 -8.777116632239649e-07 2.866344595250823e-06 2.9684456979769715e-06 6.025221026923098e-06 -3.711607413711754e-07 2.5652510241518565e-06 -2.815666657317898e-06 -4.0014303515609484e-06 -1.3743741198585246e-05 -3.723287447091414e-05 -2.660387268287369e-05 0.00045350194239373475 -0.000319632450257022 0.00015479774019859025 -0.00013877768671244621
age2sex 0.0001448031692183498 0.000201371612137782 -6.137764857401179e-06 5.925160565165602e-08 0.004058677696166507 -0.0003903494126020501 1.1746872933636436e-05 -1.115555407341109e-07 1.776428265161465e-07 -1.2508380016674537e-07 -1.7326850031250796e-07 5.213397728058739e-08 -1.320492522172215e-07 3.038473476471126e-07 -6.71213730076286e-08 5.95435296982689e-08 5.551984293792253e-08 5.240049636203197e-08 -2.992914662321175e-08 2.0093995172698194e-07 4.237843541600237e-08 -7.672172840231922e-08 -8.076462301343833e-08 -1.9979308371706723e-07 3.164569709738919e-08 -7.908140987989921e-08 8.668778468452711e-08 1.1021385901519315e-07 4.616515166860322e-07 1.0361748315999585e-06 7.817263334581071e-07 -1.3109796544076135e-05 9.475013835510054e-06 -4.274895165064737e-06 3.896507139889678e-06
age3sex -1.498613626211295e-06 -1.9182990019306414e-06 5.908827601631438e-08 -5.765243250889977e-10 -3.77430524446449e-05 3.666916165379629e-06 -1.1155554073410327e-07 1.0712386036987657e-09 -1.8274886243250606e-09 1.3777935163461513e-09 1.7831009358650331e-09 -5.031502092530911e-10 1.2331647372360547e-09 -2.913567412728833e-09 7.53534272062287e-10 -5.209301532200551e-10 -6.673774278880797e-10 -6.048324507873831e-10 6.482644010907353e-10 -1.919128019142498e-09 -5.384163314666974e-10 6.880997319395991e-10 6.656257520443075e-10 2.01725258490369e-09 -4.93952329082819e-10 7.641675831032703e-10 -9.149047130124883e-10 -9.545353446647188e-10 -5.641949183667605e-09 -8.299273224995871e-09 -5.433801178924444e-09 1.1917395597816919e-07 -8.885058344905277e-08 3.6998197854831684e-08 -3.561182261315667e-08
pcs.V3 3.927301445445703e-06 3.1975705885411652e-06 -1.1430310156421529e-07 1.2429754407434124e-09 5.4276292867565384e-05 -5.537606142549117e-06 1.7764282651593756e-07 -1.8274886243232112e-09 3.425062820246079e-06 4.2459406269440235e-08 -5.33688042573808e-08 -2.8229178530841455e-08 1.1621215211345672e-07 7.825291579836158e-08 -5.3901482429692335e-09 7.808976786227768e-08 -7.976741097000812e-08 1.051663549640995e-07 -1.196523842215885e-07 -1.717960458422452e-08 3.065392723315578e-08 -2.303172203476517e-08 -1.2481955256168427e-07 2.284351872478992e-08 6.710018051041694e-08 -8.871131929712914e-09 1.192968914956893e-07 7.031692350683535e-08 -6.04099003702471e-08 5.711094806954926e-07 -3.097333564538029e-06 4.10961035766277e-06 7.691790111512843e-08 5.250579706491879e-06 2.870338210057302e-06
pcs.V4 2.0654340227068203e-06 -1.2231503651074146e-06 6.275549979787632e-08 -7.510183806469893e-10 -3.128143105688934e-05 3.5283884341428336e-06 -1.2508380016701817e-07 1.3777935163488149e-09 4.2459406269433955e-08 3.2375542880270927e-06 1.553925546309273e-08 2.288991857255639e-08 7.235095524091805e-08 -1.1351670748404155e-08 -8.042127760911321e-08 -1.9410998209731113e-09 8.511024153936811e-08 -4.828292198591531e-08 3.571832654940341e-08 -9.828324587699054e-08 -1.5736749643636846e-07 7.740127895964331e-08 9.456444309189109e-08 7.778068779582397e-08 9.561855948182207e-08 3.785863852403714e-08 -5.73524638696415e-08 2.3952841965117908e-08 2.689244820684042e-08 3.1817168597462973e-06 2.3710779375572375e-06 -6.362298286854233e-06 -3.357588994930321e-06 -6.910210538842023e-06 -1.1164468238879857e-06
