 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
intercept 0.0002102846412456205 -2.8661936682859965e-06 -7.233526511815116e-08 1.8919467365483463e-09 7.769166314320961e-05 -8.707870849282517e-06 2.631488502048947e-07 -2.3956950084244023e-09 5.354118636394945e-07 5.858576042321986e-07 -2.983830472925262e-07 -7.060256279608232e-07 -2.0163019498608828e-07 -3.9826922875808886e-07 -5.476323604183887e-07 6.679848927072984e-08 4.7552328086924464e-07 3.001315122976533e-07 -2.111312302083922e-07 -3.351873588322351e-07 -1.8774012384540356e-07 -3.0978974562594725e-08 -1.087497132121507e-07 8.979272354465184e-08 4.120040868260518e-07 -4.3431958406404793e-07 8.946291051989322e-08 9.620403966135893e-08 -2.7435972937101226e-05 -2.2562452528824935e-06 -7.155397663472054e-06
age -2.86619366808476e-06 0.0007495717574742606 -1.6769657380998447e-05 1.171420381169906e-07 0.01010967237970286 -0.0007379766536258343 1.6506033199235462e-05 -1.1524398507833115e-07 3.944241890530481e-07 8.628557617820401e-07 1.2745722492449881e-07 2.302274642000333e-07 8.152328739844253e-07 1.0065341624836082e-06 -3.711901951604696e-07 -1.844918782349877e-07 2.4922151424507093e-08 -1.5513573296432798e-07 -4.1477145440467325e-07 1.0311123446495521e-07 4.998164919912622e-07 -5.616000696991324e-07 -8.020320067699833e-07 6.061208702406967e-07 6.427642891385627e-07 -1.8968872822104375e-07 3.4271640380213895e-07 -2.757821478027907e-08 -7.364282373310828e-07 -5.480981928312501e-06 -4.327562270607787e-06
age2 -7.233526513236745e-08 -1.6769657381010997e-05 3.8275185149829847e-07 -2.7215654860784506e-09 -0.00022118332897810058 1.6511274719674647e-05 -3.767950014194966e-07 2.678034700286167e-09 -2.5856512759847466e-09 -2.164791130619112e-08 -4.207268044692574e-09 -6.047044416220907e-09 -1.9220964143553313e-08 -2.3482262923540707e-08 9.856908302352984e-09 4.577516662860609e-09 -1.4154666435449344e-09 3.8169040820617476e-09 1.183957305471025e-08 -7.021911652682613e-10 -1.017882781262963e-08 1.0377952937378014e-08 1.316452598472991e-08 -1.4218680763999894e-08 -1.6880941467978704e-08 6.2824046664918245e-09 -1.0739803787122628e-08 -1.4027015560530215e-09 5.0054038352120277e-08 1.4791986633273334e-07 6.918955144146454e-08
age3 1.891946736466426e-09 1.1714203811674929e-07 -2.721565486070877e-09 1.968301406214452e-11 1.5165119249410903e-06 -1.152932446173785e-07 2.6784657535359465e-09 -1.9363465463986555e-11 -1.9074816800543823e-11 1.7403379989688102e-10 3.181735753843828e-11 4.26295351268038e-11 1.3947901283187586e-10 1.7609734792989674e-10 -8.032137479773064e-11 -3.3313315410329463e-11 1.9695212016704104e-11 -2.982915578655246e-11 -1.0249196968871528e-10 -3.0330212590818925e-12 5.762886331377718e-11 -5.437403837430935e-11 -7.276383393421371e-11 1.0025818117732859e-10 1.3298996640851252e-10 -5.0278144324552664e-11 8.805341489892572e-11 1.602160486727191e-11 -5.121053156974988e-10 -1.1712241091955403e-09 -2.773455628920654e-10
sex 7.769166312667258e-05 0.01010967237967857 -0.0002211833289775667 1.5165119249373754e-06 0.36147030764545324 -0.025884821137578718 0.0005707692423379722 -3.944619738467067e-06 -1.218318702600669e-05 -4.021914324433854e-06 1.084715373874042e-05 -1.0089931089184537e-05 1.0852884933916107e-05 9.288569963781355e-06 2.0848662105674708e-05 -5.900659928911708e-06 -2.1655612823126577e-06 1.264942053156915e-05 9.7602028056733e-07 3.7423856765145468e-06 1.2627720104261305e-05 -1.617162529574486e-05 -1.8211510039609687e-05 -1.7337000308242137e-05 6.48040519729414e-06 -1.6282685741448178e-05 1.9344485757997746e-06 -9.926884895324e-06 -0.00020976412206643786 3.6528443816184846e-05 3.252852025182908e-05
agesex -8.707870846746204e-06 -0.000737976653622116 1.651127471959058e-05 -1.1529324461677898e-07 -0.02588482113757626 0.001902891583849059 -4.28348935330256e-05 3.0105670554677224e-07 1.1842456744387282e-06 -8.076954033204646e-09 -6.594550855709869e-07 8.047853228237593e-07 -8.537148512661797e-07 -7.99113375229002e-07 -1.2242775238951524e-06 4.775132420456782e-07 8.94983718667923e-08 -8.413579519986363e-07 1.3765706823584757e-07 -3.6306216081194394e-07 -9.668806024447731e-07 1.0457825950121548e-06 1.1751796338289915e-06 1.1633765350809036e-06 -6.695792271060053e-07 1.2586688080230993e-06 -4.1429159706472545e-07 3.944770810588991e-07 1.9107039701148377e-05 -2.2436823717370236e-06 -4.26362219194327e-07
age2sex 2.6314885013401224e-07 1.6506033199119714e-05 -3.767950014168948e-07 2.678465753517507e-09 0.000570769242337865 -4.2834893533021774e-05 9.825408292110898e-07 -7.021609869708413e-09 -3.30770988755092e-08 5.919067939859895e-09 1.2029013034263256e-08 -1.8662217566505672e-08 2.0006200654711752e-08 2.1086497807922323e-08 2.256682540229105e-08 -1.2162510372466093e-08 -1.7139878580818422e-10 1.8217488972161515e-08 -8.186162538077046e-09 1.0139252813331854e-08 2.1202150668505992e-08 -1.8474438690093814e-08 -2.6199660947233154e-08 -2.5493141774871756e-08 1.6114328782600408e-08 -3.028396486013528e-08 1.2689607547341163e-08 -5.063662988667227e-09 -5.170828939991239e-07 4.6959080829933115e-08 3.4489218909846006e-09
age3sex -2.3956950082909297e-09 -1.1524398507819632e-07 2.678034700283254e-09 -1.936346546396653e-11 -3.944619738465984e-06 3.010567055467207e-07 -7.021609869707853e-09 5.0976565708303484e-11 2.658631100789122e-10 -6.995111144371556e-11 -6.677744180161666e-11 1.2871292800371298e-10 -1.4078751984717712e-10 -1.714584234768893e-10 -1.2758441667456993e-10 9.325457043917749e-11 -1.2023413218900318e-11 -1.317766904449751e-10 8.611075407883958e-11 -8.228828902197206e-11 -1.3685740225725045e-10 9.466098221450525e-11 1.9632701635569065e-10 1.8293616403830963e-10 -1.1209365666885858e-10 2.2354606848497255e-10 -9.971958518957529e-11 1.6139701814741717e-11 4.270419834582827e-09 -2.835194780020327e-10 -2.948570588763216e-11
pcs.V3 5.354118636398532e-07 3.9442418905891766e-07 -2.5856512761181944e-09 -1.9074816799597535e-11 -1.2183187025810964e-05 1.1842456744240775e-06 -3.3077098875174006e-08 2.658631100765214e-10 2.5247393323377164e-06 3.2626318192561003e-07 -1.0232648159704959e-08 1.2032653444846075e-08 1.0904772027002933e-08 1.1621937651548972e-08 -8.439484244348216e-08 1.2569340086872421e-08 1.3780151005753634e-08 3.0285346629417493e-09 -5.882950656719375e-08 2.279913397332154e-09 5.270016336711907e-09 -1.352041313514923e-08 2.3507944506160095e-08 -6.088347321261736e-09 2.2798830652292926e-08 -7.952127706041559e-08 -5.12595271852486e-09 -1.681415517100913e-08 6.377096387100578e-07 5.208439908052523e-07 8.799385348578607e-07
pcs.V4 5.858576042323868e-07 8.628557617808489e-07 -2.1647911306166654e-08 1.740337998967248e-10 -4.021914324475316e-06 -8.076954030391756e-09 5.919067939801498e-09 -6.995111144333687e-11 3.2626318192560744e-07 2.830985019457529e-06 1.796310625673963e-07 3.671711627974961e-08 9.04986388426212e-08 -5.362284038152971e-08 -1.3114152729640515e-07 6.890062306536582e-08 2.3012551670511195e-09 -9.163149003877009e-09 3.4358228144082656e-08 -4.9541592171611896e-08 -4.751515244417647e-09 6.310608388126526e-08 2.1842983660019763e-08 1.0959853646349532e-08 1.924701784137319e-08 2.3983523056934952e-08 -4.983307879159493e-08 -2.4163252368208968e-08 4.465821945231913e-07 -1.9179854172451005e-06 -1.3131815912342633e-06
