 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
PC_4 -3.573383540356289e-05 5.522245832147287e-06 -5.978280443559009e-06 0.00030464989360722873 -1.3648855637035e-05 5.792152028429813e-07 -4.927055021032932e-09 1.6435493431877298e-07 -4.420826645921309e-10 0.00048059973062641973 0.12602907326192864 -0.003691057008948869 0.007700626649898608 -0.004640667495159488 -0.002270117755708651 -0.00452403077988883 -0.0018998162641005632 -0.008520884030624046 0.0020970550647200163 0.0065510512509588115 -0.012400982267137201 -0.009844827269387391 0.009142933139891134 0.007229882942539168 -0.005262893579666546 0.0019895607184925875 -0.005291427024171579 -0.0002353566834610736 0.004375782094663005 1.5847400530792492e-05 2.523049673358028e-05 -6.686814117979546e-05 -7.695182847356944e-05
PC_5 3.3250323221102715e-06 -1.067101388429372e-06 -1.1366660142538879e-07 0.00027082138770264096 -5.741114653296812e-06 1.7050947801067986e-07 -1.985340186025739e-09 -8.431604432597849e-08 1.5632080463991569e-09 0.003250211129516923 -0.003691057008948966 0.16834921631710195 -0.005189654606866515 -0.009229022868786343 -0.003072976127113659 0.009926558502018276 -0.012420615680659879 -0.0021683088423128686 -0.011621928683885457 -0.009134738897615662 -0.0013477531713546043 -0.013912677675975206 0.010853605912995492 -0.02311501411454934 0.008389229252126686 0.005072253105122642 -0.0022941638358280002 -0.0023902583686057706 0.014495345092566692 -2.1049879042946507e-08 -2.41034217424667e-06 -2.2037226281754747e-05 4.3110462721828877e-05
PC_6 -5.79191116211189e-05 -1.0445138315957475e-05 -4.256450243297191e-05 0.0002464129013301137 -9.196433491293739e-06 6.694489517264146e-07 -4.419025447508637e-09 1.0462697378733182e-07 -2.8962292003045685e-10 -0.0009022713098607057 0.007700626649898491 -0.005189654606866472 0.2091507410984617 0.006009434180195848 0.005157103121120386 -0.013662350387046971 -0.005757171862383352 0.004149490475969845 -0.00957853426784373 0.003408050345426315 -0.00034060287873718324 -0.017571920823466727 0.010988933346480543 0.016755030954854155 -0.0059130583010687824 -0.0009277272395884981 -0.011180918007043468 -0.0022373411085414574 -0.006880519934923543 -6.19066892675775e-06 4.4423863232234935e-06 -2.76149004724395e-05 2.814364463331447e-05
PC_7 1.134251176849773e-05 -6.48876766735028e-06 -1.6563666586164485e-05 -7.591196725275009e-05 1.7726191885388471e-06 3.037500371653873e-07 -1.540575996278931e-09 -8.577738052500596e-09 2.293024925696774e-11 -0.007150463252967205 -0.004640667495159462 -0.009229022868786348 0.006009434180195848 0.2648025658417641 0.009344856234474497 -0.002166277134037353 -0.011664747821726518 0.009496004609039993 0.009093640938566265 0.025162387190716708 0.0061453773748171995 -0.026430674368637264 -0.017566327079845807 0.024616391042962215 -0.011916541735445377 -0.009127969438314957 -0.0036494148647995273 0.0103583192019134 -0.013059983421071092 -2.5129223972001415e-06 -1.3985389906041303e-05 4.6721446835336244e-05 6.970733129567126e-05
PC_8 -8.251872751444475e-05 -1.7022233883742375e-06 5.8647047132521284e-05 0.00029683989362924723 -3.1959254115259715e-05 -1.2767406573819197e-06 7.796668067400845e-09 7.944841374827898e-07 -5.62325958651643e-09 0.001866219513263667 -0.0022701177557084007 -0.0030729761271136124 0.00515710312112078 0.009344856234474484 0.27958832642073417 0.011745877557017904 0.011286177847014111 -0.0037046476265191176 -0.0020429423946793338 -0.016584216465102542 0.0078632946690164 0.023354545250807476 -0.015089591638085178 0.010327326598670031 0.018460984647334613 0.00517586602532643 0.0013243452879671664 0.0005860891734846655 -0.012937792153371432 -1.8392563413579176e-06 -4.910817500015925e-06 -4.696491434402653e-05 9.606299900504948e-05
PC_9 9.415741718748435e-05 2.409677112371715e-06 2.9993247471960295e-05 0.0007206569250902362 -4.378089722275147e-05 -5.93853600575164e-07 3.695686356485619e-09 8.11762833980606e-07 -4.610294406151778e-09 0.005300666947647235 -0.00452403077988865 0.009926558502018379 -0.013662350387046518 -0.0021662771340373557 0.011745877557017831 0.3772292072263708 0.01050380760932506 0.003488787114012846 -0.021911093993684683 0.007498869505526857 -0.004393717056535527 -0.002592622488642295 -0.010860381385533524 -0.008285431056122823 -0.007493839199342002 0.001739935576585821 0.0011504054552860916 -0.007310360317502664 0.02017191389939832 -2.974566688187034e-05 -5.2461825398901217e-05 1.6120204506642884e-05 5.479911100535274e-05
PC_10 -7.912265862884992e-05 -3.4013971644291277e-06 -5.333782569083967e-06 -0.00015324839010132118 6.486480564848576e-06 -9.553902186327793e-08 1.3879040147290592e-09 -6.530393313439963e-08 1.7188879598150276e-11 -0.005252828274768681 -0.0018998162641005276 -0.012420615680659854 -0.005757171862383363 -0.011664747821726528 0.011286177847014195 0.01050380760932518 0.4576148527163869 0.026330128563752296 -0.01093627430867105 -0.004195443831190465 -0.0009212005701319109 0.017211004554260115 0.00036836292826394364 -0.002834879636804869 0.012825994222136929 0.0058939635396802964 -0.003786920339638055 -0.0023249374305753905 -0.014549701135139967 1.7384256745573554e-06 -1.5315119645440143e-05 1.9298764791925184e-05 5.054474449205885e-05
PC_11 -9.76430054655762e-06 7.122762190273869e-06 1.4895476357156366e-05 0.0005465658292946588 -2.7628156414922403e-05 9.626538283119308e-09 -1.093806614371327e-09 4.3083920583553954e-07 -2.152704912508063e-09 0.00025317216829942975 -0.008520884030624043 -0.0021683088423127333 0.004149490475970135 0.009496004609040017 -0.0037046476265191744 0.0034887871140128405 0.026330128563752213 0.42266014235756544 0.006183357806495843 -0.0022568920403007713 0.0190197161843344 0.019594430405572138 -0.004894918983809186 0.010511897111141776 -0.009929082391026106 -0.004695772946616621 -0.0014019870913626461 -0.0052226805601796504 0.023919746858636383 2.8350965317338918e-06 -1.3188455962449832e-05 7.339182338920003e-05 1.5016136340367186e-05
PC_12 -0.00011309538974932339 -3.443429032254003e-06 4.1723890085954066e-05 0.0006779770650501228 -4.511916922588244e-05 -1.0699212739615256e-06 7.255873624429931e-09 9.671139888216056e-07 -6.5348949399915066e-09 -0.0018036787379088351 0.0020970550647202014 -0.011621928683885228 -0.009578534267843285 0.00909364093856626 -0.0020429423946800814 -0.02191109399368526 -0.01093627430867115 0.006183357806495456 0.48123231659008686 0.021760267814489146 -0.0033275799234994945 -0.013541898346385865 0.006463030713584964 0.02914828840442546 0.010795028484818541 0.012117781635718061 0.01328846426978067 0.014029356925972295 0.003987736108670389 -1.3474092699135948e-05 -4.681251443340547e-06 3.858207505803361e-05 4.373726956758877e-05
PC_13 -2.8381251578391838e-05 -6.687003221431241e-06 -1.2936729800951404e-05 -0.00026780669904867636 1.9779686004563737e-05 -3.21851809132326e-08 1.2614543257146943e-09 -3.130263257797462e-07 1.2817698960571952e-09 0.00025551756989148765 0.006551051250958669 -0.009134738897615739 0.0034080503454261193 0.025162387190716725 -0.016584216465102615 0.0074988695055267455 -0.004195443831190388 -0.0022568920403007084 0.021760267814488806 0.5046635971443265 0.02371472689090899 0.0006763851850695851 -0.011117091924849642 0.02694788893954141 0.010511900644838966 -0.0011933205357526656 -0.027310169627509272 -0.020185872612616423 -0.00944984470938967 3.302117146884317e-05 3.5883104539027854e-05 5.704517564221358e-05 -6.344878574594652e-05
