 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gpm gmp gmm
intercept 0.007327999212791281 -7.743311000839813e-07 0.000585715444331703 -2.367942865474054e-05 2.7618428867414147e-07 -0.0025978640788835708 7.453761511721722e-05 -0.0019492455682489974 0.0008007256123856706 0.0024050463513438894 -0.0033419499838326272 -3.89050065814841e-05 0.0023495753780433124 0.0012743133959050924 -0.004494016286966191 0.002643327419119008 -0.004396506769622292 -0.003089960433046961 -0.005741999356166715 -0.002654976971567259 -0.004815254797354226 6.113294183844324e-05 8.699873208504277e-05 0.004523570142596003 -0.0010570518283724714 -4.924563675417527e-06 -1.802675595233892e-05 4.667146550009027e-05 1.5981902296551147e-05 4.431253011290487e-05 -5.411499177064343e-05 -5.187678680218602e-05
yob -7.743311000816898e-07 2.2386479415529115e-06 1.0340907860122754e-06 8.545646281267879e-09 -1.632702901137686e-11 2.024570187579275e-05 0.00030619787730953423 3.421160736302352e-05 -0.00023267005287024045 0.0001041046247179461 -0.00025532740940552876 -5.205144743074132e-05 -0.00014771507950402812 0.0002467670681037584 -1.083671613207827e-05 -0.0002242752230896148 0.0001796176016299201 -0.00014412322998433593 -2.8518367091297156e-05 0.00011793614378610278 0.00012508312380909246 -0.00012177014232468584 -6.74434999120808e-05 6.64840332864728e-05 -0.00032877342840847133 6.383700215777869e-08 8.644868977580066e-07 6.079760534788453e-07 -2.831418681389333e-06 7.457903073381765e-07 -5.7396519016701865e-08 -2.5150738540145047e-07
age 0.0005857154443318582 1.0340907860117943e-06 0.00011213799087848874 -3.7679490166373553e-06 3.752081392083558e-08 -0.0001169305849102378 -3.467520105222996e-05 -0.0004294458859624699 0.0002756630599207845 0.0002808930165499171 -0.0004882642563031395 -0.0003995191540065216 0.00015335079343448333 0.0008723979775015827 -7.769107641730598e-05 0.0003537776956814729 -0.00018781807268642128 0.00016659099596313465 -0.0001743415494934061 0.0009524943613909003 -0.00011794473896940427 0.00012491442311206449 6.75784432083569e-05 0.0007767459509560267 5.2489736437211084e-05 2.110957466147742e-06 3.890083960798785e-06 6.986464692274694e-06 -2.6464502945737686e-06 -4.59870651510958e-06 -3.3267630830731617e-06 -7.121652790042438e-06
age2 -2.3679428654744643e-05 8.545646281283261e-09 -3.7679490166371554e-06 1.3347830474691015e-07 -1.3744326799124573e-09 3.7052339727327725e-06 7.311447597828889e-06 1.5064804328751992e-05 -1.4056386789532058e-05 -1.375676375134001e-06 1.1281159535417633e-05 1.2273883261780712e-05 -1.4209321250035783e-05 -2.2840664960596302e-05 1.6917159964432382e-06 -1.5862903217093824e-05 1.187811886930318e-05 -3.1151420098142607e-06 8.243358562579034e-06 -2.4787925638039303e-05 1.1824851221914443e-05 -6.168361605998511e-06 -8.469178039958029e-06 -3.166174591737278e-05 1.917333214533207e-06 -5.569357965948297e-08 -7.057522313287403e-08 -2.243718841479257e-07 5.64958503229797e-08 5.168930371931374e-08 1.1994717736351728e-07 2.2988060681324098e-07
age3 2.7618428867417387e-07 -1.6327029011562616e-11 3.752081392083191e-08 -1.3744326799124013e-09 1.456993290258748e-11 -4.353450351288522e-08 -4.932386084424675e-08 -1.4887547427461516e-07 1.1721125041209325e-07 5.382702337562527e-09 -1.2542565960528356e-07 -1.1674305626931408e-07 1.7214234811127776e-07 2.2110426336261165e-07 -2.5838147863077872e-08 1.5362279604959232e-07 -1.322212762217795e-07 -1.5175258271596808e-08 -1.2766418093422518e-07 1.9392585883595812e-07 -1.4889338744508218e-07 4.605375719945091e-08 1.0053040084348931e-07 3.4112126649774955e-07 -8.898634530015124e-08 3.873598891959961e-10 3.220265134804673e-10 2.188906082060014e-09 -5.418777449791051e-10 3.059410121855035e-10 -1.3238320607719366e-09 -2.1796892846062785e-09
PC_3 -0.002597864078883673 2.024570187579336e-05 -0.00011693058491022727 3.7052339727325608e-06 -4.3534503512885434e-08 0.4887803645507 -0.08151116552261671 0.02443046821261173 0.06799900086966493 0.035363214368044814 0.03803060132883224 0.025628811854781358 -0.08518358534860741 -0.04842418369878601 -0.031022035102147415 0.0937489637396159 0.03002034527656792 0.14616588881563516 -0.0005681939401737473 -0.1926288682145583 -0.05640095016445776 0.002165636794947898 0.04899129064769442 -0.11867112517708757 0.16794729301545774 2.8891157156965106e-05 0.0005459308460397964 0.0007013866451831378 -0.00015172138558980304 -0.0004888606209823841 -0.0007083219897807112 -0.0002792135648730969
PC_4 7.453761511682401e-05 0.0003061978773095346 -3.467520105225003e-05 7.311447597829784e-06 -4.9323860844259974e-08 -0.08151116552261747 1.4554912669837687 -0.01391887919483872 0.3136085709385693 -0.13194713331747907 -0.13140692622612846 -0.015614994183871665 0.042597717813624286 0.0745363676782798 0.09753010281154027 0.1576525876754983 -0.07795449226110218 -0.1789633629896561 0.13790162019494348 0.08138530808626929 -0.09162214957421276 0.04778169813997035 -0.08129816071912731 0.06812477082674778 0.23159340905296127 -0.00012725762993820385 0.0001291065459760398 0.0003327433225721709 -5.557240953731837e-05 -0.0011459389043056223 -0.00027187603533083667 -0.0010100104901959047
PC_5 -0.0019492455682495735 3.421160736302599e-05 -0.0004294458859624574 1.5064804328752346e-05 -1.4887547427462326e-07 0.024430468212611856 -0.013918879194839444 1.9934088523368525 -0.09665798079998202 -0.247841729945634 -0.2073748845470995 0.25562633232265697 -0.13190844129598217 -0.3384700068504913 -0.1391300189871169 0.011499417400420845 -0.15079562937874705 -0.10506146771505767 0.06647194627051772 -0.4237900311692482 -0.09917369670037102 -0.04760844662502671 -0.044426865765275964 -0.11455857250098248 0.2863529090428924 -0.000229653338114763 0.001591276227547071 -0.0007140357322850049 -0.0003328118323823 -0.0017285948021378873 0.0007453938797633051 0.0014337439381011913
PC_6 0.0008007256123860237 -0.00023267005287024343 0.00027566305992074853 -1.4056386789531719e-05 1.1721125041209328e-07 0.06799900086966405 0.3136085709385702 -0.09665798079998097 2.592273401056524 0.1607512913990371 0.24042632012872253 -0.1292804510060137 0.24324000706021243 0.13420137347234165 -0.1023850634086575 0.14725470245120095 0.3672594751451177 -0.4225359793164148 0.10184615573377331 0.30681871635665303 -0.07158448146111153 0.02020833152950548 -0.25446424296281583 0.17532797039796125 -0.22168856050934638 0.00035921777823951314 0.00020432870370184282 0.000723132915720385 -2.7251574442200334e-05 0.0007052196251564625 -0.0014441463507048695 -0.00015525018257148913
PC_7 0.002405046351344723 0.00010410462471794582 0.0002808930165500239 -1.3756763751380411e-06 5.3827023376048776e-09 0.03536321436804453 -0.13194713331747884 -0.24784172994563403 0.1607512913990368 3.5690583809307084 -0.01965817026705321 0.39529748772360757 -0.1829028543981107 0.35615361115253547 0.25513649324102944 0.18628767054525075 0.06535570817773761 -0.4026093242564465 -0.2159965975369718 0.5906023072526837 0.20284292045193963 0.05269330711270477 -0.47467558608475197 0.07100488300845505 -0.5592258174805046 -0.0006289292658662865 -0.0001439614895525269 0.0002910742242751706 0.00040929966640253034 0.001123054064130904 -0.00015420262676188096 0.0009022546856274504
