 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 1.0252227589845213e-05 7.320531798707306e-08 5.481929607369808e-08 -8.694571089115028e-07 1.382106291086835e-07 1.5692312165131666e-09 -7.264892777263414e-12 -4.901384339992688e-09 4.199950540745113e-11 1.46728784739016e-06 -7.207013830655262e-07 4.181660522729281e-06 -4.274987708854649e-05 4.703892558830945e-05 -6.835252401613082e-05 4.895859974682953e-05 -4.207296951800755e-05 -7.755092363678618e-06 -8.050894225177093e-05 -1.2618440912240598e-05 -1.6853182527841775e-05 -5.412093386360259e-05 -1.2149572107183778e-06 -3.3487917741213204e-05 -6.561017717532682e-06 3.287081637608734e-06 -4.370451806597848e-05 -4.9875928508071244e-05 5.882084488892863e-05 2.9630498693413104e-08
yob 7.32053179870686e-08 9.98430458626016e-08 3.6599385724824406e-08 2.0510298853611824e-07 -3.57554792636408e-08 1.5991853178180588e-09 -1.4076568650485697e-11 4.763228701719354e-10 -4.756701035038998e-13 4.3660089715395894e-07 7.321184170015607e-06 6.013358145651187e-07 -6.500406984657615e-06 -1.1344224133479156e-06 -3.36990231610351e-06 -3.382462336790457e-08 -2.589127821050361e-06 4.63640013202375e-06 -1.5778998025657658e-06 -4.025822829141508e-06 5.958079900708354e-06 -4.965247036470838e-06 -2.7917151266128503e-06 8.760368049504738e-06 2.8778432252812194e-06 3.204400771179165e-07 -2.1401682197318685e-06 3.029997105134809e-06 -1.1526184362345183e-05 9.460380515877282e-09
age 5.481929607937645e-08 3.6599385724724833e-08 1.3714411419808093e-05 0.0001711090985298841 -1.353005238927531e-05 -3.0370857256834944e-07 2.0256159337305955e-09 3.0073710217478705e-07 -2.00734313556771e-09 -4.195205258868216e-06 -4.124877769392773e-06 -1.454425179114515e-05 -8.948259853827381e-06 1.7100160138994166e-05 5.593131270093753e-06 1.6864309920500644e-06 4.250507703150674e-06 -4.32302805809961e-06 1.4425565362994611e-05 1.5855912086782023e-05 -1.5594956454687576e-05 2.45293129628191e-06 -1.611231965123941e-05 -2.1345597962012297e-06 4.925702736623319e-06 -1.202727869507009e-05 -1.9816309572552988e-05 -1.400950448654109e-05 3.2085281450349675e-05 1.4211884324413588e-07
sex -8.694571087039222e-07 2.0510298853417806e-07 0.00017110909852980123 0.004502955726948922 -0.00031905336450655425 -3.594113723959109e-06 2.3118979408888638e-08 6.677414955440763e-06 -4.285149133547441e-08 1.6059878109340954e-05 -3.902147056835577e-05 -8.76802033179539e-05 3.2179979837815056e-05 -2.2900464438949082e-05 0.00012099233290807522 9.322341678582593e-05 0.00012017592091818887 -1.826515128250351e-05 7.209562309871696e-05 -6.517837709698788e-05 -0.00015378048351798553 -0.0002454752993023865 -8.28261769665539e-06 -9.291880540464325e-05 0.0001684389893658026 -2.3686453095537858e-05 -0.00011679835288047724 -2.6527423654863763e-05 5.837528720889651e-05 1.6686365074901377e-06
age_sex 1.3821062912344843e-07 -3.575547926381851e-08 -1.3530052389266296e-05 -0.0003190533645065109 2.4665079119570377e-05 3.000668046051687e-07 -2.002842161503246e-09 -5.439176898216937e-07 3.6174966220345105e-09 -2.653347638143467e-06 8.893417035749297e-06 1.3127381297887461e-05 -1.7046712277723548e-07 1.3959556992612423e-06 -1.4872039813098933e-05 -4.863379144987298e-06 -1.2396954280593104e-05 5.784545397548399e-06 -8.412146063755299e-06 2.8133563669279482e-06 9.416195262644706e-06 1.5742711805855858e-05 3.6397867822554215e-06 1.0508754947695123e-05 -9.988267019973098e-06 -9.070626555550494e-07 1.2148225968061057e-05 2.948471420822827e-06 -7.467141052346512e-06 -1.8272394000552777e-07
age2 1.569231216579772e-09 1.5991853178189402e-09 -3.0370857256833054e-07 -3.594113723960671e-06 3.000668046053475e-07 7.044623267061862e-09 -4.841109803293399e-11 -6.9343882226860734e-09 4.7677853026857383e-11 1.388402070368313e-07 4.4312783931857573e-07 4.226346329624342e-07 8.422737955891136e-08 -2.673653293912264e-07 -2.787552720355993e-07 -6.379899025526176e-08 -2.595656849137677e-07 2.8099285938482885e-07 -4.4526352556775664e-07 -5.009672889257728e-07 4.234383942436779e-07 -1.9865957921143386e-07 3.824334440714544e-07 3.19814944426015e-07 6.920786909829532e-08 2.77766038984567e-07 3.628899066396721e-07 3.143805591267883e-07 -1.0567500324143785e-06 -4.2709425336688554e-09
age3 -7.264892778691391e-12 -1.4076568650467882e-11 2.025615933730396e-09 2.3118979408897615e-08 -2.0028421615043344e-09 -4.841109803293212e-11 3.4047972902562745e-13 4.762146340756454e-11 -3.351161249199846e-13 -1.2950966325288993e-09 -3.730466005971693e-09 -3.2079195023161136e-09 -8.367857625036885e-10 1.5100860829363144e-09 2.0136901712146027e-09 5.532578749704322e-10 2.189823789423247e-09 -2.3462921588212878e-09 3.2218070602814484e-09 3.719800409890909e-09 -2.7478610582494027e-09 1.5073195865362866e-09 -3.1136698612131024e-09 -2.77676578554735e-09 -1.1442310932287564e-09 -1.9649759289015193e-09 -2.3172912887330924e-09 -1.7580528871349729e-09 7.971283626699987e-09 3.599112701662506e-11
age2_sex -4.901384339846784e-09 4.763228701742151e-10 3.007371021745482e-07 6.677414955439082e-06 -5.439176898216396e-07 -6.9343882226811864e-09 4.762146340753415e-11 1.2451493893051708e-08 -8.520625376422574e-11 6.878213857676448e-08 -2.665165124513257e-07 -3.70154695272608e-07 -2.2776184226828767e-08 -4.437279850760395e-08 4.1281452552709537e-07 8.484235373350094e-08 2.9822157336893385e-07 -1.7837855109740042e-07 2.618887927292262e-07 3.71123940499414e-08 -1.8102834704793355e-07 -2.8598845386242706e-07 -1.5522369706056571e-07 -3.119145906574747e-07 2.0656696062511345e-07 1.5753589976197803e-08 -2.9135736977607607e-07 -4.822342811700917e-08 2.2549408866764055e-07 4.4378095110866805e-09
age3_sex 4.199950540570744e-11 -4.756701034739091e-13 -2.00734313556588e-09 -4.2851491335459986e-08 3.6174966220338847e-09 4.767785302682003e-11 -3.3511612491974937e-13 -8.520625376421977e-11 5.969487872328867e-13 -3.6733168029518535e-10 2.0933954821241886e-09 2.8611913225952107e-09 2.6341590222340047e-10 4.171731568362947e-10 -3.1678805289971586e-09 -3.867758169674484e-10 -2.0402961370739655e-09 1.3612878245814089e-09 -2.224456614452243e-09 -8.02107610961283e-10 1.0712897489894184e-09 1.6468019676262795e-09 1.4521851289302166e-09 2.4557145337014063e-09 -1.4091963329253412e-09 -2.7288586665730613e-12 1.9930289150126376e-09 -4.0159506574748696e-11 -1.7367213258657826e-09 -3.1752727001449625e-11
PC_3 1.4672878473894395e-06 4.3660089715398943e-07 -4.1952052588801e-06 1.605987810912389e-05 -2.6533476381258253e-06 1.3884020703710394e-07 -1.2950966325307617e-09 6.878213857636007e-08 -3.673316802924109e-10 0.026468259874073134 0.0005446687560880472 0.0017277648139424565 -0.00012923782961814123 -0.0041246093698051375 0.0016796948903362128 0.0037617966122638472 -0.004097235197321052 -0.0003719573845861916 -0.0014902459877630591 0.0008224336205018842 0.004902950761377154 0.002811354559168387 -0.0015797734479423588 -0.009522688924757189 0.0009964532192505869 -0.0008938421934402826 0.0030279095748849834 -0.0005494554562655634 0.004703037280438645 7.547618967299925e-06
