 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
intercept 1.841358967444508e-05 3.0934416425328155e-07 -3.2187706159191093e-06 -2.6995749515333592e-05 1.7858998346376315e-06 6.327180082873841e-08 -3.689779480162937e-10 -3.8285183999255174e-08 2.511445072453891e-10 3.211042827558381e-05 -3.862909249689424e-05 4.712801026782922e-06 -5.75631108053838e-05 4.1527607911473296e-06 -8.567341474890311e-05 9.226011378774016e-05 -7.585667933151627e-05 -1.8344906261477588e-05 -0.0001288237763027895 -3.4753533540384776e-05 -2.1304208551436555e-05 -0.00010261014078157242 2.8623020193965464e-05 -6.718388711835985e-05 3.126096997895065e-07 2.7420380101820256e-05 -5.7053808096874156e-05 -3.573987098185669e-05 6.792478046561437e-05 4.288305975119623e-06 4.6445405669346375e-06 -5.67340031091087e-06 -6.636551539066227e-06
yob 3.093441642533032e-07 1.567947437529217e-07 3.856654859323549e-07 2.220303946207008e-06 -1.709000298622093e-07 -3.8255764447211646e-09 1.5120957858601144e-11 2.7529934150887007e-09 -1.1643664897150895e-11 3.10871403882763e-06 6.496238820643186e-06 -1.2450154789419233e-06 -1.0688954346923165e-05 -6.4173959713222355e-06 -2.3975815772223573e-06 2.5874480272018774e-06 -4.32254777661599e-06 6.9579986653434395e-06 -4.000130469300789e-06 -8.105405985249716e-06 1.1089862672334675e-05 -8.5669716742285e-06 -2.671888533637874e-06 1.2724193156215557e-05 4.297228562631437e-06 1.0446354770940469e-06 -2.964324122820242e-06 5.309962545167934e-06 -1.9501015225502938e-05 4.1684311627375375e-08 1.8757524818955796e-08 -2.8867650031021462e-08 -2.9846371995880363e-08
age -3.218770615922413e-06 3.856654859334192e-07 6.902681243340267e-05 0.0010183715494640987 -6.795220070860592e-05 -1.3716648827399962e-06 8.48402236289061e-09 1.358473011896246e-06 -8.41206876312617e-09 7.059169348492898e-06 -9.426163509691702e-06 -6.846416664041557e-06 -4.36471854206154e-05 -3.0512235405163805e-05 4.9321189526453685e-05 5.141349054548138e-05 -7.1865172793899005e-06 -2.064172579331685e-07 4.218916419643942e-05 -8.3401136471714e-06 -1.1455276354508076e-05 -1.3654322856724831e-05 -2.8901446476790014e-05 4.188425857231123e-05 1.9978566127266926e-05 -4.241440228587622e-05 -1.4968038201060416e-05 -2.65935191527425e-05 -3.062704379358699e-05 1.378602052197674e-07 9.306583441080901e-08 -9.750622890235362e-07 5.275141661475482e-07
sex -2.699574951572526e-05 2.2203039462181994e-06 0.0010183715494660776 0.026035267950936254 -0.0016732665477216422 -1.9788846325386624e-05 1.2020593886036135e-07 3.267486185047873e-05 -1.9895027823665248e-07 -6.855434849956571e-05 0.0003252244909351537 0.00018885797441797964 3.0117286008816348e-05 -0.0004966483747377292 0.00042034466820746154 0.001072774357116942 0.0001312989882807236 0.0004222143173661118 0.00028063536165970484 -0.00047977724649211207 -7.552795596604445e-05 -0.00032577090797757303 -0.0002485652077844863 0.0001124297421547813 0.00012676893804065094 -7.594900202342266e-05 -0.0005302493997457861 -0.0005667692600691102 -0.0011242951074173653 1.5315696289069019e-06 4.5083518121647056e-06 -2.2949006508214283e-05 1.2680245399629064e-05
age_sex 1.7858998346685252e-06 -1.709000298638336e-07 -6.795220070874825e-05 -0.0016732665477218042 0.00011179297305918001 1.355868415106576e-06 -8.400006678807186e-09 -2.241387270463854e-06 1.3917702001634842e-08 4.42871807233597e-06 -1.2760568785673415e-05 -2.144996335672187e-06 6.148523120015198e-06 2.5949493855711173e-05 -3.8338809104129e-05 -6.905510807763173e-05 -1.119187847931389e-05 -1.4641275555481134e-05 -1.9524721602078958e-05 3.002391265172667e-05 4.491174040676488e-06 1.88417604267403e-05 2.2030583314838164e-05 -2.0868056955645492e-06 -3.423135367851482e-06 6.523596603674575e-07 3.771087008579541e-05 4.225781723303269e-05 7.246269848745665e-05 -1.6930603260638951e-07 -1.8966797219096356e-07 1.2079732890457744e-06 -8.045324182218607e-07
age2 6.327180082873344e-08 -3.825576444738385e-09 -1.3716648827401194e-06 -1.9788846325348965e-05 1.3558684151038713e-06 2.7930424971719055e-08 -1.7594866663524937e-10 -2.7693109966436178e-08 1.7456306454499826e-10 4.07263896874111e-08 7.178172465256987e-07 2.7527373024747696e-07 7.136626247918277e-07 5.852374788388399e-07 -1.07930229097899e-06 -1.0538062885027493e-06 -7.324683174142483e-08 3.4029842188370835e-07 -1.0837837117234536e-06 -2.2353518990991664e-07 4.4378281409339185e-07 -1.8992145333773888e-08 7.693071273329815e-07 -4.409127374134219e-07 -7.16371592898958e-08 8.700209958959481e-07 2.147747547077206e-07 5.854274270419399e-07 -6.130312365568839e-08 -3.83235500891569e-09 -1.8461480440131474e-09 1.5382131080476948e-08 -9.442496706186051e-09
age3 -3.6897794801553024e-10 1.5120957858672317e-11 8.484022362891939e-09 1.2020593886013744e-07 -8.400006678791039e-09 -1.7594866663526105e-10 1.1256642440893901e-12 1.745442768813867e-10 -1.1171339588481208e-12 -1.3607231910704573e-09 -6.05227054670125e-09 -2.4808530873904128e-09 -4.88016720238477e-09 -3.371378246581955e-09 6.4036908517581415e-09 6.7305703633975106e-09 1.1695060937677169e-09 -3.2748921107714983e-09 7.228539102359419e-09 2.7537553358504693e-09 -3.0829630323681692e-09 9.868312456511018e-10 -6.419953939317373e-09 1.6101854680877918e-09 -1.2128377253140888e-09 -5.4400614931613935e-09 -1.403013981986456e-09 -3.477093543418662e-09 2.8577701754773587e-09 3.39212148247164e-11 1.4387344979645354e-11 -8.171339838169752e-11 5.4053591073428114e-11
age2_sex -3.828518399944163e-08 2.7529934151242442e-09 1.3584730118992646e-06 3.267486185048488e-05 -2.2413872704640466e-06 -2.7693109966493663e-08 1.7454427688173065e-10 4.5894560900227206e-08 -2.899728950729159e-10 -9.648429425546964e-08 1.1403592821521348e-07 -1.1788505555649664e-07 -2.2736149523004167e-07 -4.55573791699846e-07 9.039174008272258e-07 1.3450824631416282e-06 2.5955520914660654e-07 1.4685221225188634e-07 4.482290649367369e-07 -4.645890349025259e-07 -7.167910944492858e-08 -2.7475442482982643e-07 -5.899507082471334e-07 -2.5707548316902328e-08 1.4944879938244251e-09 4.11824506872318e-08 -7.966189576498406e-07 -8.777780513269996e-07 -1.3317901777071232e-06 4.076831697756006e-09 2.5439792633371458e-09 -1.986402956929102e-08 1.5265126653810202e-08
age3_sex 2.5114450724967275e-10 -1.1643664897379313e-11 -8.412068763145777e-09 -1.98950278236706e-07 1.3917702001637054e-08 1.7456306454537222e-10 -1.1171339588503624e-12 -2.899728950729363e-10 1.8606642072563788e-12 8.33203897011175e-10 3.343954966696579e-11 1.577109959784021e-09 1.917675133620007e-09 2.748771626664753e-09 -6.2326287739771e-09 -8.044228830678876e-09 -1.8054245364604486e-09 -3.7377737848687194e-10 -3.238492430292881e-09 2.054914994821098e-09 1.2806352059072112e-10 1.1146410028415127e-09 4.49446361173698e-09 3.145307186177813e-10 3.150639413111872e-10 -5.577215432572583e-10 5.2137870630396805e-09 5.1362878533724604e-09 7.570190648174177e-09 -2.9985343370539185e-11 -1.2105544521598373e-11 1.0549558668200469e-10 -8.960044511254794e-11
PC_3 3.211042827558533e-05 3.1087140388275036e-06 7.059169348452784e-06 -6.855434850022657e-05 4.428718072380985e-06 4.0726389688221865e-08 -1.3607231910755341e-09 -9.648429425638443e-08 8.332038970169153e-10 0.041830446323694356 0.00037034617350717534 0.0036349454765391307 -3.897296855681844e-05 -0.00786343141904061 0.0020248317931714065 0.005916127799045836 -0.005010209262028679 -8.682534241573083e-05 -0.0013298565912534673 -0.0002963069690829177 0.008013631258871575 0.004270154311222878 -0.001169319826314766 -0.01474603714681396 0.002574023729559347 -0.0001812271873154403 0.004666109843271549 -0.0006511504425820975 0.00808125677743696 2.7632269886628432e-05 3.1340435200775396e-05 -1.9398433345111585e-05 -3.9460244268277526e-05
