(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband sibling paternal maternal
(Intercept) 0.00487321728123021 -0.000427453976570501 0.000904718848375336 -0.000365989710616805 -5.49553706810126e-05 4.4807957207848e-05 -0.00019537476821377 0.000191396536481093 -0.000162995544479621 -0.000239371248942451
covarage -0.000427453976570501 0.00112124713643718 0.00177643922467437 -0.00172610320600952 -2.86116561713259e-05 3.08057132394231e-05 3.90233393802992e-05 -7.7560225203151e-07 -4.7271313759823e-05 5.32588620348392e-05
covarsex 0.000904718848375336 0.00177643922467437 0.00884097264450534 -0.0079488222094699 -7.86424876228196e-06 8.07959575668481e-06 -1.55606378833268e-05 -3.10241632020875e-06 -2.62901293488333e-05 1.53858274549464e-05
covarage_sex -0.000365989710616805 -0.00172610320600952 -0.0079488222094699 0.00752849530505485 1.13844547425795e-05 -1.0844345830058e-06 -2.0390314947548e-05 7.6366525258367e-06 2.88069650537752e-05 -2.27723750818689e-05
covarPC_3 -5.49553706810126e-05 -2.86116561713259e-05 -7.86424876228196e-06 1.13844547425795e-05 0.000406008450752073 3.32407257962754e-06 1.69834466597717e-05 1.77442210841307e-05 -1.64017161229171e-05 -1.59935988607098e-05
covarPC_4 4.4807957207848e-05 3.08057132394231e-05 8.07959575668481e-06 -1.0844345830058e-06 3.32407257962754e-06 0.000437422994432432 1.68694962452926e-06 6.92199122716402e-06 -1.7640874865958e-05 -2.74281185783079e-05
proband -0.00019537476821377 3.90233393802992e-05 -1.55606378833268e-05 -2.0390314947548e-05 1.69834466597717e-05 1.68694962452926e-06 0.00150266838211018 0.000841976497432349 -0.00148682009151695 -0.00141337313651484
sibling 0.000191396536481093 -7.7560225203151e-07 -3.10241632020875e-06 7.6366525258367e-06 1.77442210841307e-05 6.92199122716402e-06 0.000841976497432349 0.00176869039143569 -0.00166361623987997 -0.00159174623404454
paternal -0.000162995544479621 -4.7271313759823e-05 -2.62901293488333e-05 2.88069650537752e-05 -1.64017161229171e-05 -1.7640874865958e-05 -0.00148682009151695 -0.00166361623987997 0.00650563255488682 -0.00203534837330735
maternal -0.000239371248942451 5.32588620348392e-05 1.53858274549464e-05 -2.27723750818689e-05 -1.59935988607098e-05 -2.74281185783079e-05 -0.00141337313651484 -0.00159174623404454 -0.00203534837330735 0.00631964320579923
