 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
PC_8 -0.00012467840236879041 -6.895118264838599e-06 -2.4110065359844078e-05 3.6178261851767294e-07 -2.6811217291835793e-09 0.0033915958950332344 -0.0005388494877249039 0.0006338373844415531 0.014110941053057786 0.01462487561628143 0.3729412399364715 0.0186784933799824 0.012618177263671603 -0.008749001693624784 -0.003602072083148601 -0.018906569336653908 0.015842439291204928 0.03218446823578116 -0.01930033961569825 0.012279760187982382 0.022828285625994354 0.0075388968934542375 -0.006055612705489354 0.0043729173227226945 -0.014711973255320844 -3.009161946656264e-06 1.7399465441672133e-05 2.8919970876665384e-05
PC_9 9.623890665491195e-05 -8.147031691161363e-08 -7.5296007951764e-06 5.7365187720884854e-08 2.537547759366128e-10 0.008095446604906388 -0.005127876626267279 0.005268784462463512 -0.013907418907702139 -0.0009064180548951928 0.01867849337998239 0.5014837556030323 0.011377088250540322 -0.000444610430075274 -0.03006611615217764 0.023345154413316697 -0.004059690479831738 -0.0020203578590196544 -0.022519600952449603 -0.012022908968970963 -0.012327367103630613 -0.0036435383239738677 -0.0027634346467916185 -0.013224899661409141 0.028091202147162268 2.3757862214498806e-05 -3.837556733490556e-05 3.861947391881425e-06
PC_10 -7.687015415228501e-05 -9.60571195491911e-06 -2.3909036896457892e-05 1.869609149321363e-07 -5.508743670684292e-10 -0.006053489855836669 -0.0015912846178687769 -0.015054885952681861 -0.008991613215352943 -0.01591192380502134 0.012618177263671626 0.011377088250540351 0.5918278637906693 0.026906027135326888 -0.005124673615172997 -0.005210180468601594 -0.0021942867356151874 0.01787280597717636 0.0025018298463446386 -0.006438733855744644 0.020394594961784335 0.007135090260303121 -0.013348115878844878 0.005683991026192741 -0.012194277346831968 1.5542678265148326e-06 4.36916026788415e-05 4.7166302992818845e-05
PC_11 -2.6611300797859405e-05 1.2428454648027642e-05 1.2713803278781415e-05 8.573392226767662e-09 -3.920379631003319e-10 -0.0020828071420377035 -0.014011162337887444 -0.0015817682963021934 0.007024528526334917 0.019506027331706376 -0.008749001693624789 -0.0004446104300752659 0.026906027135326888 0.5598099882440079 0.00627388842160411 -0.005525877085043397 0.029759387335700483 0.02672931236126675 -0.009056287823593313 0.019214071832762396 -0.02703412963135888 -0.017336619421988428 -0.0008151887858572816 -0.007032660024960764 0.04410339104091472 1.1039860080381934e-05 4.0088036991007676e-05 3.0374982825857907e-05
PC_12 -0.00014363126320124302 -5.3757297756939726e-06 3.6771944048559054e-06 -2.212618644924245e-07 1.1035633842873262e-09 -0.001831779197617358 0.0037851832652296283 -0.017570334247375575 -0.014238180126458817 0.004977167410438228 -0.0036020720831485835 -0.030066116152177656 -0.005124673615173005 0.006273888421604098 0.6298377197012072 0.030333701686016637 -0.012481766882196814 -0.023372425363973996 0.00816215217734012 0.03213259417437569 0.02632172100155005 0.017805773337744937 0.021153796911265316 0.019755819903016242 0.009520641145076936 1.9603737188532934e-06 3.0174717533942195e-05 4.192794836105442e-05
PC_13 4.796649106489526e-05 -1.3663435881730269e-05 1.7032896456095915e-05 -5.837415623970608e-07 3.574167017821007e-09 0.003743064566495413 0.009328224371164874 -0.012678502145193676 -0.0009488868035107511 0.03195394710488655 -0.018906569336653908 0.02334515441331673 -0.005210180468601628 -0.005525877085043397 0.030333701686016613 0.6568175069932467 0.034171746481257904 -0.002468974728339798 -0.01214977970963469 0.027689923717977252 0.026310068665553722 0.008633060307865432 -0.032482324253974904 -0.024477272346235777 -0.015066386336024473 3.6741675681865784e-05 5.5734287927741015e-05 -1.4110141960235703e-05
PC_14 -6.742349091193783e-05 1.5682550977523344e-05 -6.2065310981018715e-06 3.532285762223884e-07 -2.1108734799964398e-09 0.008054655431493819 -0.019102691105398535 0.0004868860532030279 -0.0003332746312767337 0.010900621498905949 0.015842439291204893 -0.004059690479831724 -0.002194286735615205 0.029759387335700483 -0.012481766882196814 0.034171746481257995 0.637647755247781 -0.0026379616905867227 -0.0022055025464265414 0.013979611228078141 -0.003263004860098481 -0.005257720642811323 -0.001636168856342619 -0.04946378611272814 0.019341029719939683 -4.657476837471245e-06 5.059092639617765e-05 3.133090014717293e-05
PC_15 -7.285629365636968e-05 -1.156568988221427e-05 1.8433104002804806e-05 -5.560695168533767e-07 3.243482922088911e-09 0.00612322209261018 -0.010835554323153751 -0.016561602992214475 -0.024124190125082587 -0.036958285710893775 0.03218446823578119 -0.002020357859019648 0.0178728059771764 0.02672931236126674 -0.023372425363973975 -0.0024689747283398234 -0.002637961690586711 0.7353423029444454 -0.010162730332476031 0.012082202660330237 0.00597624395210513 -0.004817885984528788 0.003048390948579255 0.0030710448916872416 -0.02286329731631478 -2.038825966300473e-05 -4.2015602352726376e-05 -3.22761676090791e-05
PC_16 -3.0289175262563862e-05 -6.240065382826151e-06 -2.073022219760515e-05 3.87356261464838e-07 -3.0819387701300877e-09 -0.004214930137670649 0.013209649683341736 0.013370660949212958 0.013962171535733677 -0.025446051621573085 -0.01930033961569825 -0.022519600952449658 0.0025018298463445414 -0.009056287823593287 0.008162152177339956 -0.012149779709634661 -0.0022055025464265254 -0.010162730332475965 0.7844846856900666 0.017335919170438457 0.005408656702709714 0.01322761557819141 0.022320486860432143 0.031480849871053485 0.013922597589014615 -2.969060610061133e-05 -4.585076042309354e-05 -0.00010261098401273114
PC_17 -8.516707671572026e-05 2.1116499611417246e-05 9.632116572212168e-06 2.050667738686744e-07 -1.7387870287441983e-09 -0.01691872621517645 0.010538875766996691 -0.025667102188332833 0.028822063931295 0.02809422916375644 0.012279760187982366 -0.012022908968970975 -0.006438733855744668 0.019214071832762435 0.032132594174375674 0.027689923717977332 0.013979611228078134 0.012082202660330242 0.01733591917043847 0.8457754856717863 -0.03078979633683557 -0.01890634075731263 -0.026279236268876998 -0.015544833104819541 -0.05609044701843853 -1.7760379590213272e-05 4.9567472475182284e-05 -1.2399331985980037e-05
PC_18 -2.7774355496170907e-05 7.580234756793149e-06 -1.28212578699101e-06 3.352673698886077e-07 -3.2285887345960444e-09 -0.0005059649385641871 -0.00492544675745776 0.0067331731263854085 -0.007727934692930156 -0.009535409843409883 0.02282828562599435 -0.012327367103630608 0.020394594961784317 -0.027034129631358855 0.026321721001550016 0.026310068665553854 -0.0032630048600984837 0.005976243952105134 0.005408656702709636 -0.03078979633683554 0.8326251812248275 0.03437083948226508 -0.027232425504217596 -0.014786177165369688 0.011343571748763034 2.3073536021503212e-05 2.1339784175417614e-05 -1.8606838314714895e-05
PC_19 -1.174105170256402e-05 -1.9321092438029655e-06 -1.993213130432934e-05 3.907911030603186e-07 -2.591522886405525e-09 -0.0015326758550579303 0.00571850260494879 0.004435917759020522 -0.0002297547402557256 -0.01150695675985126 0.00753889689345423 -0.0036435383239738677 0.007135090260303116 -0.017336619421988424 0.017805773337744912 0.00863306030786542 -0.005257720642811325 -0.004817885984528792 0.013227615578191462 -0.01890634075731263 0.03437083948226509 0.8262636452413895 -0.0024039208242629473 0.013915646594450704 0.01731622924086757 -3.7642382009952496e-05 -4.116611697034533e-06 7.033531935368159e-06
PC_20 -6.449700403449499e-05 -1.7796300528569297e-06 -1.0076364727168628e-05 1.465230320841801e-07 -9.853714379788035e-10 0.004741347469478733 -0.005526984390300145 0.0003907366606552539 -0.008816187269609324 0.00027559134153839733 -0.006055612705489371 -0.0027634346467915283 -0.013348115878844937 -0.0008151887858572452 0.021153796911265323 -0.032482324253974744 -0.0016361688563426647 0.003048390948579314 0.022320486860432174 -0.026279236268877005 -0.027232425504217523 -0.002403920824262942 0.8264309276715442 0.05122928538004305 0.0024809224539593068 -6.39347509302258e-05 1.4336252339473431e-06 6.11989221742283e-06
PC_21 -0.00014397070297767354 1.2411256123181668e-05 -4.58913699879118e-06 2.242469278798808e-07 -1.201630581982179e-09 -0.00316065698589518 -0.0005134531522686262 -0.004517313122707005 -0.0025954840375589762 0.009979804934913343 0.004372917322722696 -0.01322489966140914 0.0056839910261927366 -0.007032660024960754 0.019755819903016225 -0.024477272346235805 -0.04946378611272814 0.0030710448916872516 0.031480849871053596 -0.015544833104819526 -0.014786177165369663 0.013915646594450735 0.05122928538004306 0.9269840222005175 0.0009826148065656664 -1.942547657755683e-05 8.089206664718355e-06 2.5169459097961896e-05
PC_22 0.00015131241358712244 -2.6922302623952177e-05 3.40025302716878e-05 -1.302403826522146e-06 9.348837426847296e-09 0.010815331609590032 0.007994771332221613 0.01693905821760294 -0.01324041660589284 -0.01693534081258148 -0.014711973255320808 0.02809120214716236 -0.012194277346831968 0.044103391040914625 0.009520641145076992 -0.015066386336024348 0.01934102971993962 -0.022863297316314774 0.013922597589014646 -0.0560904470184386 0.011343571748762991 0.017316229240867585 0.0024809224539593592 0.0009826148065656872 0.8987902958057097 -2.852741312649587e-05 -0.00010149602911005857 -4.375168772699926e-05
proband 1.9589869221875488e-06 1.997118090375716e-08 2.1568143853713534e-07 -5.143422007041571e-09 3.65705195083189e-11 2.0205926968017293e-05 2.6129731928235034e-07 -2.423004063163114e-06 -1.0460267603538143e-05 -1.2903294088042604e-05 -3.0091619466578923e-06 2.375786221449526e-05 1.5542678265143354e-06 1.1039860080381482e-05 1.960373718854233e-06 3.6741675681862376e-05 -4.65747683747899e-06 -2.0388259663003375e-05 -2.969060610066444e-05 -1.776037959020911e-05 2.307353602150125e-05 -3.76423820099559e-05 -6.393475093018778e-05 -1.9425476577554924e-05 -2.8527413126549744e-05 3.930391188763092e-05 -2.5346386914980165e-05 -2.2403117849187283e-05
paternal -2.211804579187314e-06 -3.6307757500883505e-08 -9.9712583584101e-08 1.7656922478331514e-09 -1.0753141544032037e-11 5.574652644104547e-07 -6.117568068823798e-05 1.7342054112793085e-05 -9.81645362409669e-07 5.5221819443009364e-05 1.7399465441669863e-05 -3.837556733489693e-05 4.3691602678834815e-05 4.0088036991010434e-05 3.017471753395165e-05 5.5734287927833335e-05 5.0590926396188875e-05 -4.2015602352728944e-05 -4.5850760423135365e-05 4.956747247516624e-05 2.133978417541433e-05 -4.116611697031516e-06 1.4336252341265344e-06 8.089206664721821e-06 -0.00010149602910993777 -2.53463869149802e-05 5.2658624066902745e-05 -2.227195814201951e-06
maternal -2.9911848326107725e-06 -4.2983930097972927e-08 -2.0657215003662758e-07 2.9592416471803757e-09 -1.1374116472967696e-11 -1.0256128081821819e-05 -5.9874967121085476e-05 1.953972226779451e-05 -1.7452813046761185e-05 5.99933304882172e-05 2.891997087666558e-05 3.861947391882545e-06 4.716630299281893e-05 3.0374982825855067e-05 4.1927948361055356e-05 -1.4110141960238343e-05 3.133090014717553e-05 -3.227616760908038e-05 -0.00010261098401267677 -1.2399331985985233e-05 -1.860683831471583e-05 7.033531935369141e-06 6.1198922174643796e-06 2.5169459097963834e-05 -4.375168772698893e-05 -2.2403117849187286e-05 -2.2271958142019757e-06 4.956309258259952e-05
