(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband sibling paternal maternal
(Intercept) 0.000819646004470755 -3.45404125598583e-05 1.78012120897606e-05 -5.98188766697291e-05 5.88523175207747e-05 -1.64358240756081e-05 2.13205933099309e-05 7.68387745213273e-05 -8.84542693963085e-05 -0.000118138893462865
covarage -3.45404125598583e-05 0.000680936658094014 0.00102935807492939 -0.00106805649862722 -9.36994169307842e-06 2.12861215247068e-05 -7.83412767009733e-07 -2.33757047502304e-06 -9.24382574421256e-06 1.59921108266562e-05
covarsex 1.78012120897606e-05 0.00102935807492939 0.00275727133845797 -0.00265961350552613 -6.94924198255401e-06 4.82077470052869e-06 4.19878155712649e-06 3.92275252087521e-06 -7.03792489675165e-06 -6.6614328045167e-06
covarage_sex -5.98188766697291e-05 -0.00106805649862722 -0.00265961350552613 0.002773948806198 8.72802239701279e-06 -2.33562550580184e-06 -5.49107249196793e-06 -4.70275103982655e-06 9.04728817584601e-06 4.22511717845476e-06
covarPC_3 5.88523175207747e-05 -9.36994169307842e-06 -6.94924198255401e-06 8.72802239701279e-06 0.000204383900290611 6.20685678783446e-06 6.32119327602677e-06 9.29659116774781e-06 -9.52187106768695e-06 -9.03563653521291e-06
covarPC_4 -1.64358240756081e-05 2.12861215247068e-05 4.82077470052869e-06 -2.33562550580184e-06 6.20685678783446e-06 0.000219002770597725 1.79722048491858e-06 3.68888988791637e-06 -9.85762649534759e-06 -1.25797491437605e-05
proband 2.13205933099309e-05 -7.83412767009733e-07 4.19878155712649e-06 -5.49107249196793e-06 6.32119327602677e-06 1.79722048491858e-06 0.000709267491891156 0.000343944181981274 -0.000658979611443946 -0.000636608372403854
sibling 7.68387745213273e-05 -2.33757047502304e-06 3.92275252087521e-06 -4.70275103982655e-06 9.29659116774781e-06 3.68888988791637e-06 0.000343944181981274 0.000844073241755726 -0.000743285578153794 -0.000724879905405552
paternal -8.84542693963085e-05 -9.24382574421256e-06 -7.03792489675165e-06 9.04728817584601e-06 -9.52187106768695e-06 -9.85762649534759e-06 -0.000658979611443946 -0.000743285578153794 0.00220572273720838 -0.00021779951787132
maternal -0.000118138893462865 1.59921108266562e-05 -6.6614328045167e-06 4.22511717845476e-06 -9.03563653521291e-06 -1.25797491437605e-05 -0.000636608372403854 -0.000724879905405552 -0.00021779951787132 0.00215613182833657
