 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
PC_4 -3.552772711159095e-05 2.140547939974728e-05 6.3640789451242825e-06 -0.0002065317235181785 1.0141893812693331e-05 2.8024498387146063e-07 -1.1737452923033557e-09 -2.5061601632067832e-08 -1.219727879744622e-09 0.0009101598489522481 0.15409872921803844 -0.006614191878530533 0.009016052267726152 -0.009148381759449025 0.00017346427357868398 -0.004984988850023804 -0.0004919933735364767 -0.012959773312307223 0.003794695298103419 0.009258757657168128 -0.016634759594832613 -0.009261811189623605 0.012202947595256584 0.008378236682856066 -0.0053835824660081995 0.004599769904023158 -0.004995722307395677 -0.0014264630347569733 0.009203727837793703 -5.174997974371415e-05
PC_5 -6.0692422123695564e-05 7.6204065393826395e-06 -1.723118069558172e-05 -0.0002732135746975882 2.6430994957793562e-05 6.495236091234614e-07 -5.41574161541995e-09 -6.814009859215729e-07 5.635469502031811e-09 0.001726398624260094 -0.006614191878530526 0.20067378189235222 -0.0036593904983539278 -0.007043033795171281 -0.0002340815595358178 0.0053412871377435 -0.011983637348521222 -0.002616570943405944 -0.014727504186846617 -0.009287152707576981 -0.001046046679907078 -0.013045952613295036 0.010734749847714909 -0.022697378805094814 0.004420883701608385 0.003333076863411693 -6.172600526551071e-05 -0.005053795071787884 0.015941630344374652 1.3469604204540947e-05
PC_6 -1.7997916441940175e-05 -1.3514981936278868e-05 -1.8686451832594357e-05 -2.0331405598214122e-05 -5.087361601226272e-07 1.8467970926371057e-07 -1.4828620795207789e-09 -3.8890633209851386e-08 2.936798170253331e-10 0.0018991319268332875 0.009016052267726133 -0.0036593904983539174 0.251900582996738 0.0017774296612760652 0.01358130532798777 -0.01165117524501334 -0.007105035001575244 0.007862094467916345 -0.013072724094567105 -0.0024842834521692754 0.001837229680514404 -0.021935840146513765 0.011863141756023396 0.025187492277276353 -0.004788273144721151 -5.9524404558623195e-05 -0.008835564818592288 -0.0014417471032564181 -0.013123512335842585 -1.82249909612203e-05
PC_7 0.00013967444160467663 -4.597874673848453e-06 -2.215308829617669e-05 -0.0005654334873301049 4.964430503969218e-05 9.318829706276637e-07 -8.637373336271853e-09 -1.4271677404028935e-06 1.1611121397158565e-08 -0.005533348511468751 -0.009148381759449032 -0.007043033795171323 0.0017774296612760635 0.3143906737920595 0.013348481632641473 0.0020338177588538646 -0.013880089956377246 0.018317164171147364 0.003644628206567337 0.025289954500785403 0.010081031451792974 -0.03343241659961206 -0.023196704043323312 0.02539005855289433 -0.00631118319290855 -0.009050950675661992 -0.000167954659818847 0.010546851754641639 -0.01841079270156208 3.964954281402705e-05
PC_8 -0.00011197910234008686 -7.267870696317964e-06 4.689938469416562e-06 0.00014280858288241488 -2.5685072769476773e-05 -5.247800099829709e-07 4.517101022277696e-09 8.095979546985391e-07 -6.641490748581537e-09 0.0033303394149560264 0.00017346427357869227 -0.00023408155953581145 0.013581305327987772 0.013348481632641431 0.33972840717789055 0.01822392397831034 0.009066228066931113 -0.008096537324909616 -0.002598155249746684 -0.017084173512072177 0.013137227871693073 0.027457014334650944 -0.017833645473163292 0.011297125390946757 0.021277011147931492 0.005544554258638137 -0.004359845617814075 0.004807986645195614 -0.013881597846366719 1.908548800515981e-05
PC_9 -3.106211304689245e-05 -5.897321771177368e-07 -7.9674426208052e-06 0.0001155984378952755 3.829897445877298e-06 3.7805730012799656e-07 -5.197404164326374e-09 -3.8552091437297694e-07 5.788351473840829e-09 0.006258904952674633 -0.00498498885002382 0.005341287137743579 -0.011651175245013346 0.002033817758854047 0.018223923978310238 0.45446335103414354 0.01008510099666157 -0.0015582004290000681 -0.02750443539288117 0.02205800889060452 -0.005141700635782486 -0.0013231330654325637 -0.021850601210058083 -0.008655624857093569 -0.012981480986755632 -0.004326719912852042 -0.0010462042970772977 -0.011748996061722992 0.025805718087451475 7.906791910877343e-06
PC_10 -5.9862840928113673e-05 -8.095377486132486e-06 -1.516113371823625e-05 0.00010281906485431306 -4.199425397524263e-06 2.919031399442543e-07 -3.3530788382322104e-09 -1.5621002462626612e-07 3.0404769008019728e-09 -0.0054063477249642194 -0.0004919933735365029 -0.011983637348521162 -0.007105035001575243 -0.01388008995637712 0.009066228066931028 0.010085100996661605 0.5352647728784615 0.02525660092722893 -0.004355700795187904 -0.00593710706319127 -0.0019435720619547646 0.013328632782256001 0.0031573829661886202 -0.0037411461856386307 0.01891362046597007 0.005682384885659544 -0.009716033413302246 0.004487868482147567 -0.012465300334035078 4.0427809451427054e-05
PC_11 -7.897354703877371e-05 1.2160995630394375e-05 -1.1094654283467516e-05 -0.00018211788688200816 2.3269638306996154e-05 6.842799646232859e-07 -6.406572520815313e-09 -6.743558380610281e-07 6.039227109208432e-09 -0.002654221807108998 -0.012959773312307268 -0.0026165709434058998 0.007862094467916353 0.018317164171147492 -0.008096537324909664 -0.0015582004290001174 0.02525660092722886 0.5061507922387166 0.006598824516305355 -0.0010697121484073238 0.02523331941029811 0.026044091352221313 -0.008577491294518806 0.014695908443769555 -0.025991762478664145 -0.015765436641486177 -0.0005301252518311084 -0.0073849069704931495 0.04400888663870762 4.341218954892846e-05
PC_12 -8.696752475846233e-05 -4.34843402566036e-06 -1.0611942750788902e-05 -0.00024619289302571577 1.3555604506584802e-05 -1.0862266031843542e-07 2.520770361745898e-09 -7.491057915290804e-08 -1.6331681455964392e-09 -0.001788565034162831 0.0037946952981033947 -0.014727504186846756 -0.013072724094567103 0.003644628206567101 -0.0025981552497465654 -0.027504435392881242 -0.004355700795187931 0.006598824516305225 0.5724173057998712 0.02576821258311554 -0.01106797982752361 -0.020513078359917843 0.008968692111407817 0.029209864614722282 0.022932409872505492 0.0154025787336309 0.01893990518325281 0.017219428007872274 0.008584847569338543 3.0523262153587364e-05
PC_13 8.307637081598771e-06 -1.2353102624008145e-05 -1.3454682826709245e-05 -0.00018133288019078284 2.53817484138176e-05 4.207549141607472e-07 -5.621306847743762e-09 -8.730953544084224e-07 8.323823851994253e-09 0.004479238055982412 0.009258757657168062 -0.009287152707576993 -0.0024842834521692893 0.025289954500785406 -0.017084173512072174 0.022058008890604417 -0.005937107063191343 -0.0010697121484073945 0.02576821258311568 0.5903458100176324 0.034144120395546325 -0.0041661818667802055 -0.009702447626546599 0.025472450333188665 0.02584006860955584 0.007895674339558113 -0.029513492751738927 -0.018408461856337856 -0.020648194868781108 5.2710684351058226e-05
