(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband sibling paternal maternal
(Intercept) 0.000141781816584274 -5.48409311623539e-05 8.0253788746594e-05 -6.61974440321306e-05 7.13023244671538e-06 -6.03748287722712e-06 1.76071076647653e-05 2.74423670256712e-05 -3.33329480134964e-05 -4.29557453147101e-05
covarage -5.48409311623539e-05 0.000301251107578809 0.000439154266678228 -0.000436725662124374 -7.89740384113563e-06 9.82269269346439e-06 6.13458125931992e-06 2.29916935524257e-07 -5.39299326315782e-06 8.13398333231914e-06
covarsex 8.0253788746594e-05 0.000439154266678228 0.0015195398318252 -0.00141159826878841 -6.85733811656606e-07 6.45928826575578e-07 -1.1778418873399e-06 2.43076775233103e-06 -6.44824060691471e-06 -2.09846225248905e-06
covarage_sex -6.61974440321306e-05 -0.000436725662124374 -0.00141159826878841 0.00138243072423928 3.16460502457152e-06 -5.93225957677168e-07 -7.45128600862859e-07 -2.3376813312351e-06 6.55281313922193e-06 1.00812742778132e-06
covarPC_3 7.13023244671538e-06 -7.89740384113563e-06 -6.85733811656606e-07 3.16460502457152e-06 7.86550087287629e-05 1.36590296944501e-06 2.5962144944632e-06 3.38478551417547e-06 -2.24392028535697e-06 -3.75856871796174e-06
covarPC_4 -6.03748287722712e-06 9.82269269346439e-06 6.45928826575578e-07 -5.93225957677168e-07 1.36590296944501e-06 8.48868419132276e-05 1.2529332582899e-06 1.27677142354256e-06 -3.08949874904519e-06 -5.50718265750564e-06
proband 1.76071076647653e-05 6.13458125931992e-06 -1.1778418873399e-06 -7.45128600862859e-07 2.5962144944632e-06 1.2529332582899e-06 0.000288658982330901 0.000151899758342501 -0.000279564141626812 -0.000267084255009372
sibling 2.74423670256712e-05 2.29916935524257e-07 2.43076775233103e-06 -2.3376813312351e-06 3.38478551417547e-06 1.27677142354256e-06 0.000151899758342501 0.000343647213848939 -0.000314576048251123 -0.000301541677034216
paternal -3.33329480134964e-05 -5.39299326315782e-06 -6.44824060691471e-06 6.55281313922193e-06 -2.24392028535697e-06 -3.08949874904519e-06 -0.000279564141626812 -0.000314576048251123 0.00111661787311828 -0.000274054492141492
maternal -4.29557453147101e-05 8.13398333231914e-06 -2.09846225248905e-06 1.00812742778132e-06 -3.75856871796174e-06 -5.50718265750564e-06 -0.000267084255009372 -0.000301541677034216 -0.000274054492141492 0.00108538321320136
