 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gmp gpm gmm
PC10 2.6071896092114717e-07 1.1146557017542877e-07 4.74878910325134e-07 1.1702563774200568e-07 2.3259985936603726e-07 -1.274764055615119e-07 8.834504490115757e-08 -2.0271929622596964e-07 1.635908874511547e-08 -3.3237052377830093e-07 1.1371314482614493e-05 -3.688845756540095e-07 8.911729841263103e-08 -3.593434037769306e-07 2.818433332828514e-08 1.9962820176043318e-07 -1.385441497851927e-07 -1.7214197477243197e-07 2.412184714718286e-07 4.972522782509766e-07 -2.036550719618042e-07 1.5018100749322594e-06 -1.4489797610052116e-06 -3.480358440064943e-06 9.186158029016795e-07 5.102374278105768e-06 5.883960192230604e-06 -2.584145229633709e-06
PC11 2.627652002913009e-06 -5.619355772035671e-08 -5.003014947472746e-07 3.126710694137631e-07 1.41794132736243e-07 -1.0575038202607243e-06 -4.076564541686819e-07 1.05299509516117e-06 -7.385417855668469e-07 9.488946971600364e-08 -3.688845756540094e-07 1.1044214898385756e-05 -2.6064707896149895e-07 -2.6219199500894394e-08 -3.447291594084841e-07 2.9973217899630234e-07 2.542862614189938e-07 3.5905282340370887e-07 4.326497965857727e-08 5.07256557166137e-07 3.4995642378494447e-07 -1.1266429786562923e-06 -3.5212919283218107e-06 1.8972185591915297e-06 7.668591429572444e-06 5.645420884939701e-06 -2.6415578648710284e-06 -2.8108386813159957e-06
PC12 -3.228331154830466e-06 5.682574969058225e-07 -7.202975871448793e-07 1.5143772286118594e-08 -8.39619710784718e-07 5.459488906766582e-07 2.356878144076501e-07 1.628946308611615e-07 1.4617143752691041e-07 -4.799834133160348e-07 8.911729841263116e-08 -2.60647078961499e-07 9.735961905713187e-06 2.479574030276832e-07 -4.1099335489557456e-08 -5.728175208875964e-07 -2.0055735975316893e-07 2.7029758818665103e-08 -1.6915503029004556e-07 1.4137556847065878e-07 -2.1822055793781737e-07 2.3060058537879845e-07 4.766804706106315e-07 -5.288900439880223e-06 -5.7978490454878365e-06 2.6294465026631007e-06 5.8546322936942544e-06 5.336050075578002e-06
PC13 1.6950343996849227e-06 -1.6697014138568677e-07 5.290238467720578e-07 -5.382807177024713e-07 -4.1365212843947044e-07 -8.608171822798826e-07 -3.623320281530882e-07 4.875238284738024e-07 6.650515554078761e-08 -4.812791938160967e-08 -3.593434037769307e-07 -2.621919950089419e-08 2.479574030276832e-07 1.002334626930825e-05 -6.652269688631387e-07 9.642300009973205e-07 5.142947216700508e-07 2.0665266512617605e-08 -1.835786441499565e-07 -8.217437819987407e-08 2.774892896670608e-08 3.449726934167205e-06 5.293675816083922e-07 -2.807757440789089e-06 -8.761399964109922e-06 -1.8993393700611037e-06 -3.000025008503038e-06 -2.2487043097888816e-06
PC14 -1.568890285077345e-06 -3.3176306517545377e-07 -8.139350243723836e-07 1.1940821816991352e-07 -7.647722673933573e-08 5.149215988413754e-07 -1.8978534337567407e-07 -5.1658955095777366e-08 -9.478035421278512e-08 -7.457070237515368e-07 2.8184333328285294e-08 -3.4472915940848435e-07 -4.1099335489557476e-08 -6.652269688631391e-07 1.0691658214198176e-05 -1.2119124101374797e-07 2.2018891005762784e-07 -1.7963333143854563e-07 1.578954139575985e-07 5.568019047528842e-09 -4.11875774926757e-09 5.536874031498367e-07 -9.55569305080619e-06 1.2099555316811007e-06 4.9233136001121795e-06 1.1438711176898965e-05 -2.027951637237812e-06 4.33982053662469e-07
PC15 -1.949250589756512e-06 -6.304654909992827e-07 3.571670373736679e-07 -4.4159081966494114e-08 -9.255486825727118e-08 -1.6254225133806034e-07 4.081358103470675e-08 -3.3755380371186516e-07 -4.877242004226142e-07 3.289622913755519e-07 1.99628201760433e-07 2.9973217899630256e-07 -5.728175208875958e-07 9.64230000997321e-07 -1.2119124101374776e-07 1.0348437449628116e-05 4.5935823343070217e-07 -6.612320220022963e-07 2.7128772506373334e-09 -6.216452567078222e-08 1.5168656907534133e-07 -2.588370951205689e-07 2.645651612919962e-07 1.5930687757669047e-06 9.046280674582298e-06 -6.664882664427875e-06 -6.680725699912386e-06 3.754527607341988e-07
PC16 -2.2670927280483763e-06 -4.837596148786377e-07 3.69639827572768e-08 1.8343362166905015e-07 3.9851380384446906e-08 -1.4032697996248577e-07 -3.484513779693867e-08 -2.8191644016971706e-07 -4.786769033747793e-09 5.549277796210597e-07 -1.3854414978519288e-07 2.5428626141899377e-07 -2.0055735975316859e-07 5.142947216700509e-07 2.2018891005762797e-07 4.5935823343070175e-07 1.0252589646851322e-05 -2.6823517782092686e-07 -1.0351000488095466e-07 -5.891124710534808e-07 6.44823864225822e-08 -2.2273759705970413e-06 -4.3929232720922617e-07 -2.0167750744001323e-06 -3.7356622611323695e-06 8.467643523600605e-06 -7.601686958342066e-07 4.705802107445265e-06
PC17 -7.950183839586756e-07 1.7379664260018362e-07 7.916716193873451e-07 -2.7954444561700946e-07 -8.38576601376802e-09 6.713529249996932e-07 2.3651438558286425e-07 -8.45061017139335e-08 6.61191628937297e-08 5.524021364006269e-07 -1.7214197477243176e-07 3.590528234037089e-07 2.7029758818664937e-08 2.066526651261732e-08 -1.796333314385452e-07 -6.612320220022959e-07 -2.6823517782092676e-07 9.58591079609368e-06 3.881176505144905e-07 -2.1839773571528702e-07 7.398673067531974e-08 -8.421594698164202e-07 -3.1452981346639802e-06 3.8985285072976735e-08 3.074372089636209e-06 6.551253818401062e-06 6.066836518528838e-07 2.021221772911634e-06
PC18 -4.841845282925806e-07 -4.3255339753385936e-08 3.0010010308331013e-07 -3.8710875251717323e-07 -3.6549043569670166e-07 -3.189819531171137e-07 -4.0094956951173694e-07 1.0165009103670983e-07 -4.5119939353756987e-07 -2.704697957861572e-07 2.4121847147182864e-07 4.326497965857711e-08 -1.6915503029004548e-07 -1.8357864414995647e-07 1.5789541395759885e-07 2.7128772506372097e-09 -1.0351000488095461e-07 3.881176505144904e-07 9.258160012093973e-06 -1.3995264045087858e-07 -3.87472029053119e-08 -1.5491213441454038e-06 -3.2693581194931703e-06 1.8723294489976485e-06 6.561743202617678e-06 2.136999021866939e-06 7.763430007787307e-06 -7.101098619174741e-06
PC19 2.9307480540827083e-06 1.8760408760265917e-07 -3.6412426943257907e-07 3.0431813682347535e-07 -1.850094096266048e-07 1.5696300156599602e-07 -1.7467613940879363e-07 2.4727174643595886e-08 -3.4088553570811825e-07 -1.3978838373729498e-07 4.972522782509769e-07 5.072565571661372e-07 1.4137556847065862e-07 -8.21743781998741e-08 5.568019047529099e-09 -6.216452567078225e-08 -5.89112471053481e-07 -2.1839773571528704e-07 -1.3995264045087847e-07 9.252826721238575e-06 4.06129369832471e-07 3.491143073763381e-07 8.739609139131693e-07 -1.7282748657615648e-07 1.9061752606948285e-07 1.7346411551080222e-08 1.6528859159847606e-06 5.608614771112013e-07
PC20 3.7387283930233637e-07 -6.845525941325439e-08 -2.842287159814446e-07 1.199933270167878e-07 1.1565907383941844e-07 8.095244321941309e-08 -4.333915231378805e-07 -1.7705403254692047e-07 2.8776072055041593e-07 -5.501840161326098e-07 -2.0365507196180416e-07 3.4995642378494447e-07 -2.182205579378172e-07 2.7748928966705964e-08 -4.118757749267446e-09 1.5168656907534112e-07 6.448238642258249e-08 7.398673067531974e-08 -3.874720290531192e-08 4.061293698324714e-07 8.637966971735086e-06 2.5640774987799065e-06 -3.229151448897362e-06 -2.7557684583065815e-06 2.804100119763584e-06 2.686691220240559e-06 -1.4655948215528018e-06 4.428761814586764e-06
proband -7.158133700219435e-06 2.771912112676553e-07 8.863116732862302e-07 -5.831366769489994e-07 1.2581172059501955e-06 5.741009725218642e-07 2.0796879548065286e-06 2.822547512093393e-06 1.9648173399530507e-06 -9.528506382865765e-07 1.5018100749322638e-06 -1.1266429786562938e-06 2.3060058537880255e-07 3.4497269341672063e-06 5.536874031498329e-07 -2.5883709512057054e-07 -2.227375970597042e-06 -8.421594698164192e-07 -1.5491213441454045e-06 3.4911430737634064e-07 2.564077498779905e-06 0.0007298494547567007 -0.00039185263540450585 -0.0003489319737286904 2.678177178405442e-05 -1.1535316952739098e-06 1.6570209585528677e-06 -1.69287834852941e-05
paternal 4.508300674793541e-05 1.6986369117362028e-06 2.9258110458107907e-06 -2.3164265413349126e-06 -3.8343373152478535e-06 2.081596466729547e-06 -4.715268256833573e-06 1.0989614812304668e-06 4.17711985248269e-06 6.4956070041090704e-06 -1.4489797610052198e-06 -3.5212919283218234e-06 4.766804706106216e-07 5.293675816083943e-07 -9.555693050806183e-06 2.645651612920036e-07 -4.392923272092252e-07 -3.1452981346639815e-06 -3.269358119493175e-06 8.739609139131621e-07 -3.2291514488973594e-06 -0.00039185263540450634 0.002341344438016121 7.444323153568337e-05 -0.0016538800644002537 -0.0015413907562542664 0.00013859384520646217 -7.540386743960596e-07
maternal 5.96669993657353e-05 -1.972581799432849e-06 6.088702478976449e-06 -4.130174361129804e-06 -1.3094239119609186e-06 -9.19301895711711e-06 -6.661843208650707e-06 9.624436666070792e-07 2.725574358747693e-06 1.4822043740844258e-06 -3.4803584400649545e-06 1.8972185591915263e-06 -5.288900439880226e-06 -2.807757440789088e-06 1.2099555316811017e-06 1.5930687757669072e-06 -2.016775074400142e-06 3.8985285072972354e-08 1.872329448997641e-06 -1.7282748657616823e-07 -2.7557684583065773e-06 -0.00034893197372868993 7.444323153568287e-05 0.0023536783414926897 0.0001449713348628598 -9.788770949090246e-05 -0.0020157931274842286 -0.0012252583069912075
gpp -5.457196685124539e-05 -1.3867563162096086e-06 -7.844668407664507e-06 1.3385250614366445e-07 -2.1216630712461668e-06 -1.4287744649101138e-05 6.0983295812889816e-06 -3.856875757976434e-06 -8.599522821611315e-06 -9.1329629863755e-06 9.186158029016849e-07 7.668591429572454e-06 -5.7978490454878255e-06 -8.761399964109922e-06 4.923313600112173e-06 9.046280674582286e-06 -3.7356622611323733e-06 3.074372089636205e-06 6.561743202617692e-06 1.906175260694939e-07 2.8041001197635876e-06 2.6781771784054803e-05 -0.0016538800644002533 0.00014497133486285942 0.004677045671772709 -0.0012901968138657783 -2.6180751039786894e-05 -0.0001525953085193126
gmp -3.1678580535801374e-05 3.5717751062499018e-06 4.1047674768011376e-06 3.7691827174312636e-06 8.251557796728313e-06 1.0922191027005359e-05 2.927686349361621e-06 -1.7967648961320107e-06 -6.525266416589041e-06 2.5093225762000806e-06 5.102374278105772e-06 5.6454208849397154e-06 2.6294465026631032e-06 -1.8993393700611175e-06 1.1438711176898966e-05 -6.664882664427873e-06 8.467643523600605e-06 6.551253818401067e-06 2.136999021866933e-06 1.7346411551079153e-08 2.6866912202405535e-06 -1.1535316952736617e-06 -0.0015413907562542668 -9.788770949090246e-05 -0.0012901968138657773 0.004526718148344596 0.00012009093636160817 8.211204548892312e-05
gpm -0.00011918048976689931 5.689243154157134e-06 -6.262372270500053e-06 5.561815541575264e-07 -3.8475892658731563e-07 1.2142927084750973e-05 4.2770284512375155e-06 1.9592612608452174e-06 -4.689913258008473e-06 -2.7069889712777747e-06 5.8839601922306135e-06 -2.6415578648710276e-06 5.854632293694254e-06 -3.000025008503036e-06 -2.0279516372378114e-06 -6.68072569991238e-06 -7.601686958341865e-07 6.066836518528809e-07 7.763430007787312e-06 1.6528859159847666e-06 -1.4655948215528116e-06 1.6570209585518356e-06 0.00013859384520646244 -0.0020157931274842255 -2.6180751039786846e-05 0.00012009093636160832 0.004691377972321022 -0.0008648591140840682
gmm 5.884045927000211e-06 -6.437984152650353e-07 -5.879523715898506e-07 3.383778138859549e-06 4.20741317496592e-06 3.6705488660050583e-06 4.04586738006537e-06 -8.875416044694671e-06 6.556381521187437e-07 -3.492986811522183e-06 -2.5841452296337026e-06 -2.8108386813159936e-06 5.3360500755780075e-06 -2.248704309788881e-06 4.3398205366246966e-07 3.754527607341878e-07 4.705802107445267e-06 2.021221772911641e-06 -7.101098619174732e-06 5.608614771112084e-07 4.428761814586768e-06 -1.692878348529409e-05 -7.540386743959295e-07 -0.0012252583069912106 -0.0001525953085193128 8.211204548892331e-05 -0.0008648591140840636 0.0035433843643633044
