 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
PC10 -5.129093656207696e-07 1.2859732665528715e-07 -1.551826590426773e-08 1.1103024196338586e-08 1.542567076526792e-07 -2.0550553876480342e-07 4.440198264977397e-08 -8.628551176560229e-08 1.6704863416783338e-07 -4.6664378689213155e-08 6.3741651318387216e-06 -1.774919374520441e-07 1.9616492251670917e-07 -2.8507461067766526e-07 -5.490518209868414e-08 -1.1895112257669269e-07 -3.2520793501842414e-07 1.4888089059170007e-07 1.9174781373343197e-07 2.175478919292163e-07 -1.866732623960302e-08 1.4481166363982011e-06 -1.318875886086516e-06 1.440094439580141e-06 -8.47745368911738e-07
PC11 3.2066646423909565e-07 -8.810782868806327e-08 -1.142379943142089e-07 1.4725815931636853e-07 -1.6096155968352656e-08 -6.195055265347125e-07 -1.6532050270477765e-07 5.092268240936573e-07 -1.9781355258165225e-07 -1.4913300211106357e-07 -1.7749193745204406e-07 6.341816480878537e-06 -1.6674714089918305e-07 4.55602030857966e-08 -2.650289675925138e-07 1.6951147070435713e-07 1.3658356234072297e-07 1.563916689774197e-07 -1.828517477461262e-08 2.420156801733316e-07 2.180360981119327e-07 -5.19026053825537e-07 1.0903479289960093e-06 -2.8396564227414408e-06 -1.0287933505280357e-06
PC12 -4.404638169601737e-07 3.0490659263643225e-07 -1.81522666708006e-07 1.2354995144172482e-07 -4.0772985906526826e-07 3.188302439283429e-07 9.468885281452456e-08 8.984682913683035e-08 2.4065943857252885e-07 -1.2274094397391529e-07 1.9616492251670928e-07 -1.66747140899183e-07 5.951318325122063e-06 -9.06905705062626e-09 -7.636866789857884e-08 -1.8355479376990993e-07 1.3187500220746077e-08 -6.521047329203952e-08 -3.261797867239179e-08 6.41478747760649e-08 -8.771276578411032e-08 6.883078614367078e-07 -3.7480527520800123e-06 3.5850086723778687e-06 3.3734260583329323e-06
PC13 7.208326692871412e-07 -8.568930023872971e-08 2.698769425252435e-07 -3.9007446814663734e-07 -1.7744688403217038e-07 -4.905153523648654e-07 -2.716404502850282e-07 2.7791024045698317e-07 -3.3529817533233944e-09 -8.858412514142646e-09 -2.8507461067766515e-07 4.556020308579657e-08 -9.069057050626216e-09 5.948683932443786e-06 -1.9602084010072885e-07 4.192623767785588e-07 2.19474522086945e-07 6.390383352081236e-08 -5.273963846549164e-09 -1.3507482524711038e-08 5.814897110651792e-08 3.888705332222056e-07 -9.114971381156459e-07 1.3433492198374162e-06 -2.0813155992549093e-06
PC14 3.139846767328173e-07 -1.3115304427474102e-07 -3.5167475455941636e-07 -4.49117586860855e-08 -5.9531651348280146e-08 2.2429134011946616e-07 -3.2938686580380014e-08 -2.0910779250796066e-08 -5.287410510151571e-08 -2.424913791558311e-07 -5.490518209868418e-08 -2.6502896759251394e-07 -7.636866789857905e-08 -1.9602084010072887e-07 6.18275786660961e-06 -4.398948737145135e-08 -9.592564392894458e-08 -2.2000815244340127e-08 1.879493043776554e-07 1.0369895699715205e-07 -3.43394753062381e-08 -2.0037875144600122e-07 1.7967581167231122e-06 -7.934747878869706e-07 -5.604325967959125e-07
PC15 -8.356425841512372e-07 -2.91902921849711e-07 3.084556896151771e-07 -6.659453530204047e-09 -2.3292558168870497e-08 -2.7696082856160056e-08 4.1595563657927184e-08 -3.1875488734844237e-07 -1.9467083022293428e-07 1.4644997883774617e-07 -1.1895112257669269e-07 1.6951147070435718e-07 -1.8355479376990985e-07 4.1926237677855864e-07 -4.398948737145149e-08 5.921443828974493e-06 1.832241881318942e-07 -2.0233914086613076e-07 -4.217895380969033e-08 3.870803631356472e-08 5.396748702018758e-08 8.602304037127274e-07 3.7916265332785966e-08 -2.1632651827233782e-06 -8.424269984348923e-07
PC16 -2.3577675201768659e-07 -2.2576667818663723e-07 -7.081089277231474e-08 2.4160608890574264e-08 5.785948639915749e-08 -7.265140403751845e-08 -1.9681943664252818e-08 1.3280492577349563e-09 9.08472508427039e-08 2.779945749612237e-07 -3.2520793501842414e-07 1.3658356234072316e-07 1.3187500220746125e-08 2.19474522086945e-07 -9.592564392894464e-08 1.8322418813189404e-07 5.903307074821753e-06 4.470294039810654e-08 -2.1504329868388294e-07 -2.395139279677927e-07 -1.2164377035961095e-07 -9.485718519619779e-07 -1.9614517429195507e-06 1.1723285746314841e-06 1.8897425468117848e-06
PC17 -4.17252557371577e-07 -6.629697163350569e-09 5.912012483224186e-07 -1.245123693762401e-07 1.042778412204715e-07 3.712689484613227e-07 2.429702210054701e-07 -1.919773939090946e-08 8.581551425297947e-08 2.541432006881908e-07 1.4888089059170013e-07 1.5639166897741975e-07 -6.521047329203954e-08 6.390383352081243e-08 -2.2000815244340117e-08 -2.023391408661307e-07 4.470294039810671e-08 5.663368933100197e-06 1.6777375534324614e-07 -1.2473018105170678e-07 2.111590233544943e-08 3.4113966877560314e-07 -1.1340795055096883e-06 4.566358352988772e-07 8.730102091581858e-07
PC18 5.579591338470773e-07 -1.57087582878941e-08 3.311096489745851e-08 -2.987126161974471e-07 -1.5181832668203793e-07 -1.1792312355704068e-07 -9.501991733863002e-08 5.157780635444029e-08 -1.387222822303242e-07 -1.8524116041919106e-07 1.9174781373343197e-07 -1.8285174774612534e-08 -3.2617978672391735e-08 -5.273963846549208e-09 1.8794930437765546e-07 -4.217895380969032e-08 -2.1504329868388286e-07 1.6777375534324622e-07 5.5104382219791915e-06 -9.398519032254724e-08 5.956868100959838e-08 1.904862557193334e-07 3.1502492879793226e-06 -6.692604230793424e-07 -5.051669060488543e-06
PC19 1.139836473892957e-06 8.518448502106443e-08 -2.498119133205863e-07 1.962517415894208e-07 -1.1113560191770335e-07 2.698881174515061e-07 -1.801180858356544e-08 1.9762431796364416e-09 -2.0565389572029912e-07 -1.4841495559894035e-07 2.1754789192921654e-07 2.420156801733315e-07 6.414787477606485e-08 -1.350748252471104e-08 1.0369895699715201e-07 3.870803631356466e-08 -2.3951392796779286e-07 -1.2473018105170657e-07 -9.398519032254713e-08 5.655261467021894e-06 1.6766604175616432e-07 5.673202601988069e-07 -9.48898827106629e-07 1.0036581487066552e-07 1.666191540536168e-06
PC20 3.545144629521059e-07 1.8410866215906652e-08 8.219202341758705e-08 6.020041862429886e-08 1.5478993311373024e-08 9.157739108128746e-08 -2.361724142400092e-07 -1.4935344423639154e-07 1.5440524530591476e-07 -1.8205500289685432e-07 -1.8667326239603028e-08 2.1803609811193275e-07 -8.771276578411034e-08 5.8148971106517855e-08 -3.43394753062382e-08 5.39674870201875e-08 -1.2164377035961105e-07 2.111590233544963e-08 5.956868100959837e-08 1.6766604175616447e-07 5.219248828386512e-06 8.614224417835632e-07 1.5652186498261718e-07 -2.9291330997473574e-06 1.480740746048035e-06
proband 2.9578232124255877e-06 8.353394362676185e-07 -6.624436442792541e-07 -5.341752426502331e-07 2.2414814945905148e-07 7.038733154273794e-07 1.0807242880143387e-06 5.830952991607364e-07 6.311537407983316e-08 4.811288497154657e-07 1.4481166363982007e-06 -5.190260538255368e-07 6.883078614367071e-07 3.888705332222058e-07 -2.0037875144600067e-07 8.602304037127269e-07 -9.485718519619798e-07 3.411396687756034e-07 1.9048625571933474e-07 5.673202601988058e-07 8.614224417835641e-07 0.00032531483019371536 -0.000169624420393409 3.762332059367241e-05 -1.7956185220036745e-05
maternal 1.2412461921502244e-05 -1.0323054578819604e-06 2.5259429747566526e-08 -1.108556691978824e-06 9.550166207815155e-07 -3.534966850568995e-06 -3.4667331020693163e-06 -3.12185927397857e-07 2.195607185352309e-06 3.255333971439762e-07 -1.3188758860865182e-06 1.0903479289960112e-06 -3.748052752080017e-06 -9.114971381156476e-07 1.796758116723109e-06 3.7916265332780156e-08 -1.96145174291955e-06 -1.134079505509688e-06 3.1502492879793226e-06 -9.488988271066257e-07 1.5652186498261445e-07 -0.00016962442039340943 0.0014305751388322488 -0.0012106278045678732 -0.0007900434585017999
gpm -2.9568905248560983e-05 2.477470615126804e-06 1.5121722203372906e-06 8.070570861600634e-09 -2.26936322394275e-06 8.367762787488172e-06 3.0564749305611206e-06 2.3329617019867106e-06 -1.391877860624115e-06 -9.621320154054065e-07 1.4400944395801403e-06 -2.8396564227414408e-06 3.5850086723778746e-06 1.3433492198374156e-06 -7.934747878869706e-07 -2.1632651827233786e-06 1.1723285746314858e-06 4.5663583529887443e-07 -6.692604230793468e-07 1.003658148706613e-07 -2.929133099747353e-06 3.7623320593672813e-05 -0.0012106278045678734 0.0030358555499568085 -0.000703072374729789
gmm -3.4983880949579583e-06 6.32181521170956e-07 1.1833907553549316e-06 4.2711756505615e-07 1.0727562120729055e-06 -1.6798456159264984e-06 1.720226222310151e-06 -1.3152317294886837e-06 -1.8488781932910892e-06 -8.771602517191789e-07 -8.477453689117328e-07 -1.028793350528037e-06 3.373426058332935e-06 -2.081315599254907e-06 -5.604325967959061e-07 -8.424269984348825e-07 1.889742546811784e-06 8.730102091581864e-07 -5.051669060488543e-06 1.6661915405361685e-06 1.480740746048034e-06 -1.7956185220036447e-05 -0.0007900434585018004 -0.0007030723747297889 0.0024158678307877038
