(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband paternal gpp gmp
covarPC5 -0.000269287450582655 -1.24846362440305 0.0270911124044151 -0.0268114057901222 2.4932245772699 -1.24502840122819 -0.000128341285866643 -9.50623442890706e-05 0.000382786456672211 0.000471859341312117 0.00316692080752902 8.24389014540772e-05 0.000237311349279067 -0.000116271045671673 -8.99005123716546e-05 -6.78682242442432e-05 -0.000226871701327505 0.000117444942580753 -0.000274554747553396 0.000132981652478067 -1.64828423428923e-05 -1.50864888437232e-05 0.000157599020802636 -6.90945772026663e-05 4.22846833955916e-05 -2.86839963085568e-06 -3.33200219516173e-05 4.03643884272922e-05 -0.000221661027170831 0.000216332115625041
covarPC6 0.000148057763138293 0.659622470115014 0.00752569495935929 -0.0076402092376357 -1.31478307932007 0.65531965218929 8.74290102111643e-06 -4.16549579254656e-05 1.7047269235361e-05 -4.47076618886394e-05 8.24389014540772e-05 0.00205825409415545 4.68475602582581e-06 1.1207643382889e-05 5.96136246488203e-05 2.74952144703876e-05 -7.5075397205079e-05 -2.26932126280698e-05 -7.27807134045464e-05 -2.38750007223336e-05 -8.90694116544528e-06 -3.47767562169075e-05 9.30717998278056e-05 -5.65577402435028e-05 -2.06929507841723e-05 -4.84384308362662e-05 5.50301664738155e-06 -2.91382111892747e-05 0.000185800514501618 -4.48064064251845e-05
covarPC7 5.2831781310043e-05 0.947055377641951 -0.00141497439863715 0.00157279735027788 -1.86927871171779 0.922510571956244 2.10225320221595e-05 -3.0514493762459e-05 0.000136656488615621 4.45077609215468e-05 0.000237311349279067 4.68475602582581e-06 0.00224687548738549 9.38552518213783e-05 -7.26982804885248e-05 -2.77003249163631e-05 0.00019923103516854 1.7128184021793e-05 0.00017466448574924 -5.93527524741961e-05 -5.67535525192431e-05 -0.000101594709902939 -7.02441278050321e-05 4.22948363258318e-05 1.88824198920522e-05 -5.09551430630813e-05 6.29627632616869e-05 4.62279732886657e-05 -0.000209427131285325 -2.9867053331299e-05
covarPC8 -0.000206148545838288 -0.695558013506914 0.0251326442757629 -0.0249275460813058 1.38062397948156 -0.685205194582981 2.60767832954867e-05 0.000127023277388435 -4.8278404271466e-05 -0.000228825152993508 -0.000116271045671673 1.1207643382889e-05 9.38552518213783e-05 0.00242391082322871 7.59412182818715e-05 3.45095459088941e-05 -0.000162624978793729 -5.05531812125625e-06 5.17194424225213e-05 -6.96333029491561e-07 -5.58641568192583e-05 3.43453310065397e-05 2.52463649065353e-05 -8.12124543321814e-05 -7.59402362819408e-05 9.62071811324139e-05 5.86266217066938e-05 8.30030003630782e-05 -0.000148380195924454 -0.000187522960499115
covarPC9 -3.00491026239418e-06 0.127700073578727 0.00558707550217409 -0.00547839286753967 -0.251995436583273 0.124314773367195 1.6337092382646e-05 -2.93913264678049e-05 -0.000330905151401536 0.000156760304640463 -8.99005123716546e-05 5.96136246488203e-05 -7.26982804885248e-05 7.59412182818715e-05 0.00223065125462286 -9.88570819911322e-05 -3.39137006627479e-05 -4.32531550075762e-05 -6.95607358706915e-05 -9.5512428719132e-05 6.60318207874703e-06 4.91986148631951e-05 6.40075268235968e-05 -0.000124385801984565 -6.44107359945146e-05 -8.93259724788753e-05 -4.12665009018844e-05 0.000139382918985579 -7.10396260853406e-05 5.83545854381411e-06
covarPC10 1.18153245566336e-05 0.251732643169891 -0.00402374861662269 0.0040712210252652 -0.498721041910889 0.247037713703938 -1.62940863453625e-05 2.30955078055021e-05 8.20235505623096e-05 5.67373207642436e-05 -6.78682242442432e-05 2.74952144703876e-05 -2.77003249163631e-05 3.45095459088941e-05 -9.88570819911322e-05 0.00246051342899465 -8.70331268644596e-05 2.76066293964451e-05 -7.06209366967478e-05 -6.01800838046831e-05 8.16064936883335e-05 -1.86096321832197e-05 -2.80004972126252e-05 7.29540745482832e-05 9.25502948221954e-05 9.99942982160011e-06 3.01371263560303e-05 -0.000119098142162464 8.71237255748025e-05 0.000198681695970074
covarPC11 -0.000148122817860663 0.788527785543948 0.0517110085844773 -0.0513942544130541 -1.57340959878715 0.785079570220399 -7.45296643477183e-05 -4.28306861032554e-06 0.000131579086224368 8.84480875598325e-05 -0.000226871701327505 -7.5075397205079e-05 0.00019923103516854 -0.000162624978793729 -3.39137006627479e-05 -8.70331268644596e-05 0.00240560029240036 -5.12030889728102e-05 -1.54940832680374e-05 -5.93977129879979e-05 4.24477463247314e-05 -6.78150038554403e-06 5.51553995568721e-05 -6.97597868061414e-06 6.32470566189923e-05 8.90018056012491e-05 -2.26979106704348e-05 2.63828851886618e-05 7.01059403700918e-05 -2.29772483097876e-05
covarPC12 -0.000151381250698821 -0.367883613912286 0.0212661041031778 -0.0211938538258458 0.735913907689061 -0.368089528787655 0.000342168304789975 -6.81108421868262e-05 2.12549648222759e-05 -0.000219474231332333 0.000117444942580753 -2.26932126280698e-05 1.7128184021793e-05 -5.05531812125625e-06 -4.32531550075762e-05 2.76066293964451e-05 -5.12030889728102e-05 0.00222333965365572 5.05072021402103e-05 -3.96774942120289e-06 -0.000125993931038266 -6.74119882754564e-05 3.40564281759891e-05 -3.07038058168532e-05 4.20558045859416e-05 -3.35929971901356e-05 2.11640212759164e-05 2.26574012397968e-05 -2.24770495187462e-05 -4.32030806354874e-05
covarPC13 -3.1019892395846e-06 0.607411587765001 0.00940363184303343 -0.00916727951536254 -1.20045926147069 0.593201621948711 -2.12315638095767e-05 2.97659968418813e-05 -0.00016154087375196 -5.10206655120349e-05 -0.000274554747553396 -7.27807134045464e-05 0.00017466448574924 5.17194424225213e-05 -6.95607358706915e-05 -7.06209366967478e-05 -1.54940832680374e-05 5.05072021402103e-05 0.00219384613602326 -0.000105315515633152 0.000152050650688373 3.30577651602878e-05 2.99165448329572e-05 -8.40725349793882e-05 2.23196605455737e-05 2.92500281323875e-05 3.29191703410692e-05 1.20376362740763e-05 -0.0001579010708083 -6.59955710258675e-05
covarPC14 -3.76712835109895e-05 -0.359415858204111 0.00882394059764331 -0.00889277043973828 0.716328670511135 -0.356980053832089 -0.000210490644236523 -3.11097716617873e-05 5.82766773173051e-05 -5.02676873923486e-05 0.000132981652478067 -2.38750007223336e-05 -5.93527524741961e-05 -6.96333029491561e-07 -9.5512428719132e-05 -6.01800838046831e-05 -5.93977129879979e-05 -3.96774942120289e-06 -0.000105315515633152 0.00223260253577647 -3.63523935809628e-06 4.33009041433454e-05 -1.31319258896089e-05 3.8135706961059e-05 1.42682169052958e-05 -3.64384973111875e-05 3.10303564921944e-05 -0.000170669949047341 2.27594223787599e-06 0.000314143005963756
