 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
PC11 -1.8784505806598124e-07 -3.764711587657086e-08 1.392855720059537e-07 1.4655638715257663e-07 1.0501181273879599e-07 -3.0372789559324173e-07 -1.4990913430687522e-07 3.713207481160976e-07 -2.4487912842153375e-07 -1.598299466255627e-07 -2.2669836817297519e-07 4.330740792879691e-06 -5.282871760810688e-08 -6.879479934065718e-08 -1.410951291616527e-07 1.1486018452438369e-07 1.650699376217549e-08 1.7124265815370114e-07 -8.381071055516301e-09 9.138355763288747e-08 1.706558027248647e-07 -8.417514498691193e-07
PC12 -7.144520024212719e-08 2.35191151112848e-07 -1.8465589851086387e-07 6.036057978926074e-08 -2.059101026397771e-07 1.9146954508704698e-07 2.465246378003686e-08 8.189153838738098e-08 9.985930333764796e-08 -5.708108809560324e-08 1.5472001740185269e-07 -5.2828717608106944e-08 4.18202484031135e-06 1.7475630628244676e-08 -2.0117640325076104e-08 -8.021345411407043e-08 -1.0969855868991597e-07 -3.6212789497661546e-08 6.025978409196615e-08 -7.181828818334194e-08 -9.23362777280646e-08 3.838024270833841e-07
PC13 3.0130598032917306e-07 9.208642933267223e-09 -3.839328849698131e-08 -1.8025358625516706e-07 5.930133602103992e-08 -2.402759159740907e-07 -2.169174355352098e-07 3.2387336888916065e-07 -4.781181548474983e-08 -1.4251027726866611e-07 -2.0601584651720637e-07 -6.879479934065713e-08 1.7475630628244686e-08 3.9412567638110085e-06 -3.985956704988089e-08 1.853404607667344e-07 6.677538617812201e-08 3.7290586560842345e-08 -1.5913667046136535e-07 5.5646974305375673e-08 4.352498099821061e-08 2.550692645155081e-07
PC14 -2.5815346188956958e-08 -1.0671543014719979e-07 -1.3044657536235188e-07 8.49100406872198e-09 -1.1294875331236545e-07 1.486852344885998e-08 -5.068909323487469e-09 -6.290515927275124e-08 6.913046030364433e-08 -7.57329471356761e-08 -1.1733921927224825e-07 -1.410951291616527e-07 -2.0117640325076177e-08 -3.985956704988098e-08 4.3366722196254225e-06 -2.4337394390829004e-08 -6.687033421716136e-08 -1.7632459975558242e-08 1.0589216053422738e-07 1.1052547027328834e-07 -2.2563678097451544e-08 4.927381216841759e-07
PC15 -4.618806776790962e-07 -1.6601502831950841e-07 1.0152011258975075e-07 2.929838599657664e-09 -1.760005083547437e-08 6.748247127266976e-08 -5.9068790330932176e-08 -1.5447684793481647e-07 -1.010737316710269e-07 2.0095919347388882e-08 -7.469948651817316e-08 1.1486018452438366e-07 -8.021345411407047e-08 1.8534046076673437e-07 -2.4337394390828898e-08 4.09300769760789e-06 1.493237736307157e-07 -1.8484659062359729e-07 -1.2378334802554406e-07 1.130829588461356e-07 6.903912894734885e-08 -2.8018787505336116e-07
PC16 -2.0305697652636838e-07 -1.477616596294946e-07 -1.6496574295715203e-07 9.845180699293998e-10 8.496928116585434e-08 -7.87101950928225e-08 -2.339355172726251e-08 -1.0528242001506049e-07 3.909193220393849e-08 1.0321287078718127e-07 -1.6269492124471094e-07 1.6506993762175504e-08 -1.0969855868991594e-07 6.6775386178122e-08 -6.687033421716143e-08 1.4932377363071573e-07 4.188710556282685e-06 -1.0068466731664513e-08 -6.874521823044116e-08 -1.2531865475588244e-07 -8.720119853142395e-08 -6.67655792049922e-07
PC17 1.4625474295931603e-07 1.813606168114988e-08 2.090154853169767e-07 -1.0495134921855871e-07 -7.240759716302507e-09 2.703824066302622e-07 2.727503603557338e-07 -3.475776530596072e-08 9.620709022053771e-08 1.2774751999454396e-07 4.198963065452537e-08 1.7124265815370117e-07 -3.621278949766154e-08 3.729058656084239e-08 -1.7632459975558245e-08 -1.8484659062359729e-07 -1.006846673166446e-08 3.873441281905124e-06 -2.5529459224221953e-08 -6.570317271446915e-08 2.18506408958204e-09 -7.7640060203056e-08
PC18 -2.1644849880594215e-07 6.719096740108281e-08 1.3428331987012034e-09 -1.4308715557332425e-07 -9.524906178352502e-08 -1.1444242962528211e-07 -6.359247926962772e-08 5.7550753939436375e-08 -4.1307895075717974e-08 -1.7155038648337398e-07 2.0729265323371652e-07 -8.38107105551626e-09 6.025978409196612e-08 -1.5913667046136537e-07 1.0589216053422731e-07 -1.2378334802554403e-07 -6.87452182304411e-08 -2.5529459224221914e-08 3.9127152365617205e-06 1.9791610162177293e-08 3.549955551501815e-08 3.8061259856454817e-07
PC19 7.126010529863388e-07 2.7179299433189395e-08 -1.0644865786371135e-08 1.1635686670805881e-07 -7.266669157353428e-08 6.595371305913272e-08 -3.804908049934932e-08 -4.688854585108461e-08 -6.187804374674662e-08 -6.840182654308019e-08 1.512791828723276e-07 9.138355763288734e-08 -7.181828818334186e-08 5.564697430537562e-08 1.1052547027328838e-07 1.130829588461355e-07 -1.2531865475588244e-07 -6.570317271446919e-08 1.979161016217734e-08 3.9614045642351956e-06 1.165357048302754e-07 -1.4168385832013557e-07
PC20 1.940632505112498e-07 1.885139978293719e-08 -1.4914959751439312e-08 2.941283603961782e-08 -1.0383399394630896e-08 9.401210729066237e-08 -1.0076525314866493e-07 -1.0575172982297101e-07 1.0171349612453067e-07 -8.149761717922023e-08 5.093860892839973e-08 1.7065580272486474e-07 -9.233627772806448e-08 4.352498099821058e-08 -2.2563678097451484e-08 6.903912894734886e-08 -8.720119853142398e-08 2.18506408958205e-09 3.5499555515018155e-08 1.1653570483027532e-07 3.651544937584312e-06 6.853420182377384e-07
proband 4.95618781120543e-07 4.0293338149298276e-07 -4.987961974309396e-07 -4.919374982969338e-07 4.5523804278223645e-07 9.137069347023782e-08 7.238294360576249e-07 3.194179425288263e-07 3.9244150608081446e-07 9.422420798522872e-08 9.091500640570458e-07 -8.417514498691196e-07 3.8380242708338404e-07 2.550692645155081e-07 4.927381216841761e-07 -2.801878750533614e-07 -6.676557920499221e-07 -7.764006020305583e-08 3.8061259856454806e-07 -1.41683858320136e-07 6.853420182377378e-07 0.00020300895775475
