intercept	0.27459401980517195	0.06792018266789776
AGE	0.03170329599372534	0.0027431013312618456
sex	-0.20887188365325368	0.16124497785510183
age_sex	0.012318914932907044	0.2382415250424691
age2_sex	-0.017237051746339944	0.22808298366297555
age3_sex	-0.027861691300961822	0.06415448278866269
PC.PC1	-0.00028561735443386534	0.001544469845152188
PC.PC2	-0.0008656098166826886	0.001930784656049549
PC.PC3	0.00563548830544992	0.0020620619004541735
PC.PC4	-0.002103470498792466	0.002429461897121684
PC.PC5	-0.000260259146580627	0.0025433645632930314
PC.PC6	0.0017375877762543445	0.0028029287867764145
PC.PC7	-0.0032276603175319814	0.002514156354423105
PC.PC8	0.0007179369165311373	0.0028484216946869745
PC.PC9	-0.0019620093163535495	0.0025309022060510367
PC.PC10	0.0013492340329652004	0.003304512883037451
PC.PC11	0.0021149749829205387	0.0027228151452528423
PC.PC12	-0.005509686265266452	0.003381039295679595
PC.PC13	0.0001082559849493504	0.002593497442067618
PC.PC14	-0.0014480429522337349	0.0025873918875617833
PC.PC15	-0.0016934774223554777	0.0025189929323980948
PC.PC16	0.0015117195800561447	0.002683963019758853
PC.PC17	-0.0005941668660817501	0.0023229265546814352
PC.PC18	0.0020197866915126336	0.0034995942251650016
PC.PC19	0.0018751486004144283	0.0031457295506494487
PC.PC20	0.0008474584350457243	0.002653745084445455
proband	-0.008553827675304049	0.03513376993675123
paternal	0.07850440131137786	0.06423699525508696
maternal	-0.027011250350914135	0.06537155567754399
gpp	-0.10968192474598112	0.07870256880815298
gpm	-0.055745188300392066	0.07907920786279662
gmp	-0.031058178266789725	0.09707234317637821
gmm	0.012760132429436813	0.08047284314453358
