 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband
intercept 0.0016999891725689863 7.254787048396598e-07 9.0251825005977e-06 -2.6089323747949748e-05 4.625209655186474e-06 1.4921326147795428e-05 2.6264155513198633e-05 -4.444432398731516e-06 0.0001392143978252342 1.7314755868725785e-05 -1.3692909337601302e-05 6.390473257796018e-06 -1.627316560700111e-05 5.371851419717716e-06 -3.662368218321758e-06 -1.2492299657856728e-06 1.925944870645747e-06 2.808227359834475e-06 6.904923183968225e-07 -4.6767596170465886e-08 -1.890383676817967e-05 2.8449720757371386e-07 1.653889757904376e-07 -2.5596863624826742e-06 -1.5742629836138077e-06 3.614932350274427e-06 1.751639862693435e-05
AGE 7.254787048396613e-07 1.5354682304568668e-06 2.2162354027942195e-07 1.8226017513989333e-06 -1.2032432705140262e-06 -1.0054303660072578e-06 -1.0591342880392571e-07 2.566550133740759e-08 -4.1936702639967813e-08 7.297045607652672e-08 1.1199087742139215e-07 6.126541651180002e-08 -6.21755341729748e-08 3.862117207891898e-08 7.61645887554345e-08 8.319386806472165e-08 7.704875245473672e-08 -3.041702293907716e-08 -9.387429622268347e-08 -2.5075530810627744e-08 3.0484982495290074e-08 2.2526157559790327e-08 9.965234869310961e-09 -1.51101168384047e-08 5.960520452998707e-08 -8.294167012275347e-08 -2.1798534614972108e-07
sex 9.025182500597417e-06 2.216235402794247e-07 0.0016706597406433892 -0.00018791673078627375 -0.0007472606033730643 0.00028024950578050693 1.6486721389419156e-06 1.6262545246716465e-07 6.39601615318887e-07 3.6317634872087717e-07 1.8558243760812559e-06 -6.722863302036384e-07 -1.3040408377077182e-06 3.7371946503613475e-07 -1.4409145876822451e-06 8.564446834565779e-07 1.697486218030101e-07 -7.067896828378959e-07 -1.1262019081336913e-06 6.161961981392259e-08 -4.4075148147768126e-07 -1.65455570219822e-06 3.693020957232985e-07 -1.272192876645501e-06 3.291113411681015e-07 5.2790007189661996e-08 -1.0469996185240875e-05
age_sex -2.608932374794972e-05 1.8226017513989316e-06 -0.00018791673078627375 0.0009797347894540034 0.00025912113008931146 -0.0005368599491742446 2.8166905231579904e-07 3.542085961981988e-07 1.8515012733302135e-07 7.998089829034283e-07 -3.5192506600791817e-07 -2.485299462252469e-08 -6.878866910245503e-08 -1.299686987309598e-07 -2.6985714937137804e-07 5.90673110677821e-07 -7.896597110393607e-07 1.1670231805898614e-07 1.0893863436170805e-06 1.307388494379892e-06 -3.040600635916492e-06 -8.95994605370666e-07 -1.0180861222807271e-06 2.191139197877585e-08 1.0495853875472482e-07 1.2053295890662585e-06 -8.080345602057515e-06
age2_sex 4.625209655186681e-06 -1.2032432705140277e-06 -0.0007472606033730645 0.0002591211300893115 0.000652812767702747 -0.0003340074276108034 -5.233580972931624e-07 3.485590547248766e-07 1.1467650628801598e-06 -1.8712012340884604e-07 -1.0366023265195053e-06 8.651056318125977e-08 1.3348543707231874e-06 -2.4156067370111215e-07 3.378831269540112e-07 -1.150784091844503e-06 9.100123298062487e-07 5.744734784429245e-07 7.415878554276031e-07 1.0339000436613917e-06 -1.2569453410881628e-06 -1.1867552655795533e-07 -3.4190652093223975e-07 7.999320696982096e-07 -6.01999950796223e-07 7.022878529322702e-07 1.0080776750779707e-05
age3_sex 1.492132614779529e-05 -1.005430366007257e-06 0.0002802495057805071 -0.0005368599491742448 -0.00033400742761080347 0.000442229835409814 2.4029456053300524e-07 -3.133038811240196e-07 -2.567202043718069e-07 -1.7606718241669472e-07 3.1443183057320383e-07 1.336969284351221e-08 -5.802824467754941e-07 5.4382085952536136e-08 1.0446129882218867e-07 3.771791689514041e-07 -1.3158208043279116e-07 -2.2115806021684902e-07 -7.843700272015571e-07 -1.4177876116956354e-06 1.8821645867141515e-06 3.1308288695107976e-07 3.9205908539926343e-07 -5.957493855937589e-07 2.3566791862708283e-07 -6.23449902944541e-07 2.9103436137468854e-07
PC.PC1 2.6264155513198488e-05 -1.0591342880392593e-07 1.6486721389419349e-06 2.8166905231579507e-07 -5.233580972931764e-07 2.402945605330124e-07 5.8593018581159585e-06 1.2947619257856374e-06 6.263633363864822e-06 -7.161313524932668e-07 1.8282153851107732e-06 6.408359981536753e-08 -2.079879850463375e-06 9.536470563170237e-07 -1.0122121588383168e-06 4.128629486284921e-07 1.017290262851401e-06 -4.165531242968067e-08 -2.5502040252189114e-07 -7.506507182374629e-07 3.4858987873311756e-07 8.257986812537807e-08 -4.173624841085339e-08 -9.41489119876518e-08 -4.2236483768784163e-07 3.4925608986394565e-07 -1.8996555385843226e-06
PC.PC2 -4.44443239873157e-06 2.5665501337407444e-08 1.626254524671651e-07 3.542085961981987e-07 3.4855905472487534e-07 -3.1330388112401926e-07 1.2947619257856361e-06 1.728149746066991e-06 2.695184623528429e-07 -2.7964751252789843e-07 6.824001559494259e-07 -3.9106463957461035e-08 -4.4156525407266335e-07 1.849580799042002e-07 -3.1548392586668354e-07 1.8578136331933521e-07 3.4712014801303976e-07 -6.777351912533005e-08 -1.648115483728854e-07 -1.686477945121815e-07 1.114080156978616e-07 1.028388064850518e-07 -3.119485958186211e-08 -4.272772848017246e-09 -1.2393306268639338e-07 1.410048414110907e-07 -7.925102430232508e-08
PC.PC3 0.00013921439782523423 -4.193670263996797e-08 6.396016153189257e-07 1.851501273330091e-07 1.1467650628801304e-06 -2.5672020437178614e-07 6.2636333638648355e-06 2.6951846235284865e-07 1.8296923262448826e-05 1.000394717758695e-06 4.523852349032155e-08 5.500680371141952e-07 -2.8152114580223083e-06 1.0479460315366466e-06 -1.194089502058241e-06 2.2469233865299614e-07 9.450530390088751e-07 2.3826418136179855e-07 5.80655680284371e-08 -3.3461403969700053e-07 -1.5415095252114325e-06 1.1373167003955944e-07 -1.341186605279148e-07 -2.763532057008268e-07 -5.253212845793944e-07 9.585993552462603e-07 -1.3782822857770528e-06
PC.PC4 1.7314755868725948e-05 7.297045607652674e-08 3.6317634872087865e-07 7.998089829034231e-07 -1.87120123408846e-07 -1.7606718241669133e-07 -7.161313524932634e-07 -2.796475125278987e-07 1.0003947177587081e-06 2.085366926430848e-06 -8.179039677405471e-07 3.63417059599158e-08 4.477077087720967e-07 -1.1104608423055337e-07 8.635864755017818e-08 -1.640536552551231e-07 -1.5525296097191505e-07 2.3663570031686055e-07 1.0576597850185009e-07 4.5930502757844977e-07 -7.447360922206967e-07 7.640210149214976e-08 -1.0516970316095219e-08 -1.0491484145019128e-07 -1.6256000236165518e-08 2.1363969282183554e-07 3.2825679391619124e-08
PC.PC5 -1.36929093376014e-05 1.1199087742139201e-07 1.855824376081255e-06 -3.5192506600791663e-07 -1.0366023265195045e-06 3.144318305732021e-07 1.8282153851107692e-06 6.824001559494251e-07 4.523852349031104e-08 -8.179039677405469e-07 3.884603819346468e-06 -2.398586605454748e-09 -9.659871203881717e-07 4.4168901962895793e-07 -2.065677735418385e-07 3.4481257789292213e-07 2.957868691014539e-07 -3.7233163803086695e-07 -2.935759714317505e-07 -1.14854363483748e-06 1.7269900011483904e-06 2.0376918496925432e-08 -6.559540042593565e-08 3.386864342949665e-07 -2.4243558340197e-08 -4.602441276745507e-07 -1.2072816040975003e-06
PC.PC6 6.390473257796029e-06 6.126541651180003e-08 -6.722863302036374e-07 -2.485299462252129e-08 8.651056318126017e-08 1.3369692843510329e-08 6.408359981536799e-08 -3.9106463957461207e-08 5.50068037114196e-07 3.634170595991567e-08 -2.39858660545483e-09 2.781998430878127e-06 1.572190209546774e-07 1.1450527984494284e-08 -1.063207710437379e-07 3.2324707715272757e-09 -1.4831228289930666e-07 -2.2378156385775293e-08 -1.5718672495633013e-07 -4.815731557908048e-08 4.2181560037595245e-08 1.49219917751511e-08 -1.7305021680268674e-07 8.855383524482484e-09 -5.10904096519255e-08 5.2572959621946145e-08 -1.4240561131940675e-06
PC.PC7 -1.6273165607001065e-05 -6.217553417297464e-08 -1.3040408377077286e-06 -6.878866910245389e-08 1.3348543707231938e-06 -5.802824467754972e-07 -2.0798798504633755e-06 -4.4156525407266404e-07 -2.8152114580223032e-06 4.4770770877209793e-07 -9.659871203881736e-07 1.5721902095467786e-07 2.9326421269760295e-06 -2.4638937545131295e-07 3.63336433336529e-07 -2.1635717596994374e-07 -2.9733154042388165e-07 2.598386064399562e-08 1.752253770745324e-07 4.850407465441814e-07 -3.132310615798681e-07 2.7926132810503264e-07 2.6987118136698905e-08 -9.847801075105576e-08 -7.262042076703456e-08 4.628999538363226e-07 1.1281942694287131e-06
