 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal
intercept 0.00025048868701576393 1.9119555164872503e-06 -1.636173746348258e-06 -9.088282474503176e-06 4.10957860700699e-06 5.470893927826059e-06 3.685611791328588e-07 1.5747805452599207e-06 -8.068573971070623e-07 6.75856772882832e-07 1.9541320710370927e-07 4.260631010632499e-07 -1.428360638388611e-07 2.247242110103789e-07 -5.421636528006567e-08 2.1358080199665838e-07 7.594210217962797e-07 7.251672314478668e-08 -6.751978582015919e-07 -5.225668246358285e-08 -6.774252757726528e-07 4.0805776725996083e-07 1.3656839283515825e-06 -1.1552898699215257e-08 8.92453284475798e-08 -7.880825344283235e-07 -1.134471893080468e-06 -2.1516998415936276e-06 6.4803417215823975e-06
AGE 1.911955516487272e-06 6.22052105182953e-07 4.957359210943229e-07 5.444254213114386e-07 -6.568721675749086e-07 -4.4470868083387534e-07 -1.868246531709517e-08 6.100944726304589e-08 -2.8356216952073386e-08 2.9575321749230938e-08 7.164025454952105e-08 3.285307588226019e-08 -5.132353203304307e-08 1.4667423322376299e-08 6.609256078033615e-09 4.48611850867886e-08 5.8077069705217923e-08 4.2194744731542266e-09 -5.797474479591726e-08 1.3843937804806935e-08 3.5486515805222737e-09 -1.5592791918643653e-08 5.980065741812659e-11 -9.447907087443582e-09 1.4961598519196196e-08 -3.564245522531053e-08 -1.8195586368720413e-07 5.4612368425869105e-08 8.898693639298636e-08
sex -1.6361737463483033e-06 4.957359210943231e-07 0.0009648407574041165 7.60525340307282e-05 -0.0002565168120958486 -6.159392811971863e-05 2.3105915336278292e-07 2.6889558242725035e-07 -2.423619722751588e-07 1.3051925184055425e-07 1.413951864207172e-06 -7.167406357368816e-07 -2.79829908745289e-07 9.759772731638996e-09 -3.164948979686378e-07 -2.458324630368473e-07 4.4536136063882703e-07 -5.374187272623913e-07 -2.2502302913018408e-07 3.2665929984977944e-07 -1.8992027917214497e-07 -7.520893269400935e-07 -1.1453086379542226e-07 -5.351407792631528e-07 -2.8291814279367287e-07 5.255239155963787e-07 -2.4373657847551126e-06 -7.980279960245102e-07 6.135409651830122e-06
age_sex -9.088282474503171e-06 5.444254213114365e-07 7.605253403072773e-05 0.0004891927373657414 -5.8027618981707556e-05 -0.0001751308565193375 4.015648776996495e-07 2.3840869127247096e-07 -3.896877728988027e-08 3.5377129729183527e-07 3.896128737828361e-08 1.7910564035332217e-07 -2.915107926173529e-07 1.1043398182382515e-07 4.718720984073522e-09 9.053074546342605e-07 -6.934746443769063e-07 -1.1898640309414915e-07 5.589918763982702e-07 8.003205193330354e-08 -2.0968729165546158e-07 -7.657234245334475e-08 -6.211566284259014e-07 -3.896475062291628e-07 1.3801009499997848e-07 1.6825920086365068e-07 -6.990053312975464e-06 6.934127066312554e-06 -6.468199205388056e-06
age2_sex 4.109578607006993e-06 -6.568721675749086e-07 -0.0002565168120958484 -5.8027618981707814e-05 0.00015037058955839384 5.165797411776124e-05 -1.7216937937455646e-09 -9.739180915431741e-08 2.061381999737702e-07 -7.890060785010097e-08 -4.641927355220774e-07 1.6254458107549143e-07 1.3247560492823465e-07 -7.961987356072634e-08 1.1589287814252839e-07 3.885894700813962e-08 9.004853576575166e-08 1.5918114619078922e-07 1.6726776411042867e-07 -3.0175269877896655e-07 1.493941068850251e-08 -4.6978257387911594e-08 2.254687457947984e-07 1.4570288515380268e-07 7.675379611252739e-08 8.724630804933276e-09 2.0246901461093756e-06 -2.65131575822507e-06 -7.677686767433882e-07
age3_sex 5.470893927826081e-06 -4.447086808338745e-07 -6.15939281197184e-05 -0.00017513085651933756 5.165797411776114e-05 9.012226658760468e-05 -7.674206258346675e-08 -5.8879588439360406e-08 1.547373076091826e-07 -1.01080431306052e-07 -1.1739511079443194e-07 -2.982483552416313e-08 1.0478550618956676e-07 -5.152987332142401e-09 -4.843558489759843e-08 -2.9392657698627643e-07 2.829900626444091e-07 -2.0253031479360482e-08 -2.5387780700687063e-07 -1.4384024097171307e-07 4.763775894782125e-08 -5.656767371545939e-08 7.154748626485925e-08 8.387934507505371e-08 -9.05754454068322e-08 5.130775353037941e-08 2.3355944366875916e-06 -4.447944800196868e-06 1.7768936672494636e-06
PC.PC1 3.6856117913286347e-07 -1.8682465317095142e-08 2.310591533627826e-07 4.0156487769964933e-07 -1.7216937937453506e-09 -7.674206258346654e-08 4.806170567768081e-07 -2.1196312176014112e-08 1.480033174618841e-08 -7.551689143557464e-09 -3.410574341886384e-08 1.1976340526389533e-08 -1.2077297249623106e-08 2.4539945357938004e-08 4.026272825709493e-08 -1.3592592596408243e-08 -1.6836267468166533e-08 1.752799176102277e-08 -9.614713705536004e-09 -2.6602627564472037e-08 3.4530239486522635e-08 5.5679728772365895e-09 1.2609058758808875e-08 -1.2583898963507726e-08 -1.0112254156729528e-08 -4.298599890287449e-09 -2.7276462018725595e-07 -5.477995283148021e-07 -7.843583037158297e-07
PC.PC2 1.5747805452598733e-06 6.100944726304561e-08 2.6889558242725167e-07 2.3840869127247334e-07 -9.739180915431835e-08 -5.887958843936152e-08 -2.1196312176014168e-08 9.057225671289822e-07 -4.029696491100703e-08 4.713902653310958e-08 1.8598333242335417e-08 -1.483852669699632e-08 -5.2707159439998975e-09 -2.3351835044461894e-08 1.7775582543276535e-08 2.0276693211754916e-08 3.771556339965999e-09 -1.6058858314071955e-08 -1.368060150887771e-08 -8.822547489965524e-09 -2.7030516441817077e-08 4.8731133995227814e-08 6.5667343957477e-09 9.231750068241075e-09 6.32007618145334e-09 1.2037390784969846e-08 3.4277384497160886e-08 4.414679744063159e-07 -2.892946953492255e-07
PC.PC3 -8.068573971070613e-07 -2.8356216952073422e-08 -2.4236197227515925e-07 -3.896877728988308e-08 2.061381999737707e-07 1.5473730760918373e-07 1.4800331746188361e-08 -4.0296964911007237e-08 1.0392000510008604e-06 1.520396899407793e-08 5.679379233947786e-08 1.6641912384999192e-08 1.6751569261091532e-08 -5.054856237761261e-08 3.333480062259923e-09 3.578588265768995e-08 -1.7254307177723578e-08 -6.002760645278571e-09 -6.534989665798852e-09 2.743011456076353e-08 2.8194964391923773e-08 -4.9126907795709355e-08 -4.027056903056294e-09 6.979170176471825e-08 2.0165475572676426e-08 9.507262799927784e-09 -8.479473993246095e-08 -1.5259277953796474e-06 -1.0951163922840867e-06
PC.PC4 6.75856772882837e-07 2.957532174923101e-08 1.3051925184055327e-07 3.537712972918339e-07 -7.890060785010047e-08 -1.0108043130605135e-07 -7.5516891435575e-09 4.7139026533109465e-08 1.520396899407813e-08 1.308446182292745e-06 9.909787469390526e-08 -3.8538900202813006e-08 1.1625722688326201e-07 4.741589355665962e-08 7.027128957870891e-09 -2.5309819448710418e-08 -1.6271680838735458e-08 4.6506810240097656e-08 -1.7922368966672726e-08 3.9268261902408016e-08 6.732733863202098e-09 3.5625091229811145e-08 -8.099660401909127e-09 1.1825360905343647e-08 -7.431035091400433e-10 -3.935103950577042e-08 -3.6463231380228376e-08 -1.0005088971121274e-06 5.105750904533149e-07
