 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal
intercept 0.0002859240014058845 2.3601046058286622e-06 -1.4729169247385345e-06 -4.925864661899046e-06 1.9624602211220785e-06 3.1202270870823556e-06 -3.4944371669232308e-09 2.142972968383241e-06 -1.9545667837410227e-06 7.993386337856078e-07 -2.0597489593165463e-08 5.237759212099767e-07 2.030649286785401e-07 1.8740684380929077e-07 1.8056560591354358e-08 3.7092838054374025e-07 7.304949941758717e-07 -6.689008818064947e-09 -1.0109249371705944e-06 -1.4566113957699995e-07 -5.868274546071631e-07 2.9085525215261737e-07 1.5337563083968006e-06 1.8041063396244387e-07 1.9165108366705338e-07 -9.056663852541972e-07 -2.2784943475436103e-07 -1.6934926825394157e-06 7.349706222458107e-06
AGE 2.360104605828681e-06 5.68432319912774e-07 3.464171450500567e-07 4.778885251945439e-07 -4.618786384058344e-07 -3.779544977343108e-07 -1.706875957814125e-08 5.217099395735725e-08 -3.948209611475126e-08 2.25802319795013e-08 5.251523121530995e-08 2.1344990333689225e-08 -4.711484701314269e-08 8.850521885362431e-09 1.3234171464494883e-08 4.1728397591697604e-08 5.762548919819291e-08 -2.588677465884604e-09 -5.232475832120147e-08 1.2031846740084955e-08 1.4013133284247255e-09 -7.293770312779295e-09 1.1422970290442371e-08 -1.5368973707996686e-09 1.2582156930004902e-08 -3.2305075013899544e-08 -1.3359742012275063e-07 1.027578408266791e-07 -1.0156631411115173e-08
sex -1.4729169247385125e-06 3.4641714505005734e-07 0.0006696464476078903 5.2072340785436876e-05 -0.000178699771163451 -4.481198366835192e-05 1.5827891048073506e-07 2.2825299443671902e-07 -1.7012709102436896e-07 1.1523575604762541e-07 6.345693357356072e-07 -4.3964174210435865e-07 -2.0555311477335866e-07 1.07266101453049e-07 -3.8199131298092153e-07 -2.1609100723182302e-07 1.5255309618916327e-07 -1.5146472573969666e-07 -8.673685640208287e-08 3.679145389536881e-07 -1.7914432429865563e-07 -4.3883420946879445e-07 -1.1961493424216018e-07 -2.1920190140195516e-07 -3.45657423275858e-07 3.206825448974131e-07 -4.379174341063769e-06 1.2263028581091145e-07 6.741941669641445e-06
age_sex -4.9258646618990486e-06 4.778885251945424e-07 5.207234078543678e-05 0.00033000495669496376 -4.622073468227131e-05 -0.000115638118421054 3.2859296207533707e-07 4.1334894563580894e-08 1.3502237396784738e-07 2.120598111684593e-07 -9.470653651741202e-08 -2.4714782674816276e-08 -3.454924303690782e-07 6.868931487753075e-08 1.9669177615137866e-07 9.769068941819765e-07 -5.756185812753239e-07 -1.692383728397855e-07 3.615486413988779e-07 2.3485721445842366e-08 -4.0887566316170217e-07 -1.1054908320621004e-07 -7.316388034550214e-07 -1.6243605070232913e-09 1.1612737449716695e-07 2.2195872873432185e-07 -5.891801090448678e-06 6.0922312010623025e-06 -3.260397008192842e-06
age2_sex 1.962460221122071e-06 -4.6187863840583465e-07 -0.00017869977116345096 -4.622073468227141e-05 0.00010554581590011683 3.866747158523967e-05 -5.7425783227985047e-08 -8.516597650178837e-08 1.3407087704170593e-07 -7.618779561251745e-08 -7.906749917739592e-08 8.25991278905142e-08 1.449695519815454e-07 -4.0442154361164825e-08 1.678206390431264e-07 -5.8232936422761776e-08 1.3726349046366026e-07 8.053762424374056e-08 3.379079723506273e-08 -2.329812450204888e-07 6.436608155604622e-08 -1.3435874205115077e-07 1.0771926167815531e-07 -2.021696464183311e-08 -1.8668852437050858e-08 -1.6030181434749385e-08 3.5594200990717644e-06 -2.9675985779863186e-06 -2.626460582703053e-06
age3_sex 3.120227087082361e-06 -3.779544977343104e-07 -4.481198366835188e-05 -0.00011563811842105408 3.8667471585239644e-05 5.8846378973669305e-05 -8.605671780417351e-08 4.738661056248102e-08 3.176466014360813e-08 -2.5709431688956714e-08 1.1503374078224605e-08 4.692040575916306e-08 1.2787343861156612e-07 -2.786776294998466e-08 -6.02427984764005e-08 -3.4277063877419026e-07 2.478437999061313e-07 5.222740851620615e-08 -1.7291804889600818e-07 -8.54495392808245e-08 1.1017212192460676e-07 -2.0141752976196187e-08 1.9460375671452026e-07 -7.367228346608395e-08 -8.526890600985638e-08 -1.2072384083558436e-08 2.683073100489943e-06 -4.394459110445071e-06 5.854048070790771e-07
PC.PC1 -3.494437166923337e-09 -1.7068759578141244e-08 1.5827891048073413e-07 3.285929620753363e-07 -5.7425783227984597e-08 -8.605671780417313e-08 5.344893901165431e-07 -2.3723730363882794e-08 -2.8931022787538104e-08 -1.614444652274404e-08 -3.4751956770208665e-08 1.4492599886648183e-08 -1.1298910565930849e-09 3.0808779225978994e-08 5.0766044843634803e-08 -8.155267584898205e-09 -2.575913640822181e-08 1.4389576686178619e-08 -5.174783696660026e-09 -3.2750912642518296e-08 4.0794778112332296e-08 4.8944488629455055e-09 1.085413942769379e-08 -5.8880290167933245e-09 -9.886963925824532e-09 -1.8208649242020995e-09 -1.4195073557519238e-07 -6.158481849479733e-07 -9.130658785560069e-07
PC.PC2 2.1429729683832666e-06 5.217099395735731e-08 2.2825299443671862e-07 4.133489456357913e-08 -8.516597650178756e-08 4.7386610562482017e-08 -2.3723730363882814e-08 1.0753606999276779e-06 -6.751495703321078e-08 6.796767810199436e-08 1.5707276578311316e-08 -3.3203423404222834e-09 -4.148300198532073e-09 -4.17862665209867e-08 2.103678720572465e-08 1.1201101615526742e-08 -2.2664851594927345e-08 -1.9924194205739094e-08 -3.47425811758602e-08 -2.3271441221269003e-08 -3.043954345067352e-08 4.907265075686774e-08 8.945090088951295e-09 8.26211334557104e-09 7.551769745705734e-09 1.5062305712662563e-08 -1.8665787686823178e-08 3.518633273845825e-07 -2.1586123605420795e-07
PC.PC3 -1.95456678374107e-06 -3.9482096114751524e-08 -1.7012709102436775e-07 1.350223739678483e-07 1.3407087704170503e-07 3.1764660143607406e-08 -2.893102278753822e-08 -6.751495703321093e-08 1.0754151987532859e-06 6.0198695085228605e-09 7.04660146365659e-08 1.2395881339635617e-08 2.9413178402462236e-08 -6.58936163230227e-08 9.520336995683873e-09 2.137566571902147e-08 -1.121113788866726e-08 -1.8387024717515606e-08 3.5459048763931473e-09 3.233967957753275e-08 4.573810681634308e-08 -5.5862870618000056e-08 1.4057720177596846e-09 5.7830855280766726e-08 1.8107717718406592e-08 -4.795223065649974e-09 -4.3240429478976965e-09 -1.6357982681018919e-06 -1.2240871994833531e-06
PC.PC4 7.993386337856066e-07 2.258023197950129e-08 1.1523575604762489e-07 2.120598111684591e-07 -7.618779561251727e-08 -2.5709431688956582e-08 -1.6144446522744093e-08 6.796767810199414e-08 6.019869508522996e-09 1.4634661833529985e-06 1.0437657968501555e-07 -3.7974847441436106e-08 1.0330119517248059e-07 6.368919546806625e-08 1.7822365587581696e-08 -2.094398539852287e-08 -3.210335805707658e-08 5.609333428322578e-08 -1.819332829111959e-08 4.825734480566379e-08 2.211607822565208e-09 3.8700583411715e-08 -3.59266818367756e-09 -7.156403282581669e-09 -9.715494471205729e-09 -4.42053672992656e-08 -9.878290143000578e-08 -8.885479354554967e-07 5.301738161908565e-07
PC.PC5 -2.059748959316511e-08 5.251523121530997e-08 6.345693357356072e-07 -9.470653651741106e-08 -7.906749917739596e-08 1.1503374078224203e-08 -3.475195677020868e-08 1.5707276578311306e-08 7.046601463656584e-08 1.0437657968501555e-07 1.8756693496552964e-06 4.6024548479239494e-08 2.8642449589823882e-08 -4.5292781043620635e-08 -1.9106364088103274e-08 2.3997372125808105e-08 1.458311673664418e-08 2.6316642582416184e-08 9.213807874489617e-10 -2.8341897927387896e-08 -5.765152837206385e-09 -1.945938032638194e-08 -3.3617853306093413e-09 1.045129518308575e-07 1.204696086192059e-08 6.332931428582769e-08 2.5730735651692812e-08 -6.981708236458786e-07 -4.0107207734450227e-07
