 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband
intercept 0.00025016019965356086 1.7217480611633612e-06 -1.44948585921007e-06 -1.0183411989847525e-05 4.246656656787077e-06 6.391639351842222e-06 8.346009239279874e-08 1.7076175608332893e-06 -9.497848941883581e-07 5.890305922497706e-07 1.9306400172052524e-09 3.6380628206621795e-07 -2.1040258728339416e-07 2.6561598450532097e-07 3.712621309996774e-08 2.642425272206169e-07 7.628352640197777e-07 1.3786761329949428e-07 -7.411346887716231e-07 -1.4491719035125498e-07 -5.224309899179493e-07 2.9194305739326017e-07 1.3780017872194038e-06 1.1301930189162475e-07 1.7017428240123833e-07 -8.037810437076638e-07 1.3321217604065314e-06
AGE 1.721748061163331e-06 6.567400230627653e-07 4.082045798993996e-07 6.173263131446902e-07 -5.974613709013632e-07 -4.955904846602905e-07 -1.7209876011549526e-08 4.174309628109065e-08 -4.003831758864118e-08 2.1674553188086283e-08 7.255265538948417e-08 3.7894690333193886e-08 -4.5909574483056056e-08 1.2651865794835897e-08 1.7615258169068645e-08 4.322394699275539e-08 5.7947946859879624e-08 -6.271694819459769e-10 -6.056768192713943e-08 1.606536843850307e-08 4.40022360436757e-09 -1.1624392826847703e-08 4.5753033809572985e-09 -6.0277817973593436e-09 8.201170914584382e-09 -3.6569990132576094e-08 -1.5834708614880884e-07
sex -1.4494858592100865e-06 4.082045798994015e-07 0.0010651020676870052 7.295579826902649e-05 -0.00028094712119016167 -5.972558892383436e-05 2.882405366366382e-07 3.0302367214531216e-07 -1.3131071688444412e-07 2.8851549700064387e-07 1.3721411809030244e-06 -7.304033136691997e-07 -1.8311285090112896e-07 1.6856334683886708e-07 -5.402963630013608e-07 2.296016863205864e-08 4.794665413623049e-07 -5.771162239658371e-07 -1.8793595051483036e-07 4.112336825062383e-07 -1.7011879747040337e-07 -8.112634600136244e-07 2.0926513333911353e-07 -3.571038593549994e-07 -3.1990022526357905e-07 3.566497763054955e-07 -1.3582372164695776e-06
age_sex -1.0183411989847483e-05 6.173263131446881e-07 7.295579826902611e-05 0.000562259516010892 -5.732711257691642e-05 -0.00020617275133838085 4.127118346450233e-07 1.282632932252297e-07 1.5559534334309814e-07 4.877224533764147e-07 6.950594717652587e-08 5.0022840192795875e-08 -4.669943839518922e-07 5.7197864169555776e-08 9.425995490351131e-09 9.939706178589145e-07 -7.052450333915146e-07 -6.98217748152439e-08 4.983890409549929e-07 4.048689439678366e-08 -2.1475011109835325e-07 -3.36094030258171e-07 -9.369324965226826e-07 -2.300029805723917e-07 2.455215403946454e-08 2.2384223457783267e-07 -7.510096767778363e-06
age2_sex 4.246656656787056e-06 -5.974613709013637e-07 -0.0002809471211901617 -5.7327112576916676e-05 0.00016220420909775655 5.0939008239464606e-05 -1.999961919489035e-08 -5.7164350998201905e-08 1.734674155625532e-07 -1.8572069000716996e-07 -4.4527948993494033e-07 1.3923440575687765e-07 7.024609827364579e-08 -7.959096519419805e-08 2.7328152328764253e-07 -1.3606226061426094e-07 1.18295610383623e-07 2.0737793885072768e-07 1.3251912053603713e-07 -3.1773827101492923e-07 7.311701783068856e-08 -6.026838776542393e-08 5.1796841653202946e-08 -8.950063675322611e-09 9.759290073528961e-08 5.017102052316794e-08 1.1840040304206112e-06
age3_sex 6.3916393518422295e-06 -4.955904846602897e-07 -5.972558892383421e-05 -0.00020617275133838101 5.093900823946452e-05 0.0001061694652653729 -7.526196842074212e-08 7.367126872244869e-09 7.851646124899393e-08 -1.71756662793704e-07 -1.2745331790589338e-07 4.066987907838983e-08 1.373933625268204e-07 -1.7390454038874952e-08 -8.313870822622559e-08 -2.9556786718910994e-07 2.8114890929954273e-07 1.9817936722233586e-09 -2.0181209824770962e-07 -1.7249336878566236e-07 2.140309704009825e-08 5.570137165387856e-08 2.504754733016099e-07 8.33201727220807e-09 -3.60333225608938e-09 5.1205744402599286e-08 1.9348824151454463e-06
PC.PC1 8.34600923927981e-08 -1.7209876011549533e-08 2.8824053663663725e-07 4.1271183464502377e-07 -1.999961919489006e-08 -7.526196842074226e-08 4.848283305787264e-07 -1.4663403753674466e-08 8.817982791702938e-10 -1.8794992743699406e-08 -3.3760382529958083e-08 1.2409523159299387e-08 -1.099132845565603e-08 2.6001883638862334e-08 4.4265245484454706e-08 -1.356535687438379e-08 -1.7128259366813255e-08 1.9830970536018504e-08 -4.110189891442063e-09 -2.6499377687878503e-08 3.5137178650744096e-08 2.5237611331514252e-09 1.194066626137332e-08 -9.862206164990309e-09 -9.607561584599361e-09 -3.908103706543981e-09 -8.059602110671058e-07
PC.PC2 1.707617560833316e-06 4.1743096281090864e-08 3.0302367214531083e-07 1.2826329322522777e-07 -5.716435099820089e-08 7.367126872246125e-09 -1.4663403753674332e-08 9.256643829873748e-07 -5.358084778832888e-08 6.079241365442268e-08 1.8273421127626867e-08 -1.6226340407623947e-08 -4.107122783321469e-09 -2.607376664777006e-08 1.3938893747554062e-08 1.880603754097474e-08 8.470426612574538e-09 -1.5987258486157603e-08 -6.1548197868274606e-09 -9.1495761408936e-09 -2.41829380741792e-08 4.3610291107074575e-08 1.0840365766298565e-08 3.766500356701268e-11 5.7645569995986496e-09 1.239291273211658e-08 5.532730885621932e-08
PC.PC3 -9.49784894188362e-07 -4.003831758864117e-08 -1.3131071688444388e-07 1.5559534334309754e-07 1.734674155625533e-07 7.851646124899429e-08 8.817982791702985e-10 -5.358084778832904e-08 1.0091493767478972e-06 2.021595006320978e-08 5.603590984092406e-08 9.641358965420673e-09 2.750925765318714e-08 -5.141362108621624e-08 5.9106161931992015e-09 2.9521128790517908e-08 -1.902487051692776e-08 -1.733531228948725e-08 -3.782147362555909e-09 3.1229023973133156e-08 3.416470470180615e-08 -4.7740430628750255e-08 -8.290999843171403e-09 5.7291379307603805e-08 2.0109807630422844e-08 -3.0609395270580373e-10 -1.1181114143988295e-06
PC.PC4 5.890305922497713e-07 2.1674553188086317e-08 2.8851549700064254e-07 4.877224533764135e-07 -1.8572069000716927e-07 -1.7175666279370355e-07 -1.8794992743699376e-08 6.07924136544226e-08 2.0215950063209805e-08 1.2992689552777168e-06 9.615985573921433e-08 -4.560552420253966e-08 1.2659930297777266e-07 5.8104395643812795e-08 9.854061629604423e-09 -3.08051907855938e-08 -1.8278749933466218e-08 6.359919666819688e-08 -1.712753941987069e-08 5.4208578506540245e-08 7.683165586600016e-09 4.306942263357386e-08 -6.4850147070138385e-09 5.791541122130285e-11 -8.061254256648253e-09 -4.3126660025250857e-08 -2.5443956183313397e-07
PC.PC5 1.93064001721134e-09 7.255265538948422e-08 1.3721411809030248e-06 6.950594717652593e-08 -4.4527948993494065e-07 -1.2745331790589335e-07 -3.376038252995808e-08 1.8273421127626818e-08 5.603590984092412e-08 9.615985573921444e-08 1.7323574203892979e-06 4.294040476184895e-08 9.029255363700414e-09 -2.258248539588652e-08 -8.736062045675718e-09 2.7026792035953092e-08 9.675707820091428e-09 2.8490923701349728e-08 -6.420858474179382e-09 -2.859625503673224e-08 -1.2558534553940295e-08 -3.543195867030375e-08 -7.322600837126865e-09 1.0245470923564994e-07 2.2800122424279116e-08 5.6490812105724666e-08 -5.233256304434438e-07
PC.PC6 3.638062820662202e-07 3.789469033319388e-08 -7.304033136691994e-07 5.002284019279513e-08 1.392344057568779e-07 4.066987907839023e-08 1.240952315929943e-08 -1.6226340407624023e-08 9.641358965420696e-09 -4.5605524202539665e-08 4.2940404761848884e-08 1.924629969968167e-06 9.424096135241796e-08 -2.213861483937662e-08 -9.120886054295627e-08 1.3544333100062602e-08 -2.3151508207891154e-08 -3.949039530577531e-09 -2.783410926686107e-08 1.6930414793897988e-08 3.6737939319086984e-08 -5.956879527066102e-08 -1.2114897437448574e-07 4.583036121454072e-09 -2.166487637324954e-08 -1.5172780995021712e-08 -8.418049148715136e-07
PC.PC7 -2.1040258728339575e-07 -4.590957448305604e-08 -1.8311285090112865e-07 -4.669943839518923e-07 7.024609827364559e-08 1.3739336252682033e-07 -1.0991328455656007e-08 -4.1071227833214426e-09 2.75092576531871e-08 1.2659930297777295e-07 9.02925536370039e-09 9.424096135241795e-08 1.5210522290393156e-06 1.464833530057048e-07 2.2298122059273716e-08 -3.530049645462499e-08 -1.3278473309404064e-08 -6.021827143073257e-08 6.9574136942390305e-09 1.1696750339244352e-08 9.107181330583079e-09 -1.2884967049144016e-09 -2.294262867606734e-08 -4.3296723242916167e-08 -9.194916018723778e-09 -3.491993430266847e-09 6.234639875247814e-07
PC.PC8 2.6561598450532224e-07 1.265186579483591e-08 1.6856334683886732e-07 5.719786416955702e-08 -7.959096519419846e-08 -1.7390454038875634e-08 2.6001883638862248e-08 -2.6073766647769966e-08 -5.1413621086216256e-08 5.810439564381277e-08 -2.2582485395886427e-08 -2.213861483937647e-08 1.4648335300570483e-07 2.114869034180409e-06 -4.296581377034668e-08 -9.082914138189547e-08 1.3903959661530056e-09 -3.797042841075214e-08 1.5455387779749146e-08 -2.8649423145108033e-08 -4.073097385697523e-10 8.938097163882494e-08 -8.81559488224139e-08 -3.330754863691325e-07 1.416220036483264e-08 -6.328370228697023e-08 -3.7629092629446e-07
PC.PC9 3.712621309996769e-08 1.7615258169068596e-08 -5.402963630013599e-07 9.425995490350496e-09 2.732815232876425e-07 -8.313870822622533e-08 4.426524548445471e-08 1.3938893747553896e-08 5.910616193199244e-09 9.854061629604372e-09 -8.736062045675712e-09 -9.120886054295638e-08 2.2298122059273696e-08 -4.2965813770346845e-08 2.090705398053907e-06 7.200971964087047e-08 1.1152258508831047e-07 -7.880165344780774e-10 -1.6541589551061284e-07 -9.143052830008179e-09 -3.512768758253935e-08 -6.70516120489555e-09 5.481009360075482e-08 1.4442236814027174e-10 1.779727047371894e-08 -5.4156151679026884e-08 6.905136934122793e-08
PC.PC10 2.642425272206188e-07 4.322394699275535e-08 2.2960168632058264e-08 9.939706178589147e-07 -1.3606226061426097e-07 -2.955678671891099e-07 -1.3565356874383797e-08 1.8806037540974716e-08 2.9521128790517878e-08 -3.080519078559356e-08 2.7026792035953046e-08 1.3544333100062526e-08 -3.5300496454624756e-08 -9.082914138189459e-08 7.200971964087072e-08 2.52574223323008e-06 -1.2964060125296565e-07 4.2928988758215934e-08 5.130200972318116e-08 5.416527001225968e-08 -4.522189570474415e-08 -4.088681793686531e-08 2.3669948103537922e-08 2.3424030773316704e-07 2.0883633435343177e-08 7.592648250030487e-08 2.32794499753665e-07
PC.PC11 7.628352640197773e-07 5.7947946859879605e-08 4.79466541362304e-07 -7.052450333915138e-07 1.1829561038362328e-07 2.811489092995423e-07 -1.7128259366813255e-08 8.470426612574644e-09 -1.9024870516927785e-08 -1.827874993346625e-08 9.675707820091423e-09 -2.3151508207890982e-08 -1.3278473309404144e-08 1.390395966152902e-09 1.1152258508831072e-07 -1.296406012529654e-07 2.0022740592221106e-06 -7.041363353036757e-08 -1.2746802276038078e-08 5.221478044088795e-08 -4.697232318588812e-08 1.4836069097664342e-07 7.63545334913402e-08 -7.913263669535469e-08 3.4305630863235984e-08 -3.316062513059822e-09 7.163086279571018e-07
PC.PC12 1.3786761329949346e-07 -6.271694819459765e-10 -5.771162239658374e-07 -6.982177481524473e-08 2.0737793885072803e-07 1.981793672223536e-09 1.9830970536018507e-08 -1.59872584861576e-08 -1.7335312289487254e-08 6.359919666819688e-08 2.8490923701349592e-08 -3.949039530577481e-09 -6.02182714307325e-08 -3.7970428410752044e-08 -7.880165344780155e-10 4.292898875821571e-08 -7.041363353036749e-08 2.186914254203566e-06 -2.7458521559232527e-08 7.040989004552396e-08 5.114549931465909e-08 1.291624515074881e-07 5.482474607900627e-09 1.4911485854804306e-09 1.2665856469020316e-07 2.1986434203487475e-08 -3.045433777328781e-07
PC.PC13 -7.411346887716211e-07 -6.056768192713939e-08 -1.8793595051482985e-07 4.983890409549957e-07 1.325191205360363e-07 -2.0181209824771078e-07 -4.110189891442043e-09 -6.154819786827303e-09 -3.782147362555955e-09 -1.712753941987061e-08 -6.420858474179307e-09 -2.7834109266860885e-08 6.957413694239104e-09 1.545538777974919e-08 -1.654158955106131e-07 5.130200972318123e-08 -1.274680227603789e-08 -2.7458521559232553e-08 1.9876163735782184e-06 1.2470257032759836e-08 -2.488955649034242e-08 -1.5983829768187512e-08 9.043605723529278e-09 1.287583739344975e-08 -5.294954520510374e-08 -3.920243088247884e-08 2.5892302197181153e-07
