 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.005002130189218831 0.0001581621064455464 0.002538539178082142 0.006062184641100958 0.006369727038547199 0.0017992962800690501 4.317310673482401e-06 1.7653241937291387e-05 -9.518700598822532e-06 6.190595502153073e-06 -3.751432754003257e-06 -9.608424921370387e-06 3.5290997295392423e-06 -1.763696297176517e-06 -4.364783931906106e-06 -2.2918542814517884e-06 -7.026327702601867e-06 -4.366242714510497e-06 -1.2862821013522978e-05 6.631441693014193e-06 1.689584376909157e-06 2.1311862058333253e-06 5.460723583494516e-07 3.220014607986709e-06 7.343810083871317e-06 6.53723796724354e-06 8.882236476612423e-05 -5.061954744737273e-05 -8.940566365406024e-05 -3.924725304283234e-05 0.00013447012115241883 -4.927249158728186e-05 0.00016962489802819445
AGE 0.000158162106445546 8.289975092626053e-06 -1.408438424826848e-05 -3.5764247373687674e-05 -3.526335906006688e-05 -9.628193129698808e-06 3.38300833831901e-08 9.484837834556114e-07 -3.721383319610906e-07 3.012387004145673e-07 3.6244664743049816e-08 -2.177403731957792e-07 -7.336406702026048e-08 -7.157147664785767e-08 -2.2595530781758435e-07 1.91416392898461e-07 -1.8758769714401476e-08 -4.6308544079178255e-07 -5.300927090965959e-07 2.5453113992062327e-07 1.885964521750138e-07 -7.434911868554139e-09 9.743323347642728e-08 -4.88316905635767e-08 5.810569413543001e-08 -1.272809131749723e-07 1.1269570157866287e-06 -4.8984443627671545e-06 -7.096746574688833e-06 8.404685424337611e-06 3.5557649055567268e-06 7.488187720198965e-06 5.138308360398265e-06
sex 0.0025385391780822645 -1.4084384248268306e-05 0.025304684406456578 0.030421025501964512 0.021612633159290715 0.004694348434077066 -4.213535463062243e-06 7.76307065502963e-06 7.522032506032194e-08 -7.477764954127409e-06 1.521921050822267e-05 -8.940760939698589e-07 1.214736664834246e-06 1.2170078812806377e-05 4.042320883853803e-06 1.0503600669027983e-06 -7.511939900098531e-07 1.3062258051388408e-05 -1.7227018584624927e-06 1.1008266250210705e-05 -3.904567444837758e-07 -9.332657062942822e-06 3.5795786094556146e-06 -3.5750044513270494e-06 1.6600509493103065e-05 7.4708014664123235e-06 0.0001990157582992228 4.027598547388099e-06 9.147935242743048e-05 -0.0001936776827803895 -0.00018981989321905819 -0.00023967455626559562 -0.00013438685600087385
age_sex 0.006062184641101096 -3.5764247373686095e-05 0.030421025501963916 0.059213668818050784 0.05486810143760456 0.014229556551809306 1.7997960607534517e-06 7.726933821927949e-06 1.3432923527127757e-05 -7.452113281406592e-06 1.017871295323136e-05 1.215602278567584e-06 -3.058552057179045e-06 1.1972280741410853e-05 9.253202842711122e-07 7.76993566775096e-06 -1.0273344148238351e-05 1.7831210982967336e-05 -3.4672528315879534e-06 6.916073821653316e-06 6.040099145921738e-06 -2.0098718133803374e-06 7.4306971000206015e-06 -7.881961656351054e-06 1.4204883619018786e-05 -3.6862378247938964e-06 0.00042491003542884245 -0.00013798363465623048 0.0002101387128271321 -0.00024369141993632127 0.00011642209567163829 -0.00043046391263074443 -0.00031084973043959204
age2_sex 0.006369727038547266 -3.5263359060063926e-05 0.021612633159289643 0.054868101437603685 0.05783892825386466 0.01625334768661774 1.952912802800182e-06 5.795338715627415e-06 1.582777001584259e-05 -6.070635085332146e-06 2.422884109607763e-06 1.350245510126574e-06 -4.217840648522975e-06 7.647274281823136e-06 -3.17721446595813e-06 -1.034694558365773e-06 -5.400139521345589e-06 1.5285372474172857e-05 -3.7936731474075134e-06 1.328042658778163e-06 9.512714619352759e-06 6.459571967743492e-06 1.0181637135125174e-05 -7.858319832340945e-06 7.881528537442389e-06 -6.002562213645068e-06 0.0004731128892338468 -0.00032534905220636863 0.00013152850116022403 -0.00010599169603809349 0.00039266744645975304 -0.0003702719408424019 -8.82938421412947e-05
age3_sex 0.0017992962800690486 -9.628193129697976e-06 0.004694348434076706 0.014229556551808905 0.016253347686617573 0.00481343247769446 3.0935919765729604e-07 1.7822455471776122e-06 4.389459406017211e-06 -1.3828607615880128e-06 -5.573930763623725e-07 1.430235490950797e-07 -1.2787588095818317e-06 1.5685385260019756e-06 -1.7908545149117522e-06 -2.653674403058788e-06 -4.4491708193726693e-07 3.826531311267934e-06 -1.3562073231760975e-06 -4.03299576864902e-07 2.9574975277318548e-06 3.289454024286373e-06 3.378441630063746e-06 -2.2303475535461424e-06 1.3020698703178664e-06 -1.2923461039942523e-06 0.00013523998512094976 -0.00013805630742687606 2.7028296272992653e-05 -1.032453170541204e-05 0.0001765055554836633 -0.00010633549484878724 3.2874014648083735e-05
PC.PC1 4.317310673481648e-06 3.383008338319491e-08 -4.213535463064989e-06 1.7997960607466634e-06 1.952912802793078e-06 3.0935919765530673e-07 2.497397781143213e-06 -1.769169651139547e-08 -9.223651478811977e-08 -1.548466772917037e-07 1.2827972934878382e-07 -4.929827756924655e-08 -1.6263205428648415e-07 1.0640225071322981e-07 1.0050811676681373e-07 -2.758222823142656e-08 -1.650459514135638e-08 2.457624835756967e-07 -3.358723401445567e-07 -1.2442588369245066e-07 2.1892005587452244e-07 -1.614838790442475e-07 -3.564895418073173e-08 2.290301171827175e-07 4.861988722966643e-07 -2.8141751513678844e-07 -7.83049278795273e-08 -3.374384564539613e-06 1.0338985135925833e-07 -3.1141499990678297e-06 1.6870347987009629e-06 -9.444900006936727e-06 -3.942890002909049e-06
PC.PC2 1.765324193729198e-05 9.484837834556198e-07 7.763070655030634e-06 7.726933821930691e-06 5.795338715630391e-06 1.782245547178458e-06 -1.7691696511394662e-08 3.788446424226847e-06 -5.6547106217921524e-08 6.206530777133475e-08 2.0205710364244886e-07 -1.2500564926696313e-06 -2.3538628168045031e-07 -4.270435490948898e-08 8.126669141496388e-09 1.2864311751218367e-07 -1.0569951065434096e-06 -5.07471662569259e-07 9.561310283357622e-08 -2.733828715937133e-07 -2.1801765983998325e-07 4.709240809038214e-08 -2.7749592624461494e-07 -2.12086617171684e-07 -3.8692109343147707e-07 1.4608479503893996e-07 1.3467236521392478e-06 -8.902341028459284e-07 -5.296991984452904e-06 -3.338499661048184e-06 1.212702918838716e-05 2.3184970942148653e-06 5.060683162984184e-06
PC.PC3 -9.51870059882299e-06 -3.721383319610847e-07 7.522032505788864e-08 1.3432923527122668e-05 1.5827770015837665e-05 4.389459406015901e-06 -9.223651478811777e-08 -5.6547106217921815e-08 4.4728672974439395e-06 1.0942726895259006e-07 3.57698553089011e-07 5.293585234775889e-07 1.1803935310017227e-07 -7.372470564175479e-08 2.043529048699206e-08 3.0834741799840973e-07 3.923929080031782e-07 -2.0294291103852704e-07 8.533777949679037e-08 1.395726915904862e-07 1.262401369550399e-07 -4.745209110971649e-08 2.3968742058769693e-07 6.910265062474984e-08 -5.033098805557244e-07 -2.6563473558764737e-07 1.964664532947362e-06 -3.2611686276431293e-06 2.030612427663441e-06 -3.122171871117272e-06 -4.523080071837248e-06 -2.3147603903228707e-06 -1.273934331452811e-05
PC.PC4 6.190595502152944e-06 3.012387004145665e-07 -7.477764954127276e-06 -7.452113281407086e-06 -6.070635085332967e-06 -1.3828607615882898e-06 -1.54846677291706e-07 6.206530777133309e-08 1.0942726895258966e-07 6.197026043791645e-06 8.358268190684306e-07 -3.864933546573352e-07 2.269903458449223e-07 -8.439102220975678e-08 2.013412273850308e-07 -7.796580563450152e-08 -2.347091483099356e-07 -6.54958408175348e-08 -2.2348788755318187e-08 -8.701631932422327e-08 -8.805963599877973e-08 1.7679533832734517e-07 -1.6819737003214575e-07 -8.893781401296059e-07 3.1541746791841567e-07 4.842699977092802e-07 -2.082527626529875e-06 1.414511623618556e-06 8.855538797198361e-06 -8.003927517849457e-06 -6.357721647594605e-06 -3.3831080091085807e-06 -8.313629153398923e-06
