 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gpm gmp gmm
intercept 0.002907004629748591 8.587997977400281e-05 0.0018514611722952846 0.0039806303318993975 0.003932942863951827 0.0010573956687617437 3.388285982561947e-06 1.1568439952503897e-05 -7.4135336212027815e-06 5.078904294295428e-06 -3.772525180928918e-06 -3.067979679496922e-06 1.862381632543548e-06 -8.122366036466486e-07 -2.4779970958676556e-06 -1.6821772219906845e-06 -4.208525747537575e-06 1.2976208308854737e-07 -7.4046745987918945e-06 2.341036906542535e-06 1.1918207036836767e-06 2.4606201765208377e-06 1.3869731532392963e-06 3.942443967766518e-06 2.946062025680437e-06 2.494423635976222e-06 7.892758757943996e-05 -0.00015391394592717165 -8.176357839688704e-05 5.707149459873163e-05 0.0001688801310366536 -1.1087354245282213e-05 0.000119086990277089
AGE 8.587997977400273e-05 4.304449330583547e-06 -3.539113729087364e-07 -2.5708385445102887e-06 3.0704270523137737e-07 1.0416999109521364e-06 3.718760004090819e-08 6.23413897505655e-07 -2.49621934683081e-07 1.667041212388058e-07 -5.4691642149008775e-08 -8.824068206395514e-08 -7.274953013737199e-08 -1.3054345050392839e-08 -1.1671903107261561e-07 6.227612902938614e-08 -7.68679931877222e-08 -2.223308849338278e-07 -2.615111520419941e-07 5.871274497161652e-08 1.4406825514929963e-07 -1.5312997227157678e-09 4.226958119152437e-08 3.172890372528781e-08 1.0788795981643876e-07 -2.0066328892384502e-08 1.493689956564929e-06 -8.82373536575684e-06 -5.589736577658153e-06 9.61979336990033e-06 5.730761058657016e-06 6.098938814165516e-06 4.677704453641586e-06
sex 0.001851461172295172 -3.539113729088666e-07 0.017911046595254103 0.020809020162288805 0.014205614031173753 0.0029508028513891343 -2.6415073719619768e-06 5.727147515122366e-06 -1.7623065136475057e-06 -3.8003380756179664e-06 9.922986672865677e-06 -8.629264946718993e-08 -1.1666654132792328e-07 4.2995567968420844e-06 2.111087750721078e-06 7.666666071240555e-07 -3.0815751541670237e-07 1.5567484442039535e-05 2.812777210571699e-08 7.5449005510222265e-06 -2.8268110716105647e-07 -2.797784924970318e-06 2.991770543322871e-06 -5.70769563738004e-07 4.331307482788261e-06 3.168315631778861e-06 0.0001513915414653705 -8.554038610865652e-05 1.2839331455616246e-05 -7.844168016894095e-07 -0.00012366357147364077 -0.0001810760580745 5.150041812769321e-06
age_sex 0.0039806303318993186 -2.570838544510384e-06 0.02080902016228945 0.037859498866764846 0.03311838641808739 0.008117562266414314 7.228322034759399e-07 5.722824200087045e-06 6.9168515288420364e-06 -2.165319303488444e-06 7.955853339784428e-06 5.7665267226260555e-06 -2.287324381999803e-06 5.592169164148135e-06 -1.4948880226551627e-06 6.250645864160847e-06 -7.1485443229165065e-06 2.1970755532733715e-05 -8.459086297765341e-07 5.559781360063736e-06 2.9342256081891847e-06 2.3216765258515692e-06 6.646307060287052e-06 -3.1885491647078782e-06 -7.061417219867752e-06 -1.0723211752222413e-05 0.0003070871908528419 -0.0001741971768392028 5.806160657660783e-05 -2.784368184872357e-05 4.598103461604457e-05 -0.00030449568979739705 -0.0001449340332716096
age2_sex 0.003932942863951812 3.070427052314701e-07 0.014205614031174572 0.033118386418087856 0.032865318747700725 0.00872675258786191 3.383680989171211e-07 3.940539266389384e-06 9.29128898815195e-06 -1.3262636165562396e-06 4.298642264478776e-06 6.789776760958674e-06 -2.112251637227821e-06 4.790834483501887e-06 -3.2109931812968973e-06 1.6722534276971312e-06 -4.360041071863488e-06 1.7958097203838762e-05 -7.375000336670006e-07 2.71659673043728e-06 4.630818286220214e-06 6.5322769208961365e-06 8.285990198990792e-06 -5.00800674668851e-06 -1.3183274971376627e-05 -1.5040763054067081e-05 0.00032903213858669414 -0.00022827395064784612 3.6875303710143916e-05 -2.2452246480916787e-05 0.0001962658112181526 -0.00023182716335851098 -0.00012292261517912482
age3_sex 0.001057395668761748 1.041699910952223e-06 0.0029508028513893676 0.008117562266414493 0.008726752587861963 0.0024454206210423788 -1.7883958122948708e-07 9.71603567875843e-07 2.6062416219899175e-06 -1.8624994221988916e-07 8.229740863540981e-07 1.8272395505753596e-06 -4.4969186560896395e-07 1.2420969195894901e-06 -1.0974058367534191e-06 -7.78255947986538e-07 -4.938155680192899e-07 4.229265084873867e-06 -3.2833014387616137e-07 4.4996930100950387e-07 1.3776457173087379e-06 2.513553107103507e-06 2.6870608851520187e-06 -1.7638386493108167e-06 -4.552427179286961e-06 -4.5107694443488825e-06 9.119363892864122e-05 -7.931598558906388e-05 7.3260807498411626e-06 -1.0880408694458387e-05 8.882386961194402e-05 -5.599190781857005e-05 -2.1534177910704477e-05
PC.PC1 3.3882859825625485e-06 3.71876000409069e-08 -2.64150737195805e-06 7.228322034821721e-07 3.383680989222716e-07 -1.788395812282649e-07 1.5981666011866167e-06 -3.37121569518792e-08 -9.84180320573307e-08 -5.937735360893594e-08 9.002970628536733e-08 -1.2037769471771639e-08 -1.1041175248300468e-07 4.826330835086384e-08 6.600326584854983e-08 -2.3737333614346577e-08 -2.7106237655519345e-08 1.775536722397878e-07 -2.0012503437058617e-07 -8.992009763971558e-08 1.2287227240386737e-07 -1.0733966706784499e-07 -2.0011600559033353e-08 1.488133981475496e-07 2.735363075150326e-07 -1.6232923179139428e-07 4.90477054115223e-08 -1.9100360018991017e-06 -2.847159061676051e-07 -1.8441590197683482e-06 5.105307481422685e-07 -5.754118871227128e-06 -1.7970533009785786e-06
PC.PC2 1.1568439952504049e-05 6.234138975056565e-07 5.727147515122995e-06 5.722824200088194e-06 3.9405392663904285e-06 9.71603567876108e-07 -3.371215695188025e-08 2.4784767258971424e-06 -1.5438095068763368e-09 -8.068029016368353e-09 1.214829849850248e-07 -5.959723630373273e-07 -1.2288004341185206e-07 -9.83670087145608e-09 9.423406040715826e-08 1.2969979662291227e-07 -5.123564562712728e-07 -3.48910621430119e-07 -4.7040925871371714e-08 -1.7441009408875704e-07 -1.4919932307573808e-07 6.392124781429435e-08 -1.9737197860154242e-08 -1.1298950649421386e-07 -1.7189315957834558e-07 2.6648344144487517e-08 1.326643741230788e-06 2.312488294275941e-07 -3.177213938846022e-06 -2.7265465992910793e-06 6.233773003622912e-06 1.6331525973823678e-06 2.148987543233513e-06
PC.PC3 -7.413533621202016e-06 -2.4962193468307136e-07 -1.7623065136456255e-06 6.9168515288462775e-06 9.291288988156127e-06 2.606241621991025e-06 -9.841803205733038e-08 -1.5438095068744318e-09 2.8523039598142954e-06 -1.8961121938223375e-08 2.1068595428117325e-07 2.632747877056562e-07 5.982718791071082e-08 -2.591491763110272e-08 5.565531254019785e-09 2.0067009472612358e-07 1.9542291718889e-07 -1.4258375991938515e-07 7.612914439715891e-08 8.862023322164156e-08 7.536818457914906e-08 -6.3872735970906e-08 1.1011840902069726e-07 -8.387716491009444e-10 -2.3586060621805836e-07 -9.989172246896255e-08 9.039773068673263e-07 -2.5813115469639463e-06 1.0675390656197504e-06 2.061794623971133e-07 -3.4351012765094593e-06 -1.0318153593295375e-06 -7.030326068855298e-06
PC.PC4 5.078904294295599e-06 1.667041212388094e-07 -3.8003380756177996e-06 -2.165319303487856e-06 -1.3262636165555937e-06 -1.8624994221971176e-07 -5.937735360893559e-08 -8.068029016367872e-09 -1.8961121938224477e-08 3.902568255558468e-06 5.259299577641883e-07 -2.0597929295335532e-07 9.656812507691628e-08 -1.2586262900515022e-07 1.4022275698548108e-07 -2.2540896072079913e-08 -1.1113810433139355e-07 2.3448265859418544e-09 -1.642931381097358e-08 -4.034960812673639e-08 -5.3764398906555526e-08 1.1690637186149581e-07 -8.60256522266039e-08 -5.013383929699062e-07 2.0764921343701113e-07 3.1292516814741807e-07 -1.22878102519271e-06 1.5909497695938858e-06 4.67319520277088e-06 -4.802704594703528e-06 -3.6569513218034855e-06 -2.0504428442749044e-06 -3.4456759549031354e-06
PC.PC5 -3.7725251809287815e-06 -5.4691642149003004e-08 9.92298667286581e-06 7.955853339784342e-06 4.298642264478563e-06 8.229740863540286e-07 9.002970628536652e-08 1.2148298498502568e-07 2.1068595428117272e-07 5.259299577641881e-07 4.228170374872968e-06 4.46345478474752e-08 2.3247180085546474e-07 -2.496215201516437e-07 4.4338525316998595e-08 1.8842441575196572e-07 3.719745568992354e-08 3.531005398173071e-07 2.969120559217758e-08 1.327617360851853e-07 6.560429638290853e-08 7.083837674125582e-08 -4.311119514950713e-08 -6.809279895059199e-09 2.8941092193745694e-07 -2.9817918603608376e-09 1.0359683415435632e-06 3.0795242173751903e-06 -9.211542480833978e-07 -2.0300583007714647e-06 -5.817478389021183e-06 2.457219741651364e-06 -6.642211301032752e-06
