 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband maternal gpm gmm
intercept 0.000762944781072911 2.8109701496371623e-05 -0.00012907788743179784 0.00016738036016069403 0.0003895407532703642 0.00014386653326646347 -8.352230608891446e-07 4.30569793665417e-06 -1.4839438928085354e-06 2.631556429584503e-06 -8.897603140621688e-07 -3.6562978895569914e-06 -1.5147497367045502e-06 5.87245160437704e-07 -4.161702940812639e-07 9.308213494045164e-08 -3.68256488013964e-06 -2.48122426437468e-07 -3.5114611131922587e-06 -1.173298063277984e-06 -1.9316110487161195e-06 5.054535639803689e-07 1.3289074172992955e-06 9.147162434949288e-07 -1.2901190165561069e-06 1.2433185915197765e-06 -6.58661458549362e-06 7.385102298608526e-06 4.804147979719579e-05 -2.486508712060404e-05
AGE 2.810970149637162e-05 1.891754207222588e-06 -1.4317092898429874e-06 -2.456518835372531e-06 -1.8613976011093896e-06 -2.1148860878585986e-07 -5.987868820574789e-08 2.61739345228244e-07 -1.0147380565752267e-07 1.3073881972058164e-07 3.971122340478189e-08 -7.980704916995531e-08 -1.0211047506177447e-07 1.402924286031071e-08 -5.478593387120687e-09 8.246025026285904e-08 -7.994678491604422e-08 -6.88759450598955e-08 -1.8640773630693243e-07 -2.3381036481332688e-09 -3.299162121247405e-08 -2.7618421291511e-08 9.72015692693511e-08 8.104003851981142e-08 -6.907977988845561e-08 -3.537497453172575e-08 -9.526596918566501e-08 2.590296739490533e-06 1.0416054167516554e-06 -5.516030659333407e-06
sex -0.0001290778874317615 -1.4317092898431338e-06 0.0029284934694398996 0.0007745488046644928 -0.0011848548395845813 -0.0005776521030799971 -3.17183235132988e-08 -1.1339489797857042e-08 -3.420817693071679e-07 7.365484849082315e-07 1.9520719623197453e-06 1.0190615910904426e-06 6.422999511828566e-07 -1.3529777209876716e-06 -1.5314319852498745e-06 1.7986671673342382e-06 1.9515406032959176e-06 5.280737903813999e-07 6.326165706987308e-07 3.7012886051272036e-07 -7.004258369157283e-07 -1.5522724894692651e-06 -1.1948620090353836e-07 -1.3704235655022229e-06 -8.087117790472434e-07 6.223756825658112e-07 3.640429656247066e-06 -2.5720947670958164e-05 2.29959899288148e-05 2.7643864765702835e-05
age_sex 0.00016738036016072756 -2.456518835372651e-06 0.0007745488046642288 0.002246696273700162 0.0018188862644072808 0.0003729112497119897 1.366848243186917e-06 1.814093458682274e-07 9.086253447521784e-08 1.0938816237263663e-06 -9.620921938799621e-08 6.754222417853093e-07 -1.2650241905671386e-06 2.1800996978506533e-06 -9.424751068540909e-07 7.485343334873497e-07 5.176155488319931e-07 2.1864763164269596e-07 6.173258629366393e-07 -6.321368111544151e-07 -8.515420600682948e-07 8.969724110558886e-07 -1.308426631986355e-06 -4.470792484105091e-06 -5.85359060870803e-07 -6.325587650341477e-07 2.3432733906050415e-06 7.141847807586089e-06 -1.4186207370998255e-05 1.1451356245445337e-05
age2_sex 0.0003895407532703636 -1.8613976011092672e-06 -0.0011848548395849358 0.001818886264406949 0.0037927365882889814 0.0013201464534777598 7.173900432877316e-07 -1.1071905881662482e-07 -3.7684963055253094e-07 3.998371883735503e-07 -1.1511022794228695e-06 -8.356062903754248e-07 -1.5711081925704228e-06 3.68522006898343e-06 -3.570695221500176e-07 -4.153324880928914e-06 1.6950508039659977e-06 3.5483058414691237e-07 -2.2683378908555473e-07 -6.204862403506767e-07 -3.008529726072264e-07 3.2283465433997106e-06 2.796336161844881e-07 -4.703820350110832e-06 -1.5894410997354307e-06 -5.560871682670656e-07 -1.4790244544370444e-06 1.167764697849597e-05 -1.9383997160585823e-05 8.03330475068166e-06
age3_sex 0.0001438665332664571 -2.114886087857773e-07 -0.0005776521030801064 0.00037291124971184335 0.001320146453477699 0.0005307337655093081 -2.2525692569552687e-08 -4.904178579823023e-09 -2.8019270004066777e-07 5.6665857719082205e-08 -3.8595782752778655e-07 -6.460079681987187e-07 -3.820938060211735e-07 1.1452842581466624e-06 -8.670462333245003e-08 -2.1974793080597108e-06 7.626250042467751e-07 -5.8303543198491226e-08 -3.207192254681779e-07 -1.5604265006028428e-07 -8.807007264069457e-08 1.290446621276199e-06 4.763297664244433e-07 -1.316114462224939e-06 -7.785405013603362e-07 -6.7170492538729e-08 -9.175623459856137e-07 3.3314099600372962e-06 -3.4892502640064482e-06 -3.622652725357377e-06
PC.PC1 -8.35223060889137e-07 -5.987868820575003e-08 -3.1718323513565446e-08 1.3668482431871066e-06 7.1739004328823e-07 -2.2525692569374035e-08 6.9422290243324e-07 9.786124569647697e-09 -1.8257162998883324e-08 -9.561347438009538e-08 5.2444681901837804e-08 6.680101768056949e-10 -7.225441439193402e-08 6.712973088380819e-08 5.032334091592281e-09 3.6846479215813984e-08 1.711325101506595e-08 6.695082488578248e-08 -4.492330311497168e-08 -4.9412441445160076e-08 2.0756297756823574e-08 -8.078127432963261e-08 -2.995227782402835e-09 1.069250032929287e-08 9.69120645002776e-08 -1.0645845286206652e-07 1.5279810847400523e-07 -2.1576235361017957e-07 -4.248413655719713e-07 1.7004696720213617e-06
PC.PC2 4.305697936654147e-06 2.6173934522824326e-07 -1.1339489797897456e-08 1.8140934586825376e-07 -1.1071905881649075e-07 -4.90417857976565e-09 9.786124569648674e-09 1.1498865250530068e-06 -8.502983194910204e-08 8.144183336731905e-08 5.7934124782179626e-08 -5.036424960007107e-07 -9.002153355348145e-08 -6.817069732493777e-08 -3.296329370301388e-08 -3.753494783216475e-08 -3.8675695861076643e-07 -1.668094026993003e-07 -3.6725570539117865e-08 -1.114873422150327e-07 -1.0512952157088877e-07 2.524883729358461e-08 -8.305021074107688e-08 -2.8450882087107684e-08 -1.5059106561435935e-07 5.391154476818408e-08 -1.0352770855793812e-06 -6.034858513556376e-08 -3.1942802801701296e-07 -1.428402395795508e-06
PC.PC3 -1.4839438928085026e-06 -1.014738056575226e-07 -3.4208176930716476e-07 9.086253447525945e-08 -3.7684963055249103e-07 -2.8019270004065824e-07 -1.8257162998883367e-08 -8.502983194910135e-08 1.3013560680391243e-06 4.556063294730764e-08 1.0145141540215243e-07 1.980710498201932e-07 9.77432272252266e-08 -1.822084834290037e-08 5.538404645015216e-09 6.680854149988576e-08 1.6281033245372143e-07 -8.996445122821806e-08 7.40128183705381e-09 8.760801131996456e-08 4.3154108176997155e-08 -2.7558327318154084e-08 5.556045667530729e-08 2.2771948922492985e-08 -3.394867368424027e-08 -2.6024823972651817e-08 1.351092411405308e-06 -1.4531714249322968e-06 4.072215100340887e-06 2.2372187392276162e-06
PC.PC4 2.6315564295846016e-06 1.3073881972058448e-07 7.365484849083085e-07 1.0938816237265092e-06 3.9983718837376443e-07 5.6665857719157955e-08 -9.561347438009511e-08 8.144183336731903e-08 4.556063294730664e-08 1.69378047313558e-06 1.7145984743703208e-07 -2.1120143019764872e-07 1.620637978383848e-07 8.120555394698397e-08 5.150103728494983e-08 -4.520833381138362e-10 -1.3583349674369283e-07 3.012731998863128e-08 -2.6324237224483627e-08 5.072100514662686e-08 -4.950897576606843e-09 9.017468212656439e-08 -5.5374022607702687e-08 -1.0930262725222854e-07 1.332296968779172e-07 1.2824598644621296e-07 1.2701507021064183e-06 -1.1794878309702451e-06 9.919797403435525e-07 -1.9886708794373096e-06
