 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gmp gpm gmm
intercept 0.0043064527572687274 0.00013238698111220224 0.002459534398933255 0.006844709787678304 0.007830753002039484 0.002377080488886627 4.10034782103571e-06 1.0448723221974123e-05 -4.464318625824043e-06 4.446711672442369e-06 -2.064963199086592e-06 -2.8623652108066398e-06 2.5037488065419648e-06 -1.1773364914702404e-06 -5.38111901040682e-06 -9.444169068505065e-07 -6.733968445226603e-06 -1.6840576444216335e-06 -1.1619958846561694e-05 5.290120944525372e-06 3.619323068891753e-06 2.894697149934777e-06 -9.412032187377607e-07 4.0609138651291464e-06 5.789001116412787e-06 3.012967918907387e-06 8.371768770221564e-06 0.00010058990991328184 0.00020372168285327728 -0.00010293540841999837 -0.00010624718169652862 3.450203789218605e-05 -0.00040664855390833084
AGE 0.00013238698111220256 7.275340267676425e-06 -8.771654064761847e-06 -2.7695069874545076e-05 -3.125058030486371e-05 -9.399351484653937e-06 7.169671170947593e-08 5.211709849207346e-07 -2.2018351535177312e-07 1.6194097444539575e-07 1.1929894790353394e-07 -1.7597501449624547e-08 -3.896640533104664e-08 -1.0097122322727704e-07 -2.845054771240343e-07 1.1680610757576159e-07 -1.7572309042035392e-07 -3.087289996252186e-07 -5.415005242769621e-07 2.9863549462535605e-07 2.787268189893991e-07 2.3175193569567406e-08 -5.318198275296681e-08 3.309582768748785e-08 1.3639430728918123e-07 -1.768141391741623e-07 9.20646217532728e-07 1.691621175947668e-06 1.9897761951163794e-05 -1.9154701982911013e-06 -1.2896027897937833e-06 -5.329489653110738e-06 -2.9248286620144223e-05
sex 0.002459534398933803 -8.771654064763885e-06 0.024513463297041422 0.028903430797392996 0.020385108022954464 0.004435530296322704 -6.52209166777958e-06 9.627215898355393e-06 -2.8476793226191205e-06 -6.617442444160886e-06 1.1576877471276072e-05 -2.6533561580555284e-06 4.4583838559819986e-07 8.671103840670567e-06 3.738789170935439e-06 4.942990737462573e-06 -1.5963581827376916e-06 1.3629247084953508e-05 -1.614698122516177e-06 1.0859153999924951e-05 -1.2306857195895448e-06 -9.34604191454879e-06 3.6996936288856984e-06 -2.227175786707845e-06 1.6666759865714044e-05 8.842376580752956e-06 1.2667547452112259e-05 0.0003288663450079195 0.00018127876411106267 -0.00012177304852420599 -0.0001778397254119233 -0.0002319824895247709 -0.00019432504288156255
age_sex 0.0068447097876785734 -2.769506987454615e-05 0.028903430797389523 0.06144390274494125 0.06096633674535995 0.01687137413459404 -1.8273903197102032e-06 8.024402520274337e-06 1.2578177180339662e-05 -4.568949916099212e-06 8.11771400234241e-06 9.616031431460166e-06 -3.991477370665895e-06 1.3290948283266432e-05 1.2683265290818608e-06 1.3613854904458931e-05 -6.696532771742459e-06 1.9195839644298844e-05 -1.9896125595845035e-06 3.2635727053602947e-06 5.535587571310462e-06 3.181602283055436e-06 5.0592449949060256e-06 -6.262515180646492e-06 9.308075071318697e-06 -5.333573383837503e-06 -5.453515121355117e-05 0.0008079925582070339 0.00041495229241391096 -0.0002947091753192255 -0.0006414380467069882 -0.0004233812601495965 -0.0005331007567787757
age2_sex 0.007830753002039411 -3.125058030486429e-05 0.020385108022949495 0.06096633674535715 0.07016848400537933 0.021219866802040938 -5.707602175872103e-07 3.918611276598673e-06 1.9566124857076306e-05 -2.980631797415447e-06 4.694605598181732e-06 1.6290011371078258e-05 -3.5269116903771655e-06 1.2142720922532993e-05 5.016279443364045e-07 6.945035058177849e-06 -5.572407877223797e-07 1.6722530948121505e-05 -1.3732772010731602e-06 -4.2845528189423345e-06 7.714375314569217e-06 1.595283567304736e-05 5.4290644342408595e-06 -5.615917035421489e-06 1.9611293949220617e-06 -8.998517277665713e-06 -2.8759395392640297e-05 0.0007906108151588829 0.0002693602966750853 -0.0001913607078572077 -0.0007821006332960841 -0.00025315078744561013 -0.0004876623472306136
age3_sex 0.002377080488886559 -9.39935148465412e-06 0.004435530296321075 0.016871374134592856 0.02121986680204057 0.006776022493158316 -2.1005528114728158e-07 7.377345414368422e-07 6.35095848571071e-06 -5.991867672842262e-07 1.1528539202088514e-06 5.589448367178752e-06 -5.995584180992295e-07 3.3701707522296536e-06 -8.484576832088294e-08 4.0404664048706963e-07 1.0040318578377813e-06 4.2676745836004045e-06 -3.4445377149073273e-07 -2.4891088959681495e-06 2.1702186316254355e-06 6.983703850169996e-06 1.6174851098287557e-06 -1.4539928641407603e-06 -3.23328120065292e-07 -2.407899788952545e-06 1.4405182409598606e-05 0.00018713937940430112 3.423557595185862e-05 -9.752794433644319e-06 -0.0002484598686063227 -2.4199526642507635e-05 -0.00013941482927382306
PC.PC1 4.100347821035905e-06 7.16967117094742e-08 -6.5220916677780075e-06 -1.82739031970816e-06 -5.707602175855318e-07 -2.1005528114685463e-07 1.9113382680119403e-06 -3.66250584548924e-08 -6.660793803164753e-08 -1.173101845816446e-07 8.484094857990722e-08 -4.607694645593386e-08 -1.356693733708056e-07 9.901932579878599e-08 6.978046073653143e-08 -3.316801316608827e-08 -1.4700805395007842e-08 1.822768464463175e-07 -1.9916499954197082e-07 -9.047139241564728e-08 1.5290817769157624e-07 -1.4199082386439507e-07 1.3414843783297441e-08 1.4982157603077189e-07 4.1532848334495057e-07 -2.3324591238855158e-07 1.4198718200710122e-07 -3.4188638426056293e-06 1.9213379581783965e-06 -1.3052838287394945e-06 7.389707055268473e-06 -3.859139573842806e-06 1.621390049612889e-06
PC.PC2 1.0448723221975443e-05 5.211709849207564e-07 9.62721589835656e-06 8.024402520279538e-06 3.91861127660496e-06 7.377345414387645e-07 -3.662505845489259e-08 3.0501510109404763e-06 -6.998408029348151e-08 7.565254720068301e-08 1.1560214082190209e-07 -9.40072550658643e-07 -1.8130696402820005e-07 -6.639160257285494e-08 1.2264737085018147e-07 7.029415902911087e-08 -7.721730036882056e-07 -3.927047773465589e-07 6.822698407231671e-08 -2.6497292896072987e-07 -1.6540213379228798e-07 6.123862913106636e-08 -3.890394131614094e-08 -2.231270695887882e-07 -3.1022165270248835e-07 5.884150613094562e-08 4.4243601407169105e-07 4.895047834911972e-07 -5.14934742728914e-06 2.0196463459133467e-06 -5.1074018938506265e-06 9.134989274211557e-07 -1.1616729243580394e-06
PC.PC3 -4.4643186258244924e-06 -2.201835153517824e-07 -2.8476793226200006e-06 1.2578177180338142e-05 1.9566124857074853e-05 6.3509584857102896e-06 -6.660793803164782e-08 -6.998408029348275e-08 3.6391809973877114e-06 1.1340246524293405e-08 3.702553051820904e-07 4.167253872488345e-07 6.204987773085434e-08 -3.551846472723236e-08 -7.332569233410443e-08 3.6465507092966683e-07 3.260976401553461e-07 -2.4848796861636625e-07 7.641757550605433e-08 1.1507762544512649e-07 2.5917481725250756e-08 -9.218138561282066e-08 1.6449910979539488e-07 -8.447713441686372e-08 -3.278550140025594e-07 -8.897535816833168e-08 1.4200458149817947e-06 -3.6091905089527443e-06 -4.876899498920891e-06 5.161514491097529e-06 9.361998488512546e-06 1.106449080417379e-05 9.377027123416201e-06
PC.PC4 4.446711672441902e-06 1.6194097444539345e-07 -6.617442444161304e-06 -4.568949916101601e-06 -2.9806317974189653e-06 -5.991867672854362e-07 -1.1731018458164433e-07 7.565254720068306e-08 1.1340246524294938e-08 4.69635719971209e-06 6.665801569024994e-07 -3.656648076510428e-07 2.019954143999705e-07 -1.0704453772224452e-07 1.1843595064727899e-07 5.6320716271614946e-08 -1.4877367944101266e-07 -1.5056066488090537e-08 1.6653308237633485e-08 -4.0014946169907185e-09 -1.0609742095609453e-07 1.804743040350396e-07 -1.2385821385415284e-07 -7.601359408632823e-07 2.4997435865742784e-07 3.78673523617599e-07 -1.0613249819342418e-06 -5.296718893676621e-07 4.788090162624537e-08 8.431160244675946e-07 9.913118456013485e-06 3.104712944383703e-06 -7.446918413955609e-06
