 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband
intercept 0.000251481637756018 1.9107975557270877e-06 -1.7665557697220176e-06 -8.955247115958826e-06 4.123484556809851e-06 5.4368634602730135e-06 3.8447660610869935e-07 1.5962963415245961e-06 -8.156715406420759e-07 6.718160349127638e-07 1.9360227272627905e-07 4.2505000403446225e-07 -1.4463411589595163e-07 2.2939532355132303e-07 -4.577230612080986e-08 2.2463894720883398e-07 7.617509433226518e-07 8.186003197600443e-08 -7.021677754944174e-07 -4.959259803107846e-08 -6.826437575511306e-07 4.108508679273834e-07 1.3726970947685037e-06 -2.2867874845322178e-09 8.948259997674688e-08 -7.920673414686325e-07 -7.842561118741969e-07
AGE 1.910797555727113e-06 6.215407203853846e-07 4.85759160325972e-07 5.331388293812118e-07 -6.538802757852279e-07 -4.4034291394523283e-07 -1.9322419867089017e-08 6.193395955528163e-08 -3.090896493673282e-08 2.9294727290029224e-08 7.022324610098358e-08 3.1941628123420214e-08 -5.012197667289432e-08 1.3674696393362958e-08 6.534220526779617e-09 4.4079976160407216e-08 5.817600629096863e-08 4.938405291255492e-09 -5.7271062421128625e-08 1.414771638673582e-08 4.896329991400382e-09 -1.5997943036706e-08 4.339433036240139e-11 -9.790625203227114e-09 1.5163051902508663e-08 -3.633640441423747e-08 -2.6602330225580454e-07
sex -1.7665557697220584e-06 4.857591603259816e-07 0.0009651535090440724 7.630277112963164e-05 -0.0002565722100359045 -6.168075197156337e-05 2.4573806442645535e-07 2.5811344802196683e-07 -1.9377096576368035e-07 1.1864759833384056e-07 1.4386932192265118e-06 -7.14611871404371e-07 -3.092526365356285e-07 3.215380285467537e-08 -3.040163313126208e-07 -2.2326482530173366e-07 4.456284344524971e-07 -5.457121112091708e-07 -2.5048094243818653e-07 3.2358121018242965e-07 -2.2165175629155133e-07 -7.457380644917422e-07 -1.2550607982259386e-07 -5.315900947029572e-07 -2.890367900494143e-07 5.466130467852274e-07 4.646962676892797e-06
age_sex -8.955247115958816e-06 5.331388293812174e-07 7.630277112962955e-05 0.0004888654756162524 -5.7996755817627064e-05 -0.0001750351461356305 3.694639997136731e-07 2.1751179255575484e-07 -4.8751328011593244e-08 3.681819134171159e-07 3.858052152986265e-08 1.7896540298945218e-07 -2.7783594129174705e-07 1.061153556547256e-07 -5.764700348655231e-09 9.136433763986941e-07 -6.685143408917484e-07 -1.4592288108413898e-07 5.816663219947054e-07 7.682795459869678e-08 -2.3449655167653419e-07 -7.224550299377567e-08 -6.115069009158715e-07 -4.206060098084626e-07 1.3119873528942454e-07 1.6512026331112924e-07 3.966538752324535e-06
age2_sex 4.123484556809869e-06 -6.538802757852303e-07 -0.0002565722100359026 -5.799675581762774e-05 0.00015036398193908355 5.163633678001159e-05 -4.325548153653497e-09 -9.226661144329762e-08 1.9267114506574107e-07 -8.288031387887769e-08 -4.709167878378433e-07 1.5580603008332955e-07 1.3779843039625046e-07 -8.267445509657557e-08 1.1678581103605379e-07 3.876497921440947e-08 9.192340168285096e-08 1.5991363450107998e-07 1.6918427809178713e-07 -2.956989883571947e-07 1.924822796950345e-08 -4.596857845328767e-08 2.236813311305309e-07 1.4356578973690911e-07 7.935762820291836e-08 5.263630187106688e-09 -8.512809197156635e-07
age3_sex 5.436863460273032e-06 -4.403429139452362e-07 -6.168075197156209e-05 -0.0001750351461356309 5.163633678001131e-05 9.007823778519159e-05 -7.456861271261265e-08 -4.804494218976427e-08 1.4030178846382974e-07 -1.1120571211022614e-07 -1.2548261085453303e-07 -4.215355916888193e-08 1.0677455283993812e-07 -6.104780195065823e-09 -4.370307335857843e-08 -2.9377111029642465e-07 2.825943000703475e-07 -1.3723984360128233e-08 -2.5909608737990066e-07 -1.3514048972010906e-07 5.506948096185012e-08 -5.489609156124697e-08 6.538159435119427e-08 8.440163839012617e-08 -8.681484154219178e-08 4.817429769846522e-08 -1.6242454863334554e-06
PC.PC1 3.8447660610869803e-07 -1.9322419867089024e-08 2.457380644264551e-07 3.694639997136747e-07 -4.325548153653765e-09 -7.456861271261314e-08 4.765121178875901e-07 -2.1744031606982433e-08 6.3207924420377e-09 -8.746391007780831e-09 -3.7841112236664497e-08 6.717478372489722e-09 -8.23526218454458e-09 2.34978652648731e-08 4.006915409159085e-08 -1.168397281299558e-08 -1.2190060976720881e-08 1.4389298637997296e-08 -6.777387374271959e-09 -2.378923463606072e-08 3.28840005833842e-08 7.429907593069416e-09 1.2088374957866569e-08 -1.8784623961144734e-08 -9.708837751029765e-09 -6.266039711543558e-09 1.8535278506236565e-07
PC.PC2 1.5962963415245692e-06 6.19339595552815e-08 2.5811344802196345e-07 2.175117925557545e-07 -9.226661144329708e-08 -4.804494218976402e-08 -2.1744031606982317e-08 9.117211906155198e-07 -4.3526264547795596e-08 4.8893392534902344e-08 1.6908948441939794e-08 -1.3208649964232502e-08 -3.1923309674477353e-09 -2.581007229088762e-08 1.7020931871056474e-08 1.71338161921324e-08 2.601053789343343e-09 -1.4482791390597806e-08 -1.239072688246161e-08 -9.6366472888285e-09 -2.3550582691002596e-08 4.768748158366242e-08 8.233464607389053e-09 1.0645343823967847e-08 6.624304257752489e-09 1.0679934403752036e-08 -5.582511015747921e-07
PC.PC3 -8.156715406420497e-07 -3.090896493673267e-08 -1.9377096576367744e-07 -4.875132801159358e-08 1.9267114506574142e-07 1.4030178846383006e-07 6.320792442037932e-09 -4.35262645477948e-08 1.0371516766332084e-06 1.08155281990371e-08 5.532209073042734e-08 8.034486181450859e-09 1.8339088523143494e-08 -4.87209370846672e-08 3.403562370610794e-09 4.2914897351946115e-08 -8.379019880344494e-09 -1.3828288401788711e-08 -5.148232570299811e-09 3.2888787721689646e-08 1.9700043927919146e-08 -4.479745248456332e-08 -6.494062292442511e-09 5.958038684709851e-08 2.0731006732769828e-08 8.828608381221194e-09 1.2963763044571873e-06
PC.PC4 6.718160349127654e-07 2.9294727290029197e-08 1.1864759833383782e-07 3.681819134171132e-07 -8.288031387887647e-08 -1.1120571211022475e-07 -8.746391007781306e-09 4.8893392534902086e-08 1.0815528199036438e-08 1.311242959173502e-06 9.771640210230197e-08 -4.320377691602725e-08 1.1662270539371595e-07 4.7845270623107085e-08 8.662585305637583e-09 -2.307642626773891e-08 -1.4323568663444203e-08 4.647830807316999e-08 -1.9588524093441275e-08 4.198561224522461e-08 5.597117656325809e-09 3.7097039371236396e-08 -9.669273584664538e-09 9.423327139815144e-09 -8.046793052812676e-11 -4.01093053860254e-08 -4.270719395611913e-08
