 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband
intercept 0.00028948983046260307 2.3077725533244937e-06 -1.7167866721486168e-06 -7.077339603766406e-06 3.2104287030908013e-06 4.383682783385668e-06 -8.051769317341472e-09 2.1005139136182375e-06 -1.8195542930867133e-06 7.460371708410887e-07 1.3152226652889183e-08 5.186796321038297e-07 3.1147621692665915e-08 2.1326023275831907e-07 2.9653050560031173e-08 3.6803634804101047e-07 7.642577053973269e-07 7.056532004984569e-08 -9.828699020926002e-07 -1.7535785276103318e-07 -5.908139361098584e-07 3.1318566779322393e-07 1.5630464328249855e-06 1.8213955455048455e-07 1.7796628682205717e-07 -9.680538982779043e-07 1.3392745589570238e-06
AGE 2.3077725533245335e-06 6.513371729228293e-07 5.24837839105432e-07 5.50468651228405e-07 -6.537846230637829e-07 -4.663790505757173e-07 -1.8198424247073235e-08 6.089005839430822e-08 -4.8087452213452095e-08 2.5251529230462057e-08 6.236791709710449e-08 2.705498007699223e-08 -5.3567221686977496e-08 8.206878214823556e-09 1.956746489116869e-08 4.3710232846391406e-08 6.517728359275009e-08 -3.0187011700421498e-09 -6.327735079060863e-08 1.4707021369844915e-08 1.367928717153668e-09 -8.833041255264534e-09 1.325157751767482e-08 -9.126358481369128e-10 1.3677882143040327e-08 -3.675150883216423e-08 -1.261309920302951e-07
sex -1.71678667214873e-06 5.248378391054205e-07 0.0009554979102198955 8.471473686599516e-05 -0.0002558099736198689 -6.81888899464321e-05 2.5226430397211695e-07 2.9043216167209994e-07 -2.293344124155571e-07 1.3248825715250423e-07 9.876658058980593e-07 -6.565821430716133e-07 -3.2539045376973784e-07 1.1507274183453704e-07 -5.144604024929078e-07 -6.482734887928287e-08 3.065980512947102e-07 -4.985431966305154e-07 -1.3826776076727882e-07 4.178741177882352e-07 -2.1341173227031088e-07 -6.364191456912504e-07 -6.093598882895142e-08 -2.6855053039083977e-07 -3.911510689244629e-07 3.9916612222431164e-07 2.1596142312982484e-06
age_sex -7.077339603766377e-06 5.504686512283844e-07 8.471473686599172e-05 0.0004544366340457568 -6.583551235656159e-05 -0.00015708601002844706 4.1602011852065124e-07 6.886428623916352e-08 1.4381473802429317e-07 2.8343322545127225e-07 -1.1282329641638102e-07 4.9654954370279416e-08 -4.5279320364769533e-07 1.3563596408057871e-09 5.862029109513946e-08 1.0688891184421372e-06 -6.569899376656422e-07 -2.0065587135925672e-07 4.362455582618623e-07 -1.8829805492198833e-08 -4.4118377543397645e-07 -2.090642424995344e-07 -9.500464301895754e-07 4.900179374747101e-08 1.7386826798860423e-07 3.7490335004764473e-07 1.4018653231801903e-06
age2_sex 3.210428703090851e-06 -6.537846230637808e-07 -0.0002558099736198697 -6.583551235656417e-05 0.0001504144520323524 5.5791399918493945e-05 -6.45349600335234e-08 -9.144195763359714e-08 1.8487113371013114e-07 -6.937111222119743e-08 -1.6852455161039917e-07 1.1745872108499827e-07 1.8470114646067508e-07 -3.7253834720919235e-08 2.428573697137368e-07 -1.1375835387007398e-07 1.302420413479123e-07 2.483018421318437e-07 6.564205536169869e-08 -2.93217863946124e-07 9.326843015035335e-08 -1.2866869686245978e-07 1.2825579291505427e-07 -8.320111352872626e-08 5.0713475876457245e-08 -1.5981354020238413e-08 -9.98377767097811e-08
age3_sex 4.383682783385689e-06 -4.663790505757108e-07 -6.818888994643117e-05 -0.00015708601002844852 5.5791399918493166e-05 7.995286980003551e-05 -1.107694741643301e-07 4.961808904566777e-08 4.2151550797596843e-08 -3.184486635876789e-08 4.265516251550385e-09 -3.9541015206110964e-10 1.6735850531348251e-07 8.07450709014103e-09 -3.461209787462179e-08 -3.531575071634847e-07 2.7610749919606116e-07 9.825957989589119e-08 -1.8948850360453002e-07 -9.929691958091476e-08 1.293483609822625e-07 7.609428445162986e-09 2.5905444126099314e-07 -1.6187247523099442e-07 -1.1368425061802465e-07 -5.7852036929738256e-08 -8.090417593183494e-07
PC.PC1 -8.051769317344799e-09 -1.81984242470733e-08 2.522643039721151e-07 4.1602011852064854e-07 -6.453496003352133e-08 -1.1076947416432809e-07 5.442047737292805e-07 -2.2525812705451234e-08 -3.345630065274332e-08 -2.0483888441740408e-08 -4.024456559023562e-08 9.259916134487851e-09 -1.6751775658980896e-09 2.7281935517696467e-08 5.117804566191362e-08 -9.514805674260568e-09 -1.939680070503868e-08 1.5908693173856035e-08 -3.4021328998158384e-09 -3.0246374580748306e-08 4.102537744826162e-08 5.5776627503019304e-09 1.0633044426329077e-08 -1.3239109648161405e-08 -1.0503384534226004e-08 -4.306243349058447e-09 2.2960831728017135e-07
PC.PC2 2.1005139136182714e-06 6.089005839430863e-08 2.904321616720969e-07 6.886428623916111e-08 -9.144195763359565e-08 4.961808904566914e-08 -2.2525812705451617e-08 1.0925410594682024e-06 -7.192203610536895e-08 7.131677137400518e-08 1.9623069083293956e-08 -9.749608887141728e-09 -1.0902299136172224e-09 -3.7477265288860444e-08 1.792986817296356e-08 1.2688347395919557e-08 -1.4208682496252114e-08 -2.0304177189495582e-08 -2.3192433025904077e-08 -1.976535664355796e-08 -2.6493702541823547e-08 4.830471717648509e-08 1.0754995642050952e-08 6.747173300503709e-09 5.343907928057259e-09 1.0699119234978026e-08 -5.711838628103054e-07
PC.PC3 -1.819554293086677e-06 -4.808745221345175e-08 -2.293344124155615e-07 1.4381473802428745e-07 1.848711337101329e-07 4.215155079759955e-08 -3.3456300652742656e-08 -7.192203610536915e-08 1.1061309294836604e-06 1.1286610872317061e-08 7.129783584482636e-08 4.849646471382838e-09 3.771009092178692e-08 -6.402205159657379e-08 1.0650155449253384e-08 3.1410219537424354e-08 -5.819188972217129e-09 -3.235265954994183e-08 1.6658323435483024e-09 3.8135558392894866e-08 3.777002197535885e-08 -5.347948664307402e-08 -3.5701807625825127e-09 5.4654781814607615e-08 2.0446784808483497e-08 -4.060199590625989e-09 1.410419165205754e-06
PC.PC4 7.460371708410995e-07 2.5251529230462377e-08 1.324882571525044e-07 2.834332254512771e-07 -6.93711122211978e-08 -3.184486635876929e-08 -2.0483888441739647e-08 7.131677137400568e-08 1.12866108723161e-08 1.509004628631988e-06 1.141420267364314e-07 -4.9458354474595286e-08 1.2535430273971311e-07 6.695074801402418e-08 1.779380923536521e-08 -2.6265203084354786e-08 -2.837552974015659e-08 6.844954530310304e-08 -2.243132064509627e-08 5.73724688736286e-08 3.863400569733554e-09 4.423077200522216e-08 -6.311656998552733e-09 -4.779672481694655e-09 -8.613013133016168e-09 -4.7737775712090194e-08 3.787503443692178e-08
