 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gmp gpm gmm
intercept 0.005910066780451394 0.00018757168587514675 0.002951614738883354 0.007041106013875998 0.007385797314128625 0.0020858449977630956 5.278626512720667e-06 2.0452088152686343e-05 -1.1430314784696042e-05 8.275752604152767e-06 -3.5651283434715724e-06 -1.0590972372384297e-05 4.047671360513173e-06 -1.5616486778567745e-06 -4.603567960142149e-06 -3.286084166502047e-06 -7.962707606469678e-06 -4.265537788059371e-06 -1.6194367977049027e-05 8.330573758734422e-06 2.9133467041142683e-06 3.027541423883578e-06 -1.7987891810852193e-07 5.052150106127021e-06 9.169126442930333e-06 7.5135413490854335e-06 -2.2976492091074406e-05 5.799553994295897e-05 0.00019064026741673454 4.775113630429197e-05 -0.0001590734388777247 7.956495446023575e-05 -0.00036338756325341397
AGE 0.00018757168587514627 9.885916163182835e-06 -1.4448832974293533e-05 -3.8657865538260584e-05 -3.927394514792931e-05 -1.0849190525002092e-05 6.433174679825281e-08 1.0980491815009333e-06 -4.343068213573095e-07 4.442125202483461e-07 9.039381261423137e-08 -2.133912832484377e-07 -1.02306644743521e-07 -3.3318183142022864e-08 -2.0528754563236176e-07 1.9728320755428665e-07 1.5210192643425798e-08 -4.7053861101567675e-07 -7.50498282110234e-07 3.8614359026982435e-07 2.597558811102198e-07 4.8849557801617845e-08 7.313796565248542e-08 3.7779732929433515e-08 8.738700870080276e-08 -1.801948127696899e-07 -1.4865196925510922e-07 -4.060987096949843e-06 2.4633949172363638e-05 9.676951422912773e-06 2.407364191787421e-07 -7.671916137652358e-06 -3.291420709148092e-05
sex 0.0029516147388825844 -1.4448832974289018e-05 0.02927163113441535 0.03530499736077889 0.025152332643632275 0.005476341923772127 -5.7024493522026265e-06 9.861567769541388e-06 -1.8901694709300726e-06 -8.996326698728402e-06 1.659195377404831e-05 -2.828888055800446e-06 1.8721158261510613e-07 1.4735183836310085e-05 2.8230557941553497e-06 3.362250099296115e-06 -7.904610361352288e-07 1.4749780383065937e-05 -1.4327619769865156e-06 1.3621003342506358e-05 -1.9003063678103058e-06 -9.380540338398663e-06 4.378093007803149e-06 -2.7764263316379057e-06 2.0135795845034916e-05 8.794212420018111e-06 7.291740974059e-05 0.00037462011576456687 0.00018442559682317332 -9.785289958007043e-05 -0.00028037635717173955 -0.00023939078787452771 -0.00023749832879507523
age_sex 0.007041106013875469 -3.8657865538257046e-05 0.035304997360783553 0.0687323700434494 0.06370758292564092 0.01652865113044345 6.750204628719108e-07 9.97418903886304e-06 1.1786169540180748e-05 -7.779776383710845e-06 1.0932923394180561e-05 1.0074205710749942e-06 -6.08611484490991e-06 1.3863143872341091e-05 -2.7825808179954962e-06 9.851333597196976e-06 -1.2610468832582236e-05 2.07879531376136e-05 -2.6628274885409147e-06 8.492126156924787e-06 6.13465262213873e-06 -1.0839845627935085e-06 8.591767226402111e-06 -4.6525152333820225e-06 1.764466951222148e-05 -3.7534373028604105e-06 -4.4740214275706345e-05 0.0009519443505459782 0.00034541120129019524 -0.00016069215835316067 -0.0009873113690735086 -0.0002697799781234053 -0.000555690011245756
age2_sex 0.007385797314128657 -3.927394514792912e-05 0.025152332643639225 0.063707582925646 0.06710768061113612 0.018854863769755724 1.4451639454986349e-06 7.028105146304793e-06 1.6563536861102744e-05 -5.176052696473073e-06 4.4123924351442845e-06 3.6494123029506307e-06 -7.014946587239383e-06 8.0630672604403e-06 -7.030182855973047e-06 -1.1492120239581394e-06 -7.67770488009399e-06 1.94756417927289e-05 -4.256672303553873e-06 1.1860404283916912e-06 1.0096656592677697e-05 8.034010682856839e-06 1.0380196863929703e-05 -3.975935130840061e-06 9.482261942684684e-06 -5.951474892949469e-06 -8.48007520255031e-05 0.0010281683621432111 0.0001474618389087727 -4.373509435125868e-05 -0.0012166986292076719 1.6015776688971234e-05 -0.00046668781071607107
age3_sex 0.0020858449977631975 -1.084919052500266e-05 0.00547634192377445 0.016528651130445715 0.018854863769756595 0.005581656061125994 1.6372588516166876e-07 2.070308001327246e-06 4.981552877125548e-06 -9.981900221451637e-07 3.288411203699201e-07 1.1675954331644638e-06 -1.97267419681624e-06 1.4803992025820435e-06 -2.8646403409999426e-06 -3.088107465920075e-06 -9.491610848348351e-07 5.321135600269328e-06 -1.7009439281358097e-06 -6.298655328833245e-07 3.217765730440165e-06 3.840821268073147e-06 3.110756459954917e-06 -1.1214628768508196e-06 1.4964715380691254e-06 -1.2090357158820275e-06 -1.892599751994391e-05 0.0002771335324708212 -6.548738438578054e-06 3.55349012580723e-05 -0.0003891758071616183 7.584872842687308e-05 -0.0001256150123812033
PC.PC1 5.27862651272109e-06 6.433174679825203e-08 -5.702449352199722e-06 6.75020462876164e-07 1.4451639455022987e-06 1.6372588516260626e-07 2.9122882761757706e-06 -2.4092884317989525e-08 -1.8384265598986973e-07 -1.936974696859276e-07 9.34686752719492e-08 -1.4292238508533222e-07 -1.803986789389797e-07 1.4298900869687363e-07 6.548886060422888e-08 -7.701286544839005e-09 7.973972601515878e-09 2.218420675152269e-07 -3.2484685167377216e-07 -1.021279056113709e-07 2.617369747797567e-07 -1.9572395699781073e-07 9.930551389585458e-09 1.7436671729579944e-07 6.333017875409394e-07 -3.508428234848521e-07 -1.0046063967441225e-07 -4.738885030126181e-06 3.2859824833869145e-06 -3.5451350894318566e-06 1.3758701742377451e-05 -6.246232649684902e-06 1.514382369410004e-06
PC.PC2 2.0452088152685462e-05 1.098049181500913e-06 9.861567769539987e-06 9.974189038860813e-06 7.028105146302488e-06 2.070308001326566e-06 -2.4092884317989564e-08 4.550768194102469e-06 -1.1882115994563891e-07 1.3472131435616156e-07 2.09669931937608e-07 -1.4362764668938172e-06 -2.3499549336302292e-07 -6.527089416315043e-08 6.432992082226759e-08 8.231446057163594e-08 -1.2827750760921282e-06 -5.329291221109168e-07 1.1988361220460397e-07 -3.1114555781667715e-07 -1.9856579318182176e-07 7.669792661191959e-08 -3.465962041694301e-07 -2.41553622518007e-07 -4.950756496741298e-07 1.1001934876865371e-07 -5.075757198886639e-07 1.9696955348666973e-06 -3.397997791051352e-06 -4.5901379874045587e-07 -7.232275877351503e-06 -1.92941175962811e-06 -5.666440655387169e-06
PC.PC3 -1.1430314784695633e-05 -4.3430682135731787e-07 -1.890169470927068e-06 1.1786169540186103e-05 1.6563536861107355e-05 4.9815528771266695e-06 -1.8384265598987116e-07 -1.1882115994563924e-07 5.481806244855988e-06 8.305871808067953e-08 5.262503711618757e-07 6.89583257933303e-07 1.0313842484679419e-07 -1.0359515655240787e-07 -1.2938694902269322e-07 5.87913165600315e-07 5.315588455438952e-07 -4.14963348332922e-07 1.6796485362969417e-07 1.1696395895402535e-07 3.711521321827729e-08 -1.6303862751361926e-07 3.035672755312373e-07 -4.027745353081988e-08 -5.276093292644128e-07 -2.0393108904719123e-07 1.8743486358238631e-06 -6.790695744429837e-06 -1.1377557154398992e-05 1.4494124667094734e-05 1.1915615591734155e-05 2.2478260601310172e-05 1.3594205286875017e-05
PC.PC4 8.27575260415282e-06 4.44212520248339e-07 -8.99632669872774e-06 -7.779776383709063e-06 -5.176052696470996e-06 -9.98190022144534e-07 -1.936974696859269e-07 1.3472131435615976e-07 8.305871808067957e-08 7.404737095026966e-06 9.854207235922192e-07 -5.161563591533722e-07 2.7885594027747464e-07 -9.973332722325248e-08 1.9801264337427171e-07 6.082668933394931e-08 -2.5155200805435075e-07 -1.1517435179662384e-07 3.1513811892128164e-08 -5.4658432139076984e-08 -1.813523694912447e-07 2.429846191205229e-07 -2.0100083149940987e-07 -1.1190136060887894e-06 3.7833284860494366e-07 5.510995453148038e-07 -1.2496316979141726e-06 4.5220712767106763e-07 1.08596409547485e-06 -6.849303551630996e-07 1.4474801719043277e-05 8.287277134063694e-07 -9.970351692226495e-06
