 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal
intercept 0.0016117022665450337 4.853450629707256e-07 1.0870200531251419e-05 -2.6414296912972387e-05 3.7388090337985743e-06 1.515317951841596e-05 2.5223163804454635e-05 -4.39375912115066e-06 0.00013295788081310784 1.63658713575275e-05 -1.254744079903658e-05 6.261531548665434e-06 -1.5835038453423114e-05 5.333036968024217e-06 -3.6228926237518507e-06 -1.0962681322227322e-06 1.7519295203057017e-06 2.630949638496909e-06 5.496140641383099e-07 -1.537568488940429e-07 -1.818362911642979e-05 2.703592048959248e-07 3.978318420470008e-08 -2.3452095680072713e-06 -1.561760796652563e-06 3.6602353398010277e-06 1.8446643802549627e-06 2.1995488079275115e-05 3.113121206940433e-05
AGE 4.853450629707575e-07 1.4810812090903969e-06 2.027076469449468e-07 1.7899719348010243e-06 -1.18967067736983e-06 -9.894874585881613e-07 -1.0103766658136571e-07 3.079564489296137e-08 -5.209157029045711e-08 7.259503315758768e-08 9.74821393692521e-08 5.3449805543973035e-08 -5.2338963645646385e-08 3.1118625403900016e-08 7.71380827903723e-08 7.530523628612588e-08 7.588292979891712e-08 -2.73703063699378e-08 -8.67578092506577e-08 -2.2893089789031354e-08 3.536240865532034e-08 2.1824240020330423e-08 1.082873374504327e-08 -1.5617590880842088e-08 5.879469699995395e-08 -8.597500728113304e-08 2.433558458400915e-07 -5.60755352624829e-07 -1.4972208159024599e-06
sex 1.087020053125157e-05 2.0270764694494787e-07 0.001638923347011424 -0.00018387704241522684 -0.0007321217876553884 0.00027425301017470056 1.5141427846773022e-06 8.020102420971789e-08 7.627328741081303e-07 4.0906831902189256e-07 1.940098388300918e-06 -6.433221623306953e-07 -1.3356403067425733e-06 3.3269489847006414e-07 -1.4427927177766338e-06 9.174190266688433e-07 2.5270788151786857e-07 -7.283617216306636e-07 -1.075547713315094e-06 5.78047479733028e-08 -5.917860371782307e-07 -1.6118332315389206e-06 3.6333320983776e-07 -1.2529489491191779e-06 3.191862477210658e-07 1.1976305372918506e-07 8.728190158119016e-06 1.761843376177206e-05 -4.345991434374325e-06
age_sex -2.6414296912972383e-05 1.789971934801023e-06 -0.00018387704241522708 0.0009622932193078536 0.00025451459871411513 -0.0005271562566825022 3.1465671530808466e-07 4.037942962782069e-07 7.69314169310555e-08 7.566468537480815e-07 -4.916126597790971e-07 -1.354576736960013e-07 1.4619677327468967e-08 -1.5179695133128213e-07 -2.839763611303984e-07 5.529161992910291e-07 -7.002272376879595e-07 1.5716016349573442e-07 1.0865834369407014e-06 1.328551119107406e-06 -2.911676122864463e-06 -8.875582491100385e-07 -9.47300016701992e-07 -7.587080175866864e-08 1.3198408414295675e-07 1.0504892857550485e-06 7.166626976513087e-06 -1.920156333537438e-05 -8.549552227392597e-06
age2_sex 3.7388090337984477e-06 -1.1896706773698335e-06 -0.0007321217876553897 0.0002545145987141155 0.0006387583286921189 -0.00032688599541955116 -4.1592509552006355e-07 3.692355622718907e-07 1.109417129867449e-06 -2.2783261537662992e-07 -1.014502299384629e-06 1.0636893698386527e-07 1.281972135188766e-06 -1.8393083848335554e-07 3.411466802907654e-07 -1.148086522114318e-06 8.112221787090084e-07 5.728314514381373e-07 6.868853929851205e-07 9.8819354120156e-07 -1.1390551502167728e-06 -1.4233224082342143e-07 -3.02721727388463e-07 7.974955632462004e-07 -5.682884264521197e-07 6.429672167491741e-07 -1.2571337018860231e-05 -5.841608071059442e-06 1.3289843996694332e-05
age3_sex 1.515317951841593e-05 -9.89487458588158e-07 0.00027425301017470056 -0.0005271562566825014 -0.0003268859954195505 0.0004336305630562141 1.9006944146264997e-07 -3.4198261660449534e-07 -1.9630624275072288e-07 -1.4622986704341962e-07 3.605787833683126e-07 5.428794501613047e-08 -5.969170521437346e-07 5.595129141183616e-08 1.0097150095931394e-07 3.8363542061148777e-07 -1.3429623370737534e-07 -2.3991203430382003e-07 -7.582236677151888e-07 -1.4046191969023887e-06 1.7922196028007326e-06 3.220436043018523e-07 3.5126955741242196e-07 -5.423753876714969e-07 2.2100200820131984e-07 -5.399091565955767e-07 5.049220362469721e-06 8.473862922651244e-06 -3.57511291768021e-06
PC.PC1 2.5223163804453853e-05 -1.010376665813676e-07 1.5141427846772954e-06 3.146567153080913e-07 -4.1592509552006366e-07 1.9006944146264663e-07 5.552937497509376e-06 1.2349298838731911e-06 5.955940907117028e-06 -6.805366670133454e-07 1.7164790851239021e-06 4.46015392156565e-08 -1.967084760287428e-06 9.013079842379485e-07 -9.686613965551586e-07 3.9215157230085934e-07 9.797193362272583e-07 -3.89801262169318e-08 -2.3845324792022887e-07 -7.076662594525727e-07 3.313413411850603e-07 8.360673352027466e-08 -3.7507930699486986e-08 -1.0122643293199495e-07 -4.019840234189502e-07 3.318071528699827e-07 4.110312298423666e-07 -1.8729218320297697e-06 -4.758067254520908e-07
PC.PC2 -4.393759121150987e-06 3.0795644892961e-08 8.020102420971284e-08 4.037942962782107e-07 3.692355622718899e-07 -3.419826166044982e-07 1.2349298838731776e-06 1.6304586688070137e-06 2.404357805160845e-07 -2.6643340959995345e-07 6.315364352389384e-07 -4.7669890671871034e-08 -4.076148708011466e-07 1.7132252181514212e-07 -2.987150514988937e-07 1.691997760242104e-07 3.3098329429624506e-07 -6.118555850433945e-08 -1.478681427682791e-07 -1.5836319164719125e-07 1.2303748160516106e-07 9.814634491942658e-08 -3.2556034764814736e-08 -6.727573983647255e-09 -1.1853379119220859e-07 1.273389785558572e-07 -6.019663915538074e-07 -1.225018917237621e-06 -1.293860685081304e-06
PC.PC3 0.0001329578808131074 -5.20915702904611e-08 7.627328741081208e-07 7.693141693105902e-08 1.1094171298674554e-06 -1.9630624275072336e-07 5.9559409071171085e-06 2.4043578051612655e-07 1.7436456802070586e-05 9.540733024843138e-07 7.116779216515088e-08 5.291410783484286e-07 -2.701479193689297e-06 1.0110607755217948e-06 -1.1544958093151486e-06 2.3257784485922702e-07 9.11465168820389e-07 2.202140363177681e-07 4.580029558808145e-08 -3.2176048191927616e-07 -1.5037809193484997e-06 1.1578221978178204e-07 -1.2997272909436491e-07 -2.6783256219176705e-07 -5.046420018406557e-07 9.306639242374459e-07 1.5564747257702862e-06 2.0014474440110175e-06 1.9600504455813062e-06
PC.PC4 1.6365871357527738e-05 7.259503315758715e-08 4.090683190218963e-07 7.566468537480785e-07 -2.2783261537662982e-07 -1.462298670434174e-07 -6.80536667013328e-07 -2.664334095999503e-07 9.54073302484349e-07 1.9611983811898454e-06 -7.751178863137527e-07 3.6381916176834805e-08 4.245025682122468e-07 -1.1105150225316026e-07 8.157637793363493e-08 -1.582318202505682e-07 -1.4560497161939103e-07 2.2487038295913989e-07 1.0328277357688432e-07 4.339840463331814e-07 -7.076871572414348e-07 7.338632597772293e-08 -1.3000604669815883e-08 -9.64444469747198e-08 -1.4605341074466816e-08 1.9930801752854796e-07 5.31226329561502e-07 1.1074104035090172e-06 -1.6627439698263176e-06
