 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband maternal gpm gmm
intercept 0.001157590511279041 4.0675152134482664e-05 -0.0002483883201159549 0.00020950307268565374 0.0006447421468309281 0.00026808679517277995 -6.290856350830014e-07 6.0310977248290356e-06 -1.8878889982737164e-06 3.7140658883516716e-06 -9.440190496356755e-07 -4.193893647123439e-06 -2.044397291282729e-06 8.553292030431371e-07 -1.1439587407283687e-06 3.7554483288607883e-07 -4.977464243222059e-06 -3.563469650177081e-07 -6.028355782116573e-06 -1.7707791305008573e-06 -2.8575486578354938e-06 1.405160459568726e-06 1.706865487805442e-06 1.0565838458422958e-06 -1.228155022134904e-06 1.5164875850001152e-06 -6.7513846109747665e-06 1.715704717028959e-05 6.470240465449549e-05 -4.282535837894347e-05
AGE 4.0675152134482596e-05 2.8587424306341484e-06 -1.4313277821348942e-06 -2.4706579677524062e-06 -3.770813192322016e-06 -1.3132879013638873e-06 -9.681979331610754e-08 2.454027269518555e-07 -8.836212027788026e-08 1.2598464709247288e-07 9.64513830704398e-08 -7.896715427478663e-08 -1.4898899462465603e-07 7.860764623955698e-09 -4.3796627840591985e-08 1.5721993028818203e-07 -1.458391778193282e-07 -7.092140070188946e-08 -2.8517390699249025e-07 9.255266391185327e-09 -2.3305778678739696e-08 -9.764994283654425e-09 3.7228113975088156e-08 8.439305815987742e-08 -4.195278254605143e-08 -5.091939074715778e-08 1.269704564348683e-07 5.617996603574155e-06 -1.255762711138878e-06 -8.853911651074552e-06
sex -0.0002483883201159481 -1.4313277821348874e-06 0.004238018124133498 0.0011068998735417408 -0.002218247502682876 -0.0011571726031434542 -1.4394354435856278e-07 1.548267751736111e-07 -3.0054000696897566e-07 8.674933308220226e-07 2.1178595149296584e-06 9.284757563060795e-08 4.98698416021434e-08 -2.2938007865166165e-06 -1.8118895692390045e-06 3.048336617857324e-06 2.4319698204555317e-06 1.9313864767502636e-06 9.619221640777e-07 1.2472578923576093e-06 -3.4316714516263693e-07 -3.014717651264758e-06 3.055845579161329e-07 -2.243529662528434e-06 -1.1458240279504763e-06 1.009754015960961e-06 2.5956299185586408e-05 -3.442178903162703e-05 -2.5785195296063865e-05 6.553410632916756e-05
age_sex 0.0002095030726856586 -2.4706579677524338e-06 0.001106899873541697 0.0029635531616283737 0.0021923641086790805 0.00037162486041245464 1.8345456482217155e-06 4.161302085426788e-07 4.515337395176637e-07 1.3890384840267444e-06 -4.6522017787649396e-07 6.501718378704289e-07 -2.0357223130780234e-06 2.874981497163921e-06 -1.0483624372106958e-06 1.5796314415444297e-06 5.100275778827525e-07 -1.523465812101474e-07 3.958273273488608e-07 -7.461190589083028e-07 -1.0314307215847517e-06 8.476325623712e-07 -1.6540988102922688e-06 -6.15838476062929e-06 -4.27467844115508e-07 -3.654071236526755e-07 1.1047930167158335e-05 3.975342827733943e-06 -4.505557380263813e-05 4.481329342954371e-05
age2_sex 0.0006447421468309258 -3.770813192322077e-06 -0.0022182475026829318 0.002192364108679025 0.006107477034301341 0.002429580024290182 9.883648562494962e-07 1.2220422258657475e-07 -2.3532232123223533e-07 4.0447402040627373e-07 -7.699291652836053e-07 7.636303753063379e-07 -9.755769513963739e-07 5.940308941477036e-06 -1.0151819463825578e-06 -6.875785662333487e-06 2.6853797401318283e-06 -1.4723332806853001e-06 -6.543336796989298e-07 -1.7479661579661918e-06 -1.0273556237123695e-06 5.5852007866807566e-06 1.5691159743538464e-07 -5.6459493819868416e-06 -9.420924161154708e-07 2.560844638814164e-07 -2.2990142087710838e-05 -8.749889906903349e-06 4.265765040010201e-05 9.540756400015593e-06
age3_sex 0.00026808679517277795 -1.3132879013639153e-06 -0.0011571726031434741 0.00037162486041242824 0.002429580024290173 0.0011294969503946152 1.2555843942185301e-08 1.4449981908946972e-07 -2.595405187455737e-07 1.4510926887139135e-08 -6.86200652092543e-09 3.251714765781346e-07 1.6980434751836637e-07 2.08677544520017e-06 -6.48888012616248e-07 -3.8274064775980015e-06 1.219856300926136e-06 -8.760984522819624e-07 -5.410938224227175e-07 -7.316409082366271e-07 -4.7484506000263117e-07 2.574790111353926e-06 5.802134196212474e-07 -1.468939142146588e-06 -4.759545198896578e-07 4.83277231800386e-07 -1.3058659520471441e-05 -7.563419255355438e-06 4.250804575088582e-05 -1.720004689010212e-05
PC.PC1 -6.290856350829538e-07 -9.681979331610468e-08 -1.4394354435901033e-07 1.8345456482210927e-06 9.883648562493512e-07 1.2555843942260024e-08 1.0875859196508673e-06 -8.507670188026671e-09 -9.30163525284375e-09 -1.1433879638099835e-07 5.304087082322565e-08 1.664386949171334e-08 -8.419380622273421e-08 1.0400875559612261e-07 4.3943109079899814e-08 3.2260919644851984e-08 8.429234639076352e-09 9.806499224325448e-08 -4.403345379624222e-08 -7.488126018283255e-08 2.0926838799365146e-08 -1.0238288857650456e-07 1.583488151882171e-08 2.3529798264163607e-08 1.0539077034483511e-07 -1.3958250467149012e-07 1.7522601870153463e-07 -4.5507738760002625e-07 -3.533800491596821e-07 2.5609165009569436e-06
PC.PC2 6.03109772482898e-06 2.4540272695185434e-07 1.5482677517367396e-07 4.1613020854263257e-07 1.2220422258642832e-07 1.4449981908941066e-07 -8.507670188025968e-09 1.994435335737176e-06 -1.4579100011948412e-07 1.5286093715578857e-07 4.4421313597918554e-08 -6.998892267268388e-07 -1.2530996118130295e-07 -1.4363526752104328e-07 2.7915481062647106e-08 -5.3943195711442164e-08 -5.519868062274682e-07 -2.3618082241257954e-07 -9.853483479519566e-08 -1.901873009817701e-07 -1.6410769301434617e-07 8.804396191708341e-08 -3.3239548319616276e-08 -6.942311997879367e-08 -1.835045089514658e-07 8.584587820001736e-08 -1.1732775262714856e-06 -9.504617041862926e-07 8.799826676697288e-07 -2.3050564321984104e-06
PC.PC3 -1.887888998273703e-06 -8.83621202778798e-08 -3.00540006968969e-07 4.515337395176768e-07 -2.3532232123222403e-07 -2.595405187455702e-07 -9.301635252843542e-09 -1.4579100011948393e-07 2.1342730433240187e-06 2.899328868759386e-08 1.8979727541866994e-07 2.8211314573467223e-07 1.2659127975628748e-07 -2.5012942813598656e-08 -1.3560476617878722e-08 1.1271332627790646e-07 2.437943731090024e-07 -9.433672793660816e-08 2.6710220860216558e-08 1.5188283364807175e-07 7.417237847501427e-08 -4.126803657403689e-08 4.3011199900323424e-08 1.5107498010474576e-08 -1.743210613497596e-08 -1.970297793820982e-08 1.7078546314732723e-06 -1.4201350655140694e-06 5.026407404790302e-06 3.8268766745055555e-06
PC.PC4 3.7140658883516827e-06 1.2598464709247426e-07 8.6749333082205e-07 1.389038484026718e-06 4.044740204061966e-07 1.4510926887108205e-08 -1.1433879638099922e-07 1.528609371557875e-07 2.8993288687593162e-08 2.6685741266243744e-06 2.749969822741565e-07 -3.0984560116245855e-07 2.0474868660049046e-07 1.0230015816845897e-07 9.153183818212161e-08 -9.727486110615471e-09 -1.896112030282553e-07 3.96152150281495e-08 -5.4825843610166355e-08 7.29060745073169e-08 -1.3826100305520673e-08 1.261383713020067e-07 -5.893838627024722e-08 -1.6649550648681296e-07 1.7283635269842483e-07 1.7031625325403465e-07 1.6349384837104075e-06 -2.0212907114392187e-06 2.700028387361457e-06 -3.3680703131589366e-06
