 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal gpp gmp
intercept 0.002344353226157003 7.896083256360556e-05 0.00046570944136886677 0.0021291434118539945 0.0028710646431787654 0.0009499136650642974 -3.4607588907382317e-06 9.11022556529305e-06 1.0452813014968007e-06 3.093947390164465e-06 -2.908691104441467e-07 -7.27150653041091e-07 1.28817965820001e-06 1.6952538539677914e-06 -2.743396614303597e-06 -2.689814997584468e-06 -3.3425471323315127e-06 -1.2654750037071953e-06 -4.974272110129232e-06 1.6972258313737379e-06 1.1026816079602358e-07 3.080966452887645e-06 8.78224821738251e-08 3.71052423536342e-07 -1.2024890491439955e-06 1.7374681137717088e-07 4.049600471500233e-05 -3.1550613072993035e-05 5.5570442456740855e-06 -4.345171926211465e-06
AGE 7.896083256360535e-05 4.5765664496191846e-06 9.114609952288851e-06 1.843204821704855e-06 -4.928997742591778e-06 -2.59518265175342e-06 -1.4813327058614094e-07 3.902867958266715e-07 2.9372277021648846e-09 1.1365332627379998e-07 2.1423305211078382e-07 2.8786435903514772e-08 -9.487494829570921e-08 3.807381063076815e-08 -1.6303850142961553e-07 1.1569782253166588e-08 -1.1786207414082634e-07 -1.0256078627939294e-07 -2.6393034167294277e-07 1.027497697202596e-07 8.765934005352635e-08 2.048930456928472e-08 -2.40929333388504e-08 -1.317568369917799e-07 -1.988084138510708e-08 -1.7277559012556745e-07 2.2103457423869386e-06 -1.4483741375983441e-06 1.4627987732696624e-06 -2.083100321213513e-10
sex 0.0004657094413688993 9.114609952288843e-06 0.009479879263741076 0.006706642496290105 0.001512427281550392 -0.000376904491451036 -2.4814019867207487e-06 5.1973531842362155e-06 -4.131193991059348e-06 -5.317536822332329e-07 6.339062849253837e-06 -3.0719307762478148e-06 2.4414762792965224e-06 -1.854499251096745e-07 2.0591930045972435e-06 -9.600133821836037e-07 2.3296377733949336e-06 3.6194902796557753e-06 -2.4243362130849864e-06 4.283928390669051e-06 -2.027110500268786e-06 -5.1471390927179995e-06 1.0535167926198067e-06 4.023179640302346e-06 6.787646088650798e-06 2.653407807307984e-06 -4.466677474704721e-05 4.823116039893524e-05 2.827010629426639e-05 2.579731301721847e-05
age_sex 0.002129143411854 1.8432048217053434e-06 0.006706642496289909 0.0168865460222998 0.01731104534018416 0.004818429789797164 -7.528924928935192e-07 4.545803544921773e-06 1.6627597659510912e-06 -2.280344876129967e-06 -7.526124612790283e-07 2.8801174016709882e-06 4.634998676616739e-06 -2.6762604532016386e-07 2.6175432243915825e-06 5.618781674434011e-07 1.0279435821093029e-06 2.619911266619174e-07 -3.2118061422355166e-06 2.771596156643791e-06 2.071952892505924e-06 -1.9419626842882643e-06 1.1401027192669334e-06 6.277217258385375e-06 3.340515712338523e-06 -3.3463409905160195e-06 -7.98578106682693e-05 6.547460018962736e-05 0.00010626988516814777 -5.1273865080279074e-05
age2_sex 0.0028710646431787685 -4.928997742591012e-06 0.0015124272815500715 0.0173110453401841 0.024667136984529332 0.008211222493279522 -1.2008900578999014e-06 2.2554383593696367e-06 6.323850123816341e-06 -4.5958208819274815e-06 -3.645500236600863e-06 7.629083297465156e-06 7.44001931347215e-06 2.262236902816104e-06 2.7393713292458022e-06 -4.078824565905465e-06 7.066784190186429e-06 -2.5815870314893572e-06 -3.0559937175856843e-06 1.7426959294910953e-06 4.639524261095239e-06 4.0885250835119395e-06 2.1840835897048585e-06 6.2876037995934606e-06 -7.453604461768116e-07 -3.4332814992420555e-06 -5.215541274559505e-05 7.72386425760315e-06 0.0002465111620314941 -0.00014984022067694006
age3_sex 0.0009499136650643018 -2.595182651753215e-06 -0.00037690449145113837 0.004818429789797171 0.008211222493279558 0.002978378280723927 -5.579101701256271e-07 3.4710406974474125e-07 2.52634188199274e-06 -1.7856413040790638e-06 -1.164399863858146e-06 2.974595901543579e-06 2.7858766959050104e-06 1.438833876779647e-06 4.681003102435783e-07 -2.1874384989796225e-06 3.5336074482768183e-06 -1.1485409490103682e-06 -1.0389295543024731e-06 4.2448376948330955e-07 1.6428155143126328e-06 2.469693496565071e-06 8.045950770962614e-07 1.749159600401011e-06 -9.253783101978067e-07 -5.426994319855153e-07 -3.1966401927710127e-06 -2.817714053014564e-05 0.00011826894562804031 -7.05474477530403e-05
PC.PC1 -3.4607588907382596e-06 -1.481332705861424e-07 -2.4814019867206314e-06 -7.528924928934602e-07 -1.2008900578999353e-06 -5.57910170125652e-07 1.4289199489892832e-06 6.200661439311188e-08 2.517064057875729e-08 -1.6663966546448803e-07 1.089404030522214e-07 -5.374972870581811e-08 -1.4259042503677845e-07 1.077357015959907e-07 7.752945793804061e-08 -4.77877993071282e-08 -2.157885741385653e-08 1.4492489484234506e-07 -1.5303131727520402e-07 -9.363270014142472e-08 1.3060283925998524e-07 -1.5058914533293683e-07 5.063387775824251e-08 2.744213654975263e-08 1.6873361034498447e-07 -2.3846850147189275e-07 3.2121078404174606e-07 -1.7067664586141395e-06 -7.52341408359116e-07 3.9945017396191626e-06
PC.PC2 9.110225565293409e-06 3.902867958266847e-07 5.197353184236327e-06 4.5458035449218945e-06 2.2554383593698073e-06 3.4710406974480604e-07 6.200661439311198e-08 2.2561659155956545e-06 -1.6172791166855207e-07 1.4367056668328933e-07 1.0439058387038336e-07 -4.873179541048849e-07 -1.5531215632814153e-07 -5.8705035342734766e-08 1.334474028431182e-08 1.897340564403899e-09 -4.195534707709814e-07 -1.9740407894831459e-07 1.3356724277830223e-07 -1.914809852158041e-07 -5.284985771938112e-08 -5.200517215641848e-08 -6.013151482970113e-09 -7.936352656377212e-08 -2.1625357329858053e-08 4.072624834194325e-08 -1.928956868595309e-06 1.134777024474752e-06 7.373581868471082e-07 -3.185039257314025e-06
PC.PC3 1.045281301496974e-06 2.937227702174844e-09 -4.131193991059469e-06 1.6627597659509485e-06 6.323850123816178e-06 2.5263418819926778e-06 2.5170640578757875e-08 -1.6172791166855199e-07 2.597211906420499e-06 8.390570102665975e-08 1.8729267152324437e-07 2.3091237192123676e-07 6.38856217738619e-08 -8.429840822654718e-08 2.3526821297707238e-08 2.372141884918202e-07 1.9814017925218687e-07 -1.7556386588991265e-07 -1.683949600660647e-08 1.2962340928401393e-07 4.413303694909284e-08 -7.164048551502341e-08 6.967378229680726e-08 5.370675227422172e-08 -6.335584538245129e-08 -3.242330711555037e-08 3.3825418403426697e-06 -3.726391041473956e-06 3.7965010879419945e-06 7.026516817876011e-06
PC.PC4 3.0939473901645216e-06 1.1365332627380037e-07 -5.317536822330893e-07 -2.2803448761296597e-06 -4.595820881927123e-06 -1.7856413040789469e-06 -1.6663966546448747e-07 1.4367056668328944e-07 8.390570102666052e-08 3.072956056410384e-06 2.0905872487522776e-07 -2.2824731292753277e-07 1.822819016167901e-07 1.6900628295458844e-08 3.729447007137268e-09 -1.5401590892088125e-07 -1.4655012249505724e-07 3.0010639721801438e-09 6.165594673991627e-08 3.331742201651124e-08 -1.2467749110004497e-07 1.6644902325497885e-07 -6.087265794273637e-08 -3.402695039770552e-07 -1.119582010355353e-07 1.8480645198475552e-07 -8.620294977580897e-07 3.368026054910625e-06 7.41815352860172e-07 -8.909128353989447e-08
