 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal
intercept 0.00016837514541251483 1.2773278341538845e-06 -7.268201331135086e-07 -6.9509980616244815e-06 2.862431899069511e-06 3.337900701350988e-06 -8.254042918723701e-08 6.337752249576045e-07 -2.6950662826137937e-07 1.0696217758836054e-07 1.715905817721573e-07 1.0464419825083835e-07 -4.1080376522387975e-07 2.6000142928995414e-07 9.511998026720216e-08 2.1084587403898748e-08 2.7283260812585054e-07 8.583333856592005e-09 -2.0419619653038533e-07 -1.4746554786469764e-07 -2.4515290158696835e-07 1.231767295885949e-07 5.163128974583752e-07 -4.250058656627626e-08 7.829307908631793e-08 -3.548185729795694e-07 -4.613937149969231e-06 -1.9761907416253865e-06 1.2393341365561518e-05
AGE 1.277327834153883e-06 5.28899965573488e-07 6.325955934151356e-07 2.8184260062935283e-07 -7.489855499873351e-07 -3.379267004092153e-07 -1.3731733151520601e-08 5.09146469572266e-08 -3.951923927547622e-08 2.5754768664749e-08 5.4578504559845814e-08 3.459431623557886e-08 -3.3448280432119826e-08 1.0895600266750337e-08 2.5806155753157784e-08 3.0481745117938395e-08 5.527380449303587e-08 -1.0530450784885605e-09 -5.381764690862038e-08 1.3163137344854205e-08 2.8823124242528562e-09 -1.0250757845738402e-08 2.0456812953289567e-08 -2.4399173195009008e-09 3.4712831891687877e-09 -3.3098752520733354e-08 -6.350425343895459e-08 6.030935863712454e-08 -3.79656756745773e-07
sex -7.268201331133143e-07 6.325955934151341e-07 0.0010332337627019742 9.469068907684184e-05 -0.0002633288486832493 -6.948571927000252e-05 2.635963363897261e-07 2.1837529509719958e-07 -3.143202166124144e-07 2.0529191589681378e-07 1.2623874613648168e-06 -5.427923419544759e-07 -2.7876493302860863e-07 -6.947151215065069e-08 -4.241237356735411e-07 1.6079772637595874e-07 6.202724806568888e-07 -5.482270006568817e-07 -2.2778758379816375e-07 2.523923350036705e-07 -2.4113998483647145e-07 -7.152950784166688e-07 3.4338564414013925e-07 -4.845069515671602e-07 -3.956596863813899e-07 3.104368018447093e-07 -3.245269276305997e-08 7.792161119522091e-06 9.129244428620782e-07
age_sex -6.950998061624549e-06 2.818426006293671e-07 9.469068907684604e-05 0.0004678472528627838 -6.403709140407024e-05 -0.0001524722880492556 3.319631487759797e-07 1.8912140937977735e-07 1.1913725368174295e-07 2.399380910962494e-07 1.5811578637107227e-08 2.0984397988863133e-07 -3.3147779858456974e-07 -3.627613128355501e-08 -2.0161668285201838e-07 9.680022734673743e-07 -5.563856834565437e-07 -1.946929682595343e-08 4.904523840969772e-07 -3.407580386469988e-08 -1.5769582142735133e-07 -3.287737887243761e-07 -8.177789409338194e-07 -2.4646555429750484e-07 1.5262968501258085e-07 2.26597809691641e-07 4.5500030893869625e-07 -1.566991643016803e-06 4.273907486246814e-07
age2_sex 2.862431899069426e-06 -7.489855499873332e-07 -0.00026332884868324966 -6.403709140406757e-05 0.0001484306192993208 5.2739958793328414e-05 -7.257582748255298e-09 -5.974945530624745e-08 2.79653533266976e-07 -8.153151960014246e-08 -3.53999063502784e-07 6.717614848735204e-08 9.065688218359166e-08 5.590784243544438e-08 1.8549283880092648e-07 -1.427164484985895e-07 3.4077181178572217e-08 1.2419899549864781e-07 1.2735603285054472e-07 -2.435581512622724e-07 8.572067135117952e-08 -4.1909985778166046e-08 6.004993360853874e-08 1.154305953040297e-08 1.1607991247160258e-07 5.080507636515615e-08 -1.6248320114544212e-06 2.007100919846933e-06 1.5539317265662737e-06
age3_sex 3.33790070135099e-06 -3.379267004092188e-07 -6.948571927000395e-05 -0.0001524722880492545 5.273995879332923e-05 7.394497412186509e-05 -8.064890346629936e-08 -4.7228325201556955e-08 6.031225239006535e-08 -5.1219793359593877e-08 -9.069582855111328e-08 -1.1429784635904365e-07 1.1004109501810854e-07 5.1344328571007963e-08 4.883409534716298e-08 -3.3382321716034977e-07 2.2022118028428007e-07 -5.393283605304639e-08 -1.5571231065422707e-07 -1.0439206949840533e-07 4.1386729461874184e-08 4.2127576180522437e-08 2.663698964730554e-07 -2.0836723600087585e-09 -3.143659948308004e-08 -7.10767274127705e-09 9.691694210829712e-07 -1.7744896269632954e-06 -1.1171876248630208e-06
PC.PC1 -8.254042918725379e-08 -1.3731733151520618e-08 2.6359633638974824e-07 3.3196314877607403e-07 -7.257582748270591e-09 -8.064890346633113e-08 3.3929500008865523e-07 -2.2649893520678997e-09 1.7664680221802505e-09 -2.3854634790447083e-08 -2.193726846947229e-08 4.063588669134624e-10 -1.7275125936049795e-08 1.7302111528019366e-08 1.7071525057257124e-08 -8.012765466654002e-09 -2.9843628091669415e-10 1.2778024674179112e-08 -9.636279067637095e-09 -1.0432046873931908e-08 2.1318580991795913e-08 -6.347339811599119e-09 4.692449775981443e-09 -1.1349853259084846e-08 -8.890408481047324e-10 -1.2531565462273399e-08 1.7901694301207803e-08 -3.288174861284538e-09 3.44101480065809e-07
PC.PC2 6.337752249575757e-07 5.091464695722641e-08 2.183752950972065e-07 1.891214093798162e-07 -5.97494553062531e-08 -4.7228325201569766e-08 -2.2649893520680262e-09 5.81614825373245e-07 -3.3832434531781274e-08 3.563621464446829e-08 2.3288980100085533e-08 -3.866068514755115e-08 4.936150198428235e-10 -1.1070853517312028e-08 -1.0724238286335338e-09 1.2608543043926309e-08 2.8918628800221705e-09 -8.44838535890419e-09 2.7192541797050407e-08 4.5326798141250805e-09 -6.353119938737669e-09 1.3100773417006767e-08 -3.080589889678298e-08 -5.02689379104286e-09 -1.2705312356142252e-09 1.053885240112022e-08 -2.4424017401285507e-07 -3.1617553146944033e-07 -4.882085052069581e-07
PC.PC3 -2.6950662826137873e-07 -3.9519239275476394e-08 -3.1432021661241283e-07 1.1913725368174894e-07 2.7965353326697467e-07 6.03122523900628e-08 1.7664680221803059e-09 -3.383243453178217e-08 7.063634716953944e-07 3.1690064516127e-08 4.40905819507285e-08 1.4810836296807315e-08 2.0929060897453557e-08 -3.307908535769422e-08 1.886374587128725e-09 3.739998471283317e-08 -1.0804579549445222e-08 -2.518967434913095e-08 -1.6856484246292863e-08 2.139498157115262e-08 8.848922060260566e-09 -2.5957614954879474e-08 4.382483177631047e-09 4.837260698900347e-08 6.413352185876541e-09 1.0089997677660616e-09 1.8581726193239976e-07 1.0335799658816302e-06 1.3281815795147727e-06
PC.PC4 1.0696217758836901e-07 2.5754768664748863e-08 2.0529191589681214e-07 2.399380910962433e-07 -8.15315196001417e-08 -5.1219793359591984e-08 -2.3854634790446733e-08 3.563621464446807e-08 3.1690064516127114e-08 9.003910677471999e-07 6.854191761400364e-08 -4.120613983173349e-08 1.229996795488666e-07 3.949530173140167e-08 4.923160289186269e-09 -3.1851082038292703e-08 -1.246709320369727e-08 4.824979460398796e-08 -4.39683440900216e-09 3.9235455238212005e-08 1.3926504480489582e-08 3.337287548212908e-08 -1.4532044316811662e-08 3.734323036732811e-09 -5.524961332195965e-09 -2.6948688357185815e-08 2.5248436430372325e-07 4.532899979358756e-07 -9.756856006020798e-07
PC.PC5 1.7159058177215971e-07 5.457850455984577e-08 1.2623874613648155e-06 1.5811578637099157e-08 -3.5399906350278304e-07 -9.069582855111066e-08 -2.1937268469472315e-08 2.328898010008509e-08 4.40905819507286e-08 6.854191761400386e-08 1.2563708754870669e-06 2.667061969622159e-08 -1.7808503602740302e-08 6.840531879947501e-09 5.0511207537796e-09 2.5690861849019574e-08 1.739976539740657e-08 1.9608624160421952e-08 -1.4596530076676055e-08 -1.7882596706330732e-08 -2.8910589275049102e-08 -4.6562915539917516e-08 1.0784854882022414e-08 8.053573067127515e-08 1.5410158717449487e-08 3.8000498890699186e-08 -6.441030429981766e-07 1.4624318319043222e-06 1.3113107920902463e-06
