 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband maternal gpm gmm
intercept 0.0014135811044176298 5.1281393968034945e-05 -0.00025947226888296544 0.0002181210120875322 0.0006556323769942831 0.0002670193430430806 -8.600704469134315e-07 8.006184829796622e-06 -1.506593635036999e-06 4.938423757987141e-06 -1.0277568139282417e-06 -5.381247200679265e-06 -1.9297615455591094e-06 7.911187925946468e-07 -1.5520175040587704e-06 1.3657957012949903e-06 -5.7128034547753085e-06 -8.916087521954964e-07 -6.93300475158352e-06 -1.925088244863074e-06 -3.317962284509853e-06 1.2425171919498877e-06 1.5267371453603404e-06 7.332895791954026e-07 -1.354489392431488e-06 2.2981678317185314e-06 -1.55231337595231e-05 6.024517317875688e-06 8.725772217198888e-05 -1.7364802557503183e-05
AGE 5.128139396803489e-05 3.552913017495224e-06 -7.768708543229756e-07 -2.791888471613226e-06 -5.019532859491955e-06 -1.6919922371842622e-06 -1.6338587964776883e-07 4.6783545343642955e-07 -1.0362193402768531e-07 2.3300652758797316e-07 7.175806261919996e-08 -1.3965102654768123e-07 -1.8447618389949882e-07 7.016981664487072e-09 -8.234335809494754e-08 2.7061074957095635e-07 -1.8345828682605065e-07 -1.164814932996491e-07 -3.618999289901722e-07 -9.602944877310413e-09 -1.9732452174058123e-08 -3.992297671688769e-08 6.182614356144015e-08 6.73585806673488e-08 -4.0049778742009954e-08 -4.153802089978547e-08 3.774892777255651e-08 5.384463112198233e-06 -1.4334306859001037e-06 -8.492895496363629e-06
sex -0.000259472268882973 -7.768708543229026e-07 0.004688758695640216 0.0011681569648028137 -0.002404066847699305 -0.001215931821154309 2.1294575679418822e-07 6.09734857305923e-07 -3.08886439803606e-07 3.8944378948788865e-07 2.1990434021521556e-06 1.4984118085722758e-06 1.507991885488068e-07 -1.6449040758608368e-06 -1.61806389468448e-06 3.90648084081848e-06 2.5320989736662946e-06 3.995048497173444e-07 1.4557927167936624e-06 1.3018798708650945e-06 -6.555354439882856e-07 -3.0214725713540063e-06 1.497712044073505e-06 -2.5830267293381296e-06 -9.168784877783392e-07 5.288473062225949e-07 3.5094665514338117e-05 -1.744897408217859e-05 -1.592440649521574e-05 4.056717262521804e-05
age_sex 0.00021812101208753388 -2.79188847161297e-06 0.0011681569648028236 0.0031703351442626685 0.0023428470767652325 0.0004034281870341734 2.065700347253858e-06 3.3731250849419834e-07 -9.810024912589271e-08 1.5079423087317574e-06 -3.9348803780210207e-07 9.276952805405232e-07 -1.9137071257981493e-06 3.7556730153682246e-06 -1.1996249070104299e-06 1.923585917461608e-06 1.9546538884398203e-07 -5.967448743052985e-07 7.722688964643871e-07 -9.510494986504653e-07 -9.181557747643823e-07 1.075639283803754e-06 -1.4917728997331224e-06 -7.0176925994835945e-06 -4.8134974632719965e-08 -8.291145197777462e-07 1.3762211401570213e-05 2.0481408750139512e-05 -4.354508888839208e-05 2.1400967615237567e-05
age2_sex 0.0006556323769942884 -5.019532859491645e-06 -0.002404066847699244 0.0023428470767652343 0.006377363095927611 0.002477478271223998 9.340748226830645e-07 -9.182931576656543e-07 1.655550728733924e-07 2.994720344628127e-07 -5.92426026781377e-07 -1.2334398290622396e-06 -1.6459450018761843e-06 5.533879771179118e-06 -1.407458285634983e-06 -7.732483138676062e-06 2.8713334801499416e-06 1.632635025668883e-07 -1.4771901284649154e-06 -1.8629036680760343e-06 -4.0043905487658054e-07 5.0875586559291e-06 -1.8751248953070334e-06 -5.239562000478165e-06 -1.0293466803975267e-06 5.295276387881729e-07 -3.754755807940304e-05 5.260683503178365e-06 5.040553513829091e-05 -2.979631060662934e-06
age3_sex 0.00026701934304308126 -1.6919922371841557e-06 -0.001215931821154274 0.00040342818703416946 0.002477478271223983 0.0011209365919873638 -8.785362685349944e-08 -3.240744659846921e-07 1.6342657556089936e-07 -1.8318665598417433e-07 6.890767361170198e-08 -8.759688049367796e-07 -2.259551793861208e-07 1.770209893660606e-06 -6.077131983778388e-07 -4.4301152930763825e-06 1.4628173757368827e-06 -1.1616821416404795e-07 -1.1766569576334262e-06 -5.90854093307882e-07 -8.711855079953243e-08 2.0920656606584167e-06 -7.957506709808887e-07 -1.0737321018961408e-06 -7.318296878227741e-07 6.974133483085294e-07 -2.2876361663530706e-05 4.1518933289594864e-07 4.0840284817628014e-05 -1.6421001430931268e-05
PC.PC1 -8.600704469134434e-07 -1.6338587964777344e-07 2.1294575679450287e-07 2.0657003472547245e-06 9.340748226837193e-07 -8.785362685338096e-08 1.3006640020573778e-06 -2.1097590294342083e-08 2.969447454370073e-09 -1.32641227726291e-07 5.1145303573475954e-08 -7.145593227557521e-10 -1.0550171703819554e-07 1.2277407753650164e-07 2.0238448580852876e-08 2.467218393002971e-08 3.7303740889055116e-08 1.0373550279408807e-07 -6.4570501702922e-08 -7.658654557621269e-08 2.6673188842437986e-08 -1.2788898239773383e-07 1.5911545703354412e-08 1.667557276238054e-08 1.257385060663377e-07 -1.822425976989035e-07 1.8367441773270895e-07 -3.3834140198838443e-07 -1.9732243743358682e-07 2.6362548869386287e-06
PC.PC2 8.00618482979628e-06 4.6783545343641806e-07 6.097348573060523e-07 3.373125084942032e-07 -9.18293157665859e-07 -3.240744659847932e-07 -2.1097590294341464e-08 2.2517617056080863e-06 -1.195921420339582e-07 1.4043421679983157e-07 7.815452829130578e-08 -7.90413995222965e-07 -1.4388767705246968e-07 -1.422352407308104e-07 5.051018594307501e-08 -1.0168931607015297e-08 -6.209529821455664e-07 -2.682194272528001e-07 -1.0130329476435128e-07 -1.8423170956301402e-07 -1.8072389077619846e-07 8.812563299675357e-08 -9.52019034543348e-08 -7.054006214277734e-08 -2.161231878045098e-07 9.317846150511942e-08 -1.5433350875697735e-06 1.9490074678227747e-07 -1.3530416840905432e-06 -2.5801102400657395e-06
PC.PC3 -1.5065936350369442e-06 -1.0362193402768348e-07 -3.0888643980358647e-07 -9.810024912592875e-08 1.6555507287331953e-07 1.634265755608732e-07 2.9694474543697982e-09 -1.1959214203395886e-07 2.602380681691068e-06 5.1476879558638984e-08 2.235582544143291e-07 3.1439822010853315e-07 1.4824173028988764e-07 -4.222266417116696e-08 -2.8256970544563977e-08 1.789364548217803e-07 2.765619373942406e-07 -1.0269430257183899e-07 1.4446676157128115e-08 1.6258389674451222e-07 5.221712832429927e-08 -4.9395815023871306e-08 7.215636251088826e-08 5.214377831577286e-08 -3.074816582575732e-08 -3.2751908754188963e-09 2.199584324670149e-06 -2.567426159974063e-06 6.567629366288268e-06 5.9428434168745285e-06
PC.PC4 4.938423757987124e-06 2.330065275879736e-07 3.894437894878871e-07 1.5079423087317028e-06 2.9947203446273133e-07 -1.831866559842008e-07 -1.326412277262907e-07 1.404342167998324e-07 5.1476879558637065e-08 3.2708167595120225e-06 3.431281184928102e-07 -3.432049078134135e-07 2.428124264242882e-07 1.268875277092857e-07 1.1660289725494997e-07 -1.6301215461943017e-08 -2.0616992524439232e-07 -2.3014012978377907e-08 -5.182740161901914e-08 7.118040589576619e-08 -3.022490736095974e-09 1.3651553100150501e-07 -6.408006596053207e-08 -1.6619275268278774e-07 2.2287516084851024e-07 2.0665096345827673e-07 1.931669091518644e-06 -2.482154935562668e-06 2.7493021240937608e-06 -2.968299322562334e-06
PC.PC5 -1.02775681392828e-06 7.175806261919874e-08 2.199043402152224e-06 -3.934880378020462e-07 -5.92426026781417e-07 6.890767361166862e-08 5.114530357347593e-08 7.815452829130521e-08 2.2355825441432962e-07 3.4312811849280984e-07 4.188825264247265e-06 1.74720370480166e-07 1.501522848728685e-07 -1.0062679388951936e-07 -4.877700126123453e-09 1.6271036174921507e-08 2.1589081464396177e-07 2.3020559481054565e-07 -9.337074610549398e-08 5.576943738729213e-08 -1.499588449409574e-08 -1.1732698000426331e-07 -2.5106008188180875e-08 1.5346383724719888e-07 3.219725782704464e-07 3.02055575174648e-08 -3.724499586315414e-08 -3.033628068204623e-06 1.155930931699921e-05 2.427733603608664e-06
PC.PC6 -5.381247200679243e-06 -1.3965102654768007e-07 1.4984118085723437e-06 9.276952805404987e-07 -1.233439829062396e-06 -8.759688049368521e-07 -7.14559322755449e-10 -7.90413995222966e-07 3.1439822010853304e-07 -3.432049078134144e-07 1.747203704801654e-07 5.00329816576303e-06 2.3975915749401755e-07 7.570683270033643e-08 -1.9396082302436884e-07 1.8806026117268654e-07 1.275763493155254e-06 8.857457353367149e-08 4.8752837904441774e-08 4.7358700130122664e-07 3.333346833166678e-07 -1.907274291357433e-07 -3.4621808234551296e-07 7.014461813225587e-08 2.0464329897861256e-07 -2.7112438667662875e-07 5.854649847965987e-07 -5.598001955707416e-06 1.1461083572489021e-05 2.185905643629564e-06
PC.PC7 -1.929761545559122e-06 -1.844761838994991e-07 1.507991885487942e-07 -1.91370712579821e-06 -1.6459450018762571e-06 -2.2595517938614594e-07 -1.0550171703819577e-07 -1.4388767705247003e-07 1.482417302898876e-07 2.4281242642428743e-07 1.5015228487286616e-07 2.3975915749401813e-07 3.98337077002426e-06 3.5945337865110383e-07 2.387323208748478e-08 -2.421620880475937e-08 3.149593793576117e-07 -2.6707124861810927e-07 -2.0953859664832377e-08 5.6982944424243867e-08 9.820170502183464e-08 -1.3521577927959505e-08 -5.8433457929849974e-08 3.0664977034641874e-08 -1.1294801705966661e-07 -9.877768622715387e-08 -5.074315373081948e-07 -4.041382343734834e-06 3.069817545991065e-06 1.5659358907358259e-06
PC.PC8 7.911187925946482e-07 7.016981664487225e-09 -1.6449040758607614e-06 3.755673015368247e-06 5.533879771179098e-06 1.7702098936606052e-06 1.2277407753650135e-07 -1.422352407308101e-07 -4.222266417116666e-08 1.2688752770928495e-07 -1.0062679388951899e-07 7.570683270033615e-08 3.5945337865110446e-07 5.040312322140592e-06 9.200768306436151e-08 -6.903063615768931e-08 5.974952778848287e-08 -1.1182310635552569e-07 7.765153582548944e-08 5.7746178097096515e-08 -5.829895005016794e-08 7.0805837748758e-08 -1.1596498141986623e-07 -2.7610441596522074e-07 -1.2362801997155454e-07 -2.141062673788736e-07 -1.6028484676082276e-07 4.427270979434267e-06 -4.5984721809753415e-07 -2.036255811457233e-06
PC.PC9 -1.5520175040588841e-06 -8.234335809495292e-08 -1.6180638946845715e-06 -1.19962490701037e-06 -1.4074582856347917e-06 -6.077131983777667e-07 2.0238448580853366e-08 5.051018594307368e-08 -2.825697054456366e-08 1.1660289725494917e-07 -4.877700126122983e-09 -1.9396082302436834e-07 2.3873232087485364e-08 9.200768306436218e-08 4.259789047442445e-06 3.9229740076970326e-07 4.486619090899124e-07 1.9241213272231703e-08 -5.957719776873733e-07 1.6634122931285011e-07 2.2899181816380622e-08 8.066075419266112e-08 -4.5040446002545613e-08 -2.6985255455187543e-08 3.834841557553192e-07 -2.644347472752447e-07 7.381682821314499e-07 1.187423604471129e-06 2.808578033001186e-07 -6.457645020149686e-06
