 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal gpp gmp
intercept 0.0015771242142948796 5.026505815089319e-05 0.00043795705219188075 0.001290975404862306 0.001481894006430407 0.00043678017641565227 -2.336177016363867e-06 8.339561695866757e-06 -1.2015479022810163e-06 3.0524842725147073e-06 -1.1094103712174841e-06 -5.075585999415452e-07 8.884268249628387e-07 1.29554726240916e-06 -1.0438873325880785e-06 -2.3193344156159933e-06 -1.7522787820771014e-06 1.3175224781980944e-07 -3.475028414377347e-06 6.672357199153727e-07 -1.937677418711197e-07 2.356667359708723e-06 8.858884809601462e-07 1.0350031700832008e-06 -8.430154317308976e-07 8.574344177912986e-08 1.9878778511950305e-05 -3.7373335398008516e-05 6.941293780875405e-05 -3.21694800615187e-05
AGE 5.026505815089325e-05 2.7217169153501594e-06 4.3212754346632125e-06 2.9631278346013777e-06 3.215871846412971e-06 1.3952954925430893e-06 -9.0245326466423e-08 3.9983991522483777e-07 -5.218940068931829e-08 1.0891053349042637e-07 6.949739243108452e-08 -6.804072649075027e-09 -8.0986817572395e-08 5.796107189856869e-08 -4.086379604852078e-08 -1.9335680351030692e-08 -2.77614799518044e-08 -5.344333724616909e-08 -1.728218561318973e-07 3.074125957161135e-08 5.210020332488792e-08 1.085191469810252e-08 9.637960526925742e-09 -3.7853913093739923e-08 -2.7965674350604763e-09 -6.974894096387752e-08 1.178434290545274e-06 -3.145884326472153e-06 5.99359610284277e-06 -1.4154010759387793e-06
sex 0.0004379570521920114 4.321275434663609e-06 0.006314679403806034 0.005176165141424863 0.0022527610847085477 0.00023220695270932562 -1.5901018145230317e-06 3.2216721449700448e-06 -2.6033957805484118e-06 -1.084387967873123e-06 3.85847887949131e-06 -1.1303148276360342e-06 1.6774629917030925e-06 -1.9322524004596973e-07 1.4867929514982083e-06 -1.0843343453840108e-06 3.0336441148597433e-06 4.458247553440605e-06 -1.6660142247665815e-06 2.313339894676312e-06 -1.3300658545917914e-06 -1.674327124250142e-06 1.8462889152768682e-07 4.538922781139609e-06 3.9691840111674124e-06 2.433401729221947e-06 -3.732403926938644e-05 4.1018546089770706e-05 2.039929716400696e-05 2.5175889492656874e-06
age_sex 0.0012909754048624077 2.963127834601731e-06 0.005176165141424116 0.011207689080283965 0.010334216988003258 0.002593528538668399 -6.027205503232542e-07 2.9769349029858362e-06 4.67826935584233e-07 -1.2163620823477348e-06 8.469470544270405e-08 2.3318666576399674e-06 1.8616416531919261e-06 -1.6191261676040059e-06 1.1390008054314236e-07 -2.2854593871659045e-08 -8.868623802909114e-07 4.598894787162877e-06 -1.830094655390956e-06 1.8563618124532807e-06 8.603470782967225e-07 -9.54732979225566e-07 1.7172313964929412e-06 5.497514501337536e-06 1.3679071823601136e-06 -3.154637619408704e-06 -8.014440706744952e-05 8.50942281833485e-05 0.00011056285769240847 -7.90824653261163e-05
age2_sex 0.0014818940064303995 3.2158718464131015e-06 0.0022527610847074575 0.010334216988002364 0.012254906704045901 0.00355554723802204 -1.060091933172671e-06 1.678569987394346e-06 2.5681281144866354e-06 -1.6472228791524475e-06 -9.89143097993042e-07 4.0107316738111175e-06 2.344197289840201e-06 -5.295445402185279e-07 -1.2196971877619148e-06 -2.854878629324771e-06 -5.6856941921226974e-08 2.9570722498159634e-06 -1.276355205496425e-06 1.6229706931940392e-06 2.3751574461963174e-06 9.480304453860059e-07 3.6465876885696624e-06 3.2560518877440974e-06 -2.0916773091201397e-06 -5.258778023078021e-06 -6.606064551521158e-05 7.529448389375032e-05 0.0001901034627232059 -0.000139477769771397
age3_sex 0.00043678017641562923 1.3952954925430597e-06 0.00023220695270897892 0.002593528538667995 0.0035555472380218714 0.0011183656595144154 -5.077271363685755e-07 3.191819637207195e-07 8.911430991684983e-07 -5.163219468385317e-07 -2.18607089063631e-07 1.2622870268211124e-06 7.736084786024076e-07 2.2284346395637293e-07 -6.927571456855255e-07 -1.4985854005125042e-06 3.7892053861191164e-07 5.787677890248346e-07 -3.717420605280651e-07 5.190985132696631e-07 8.333977592696655e-07 6.931867834953959e-07 1.393786855918608e-06 3.9690298693797453e-07 -1.2226236473838532e-06 -1.7056292609252853e-06 -1.2863038499511937e-05 1.0349600820117054e-05 7.766787923522792e-05 -5.3648329468129135e-05
PC.PC1 -2.3361770163636916e-06 -9.024532646643217e-08 -1.5901018145193771e-06 -6.027205503183485e-07 -1.0600919331692116e-06 -5.0772713636787e-07 1.094706305119674e-06 4.013103307583172e-08 -2.411721522892684e-08 -1.1141703491628271e-07 8.789003627110905e-08 -4.160280383542502e-08 -9.876370029370924e-08 7.288838812775385e-08 4.916102194909629e-08 -1.8657764525541094e-08 -1.531860727708552e-08 1.0814339959366857e-07 -1.0821707416804546e-07 -6.734446103804053e-08 9.353473562385797e-08 -1.0146666958781358e-07 2.466428937977828e-08 1.1324997707332946e-08 1.1722876451837254e-07 -1.772961432607357e-07 1.7383287302949827e-07 -1.0974465391805957e-06 -5.172499007853413e-07 2.98150712132189e-06
PC.PC2 8.339561695866727e-06 3.9983991522484084e-07 3.2216721449691613e-06 2.9769349029844687e-06 1.6785699873932894e-06 3.1918196372049216e-07 4.0131033075831125e-08 1.7275965146853984e-06 -9.974472040157679e-08 8.131182845826631e-08 8.934408536814577e-08 -2.711872695602662e-07 -9.781361472923771e-08 -2.8445355239160446e-08 1.6684549812178943e-08 2.7107550720191754e-08 -2.7146981516209564e-07 -1.6323417916169934e-07 4.110987023414957e-08 -1.207276394943353e-07 -4.758285885869986e-08 -2.981924959065119e-08 9.415309599716046e-10 -3.182913441269375e-08 2.032684151566871e-09 1.1974688293705999e-09 -1.2092123609887568e-06 8.144910889787123e-07 -1.2414849125763068e-06 -5.751347830506127e-07
PC.PC3 -1.2015479022811092e-06 -5.2189400689335424e-08 -2.603395780543062e-06 4.678269355900746e-07 2.5681281144895937e-06 8.911430991688423e-07 -2.4117215228925605e-08 -9.974472040157708e-08 1.9472856428036214e-06 4.4344368200719255e-08 1.1688357235365985e-07 1.4304444714865902e-07 4.786103475857793e-08 -7.278373189133439e-08 1.7337268659850502e-08 1.742242361846152e-07 1.4401063769649636e-07 -1.5806040674025911e-07 1.478314311443281e-08 8.7772516063562e-08 4.0739599996591636e-08 -7.240766005324973e-08 6.226496336492446e-08 4.67252947581161e-08 -3.8592269341309526e-08 -1.7839502537671458e-08 2.2125486011239552e-06 -2.7951084671221752e-06 4.110016219712394e-06 4.153309822768402e-06
PC.PC4 3.0524842725154506e-06 1.0891053349043368e-07 -1.0843879678699327e-06 -1.2163620823425774e-06 -1.6472228791479334e-06 -5.163219468374021e-07 -1.1141703491628398e-07 8.131182845826901e-08 4.434436820071854e-08 2.4117208215377094e-06 1.490660987459936e-07 -1.32094731557664e-07 9.862777836477302e-08 -6.513825702750096e-09 2.1420345749797876e-08 -8.912105952748614e-08 -9.83486382634924e-08 -6.945064839897925e-09 3.127371257218232e-08 1.9667916635579938e-08 -9.413466508682827e-08 1.1821917978154078e-07 -4.041240825090867e-08 -2.1673717308142272e-07 -8.203012574747079e-08 1.3237531506138667e-07 -3.078650756961023e-07 2.2977213753752574e-06 3.1478008849441844e-07 3.404138171893978e-07
