 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal gpp gmp
intercept 0.0014510231366527877 5.148244137931001e-05 0.0002840839037676217 0.0013243384527972836 0.0017929048699013227 0.0005939068382525398 -2.4650948663717083e-06 5.024980635341907e-06 1.551938079157545e-06 1.5346975164152875e-06 1.1574307334153832e-07 -8.487084760626806e-07 5.833114117969434e-07 7.418333482500297e-07 -2.0909130062805684e-06 -1.7020584420961312e-06 -2.5993638432926904e-06 -1.3320642046029656e-06 -2.2815735114028015e-06 1.051759222176732e-06 4.040527880714432e-08 1.5905304693724537e-06 -3.942149905857715e-07 -3.3122779380551724e-07 -1.3401366112062966e-06 3.468172672173565e-07 2.25248156702599e-05 -6.9779369616318276e-06 1.057194674483935e-05 -2.698229834343219e-05
AGE 5.148244137930988e-05 2.9814353983235838e-06 5.19240630777764e-06 8.932133773129964e-07 -3.0486717170304546e-06 -1.5958524415290572e-06 -9.532942504643093e-08 2.562326494000847e-07 -5.438547778854083e-09 1.0203339590151762e-07 1.428072085312187e-07 3.7918711958209477e-08 -5.427422977993059e-08 -4.028575305148682e-11 -1.105645464849292e-07 1.4008720902382206e-08 -6.52652965231095e-08 -7.154910975748465e-08 -1.5234387770667885e-07 7.83414286910075e-08 4.7174747263697946e-08 1.3316012910061824e-08 1.442017994104897e-08 -9.981386792628354e-08 -6.739335392169592e-08 -1.3554394813317813e-07 1.155028685737104e-06 -1.7353944569275003e-07 1.599703581002835e-06 -1.2582977336699916e-06
sex 0.0002840839037674128 5.192406307778029e-06 0.005870011795262994 0.004143029944016986 0.0009113298301272937 -0.00024328000585270912 -1.2660141512777563e-06 2.77059368479603e-06 -2.575710671765541e-06 1.9837625340692375e-07 4.2016954661804055e-06 -2.0528756164140597e-06 1.914734969819315e-06 -1.4251728362279956e-07 8.052452490697312e-07 -5.545572776758563e-07 9.655610705482678e-07 9.035336207526141e-07 -9.536630923592306e-07 2.8680674846051753e-06 -1.1404311742294709e-06 -3.6567112546392643e-06 1.9621535356813758e-07 1.706669697381357e-06 4.185831865984157e-06 1.7182903508656106e-06 -2.9623001907408023e-05 1.7995325564817387e-05 9.054812617194653e-06 3.742236227619549e-05
age_sex 0.0013243384527971238 8.932133773142357e-07 0.004143029944018162 0.010466803424643092 0.0107459095362989 0.002995776653706302 -1.0899905784756265e-08 1.942022872329118e-06 9.70648786683066e-07 -1.3441678666659162e-06 3.356030472639693e-08 4.629946727541649e-07 3.059384433534686e-06 -5.604985388026081e-07 1.7957174875560054e-06 5.777912177272734e-07 1.5000757078897398e-07 -1.2161807391395648e-06 -1.6012735270824985e-06 1.6675879978698174e-06 1.3981506105155474e-06 -1.3976823068035284e-06 4.511142699675018e-07 2.9796655372507466e-06 2.5757999111251857e-06 -1.5374967730160546e-06 -4.594767423012994e-05 2.975616817675788e-05 2.1463127969403724e-05 1.2110359934549389e-05
age2_sex 0.0017929048699013512 -3.04867171702902e-06 0.0009113298301290821 0.010745909536300433 0.015339403083234256 0.005112326001460361 -2.501780077804501e-07 5.636109310053515e-07 3.824831561567392e-06 -3.0832966263257507e-06 -2.1550075696477667e-06 3.4411513734569483e-06 4.516958979889858e-06 6.459802639257095e-07 2.245999260245755e-06 -2.0015229883667947e-06 4.02819299705814e-06 -3.0540666636756252e-06 -2.074742005361866e-06 4.766213843871053e-07 2.5506210178680424e-06 2.8273275675730133e-06 1.6323809866400635e-06 3.0260882946273116e-06 4.134679158166132e-07 -1.2839779342350539e-06 -3.01040516746132e-05 6.745239148340408e-06 9.751294138989743e-05 -4.813328692288647e-05
age3_sex 0.0005939068382525874 -1.5958524415286466e-06 -0.00024328000585209446 0.002995776653707038 0.005112326001460687 0.0018559853392002383 -1.903157122038791e-07 1.7471740282937564e-08 1.5053934533018996e-06 -1.2258316136799936e-06 -8.121057804053915e-07 1.5650773296857533e-06 1.668385673271723e-06 5.88189696111494e-07 4.884267138937704e-07 -1.1319217194067489e-06 2.0905445696293145e-06 -1.2344695075985307e-06 -8.370109412378107e-07 -3.659736643874144e-08 7.927098992422615e-07 1.7171554763465287e-06 6.835814879251431e-07 8.284910285624556e-07 -2.6785279261734193e-07 -5.2872918684652086e-08 -2.433385424084985e-06 -1.478052694821401e-05 5.786298646074241e-05 -3.190873946041619e-05
PC.PC1 -2.4650948663715333e-06 -9.532942504644435e-08 -1.2660141512762247e-06 -1.089990578053301e-08 -2.501780077762743e-07 -1.9031571220276855e-07 8.114506216325672e-07 5.342961675837258e-08 4.5833303594391446e-08 -1.3011383664207203e-07 6.015553566185441e-08 -4.660624526195101e-08 -9.419581822518779e-08 7.440025986310911e-08 2.3562441009069583e-08 -3.299466124069513e-08 1.3205560487757096e-09 8.042876060907901e-08 -1.0871058137622962e-07 -4.926791292303238e-08 8.657542206436266e-08 -1.0072480833897896e-07 2.512251742955576e-08 1.782828944959084e-08 1.0817707756628302e-07 -1.4991273962452886e-07 2.40666036046667e-07 -1.2603016411127637e-06 -5.954126720855267e-07 2.7228703037331046e-06
PC.PC2 5.024980635341545e-06 2.562326494000755e-07 2.7705936847959824e-06 1.9420228723282593e-06 5.636109310040968e-07 1.747174028251275e-08 5.342961675837324e-08 1.1519466296556948e-06 -9.940192121151495e-08 8.908664906981437e-08 8.996917350878275e-08 -3.758325670069283e-07 -1.0888331182387745e-07 -4.1915045333922404e-08 -7.191468620882625e-08 -1.993421181241875e-09 -3.1298091033569483e-07 -1.028767245307763e-07 1.2674245774328573e-07 -1.0357294450307913e-07 -1.905481770754176e-08 -5.5490206691106446e-08 -9.936742338583983e-08 -6.080419599384387e-08 -3.3568164684881466e-08 6.523610733875461e-08 -1.2514697651771132e-06 1.2350437324075544e-06 3.544149399475804e-07 -3.435075020081059e-06
PC.PC3 1.5519380791578345e-06 -5.438547778850342e-09 -2.5757106717669214e-06 9.706487866834239e-07 3.8248315615692144e-06 1.5053934533026494e-06 4.5833303594390976e-08 -9.9401921211515e-08 1.4665828389435772e-06 1.0220445646657597e-07 1.0816419596092163e-07 1.517837553997093e-07 3.2677591198852726e-08 -6.328420562226353e-08 2.4117414400679195e-08 1.5296447313282653e-07 1.2093018398637954e-07 -8.91797250257679e-08 -3.2816208774592494e-08 6.905820140133552e-08 1.4844356450441657e-08 -2.3271507422771918e-08 4.4029051122257516e-08 4.2661377322373836e-08 -5.634007126919634e-08 -4.041018801488787e-08 2.0015489790287573e-06 -2.0256108219173307e-06 2.0055464244761998e-06 4.3970599870846e-06
PC.PC4 1.5346975164152348e-06 1.0203339590151732e-07 1.983762534065244e-07 -1.3441678666664856e-06 -3.083296626326135e-06 -1.2258316136800599e-06 -1.3011383664207123e-07 8.908664906981386e-08 1.0220445646657549e-07 1.6907493707652137e-06 1.2380088217932196e-07 -1.5775986639914656e-07 1.358518511883196e-07 4.470038181557287e-08 -2.0269297144409535e-08 -1.1628606035794377e-07 -9.868854998357189e-08 8.309433519185238e-09 4.9686887266428735e-08 2.8674585993493507e-08 -6.279283653819392e-08 1.0619930076016123e-07 -5.516614001158546e-08 -2.060047887705443e-07 -6.36996368210974e-08 1.0688127198762594e-07 -6.301171584668315e-07 2.230480319228649e-06 9.899204595830145e-08 -4.85058453399007e-07
