 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gmp gpm gmm
intercept 0.005080517011064836 0.00015815104068434073 0.003127244070797629 0.007756924129898878 0.008477557690789228 0.0024902159871735443 4.352795182823763e-06 1.801727200002338e-05 -3.3375630782253147e-06 5.551333772504847e-06 -5.164598899727007e-06 -5.489575647048092e-06 4.3155815207707505e-06 -1.9632556575805282e-07 -7.34081635737366e-06 1.53176460553222e-06 -6.774405753467418e-06 -3.746197388452367e-06 -1.2195102252005141e-05 6.324907507011133e-06 4.156175093978485e-06 8.79225113914162e-07 -3.0486899330571984e-06 2.9488861695129593e-06 6.230043794583253e-06 5.725849327380618e-06 2.5777682909146916e-05 2.5288992082118773e-05 0.00012869562987116145 2.1462932291622163e-05 -9.950978049156303e-05 3.79711571838746e-05 -0.0002802951915500425
AGE 0.00015815104068434 8.621285148122946e-06 -2.0804706103908715e-06 -3.1377624568321345e-05 -4.0257036650632024e-05 -1.2248913452226485e-05 -3.8139073598948315e-08 1.1213713970009284e-06 -1.8388658608430455e-07 2.607952263674872e-07 6.24239125881877e-09 -1.089413572861002e-07 -3.483662148495803e-08 -7.792058357313289e-08 -3.7950486773483703e-07 3.806289333326534e-07 -2.124895835817269e-07 -5.079010569372546e-07 -5.747690197900945e-07 2.5680364322946615e-07 3.012173591548526e-07 -1.4876221928240112e-07 -5.718064145735865e-08 -6.873110924475805e-08 1.1107908012709449e-07 -1.035177845980179e-07 3.3253452565084375e-06 -3.129009634928803e-06 1.6169130943145365e-05 6.929928648306071e-06 -3.0917794131715085e-06 -5.724993517397954e-06 -2.4681979537467644e-05
sex 0.0031272440707964307 -2.080470610383193e-06 0.029328987280437493 0.034631601240277615 0.0243797413451998 0.005281706018174143 -5.383065513635886e-06 1.1152625206687675e-05 -7.835509699584459e-07 -8.394221675248774e-06 8.741764811178446e-06 -9.95644835668947e-07 -1.6333382737472628e-06 1.8557349875179517e-05 3.4319130258660394e-06 7.743215929874113e-06 -4.00163311810646e-07 5.4382854541023555e-06 -5.113467407486971e-07 1.2048619621587292e-05 -1.9067982593928141e-06 -1.2057386420856645e-05 4.709244503307908e-06 -1.4050856400518195e-06 1.9355253619405933e-05 1.143414680670314e-05 2.216267021900947e-05 0.0004708055671115255 0.00026850210421996154 -0.0001839212628162488 -0.00021560097833297402 -0.0002694874356946971 -0.0002712010016180767
age_sex 0.007756924129898073 -3.137762456831151e-05 0.034631601240284714 0.07103536221051508 0.06866711339182667 0.01852622784358602 9.216292910614351e-07 5.366310497297438e-06 1.4561896232763312e-05 -2.9414866429266826e-06 1.1371823401386063e-06 5.169060834828189e-06 -6.021874306016875e-06 2.3044876607308902e-05 -2.0584083428266762e-06 1.3275073721943356e-05 -5.457945140427657e-06 1.7654036318113197e-05 -2.1346725428754155e-06 6.033877123504118e-06 7.714499395694075e-06 3.235402305419357e-07 -8.858003250302055e-07 -5.273727604820812e-06 9.846879277948523e-06 -4.3943290137152275e-06 -0.0001270902826165484 0.0009368288058801197 0.00042233572504187607 -0.00036645935349084003 -0.000589592063881691 -0.00041212007242596337 -0.0004827298593453074
age2_sex 0.008477557690789379 -4.025703665062568e-05 0.02437974134521083 0.06866711339183504 0.0766060136753701 0.022527654551652433 1.3914879609760163e-06 -1.6585511188157338e-06 2.298958725171297e-05 -7.235544445604908e-07 -2.0668444363694636e-06 6.346922464582747e-06 -5.970212588146983e-06 1.571099174301653e-05 -4.30205745220768e-06 4.106976715526923e-06 1.9535496499713033e-06 2.1980111810639926e-05 -4.878768846564116e-06 -2.2814975361423012e-07 1.1121463692742154e-05 1.3435603211002907e-05 -4.3975469645927345e-06 -2.8553545352744316e-06 3.174561541436223e-07 -8.014254716598808e-06 -0.00022102103238918943 0.000872372983282945 0.0002536430042392847 -0.0001645772906737767 -0.0006759292638156651 -0.00018531686453380898 -0.0003479521565770387
age3_sex 0.002490215987173755 -1.2248913452225474e-05 0.005281706018177932 0.018526227843589843 0.02252765455165394 0.0069870714631272745 7.469767059442342e-08 -1.3488396861077058e-06 7.747683709762793e-06 -1.8785441094432137e-07 -6.378674368901955e-07 1.4503260937792142e-06 -1.3122024213735474e-06 3.515931944565579e-06 -1.475428791176153e-06 -1.1199918703274134e-06 2.223529682050805e-06 6.419858114444041e-06 -2.2607118731017375e-06 -7.009774330738732e-07 3.4982606215715145e-06 6.044557043660217e-06 -2.047149252668971e-06 -2.905191622977043e-07 -1.3770087550761356e-06 -2.035645372233409e-06 -7.550501992820065e-05 0.00020518645560769678 4.281820885859776e-05 2.4301219604766307e-05 -0.00020707612027729672 4.399457286938209e-06 -9.258468523578387e-05
PC.PC1 4.352795182825059e-06 -3.813907359894927e-08 -5.383065513631063e-06 9.216292910723764e-07 1.3914879609866395e-06 7.469767059725973e-08 2.309587719548947e-06 -6.542633505490109e-08 -7.943563130641974e-08 -1.403660093584353e-07 7.631882946822539e-08 -9.346895177303077e-08 -1.6955294945182356e-07 1.3903304078302755e-07 4.869483307914626e-08 -7.581976063535568e-08 2.919449482154403e-08 2.296885842143886e-07 -2.569614975669495e-07 -9.623818893406082e-08 2.0369154685349953e-07 -1.6192682812971156e-07 7.412772314754195e-09 1.2387078841279358e-07 4.895065763367751e-07 -2.99863532809276e-07 4.900441420205334e-07 -5.501309329839883e-06 1.4061872700934446e-06 -1.5806251244461185e-06 1.0850501905868437e-05 -3.706192278262582e-06 2.3031918136058273e-06
PC.PC2 1.801727200002233e-05 1.1213713970009286e-06 1.1152625206684281e-05 5.366310497289225e-06 -1.6585511188245468e-06 -1.3488396861102598e-06 -6.542633505490273e-08 3.5043745372273095e-06 3.437753385602622e-08 2.4472574065186187e-08 1.857806886453447e-07 -1.031711335515312e-06 -1.8322184389877492e-07 -7.484094215605563e-08 1.583640367997888e-07 2.2597520750168588e-07 -8.467601117589086e-07 -5.513676023639761e-07 9.697708588738824e-08 -2.2612677209382795e-07 -1.471362240270726e-07 1.192058114361294e-08 -9.06438639116442e-08 -2.1312504769559088e-07 -3.668323937305422e-07 4.465768912802338e-08 3.840613908360634e-07 1.6926149899117701e-06 -2.632700107214894e-06 -1.6259135124256665e-06 -4.247894783611905e-06 -2.7894385760857207e-06 -3.1358719601586847e-06
PC.PC3 -3.337563078224498e-06 -1.8388658608431132e-07 -7.835509699521692e-07 1.4561896232773564e-05 2.2989587251721348e-05 7.747683709764764e-06 -7.943563130642148e-08 3.437753385602693e-08 4.532250689293044e-06 6.733302608627066e-08 4.789124559291258e-07 4.462656013518581e-07 6.269428558874323e-08 -1.5125533431996485e-07 -1.255544581162184e-07 6.229987274785331e-07 3.211500462901404e-07 -3.52965134282119e-07 6.360281728564181e-08 1.1281592434262336e-07 -4.628424695120484e-08 -1.6667778729043045e-07 2.341113352903829e-07 2.831790797244446e-08 -3.95324616975019e-07 -1.4391687312039919e-08 2.1003406497343466e-06 -5.014731969074908e-06 -7.051461054546828e-06 7.951809541920087e-06 1.1235309672727482e-05 1.3785589199179375e-05 1.4478965837362483e-05
PC.PC4 5.551333772504374e-06 2.607952263674982e-07 -8.394221675250714e-06 -2.9414866429313815e-06 -7.235544445663639e-07 -1.878544109462152e-07 -1.4036600935843378e-07 2.447257406518694e-08 6.733302608626844e-08 5.7946409716982245e-06 8.877833024323674e-07 -3.930055154298267e-07 2.144476006132644e-07 -1.8559985494535907e-07 1.7105056424947952e-07 3.611868446707351e-08 -1.581436952758434e-07 -9.20607338114693e-08 3.219843446264923e-08 -2.4361777906616572e-08 -1.1588303881921461e-07 2.3736102352064207e-07 -1.4355499507929343e-07 -8.118667369433378e-07 3.289709331323109e-07 4.5346371629949006e-07 -5.292884745204725e-07 -8.563069700284035e-07 5.605153069351161e-07 1.6429063193259702e-06 1.0866018267243125e-05 2.6794388056660556e-06 -7.1803014489018765e-06
